LGA_CODE_2016,M1_Train_Mng,M1_Train_Pro,M1_Train_TecTW,M1_Train_CoPSW,M1_Train_ClAW,M1_Train_SWks,M1_Train_MaOpDv,M1_Train_Lab,M1_Train_IDNS,M1_Train_Tot,M1_Bus_Mng,M1_Bus_Pro,M1_Bus_TecTW,M1_Bus_CoPSW,M1_Bus_ClAW,M1_Bus_SWks,M1_Bus_MaOpDv,M1_Bus_Lab,M1_Bus_IDNS,M1_Bus_Tot,M1_Ferry_Mng,M1_Ferry_Pro,M1_Ferry_TecTW,M1_Ferry_CoPSW,M1_Ferry_ClAW,M1_Ferry_SWks,M1_Ferry_MaOpDv,M1_Ferry_Lab,M1_Ferry_IDNS,M1_Ferry_Tot,M1_Tram_Inc_LR_Mng,M1_Tram_Inc_LR_Pro,M1_Tram_Inc_LR_TecTW,M1_Tram_Inc_LR_CoPSW,M1_Tram_Inc_LR_ClAW,M1_Tram_Inc_LR_SWks,M1_Tram_Inc_LR_MaOpDv,M1_Tram_Inc_LR_Lab,M1_Tram_Inc_LR_IDNS,M1_Tram_Inc_LR_Tot,M1_Taxi_Mng,M1_Taxi_Pro,M1_Taxi_TecTW,M1_Taxi_CoPSW,M1_Taxi_ClAW,M1_Taxi_SWks,M1_Taxi_MaOpDv,M1_Taxi_Lab,M1_Taxi_IDNS,M1_Taxi_Tot,M1_CarAsDriv_Mng,M1_CarAsDriv_Pro,M1_CarAsDriv_TecTW,M1_CarAsDriv_CoPSW,M1_CarAsDriv_ClAW,M1_CarAsDriv_SWks,M1_CarAsDriv_MaOpDv,M1_CarAsDriv_Lab,M1_CarAsDriv_IDNS,M1_CarAsDriv_Tot,M1_CarAsPas_Mng,M1_CarAsPas_Pro,M1_CarAsPas_TecTW,M1_CarAsPas_CoPSW,M1_CarAsPas_ClAW,M1_CarAsPas_SWks,M1_CarAsPas_MaOpDv,M1_CarAsPas_Lab,M1_CarAsPas_IDNS,M1_CarAsPas_Tot,M1_Truck_Mng,M1_Truck_Pro,M1_Truck_TecTW,M1_Truck_CoPSW,M1_Truck_ClAW,M1_Truck_SWks,M1_Truck_MaOpDv,M1_Truck_Lab,M1_Truck_IDNS,M1_Truck_Tot,M1_MBikeScoot_Mng,M1_MBikeScoot_Pro,M1_MBikeScoot_TecTW,M1_MBikeScoot_CoPSW,M1_MBikeScoot_ClAW,M1_MBikeScoot_SWks,M1_MBikeScoot_MaOpDv,M1_MBikeScoot_Lab,M1_MBikeScoot_IDNS,M1_MBikeScoot_Tot,M1_Bicycle_Mng,M1_Bicycle_Pro,M1_Bicycle_TecTW,M1_Bicycle_CoPSW,M1_Bicycle_ClAW,M1_Bicycle_SWks,M1_Bicycle_MaOpDv,M1_Bicycle_Lab,M1_Bicycle_IDNS,M1_Bicycle_Tot,M1_Oth_Mng,M1_Oth_Pro,M1_Oth_TecTW,M1_Oth_CoPSW,M1_Oth_ClAW,M1_Oth_SWks,M1_Oth_MaOpDv,M1_Oth_Lab,M1_Oth_IDNS,M1_Oth_Tot,M1_WlkOnly_Mng,M1_WlkOnly_Pro,M1_WlkOnly_TecTW,M1_WlkOnly_CoPSW,M1_WlkOnly_ClAW,M1_WlkOnly_SWks,M1_WlkOnly_MaOpDv,M1_WlkOnly_Lab,M1_WlkOnly_IDNS,M1_WlkOnly_Tot,M1_Tot_M1_Mng,M1_Tot_M1_Pro,M1_Tot_M1_TecTW,M1_Tot_M1_CoPSW,M1_Tot_M1_ClAW,M1_Tot_M1_SWks,M1_Tot_M1_MaOpDv,M1_Tot_M1_Lab,M1_Tot_M1_IDNS,M1_Tot_M1_Tot,M2_TrnBus_Mng,M2_TrnBus_Pro,M2_TrnBus_TecTW,M2_TrnBus_CoPSW,M2_TrnBus_ClAW,M2_TrnBus_SWks,M2_TrnBus_MaOpDv,M2_TrnBus_Lab,M2_TrnBus_IDNS,M2_TrnBus_Tot,M2_TrnFer_Mng,M2_TrnFer_Pro,M2_TrnFer_TecTW,M2_TrnFer_CoPSW,M2_TrnFer_ClAW,M2_TrnFer_SWks,M2_TrnFer_MaOpDv,M2_TrnFer_Lab,M2_TrnFer_IDNS,M2_TrnFer_Tot,M2_TrnTrm_Inc_LR_Mng,M2_TrnTrm_Inc_LR_Pro,M2_TrnTrm_Inc_LR_TecTW,M2_TrnTrm_Inc_LR_CoPSW,M2_TrnTrm_Inc_LR_ClAW,M2_TrnTrm_Inc_LR_SWks,M2_TrnTrm_Inc_LR_MaOpDv,M2_TrnTrm_Inc_LR_Lab,M2_TrnTrm_Inc_LR_IDNS,M2_TrnTrm_Inc_LR_Tot,M2_TrnCarAsDriv_Mng,M2_TrnCarAsDriv_Pro,M2_TrnCarAsDriv_TecTW,M2_TrnCarAsDriv_CoPSW,M2_TrnCarAsDriv_ClAW,M2_TrnCarAsDriv_SWks,M2_TrnCarAsDriv_MaOpDv,M2_TrnCarAsDriv_Lab,M2_TrnCarAsDriv_IDNS,M2_TrnCarAsDriv_Tot,M2_TrnCarAsPa_Mng,M2_TrnCarAsPa_Pro,M2_TrnCarAsPa_TecTW,M2_TrnCarAsPa_CoPSW,M2_TrnCarAsPa_ClAW,M2_TrnCarAsPa_SWks,M2_TrnCarAsPa_MaOpDv,M2_TrnCarAsPa_Lab,M2_TrnCarAsPa_IDNS,M2_TrnCarAsPa_Tot,M2_TrnOth_Mng,M2_TrnOth_Pro,M2_TrnOth_TecTW,M2_TrnOth_CoPSW,M2_TrnOth_ClAW,M2_TrnOth_SWks,M2_TrnOth_MaOpDv,M2_TrnOth_Lab,M2_TrnOth_IDNS,M2_TrnOth_Tot,M2_Trn_and_Tot_Mng,M2_Trn_and_Tot_Pro,M2_Trn_and_Tot_TecTW,M2_Trn_and_Tot_CoPSW,M2_Trn_and_Tot_ClAW,M2_Trn_and_Tot_SWks,M2_Trn_and_Tot_MaOpDv,M2_Trn_and_Tot_Lab,M2_Trn_and_Tot_IDNS,M2_Trn_and_Tot_Tot
LGA10050,0,10,0,3,4,0,0,0,0,18,6,5,12,19,25,28,0,28,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,0,5,3,7,3,4,0,39,2051,3817,2637,2259,2928,1969,1110,1452,238,18455,65,113,133,143,122,324,50,236,21,1204,7,0,28,0,3,0,69,17,0,124,11,9,29,10,9,10,9,5,0,92,22,60,30,19,19,24,16,21,0,222,8,15,10,16,10,6,7,4,3,82,76,161,90,100,104,93,15,74,10,733,2258,4197,2964,2582,3220,2448,1283,1848,271,21075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9
LGA10130,0,9,0,0,0,0,0,0,0,8,3,21,3,4,9,9,0,9,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,3,5,3,0,7,3,0,34,1056,2225,1066,988,1257,818,340,800,80,8646,47,141,86,76,84,146,15,209,12,827,47,6,30,0,3,4,22,13,0,132,28,22,14,4,3,10,7,15,0,103,13,47,10,13,14,5,8,8,0,117,42,13,3,12,6,0,3,6,5,89,105,143,63,111,48,67,15,95,8,656,1346,2641,1280,1217,1431,1062,422,1163,102,10669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA10250,3,0,0,0,3,0,0,0,0,9,3,8,7,11,3,12,0,21,4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,1185,2088,1522,1385,1194,1045,537,1039,97,10084,54,54,105,85,55,150,22,158,11,687,27,3,34,0,4,5,47,32,0,150,6,14,22,13,4,10,3,18,0,86,21,39,33,24,12,21,14,42,4,212,23,15,7,10,8,3,6,6,6,84,113,74,40,69,52,66,14,80,6,521,1432,2288,1770,1605,1329,1317,643,1397,124,11909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,45,68,50,49,15,57,96,9,491,5,6,5,3,3,0,9,20,3,52,3,0,0,0,0,0,3,0,0,11,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,6,10,0,3,3,0,0,0,3,3,17,23,9,14,15,8,7,8,16,0,99,143,62,90,78,66,20,76,138,12,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,8,0,0,0,0,0,0,3,12,3,4,4,7,7,8,0,22,0,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,4,6,4,0,36,1483,2526,1748,1678,1604,1167,720,1244,133,12304,55,103,116,106,88,198,24,218,11,919,41,4,36,0,4,3,54,22,0,163,7,8,12,8,0,4,6,3,0,53,10,22,12,4,3,3,4,12,0,85,24,15,14,0,7,3,3,11,0,77,89,129,81,131,73,73,16,95,5,690,1722,2824,2021,1949,1791,1466,843,1639,158,14409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
LGA10550,0,0,0,0,0,0,0,0,0,3,0,4,4,5,3,6,9,9,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,895,1324,1187,1006,940,845,473,1019,86,7770,34,53,71,69,36,104,10,116,4,496,22,0,22,0,3,3,56,17,3,134,15,0,9,3,5,3,8,12,0,60,3,16,6,5,7,0,0,16,0,58,42,10,6,0,3,4,0,12,0,86,150,75,72,85,42,79,16,86,9,605,1164,1492,1374,1175,1028,1051,576,1287,106,9251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,248,407,342,288,213,165,170,293,17,2143,13,13,3,23,15,15,8,34,3,125,14,0,8,0,0,4,10,0,3,36,7,0,7,0,0,0,3,8,0,31,0,3,4,3,0,3,3,0,0,17,7,3,7,3,0,5,7,3,0,35,49,18,25,31,11,37,16,42,4,233,345,454,385,353,248,226,219,388,24,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,205,246,226,175,121,147,227,23,1649,9,3,13,15,8,7,5,26,0,84,11,0,3,0,0,0,22,7,0,45,12,0,0,0,0,0,0,0,0,15,0,5,0,0,0,4,0,5,0,24,14,4,5,0,3,0,4,5,0,37,68,18,23,23,19,19,10,32,0,212,399,241,297,261,200,151,191,306,26,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10750,132,405,241,230,258,320,175,333,53,2147,82,166,136,246,179,344,191,366,34,1750,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,3,0,5,8,7,9,8,7,10,133,26,4,210,9912,13273,10333,6303,10777,6525,12489,7018,1224,77861,335,463,577,548,550,1151,854,1433,89,5996,108,5,299,3,62,24,613,219,13,1347,33,48,78,38,62,22,111,44,10,448,21,48,37,25,20,15,50,33,3,253,48,52,74,54,76,27,72,43,19,465,143,230,140,296,154,287,116,274,30,1666,10831,14695,11927,7748,12158,8726,14802,9782,1493,92166,47,172,99,137,132,128,144,205,17,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,74,16,20,47,19,18,24,3,244,5,28,13,18,21,21,16,17,0,136,4,23,5,3,3,0,14,8,0,59,82,296,138,181,202,162,184,256,21,1525
LGA10800,0,0,0,0,0,0,0,0,0,0,0,10,15,3,4,0,62,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,174,226,106,152,112,148,173,20,1358,6,21,27,9,5,15,32,37,3,151,25,0,10,0,0,0,13,0,0,46,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,12,26,0,0,4,3,3,7,3,0,45,56,17,13,18,12,9,4,23,0,148,358,224,295,143,177,137,278,240,24,1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
