LGA_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
LGA53920,0,3,0,3,3,3,0,6,0,24,0,0,0,0,0,0,0,0,0,4,11,31,23,28,52,35,27,87,10,298
LGA53990,6,39,25,31,23,37,29,31,3,226,11,31,10,15,34,35,17,48,43,252,278,899,669,822,875,1036,749,1187,120,6627
LGA54060,0,7,0,0,9,5,0,6,0,36,3,3,0,3,7,7,0,8,4,38,65,150,80,133,112,129,88,252,20,1037
LGA54130,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,5,18,29,65,35,62,35,92,52,200,13,583
LGA54170,55,412,297,345,400,276,153,158,19,2121,61,260,139,118,173,238,69,148,342,1544,1571,9489,6700,6724,7488,6316,2876,4098,751,46015
LGA54200,19,128,67,66,116,121,65,97,12,695,25,89,56,62,104,126,45,86,106,704,402,2210,1517,1651,2317,2428,1461,2206,253,14453
LGA54280,22,48,46,37,80,98,85,217,4,638,27,43,32,40,61,92,35,117,109,564,669,1042,768,1087,1749,2007,1620,4280,267,13484
LGA54310,17,37,14,34,43,53,45,122,7,374,40,39,15,33,44,62,45,214,93,577,721,672,490,682,1055,1327,1317,4152,207,10634
LGA54340,3,7,14,11,7,23,7,13,0,88,5,7,6,6,12,14,4,8,13,75,69,175,146,204,378,340,194,282,36,1825
LGA54410,0,3,0,0,0,0,0,0,0,7,3,3,0,3,0,0,0,4,4,17,17,41,47,66,46,57,22,112,13,429
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,25,18,22,17,31,31,121,6,282
LGA54550,3,3,0,5,3,8,9,3,0,35,5,3,0,0,0,7,4,3,11,25,51,89,83,103,81,165,72,280,21,946
LGA54620,0,0,0,0,0,0,3,3,0,9,0,3,0,4,7,5,0,5,14,32,21,47,42,41,52,66,92,330,15,696
LGA54690,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,13,5,16,9,13,13,33,19,67,4,177
LGA54760,0,3,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,3,3,4,19,26,20,32,25,50,39,162,4,384
LGA54830,16,45,45,30,65,42,29,65,0,343,27,55,35,32,121,138,58,122,97,679,508,1037,920,1037,2504,2528,1813,2467,198,13009
LGA54900,0,3,3,0,4,11,3,9,0,25,0,0,0,4,0,8,0,8,10,31,34,53,60,72,38,139,80,264,22,764
LGA54970,0,0,0,5,4,3,0,12,0,22,4,7,0,0,7,6,0,9,10,53,192,92,79,75,153,124,251,1245,44,2257
LGA55040,0,5,4,4,6,5,4,25,0,56,0,4,4,3,5,5,4,14,13,52,129,92,90,94,140,136,196,1097,42,2020
LGA55110,27,142,105,129,176,160,97,80,14,933,24,131,98,63,74,151,42,89,161,819,784,3708,2911,3244,3551,2956,1450,2266,384,21254
LGA55180,9,14,8,15,25,30,13,24,0,136,10,14,10,12,23,31,7,22,39,164,230,510,448,505,576,725,334,719,80,4125
LGA55250,0,0,0,0,0,0,0,7,0,8,0,3,0,3,0,3,0,8,5,30,72,38,30,37,82,62,91,588,21,1030
LGA55320,34,257,205,235,402,306,137,145,14,1751,62,207,148,131,189,248,89,144,283,1497,1433,6686,5244,5247,7264,6393,2850,4282,603,40001
LGA55390,0,3,0,0,9,0,3,10,0,28,3,3,3,4,0,0,0,9,3,18,32,18,18,19,48,25,67,287,13,530
LGA55460,3,4,7,8,12,18,3,15,4,79,5,3,0,0,6,5,5,11,3,44,78,142,121,154,243,267,173,283,27,1481
LGA55530,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,18,13,20,18,26,9,60,10,172
LGA55600,0,4,0,5,6,10,14,5,0,46,3,5,0,8,3,12,10,8,10,51,49,120,101,115,120,231,115,280,28,1157
LGA55670,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,3,0,0,8,14,19,26,24,29,46,21,72,6,255
LGA55740,0,16,8,6,11,7,3,9,0,70,0,26,14,9,3,13,0,13,17,89,61,469,362,332,372,328,163,263,50,2397
LGA55810,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,4,12,20,13,0,17,14,30,19,90,9,213
LGA55880,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,3,8,14,27,20,22,21,41,32,103,12,278
LGA55950,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,3,8,8,3,25,17,14,14,49,26,91,7,255
LGA56090,19,85,50,37,72,67,47,58,4,434,12,61,44,28,71,89,34,67,85,483,301,1437,1058,1046,1264,1563,814,1146,164,8788
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,6,6,0,15,0,40
LGA56230,0,27,15,18,28,21,6,52,5,171,8,34,16,18,36,34,15,45,46,247,216,647,528,508,1316,716,509,871,96,5415
LGA56300,0,0,0,0,0,0,0,0,0,6,3,7,3,0,4,0,0,0,3,18,17,71,60,54,66,77,35,85,13,470
LGA56370,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,3,0,3,3,18,17,37,29,38,28,76,41,129,13,395
LGA56460,3,12,17,6,21,34,12,17,0,112,13,7,3,4,4,19,13,17,23,102,143,253,238,264,357,410,240,385,45,2339
LGA56580,26,106,105,134,187,192,73,86,10,912,15,63,58,55,77,109,28,69,128,602,884,2260,2396,2526,4134,3853,1642,2403,279,20379
LGA56620,0,0,0,4,0,3,0,0,0,17,0,0,0,3,3,0,0,4,0,7,13,27,26,58,28,36,10,23,12,231
LGA56730,4,25,19,11,37,33,13,25,0,157,11,19,16,14,28,43,21,25,29,195,169,463,434,500,824,746,539,606,76,4361
LGA56790,3,3,5,3,4,7,4,4,0,31,3,0,0,0,0,3,3,9,6,30,41,75,71,90,83,109,82,247,9,811
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,3,8,11,7,3,28,0,71
LGA56930,0,4,9,3,3,7,5,3,0,31,3,4,4,0,4,4,5,4,3,28,35,223,156,136,142,173,115,139,21,1130
LGA57000,0,0,0,0,3,0,3,6,0,14,7,0,3,0,0,5,0,7,12,31,56,39,23,23,37,53,79,515,20,846
LGA57080,80,191,234,259,708,493,260,337,30,2585,174,315,309,297,627,1008,354,606,839,4511,5125,7311,10000,9721,27213,32431,14552,20174,1720,128253
LGA57140,0,0,0,0,0,5,0,0,0,4,0,0,0,3,0,0,0,0,3,11,13,51,40,28,32,61,16,89,7,340
LGA57210,0,12,3,3,12,6,3,6,0,56,0,10,11,8,11,9,0,9,20,77,102,263,193,235,214,329,256,387,45,2019
LGA57280,12,12,16,21,45,37,33,114,3,300,13,13,16,17,25,32,18,78,58,269,394,360,333,471,757,759,633,2422,154,6286
LGA57350,0,0,3,0,0,4,0,3,0,9,0,3,0,0,0,0,0,3,5,12,26,41,41,30,24,53,36,98,14,355
LGA57420,3,0,0,0,0,3,0,4,0,7,0,0,4,0,3,0,3,3,6,24,35,47,41,43,49,63,44,219,17,559
LGA57490,47,228,176,152,236,217,115,138,10,1317,49,154,101,110,161,209,71,133,216,1198,1141,4995,3683,3856,5002,4605,2686,3618,499,30091
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,3,3,7,0,22
LGA57700,3,31,22,25,15,15,15,14,0,136,7,25,27,22,32,50,20,45,23,249,180,670,475,564,624,771,445,780,70,4569
LGA57770,0,4,0,0,0,5,0,3,0,12,0,4,0,3,0,3,0,0,4,13,8,31,8,31,44,44,22,109,8,305
LGA57840,10,106,56,56,82,53,40,42,7,437,20,90,57,46,64,92,10,58,86,520,424,2113,1699,1608,2270,2065,1016,1522,198,12914
LGA57910,74,457,338,362,616,620,322,355,25,3176,96,393,305,293,565,676,259,405,535,3530,2293,10255,8463,8604,14480,14095,6746,9262,1189,75381
LGA57980,13,103,83,100,201,138,76,97,5,828,34,118,70,58,105,170,50,133,179,913,1137,3514,3062,2977,4841,5360,2432,4069,405,27793
LGA58050,93,320,225,251,542,725,295,568,13,3034,88,292,209,236,549,606,225,462,416,3090,1819,6610,5374,5765,11066,10765,5488,8559,923,56371
LGA58190,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,3,8,5,12,15,22,20,29,17,46,3,170
LGA58260,0,3,0,0,0,4,0,0,0,7,0,0,0,0,0,4,0,3,0,12,8,18,10,9,9,29,8,26,0,119
LGA58330,3,5,4,4,0,6,3,4,0,36,4,7,7,8,0,13,0,4,11,58,46,151,120,100,71,109,70,161,17,858
LGA58400,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,9,8,20,7,6,24,11,50,3,154
LGA58470,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,3,9,3,5,3,11,0,40
LGA58510,23,98,104,99,214,173,102,94,3,913,19,108,94,74,165,172,60,120,193,1008,884,3052,2974,3051,5779,5542,2477,3681,463,27910
LGA58540,0,3,0,3,4,3,0,9,0,22,0,3,0,0,4,3,0,7,3,16,20,42,39,41,38,64,55,180,3,475
LGA58570,31,137,145,165,260,225,119,141,13,1222,28,95,95,82,125,172,53,126,132,904,668,2541,2414,2249,3792,4126,1993,2770,305,20856
LGA58610,0,3,0,0,0,10,4,8,0,27,6,5,3,3,0,0,0,3,9,26,35,92,61,82,47,135,68,154,13,688
LGA58680,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,12,10,8,16,12,29,14,61,0,157
LGA58760,47,346,226,245,348,438,195,373,22,2243,88,263,181,193,465,532,198,358,365,2643,1346,6383,4712,5191,7791,7839,3756,6328,769,44105
LGA58820,0,5,5,3,10,4,6,17,0,61,6,0,9,6,4,14,3,13,16,78,123,109,131,133,559,317,268,433,36,2111
LGA58890,0,0,4,0,0,0,0,3,0,10,0,3,0,0,6,0,0,3,3,14,12,56,46,34,26,42,29,124,5,380
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,11,10,7,7,15,17,47,163,7,290
LGA59090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59100,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,3,9,15,48,22,25,26,33,23,99,8,296
LGA59170,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,3,0,3,3,15,21,44,47,44,31,60,41,162,8,456
LGA59250,3,3,0,0,0,0,0,0,0,5,0,0,0,4,0,0,3,4,5,21,69,16,32,30,45,26,55,502,9,787
LGA59310,0,8,3,3,3,9,0,0,0,28,0,3,3,0,3,6,6,7,10,40,25,79,53,75,48,134,96,163,16,688
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,13,18,16,21,20,12,68,4,190
LGA59330,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,9,29,17,26,19,27,15,66,4,212
LGA59340,4,12,9,15,15,28,8,22,0,110,11,7,3,4,15,12,11,25,21,113,191,157,134,224,384,443,300,977,59,2867
LGA59350,0,0,0,0,0,0,3,0,0,7,3,0,0,0,0,0,0,3,4,15,45,32,17,21,26,38,27,266,8,495
LGA59360,3,0,0,3,0,4,0,9,0,14,0,3,3,4,3,0,0,16,14,38,80,64,52,60,81,69,61,794,36,1290
LGA59370,0,4,5,0,0,0,3,12,0,29,4,11,3,3,0,4,3,8,3,47,36,178,110,149,102,133,84,223,18,1029
LGA59499,92,553,293,322,248,323,159,358,24,2369,265,423,262,274,305,486,154,492,512,3179,3494,7379,5206,6234,5877,9732,4125,11072,1251,54378
LGA59799,3,0,0,0,0,0,0,4,0,9,19,3,4,0,3,12,9,180,15,231,169,39,16,21,31,37,35,1225,31,1595
LGA59898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA60210,0,13,5,6,6,5,3,4,0,47,4,5,4,9,3,6,3,10,7,51,92,315,220,258,235,216,120,203,33,1700
LGA60410,3,12,6,17,31,25,9,19,0,132,4,6,6,10,8,22,3,6,16,79,120,365,269,319,526,495,267,388,46,2792
LGA60610,10,46,43,51,107,98,46,54,7,456,9,46,18,29,56,58,27,29,77,356,404,1279,1137,1355,2223,1576,893,1260,173,10298
LGA60810,8,44,34,30,56,44,20,33,3,269,19,32,11,23,42,33,9,17,47,237,256,851,686,775,876,892,498,700,110,5661
LGA61010,0,0,0,0,0,0,0,0,0,4,0,3,0,0,9,4,0,4,10,29,35,63,74,67,88,125,55,150,28,681
LGA61210,0,20,18,19,14,22,7,15,0,114,10,18,16,12,24,22,14,16,24,149,171,398,376,404,620,554,349,667,69,3604
LGA61410,20,104,86,104,100,90,53,52,5,602,16,56,44,51,78,66,32,39,88,463,614,2242,1765,2118,3154,2478,1229,1584,220,15404
LGA61510,0,8,9,7,5,9,3,8,0,54,9,8,11,10,16,12,11,16,23,104,100,311,261,316,369,336,241,329,61,2314
LGA61610,17,78,47,64,149,81,46,69,9,550,15,56,33,43,59,65,24,40,92,425,574,1607,1278,1524,2316,1715,1047,1350,205,11619
LGA61810,0,10,12,13,11,6,5,7,3,61,5,12,12,0,9,9,5,3,13,68,89,295,218,229,283,266,151,403,43,1974
LGA62010,0,0,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,9,14,49,44,56,39,61,27,58,15,357
LGA62210,0,9,3,8,7,12,3,4,0,37,4,11,8,10,17,19,18,16,18,112,98,212,236,260,424,426,404,352,54,2474
LGA62410,0,8,0,3,9,0,3,11,0,29,3,12,4,3,5,10,0,7,18,68,90,255,151,211,209,185,104,213,42,1462
LGA62610,16,87,86,86,180,148,74,96,9,783,26,58,41,65,160,137,42,86,173,795,653,2112,1850,2294,4117,3365,1930,2068,365,18742
LGA62810,49,243,203,258,462,298,163,209,20,1899,66,148,100,118,185,139,42,104,296,1192,2200,6195,5690,7107,11978,7745,4268,5506,652,51337
LGA63010,5,24,20,14,20,33,8,13,0,141,11,20,23,18,22,20,5,11,47,175,154,654,517,606,626,726,308,570,100,4258
LGA63210,3,4,11,4,5,4,0,3,0,40,3,8,0,0,7,3,0,4,14,47,82,213,150,151,158,174,130,252,25,1341
LGA63410,0,3,0,0,7,5,3,4,0,24,4,4,0,0,0,3,0,3,7,28,54,75,55,91,113,133,73,158,12,766
LGA63610,10,72,37,50,44,55,32,50,4,358,12,60,27,35,35,41,10,31,64,312,331,1612,1089,1202,1337,1234,678,978,137,8594
LGA63810,7,11,14,19,20,18,4,6,3,105,8,10,11,13,20,17,13,11,26,122,165,402,427,542,584,511,262,439,64,3403
LGA64010,34,179,158,160,296,245,129,154,16,1368,47,118,67,93,193,141,54,103,255,1067,1323,4276,3819,4593,7208,5160,2711,3640,539,33266
LGA64210,3,20,16,22,20,32,12,21,3,145,7,24,19,18,32,24,12,20,48,192,244,724,656,744,896,827,456,854,104,5503
LGA64610,7,25,17,19,26,30,19,9,3,150,18,25,11,17,34,29,18,24,34,203,177,496,424,654,984,757,478,748,79,4797
LGA64810,8,11,9,5,7,16,13,0,3,77,6,12,9,12,3,11,3,12,17,82,115,483,350,362,366,373,153,289,42,2533
LGA65010,0,5,5,5,0,3,3,8,0,26,10,6,3,4,3,8,0,5,7,49,40,141,128,153,122,144,80,259,23,1090
LGA65210,0,4,0,0,3,0,0,3,0,11,8,3,0,6,0,0,0,3,4,25,41,135,90,109,87,75,50,92,16,704
LGA65410,8,20,9,13,24,22,3,16,0,107,6,20,16,18,18,22,15,16,33,165,163,525,441,438,581,493,387,700,80,3819
LGA65610,4,9,7,3,3,6,7,9,4,53,3,0,0,0,0,0,3,4,20,43,107,205,152,155,208,187,292,540,53,1907
LGA65810,14,34,12,18,23,17,6,24,3,155,6,23,9,10,14,26,7,7,33,134,198,680,510,523,572,491,274,451,67,3769
LGA69090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA69499,11,61,37,35,35,41,19,36,4,285,39,62,46,46,62,77,29,60,112,521,518,1454,963,1119,1132,1649,727,1317,250,9132
LGA69799,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,6,3,0,3,3,3,28,0,55
LGA69898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70200,15,44,34,40,168,115,58,87,3,556,19,20,25,30,100,76,31,68,96,461,486,779,679,1065,3182,2289,1203,1982,222,11881
LGA70420,5,7,11,15,28,18,4,15,4,106,0,7,6,6,22,22,3,20,36,128,84,104,98,190,478,318,123,554,69,2006
LGA70540,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,0,6,3,29
LGA70620,3,3,12,10,15,7,6,3,0,56,7,3,0,3,8,5,4,14,18,56,98,64,63,122,216,133,86,409,27,1215
LGA70700,0,0,0,0,0,3,0,4,5,8,0,5,3,7,3,3,0,6,10,33,21,38,36,45,104,138,45,154,22,607
LGA71000,34,120,123,157,391,361,181,270,23,1669,72,117,99,105,316,335,119,271,451,1877,1849,3073,3143,3989,11081,9145,4774,7909,1001,45963
LGA71300,3,16,30,38,57,46,4,20,6,227,4,0,6,9,13,8,3,12,97,162,171,146,219,295,448,448,270,795,142,2933
LGA72200,12,17,10,12,32,42,15,32,9,165,5,20,11,11,22,18,5,29,37,157,190,258,206,303,991,819,478,1047,78,4376
LGA72300,7,19,10,18,42,40,25,67,12,242,43,47,18,37,79,91,37,284,138,778,905,626,568,687,1785,2239,1494,7014,345,15659
LGA72330,3,15,20,13,29,8,4,10,16,124,3,7,0,0,10,14,5,11,29,83,133,107,152,161,468,496,269,554,90,2422
LGA72800,13,28,27,35,77,81,37,63,3,356,13,25,11,28,54,64,30,76,65,366,291,713,575,761,1636,1278,706,1280,155,7396
LGA73600,4,18,4,12,25,19,5,16,11,119,10,5,3,3,11,5,4,10,65,116,62,124,88,114,262,201,96,443,143,1539
LGA74050,0,29,5,12,8,7,0,9,8,81,7,3,0,0,9,3,0,0,32,53,17,115,28,65,112,71,31,84,38,567
LGA74550,3,3,9,3,8,13,3,12,0,54,3,6,0,0,4,0,0,3,26,44,16,60,46,58,111,105,49,197,33,678
LGA74560,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,5,11,6,3,3,5,8,6,3,46
LGA74660,5,7,6,6,44,41,3,12,11,130,5,5,3,0,10,9,4,8,72,126,73,84,94,87,357,287,95,316,110,1505
LGA74680,0,3,7,5,24,10,3,6,7,75,0,0,0,4,3,6,6,3,11,36,25,29,36,57,174,118,39,123,23,620
LGA79090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA79399,5,18,8,17,25,52,27,39,0,191,18,20,15,23,48,58,25,87,63,351,321,296,257,341,949,1304,644,2288,126,6534
LGA79499,11,18,6,11,11,9,8,28,5,111,22,11,23,17,22,38,21,47,47,251,334,295,225,297,358,561,299,1194,109,3674
LGA79799,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,10,3,18,9,0,3,3,4,4,7,60,3,91
LGA79898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89399,159,811,632,720,1394,1105,684,935,73,6508,184,572,375,381,863,959,368,615,1335,5657,9400,20815,17212,21208,51430,44855,23313,29131,3273,220639
LGA89499,11,50,21,30,27,38,14,26,4,226,18,43,19,22,47,47,21,23,59,302,317,1019,574,659,860,1521,641,1078,157,6817
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,5,5,11,10,11,11,4,8,3,64,12,16,8,12,24,20,4,20,37,143,168,227,177,244,591,410,319,476,75,2692
LGA99499,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,0,3,0,16,31,8,6,7,4,22,4,31,6,118
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
