LGA_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
LGA40310,14,48,21,52,61,60,35,46,0,336,16,38,22,39,50,54,30,35,54,341,372,1370,1044,1271,1532,1823,1042,1387,141,9974
LGA40430,0,3,0,3,0,4,0,0,0,7,0,4,0,3,3,4,0,7,3,22,25,96,53,88,65,92,58,173,9,662
LGA40520,5,25,13,13,48,42,13,31,5,202,10,14,10,9,31,26,9,14,32,158,196,477,450,673,951,797,370,558,79,4533
LGA40700,16,104,80,89,138,97,41,52,5,615,16,78,53,57,60,81,29,44,99,517,604,2542,2029,2243,3074,2435,1505,2049,229,16709
LGA40910,12,93,63,77,98,65,54,62,3,529,3,45,36,44,58,47,15,28,67,334,308,1678,1192,1558,1669,1184,720,1068,142,9525
LGA41010,6,3,6,6,15,20,4,11,0,70,3,12,0,0,5,6,0,5,21,56,87,161,142,190,292,241,150,278,53,1591
LGA41060,48,246,185,235,461,322,175,198,14,1888,52,155,116,144,309,258,98,139,267,1535,1325,5408,4150,5535,8874,6201,3346,4477,607,39937
LGA41140,3,19,18,15,33,27,17,21,0,160,8,12,13,17,13,20,6,22,37,144,180,539,473,597,556,637,359,694,83,4122
LGA41190,0,3,4,0,10,11,0,8,0,28,5,0,3,0,0,8,3,3,6,31,48,93,64,104,92,128,82,217,13,842
LGA41330,3,0,0,0,3,0,0,0,0,8,0,3,0,0,0,0,0,4,20,32,41,49,56,74,140,98,53,137,25,675
LGA41560,8,43,17,29,32,53,19,23,8,231,7,12,11,8,16,13,4,16,46,140,202,750,490,651,727,585,329,510,94,4350
LGA41750,0,0,0,0,3,0,0,0,0,5,0,7,0,0,0,0,0,3,3,11,23,44,42,50,31,77,29,142,6,446
LGA41830,0,0,0,0,0,7,0,3,0,17,0,3,0,0,3,0,0,0,9,18,33,83,39,68,76,76,58,237,24,686
LGA41960,0,0,0,0,3,0,0,4,0,8,0,0,0,0,3,0,0,3,6,17,25,58,39,55,50,55,21,107,13,424
LGA42030,10,50,41,39,71,63,27,37,0,338,8,24,9,12,29,17,10,23,54,188,233,1151,860,1169,1179,802,498,695,114,6699
LGA42110,0,3,6,3,4,3,4,10,0,38,3,3,0,5,3,3,3,6,21,54,41,164,140,173,144,174,129,323,38,1333
LGA42250,4,10,3,9,9,5,6,4,0,44,5,14,9,12,9,12,3,5,12,80,108,300,211,289,375,385,244,546,40,2507
LGA42600,25,104,73,101,141,97,60,90,4,704,14,57,45,40,51,60,17,32,76,384,418,2388,1663,2042,2035,1491,886,1254,175,12350
LGA42750,3,3,6,11,9,10,4,7,0,54,0,7,4,8,4,10,3,6,6,57,104,296,274,320,279,240,133,361,34,2049
LGA43080,0,0,0,0,3,3,0,3,0,9,0,0,0,0,0,3,0,7,3,13,4,39,39,73,50,82,40,161,13,497
LGA43220,0,0,0,3,6,6,4,0,0,18,3,3,0,0,3,0,6,3,3,20,30,71,51,52,52,81,50,147,13,549
LGA43360,0,10,5,6,7,3,0,6,0,36,4,3,3,3,3,0,0,3,11,28,65,133,99,111,91,115,83,165,30,897
LGA43650,5,23,10,23,21,19,14,21,0,140,6,19,17,8,36,21,17,21,32,179,188,552,488,561,764,850,617,902,87,5010
LGA43710,0,12,3,9,12,16,6,8,0,57,0,9,4,4,9,6,4,10,16,53,66,201,168,183,218,244,148,336,30,1591
LGA43790,7,32,15,21,18,35,15,23,0,171,7,16,14,20,21,13,6,18,43,162,165,518,447,605,722,758,372,769,95,4455
LGA43920,3,11,7,4,9,8,9,10,0,61,0,9,10,17,24,16,6,11,20,115,51,249,199,251,366,276,148,371,55,1966
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
