LGA_CODE_2016,NG_NNI_Mng,NG_NNI_Pro,NG_NNI_TecTW,NG_NNI_CoPSW,NG_NNI_ClAW,NG_NNI_SWks,NG_NNI_MaOpDv,NG_NNI_Lab,NG_NNI_IDNS,NG_NNI_Tot,NG_1_149_Mng,NG_1_149_Pro,NG_1_149_TecTW,NG_1_149_CoPSW,NG_1_149_ClAW,NG_1_149_SWks,NG_1_149_MaOpDv,NG_1_149_Lab,NG_1_149_IDNS,NG_1_149_Tot,NG_150_299_Mng,NG_150_299_Pro,NG_150_299_TecTW,NG_150_299_CoPSW,NG_150_299_ClAW,NG_150_299_SWks,NG_150_299_MaOpDv,NG_150_299_Lab,NG_150_299_IDNS,NG_150_299_Tot,NG_300_399_Mng,NG_300_399_Pro,NG_300_399_TecTW,NG_300_399_CoPSW,NG_300_399_ClAW,NG_300_399_SWks,NG_300_399_MaOpDv,NG_300_399_Lab,NG_300_399_IDNS,NG_300_399_Tot,NG_400_499_Mng,NG_400_499_Pro,NG_400_499_TecTW,NG_400_499_CoPSW,NG_400_499_ClAW,NG_400_499_SWks,NG_400_499_MaOpDv,NG_400_499_Lab,NG_400_499_IDNS,NG_400_499_Tot,NG_500_649_Mng,NG_500_649_Pro,NG_500_649_TecTW,NG_500_649_CoPSW,NG_500_649_ClAW,NG_500_649_SWks,NG_500_649_MaOpDv,NG_500_649_Lab,NG_500_649_IDNS,NG_500_649_Tot,NG_650_799_Mng,NG_650_799_Pro,NG_650_799_TecTW,NG_650_799_CoPSW,NG_650_799_ClAW,NG_650_799_SWks,NG_650_799_MaOpDv,NG_650_799_Lab,NG_650_799_IDNS,NG_650_799_Tot,NG_800_999_Mng,NG_800_999_Pro,NG_800_999_TecTW,NG_800_999_CoPSW,NG_800_999_ClAW,NG_800_999_SWks,NG_800_999_MaOpDv,NG_800_999_Lab,NG_800_999_IDNS,NG_800_999_Tot,NG_1000_1249_Mng,NG_1000_1249_Pro,NG_1000_1249_TecTW,NG_1000_1249_CoPSW,NG_1000_1249_ClAW,NG_1000_1249_SWks,NG_1000_1249_MaOpDv,NG_1000_1249_Lab,NG_1000_1249_IDNS,NG_1000_1249_Tot,NG_1250_1499_Mng,NG_1250_1499_Pro,NG_1250_1499_TecTW,NG_1250_1499_CoPSW,NG_1250_1499_ClAW,NG_1250_1499_SWks,NG_1250_1499_MaOpDv,NG_1250_1499_Lab,NG_1250_1499_IDNS,NG_1250_1499_Tot,NG_1500_1749_Mng,NG_1500_1749_Pro,NG_1500_1749_TecTW,NG_1500_1749_CoPSW,NG_1500_1749_ClAW,NG_1500_1749_SWks,NG_1500_1749_MaOpDv,NG_1500_1749_Lab,NG_1500_1749_IDNS,NG_1500_1749_Tot,NG_1750_1999_Mng,NG_1750_1999_Pro,NG_1750_1999_TecTW,NG_1750_1999_CoPSW,NG_1750_1999_ClAW,NG_1750_1999_SWks,NG_1750_1999_MaOpDv,NG_1750_1999_Lab,NG_1750_1999_IDNS,NG_1750_1999_Tot,NG_2000_2999_Mng,NG_2000_2999_Pro,NG_2000_2999_TecTW,NG_2000_2999_CoPSW,NG_2000_2999_ClAW,NG_2000_2999_SWks,NG_2000_2999_MaOpDv,NG_2000_2999_Lab,NG_2000_2999_IDNS,NG_2000_2999_Tot,NG_3000mo_Mng,NG_3000mo_Pro,NG_3000mo_TecTW,NG_3000mo_CoPSW,NG_3000mo_ClAW,NG_3000mo_SWks,NG_3000mo_MaOpDv,NG_3000mo_Lab,NG_3000mo_IDNS,NG_3000mo_Tot,NG_PINS_Mng,NG_PINS_Pro,NG_PINS_TecTW,NG_PINS_CoPSW,NG_PINS_ClAW,NG_PINS_SWks,NG_PINS_MaOpDv,NG_PINS_Lab,NG_PINS_IDNS,NG_PINS_Tot,NG_Tot_Mng,NG_Tot_Pro,NG_Tot_TecTW,NG_Tot_CoPSW,NG_Tot_ClAW,NG_Tot_SWks,NG_Tot_MaOpDv,NG_Tot_Lab,NG_Tot_IDNS,NG_Tot_Tot,SG_NNI_Mng,SG_NNI_Pro,SG_NNI_TecTW,SG_NNI_CoPSW,SG_NNI_ClAW,SG_NNI_SWks,SG_NNI_MaOpDv,SG_NNI_Lab,SG_NNI_IDNS,SG_NNI_Tot,SG_1_149_Mng,SG_1_149_Pro,SG_1_149_TecTW,SG_1_149_CoPSW,SG_1_149_ClAW,SG_1_149_SWks,SG_1_149_MaOpDv,SG_1_149_Lab,SG_1_149_IDNS,SG_1_149_Tot,SG_150_299_Mng,SG_150_299_Pro,SG_150_299_TecTW,SG_150_299_CoPSW,SG_150_299_ClAW,SG_150_299_SWks,SG_150_299_MaOpDv,SG_150_299_Lab,SG_150_299_IDNS,SG_150_299_Tot,SG_300_399_Mng,SG_300_399_Pro,SG_300_399_TecTW,SG_300_399_CoPSW,SG_300_399_ClAW,SG_300_399_SWks,SG_300_399_MaOpDv,SG_300_399_Lab,SG_300_399_IDNS,SG_300_399_Tot
LGA10050,0,0,0,0,3,0,0,0,0,6,0,0,0,4,4,0,0,0,0,10,0,8,0,0,15,0,0,3,0,26,0,0,0,4,27,0,0,0,0,28,0,6,0,4,57,3,0,3,0,79,0,15,0,0,84,0,0,3,5,108,0,18,0,3,77,5,0,3,0,113,3,24,6,5,111,6,3,5,8,170,9,41,7,13,165,0,3,0,10,252,9,84,4,3,153,0,0,0,10,261,22,69,3,6,59,0,0,0,8,167,20,66,4,3,16,0,0,0,4,109,43,69,3,0,18,0,0,0,3,135,4,12,0,0,0,0,0,0,0,19,0,3,0,0,8,0,0,0,0,14,103,424,37,55,794,18,8,16,40,1493,0,0,0,0,0,0,0,0,0,7,0,6,0,6,0,0,0,4,0,11,0,9,0,7,3,0,0,3,0,22,0,9,0,12,10,0,0,5,0,32
LGA10130,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,24,0,30,0,0,11,0,0,4,0,46,0,23,3,3,6,0,0,0,0,35,0,27,3,0,8,0,0,0,0,40,0,38,0,0,23,0,0,0,0,69,5,27,3,3,19,3,0,4,0,60,8,36,11,5,35,3,0,0,0,95,4,58,27,12,90,0,0,0,0,194,16,68,35,10,79,0,0,0,0,205,26,132,15,4,41,0,0,0,7,231,21,122,5,4,16,0,0,0,0,163,34,231,5,3,5,0,0,0,0,277,30,53,0,0,3,0,0,0,0,87,0,3,0,0,3,0,0,0,0,11,140,859,103,48,345,11,0,13,11,1535,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,0,6,0,0,0,7,0,0,0,5,0,13,0,11,0,8,10,0,0,3,0,33
LGA10250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,5,0,0,6,0,0,0,0,15,0,3,0,0,7,0,0,0,0,16,0,4,0,6,17,0,0,0,0,24,3,3,0,0,18,0,0,0,0,27,3,10,0,4,0,0,0,0,0,13,4,8,0,0,7,0,0,0,0,13,3,4,0,3,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,13,37,3,14,70,6,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,11,0,0,0,3,4,0,0,7,0,16,0,4,0,7,0,0,0,5,0,28
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA10470,0,0,0,0,0,0,0,0,0,5,0,6,0,3,0,0,0,0,0,14,0,10,3,5,6,0,0,0,0,33,0,9,0,3,3,0,0,0,0,12,0,7,0,7,9,0,0,0,0,27,0,17,0,4,14,0,0,4,0,47,0,13,3,3,11,0,0,3,4,41,0,28,9,5,28,0,0,3,0,74,9,43,23,9,56,5,0,0,0,135,15,46,7,5,53,0,0,0,0,122,11,63,7,9,17,0,0,0,0,109,8,61,6,5,7,0,0,0,0,88,25,91,3,0,10,0,0,0,3,131,17,18,0,0,0,0,0,0,0,40,0,3,0,0,7,0,0,0,0,10,85,412,52,62,223,12,7,15,12,886,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,11,0,4,0,12,0,0,0,3,0,18,3,11,0,4,0,0,0,4,0,23
LGA10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,0,0,8,0,3,0,0,3,0,0,0,0,10,0,0,0,0,5,3,0,0,0,6,0,0,0,0,11,3,0,0,0,7,0,4,0,0,10,0,0,0,0,16,0,5,0,0,10,0,0,0,0,22,8,11,0,3,11,0,0,0,0,29,0,3,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,43,4,6,58,6,0,0,7,139,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,0,3,0,7,4,0,0,0,0,14,0,8,0,6,6,0,0,0,0,16
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,5,12,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,5
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,10
LGA10750,0,3,0,0,3,0,0,0,0,8,0,3,0,0,3,0,0,0,0,7,0,4,0,0,4,0,0,0,3,14,0,3,0,0,3,0,0,0,0,8,0,5,0,5,16,5,0,0,0,32,0,10,0,0,24,10,0,0,0,49,0,8,0,0,47,11,9,0,3,78,3,16,4,3,87,8,9,4,0,135,3,23,15,5,115,7,13,10,5,200,12,38,6,10,122,0,0,0,6,186,5,36,3,8,42,0,3,0,4,95,5,13,0,3,15,0,0,0,0,40,22,25,9,4,8,3,0,0,0,66,4,13,0,0,0,0,0,0,0,16,0,4,0,0,7,0,3,0,0,22,54,191,37,52,501,48,48,11,17,962,3,7,0,5,0,0,0,0,0,12,0,9,3,13,12,0,0,3,0,40,0,31,0,46,14,0,0,11,0,108,0,37,0,60,20,0,4,9,0,128
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
