LGA_CODE_2016,SW_1000_1249_Tot,SW_1250_1499_A_15_19,SW_1250_1499_A_20_24,SW_1250_1499_A_25_34,SW_1250_1499_A_35_44,SW_1250_1499_A_45_54,SW_1250_1499_A_55_64,SW_1250_1499_A_65_74,SW_1250_1499_A_75ov,SW_1250_1499_Tot,SW_1500_1749_A_15_19,SW_1500_1749_A_20_24,SW_1500_1749_A_25_34,SW_1500_1749_A_35_44,SW_1500_1749_A_45_54,SW_1500_1749_A_55_64,SW_1500_1749_A_65_74,SW_1500_1749_A_75ov,SW_1500_1749_Tot,SW_1750_1999_A_15_19,SW_1750_1999_A_20_24,SW_1750_1999_A_25_34,SW_1750_1999_A_35_44,SW_1750_1999_A_45_54,SW_1750_1999_A_55_64,SW_1750_1999_A_65_74,SW_1750_1999_A_75ov,SW_1750_1999_Tot,SW_2000_2999_A_15_19,SW_2000_2999_A_20_24,SW_2000_2999_A_25_34,SW_2000_2999_A_35_44,SW_2000_2999_A_45_54,SW_2000_2999_A_55_64,SW_2000_2999_A_65_74,SW_2000_2999_A_75ov,SW_2000_2999_Tot,SW_3000mo_A_15_19,SW_3000mo_A_20_24,SW_3000mo_A_25_34,SW_3000mo_A_35_44,SW_3000mo_A_45_54,SW_3000mo_A_55_64,SW_3000mo_A_65_74,SW_3000mo_A_75ov,SW_3000mo_Tot,SW_PINS_A_15_19,SW_PINS_A_20_24,SW_PINS_A_25_34,SW_PINS_A_35_44,SW_PINS_A_45_54,SW_PINS_A_55_64,SW_PINS_A_65_74,SW_PINS_A_75ov,SW_PINS_Tot,SW_Tot_A_15_19,SW_Tot_A_20_24,SW_Tot_A_25_34,SW_Tot_A_35_44,SW_Tot_A_45_54,SW_Tot_A_55_64,SW_Tot_A_65_74,SW_Tot_A_75ov,SW_Tot_Tot,MaOpD_NNI_A_15_19,MaOpD_NNI_A_20_24,MaOpD_NNI_A_25_34,MaOpD_NNI_A_35_44,MaOpD_NNI_A_45_54,MaOpD_NNI_A_55_64,MaOpD_NNI_A_65_74,MaOpD_NNI_A_75ove,MaOpD_NNI_Tot,MaOpD_1_149_A_15_19,MaOpD_1_149_A_20_24,MaOpD_1_149_A_25_34,MaOpD_1_149_A_35_44,MaOpD_1_149_A_45_54,MaOpD_1_149_A_55_64,MaOpD_1_149_A_65_74,MaOpD_1_149_A_75ov,MaOpD_1_149_Tot,MaOpD_150_299_A_15_19,MaOpD_150_299_A_20_24,MaOpD_150_299_A_25_34,MaOpD_150_299_A_35_44,MaOpD_150_299_A_45_54,MaOpD_150_299_A_55_64,MaOpD_150_299_A_65_74,MaOpD_150_299_A_75ov,MaOpD_150_299_Tot,MaOpD_300_399_A_15_19,MaOpD_300_399_A_20_24,MaOpD_300_399_A_25_34,MaOpD_300_399_A_35_44,MaOpD_300_399_A_45_54,MaOpD_300_399_A_55_64,MaOpD_300_399_A_65_74,MaOpD_300_399_A_75ov,MaOpD_300_399_Tot,MaOpD_400_499_A_15_19,MaOpD_400_499_A_20_24,MaOpD_400_499_A_25_34,MaOpD_400_499_A_35_44,MaOpD_400_499_A_45_54,MaOpD_400_499_A_55_64,MaOpD_400_499_A_65_74,MaOpD_400_499_A_75ov,MaOpD_400_499_Tot,MaOpD_500_649_A_15_19,MaOpD_500_649_A_20_24,MaOpD_500_649_A_25_34,MaOpD_500_649_A_35_44,MaOpD_500_649_A_45_54,MaOpD_500_649_A_55_64,MaOpD_500_649_A_65_74,MaOpD_500_649_A_75ov,MaOpD_500_649_Tot,MaOpD_650_799_A_15_19,MaOpD_650_799_A_20_24,MaOpD_650_799_A_25_34,MaOpD_650_799_A_35_44,MaOpD_650_799_A_45_54,MaOpD_650_799_A_55_64,MaOpD_650_799_A_65_74,MaOpD_650_799_A_75ov,MaOpD_650_799_Tot,MaOpD_800_999_A_15_19,MaOpD_800_999_A_20_24,MaOpD_800_999_A_25_34,MaOpD_800_999_A_35_44,MaOpD_800_999_A_45_54,MaOpD_800_999_A_55_64,MaOpD_800_999_A_65_74,MaOpD_800_999_A_75ov,MaOpD_800_999_Tot,MaOpD_1000_1249_A_15_19,MaOpD_1000_1249_A_20_24,MaOpD_1000_1249_A_25_34,MaOpD_1000_1249_A_35_44,MaOpD_1000_1249_A_45_54,MaOpD_1000_1249_A_55_64,MaOpD_1000_1249_A_65_74,MaOpD_1000_1249_A_75ov,MaOpD_1000_1249_Tot,MaOpD_1250_1499_A_15_19,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000mo_A_15_19,MaOpD_3000mo_A_20_24,MaOpD_3000mo_A_25_34,MaOpD_3000mo_A_35_44,MaOpD_3000mo_A_45_54,MaOpD_3000mo_A_55_64,MaOpD_3000mo_A_65_74,MaOpD_3000mo_A_75ov,MaOpD_3000mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19
LGA10050,210,0,0,25,28,36,25,7,0,126,0,0,13,15,16,20,3,0,69,0,0,9,15,15,3,0,0,43,0,0,11,5,28,9,0,0,50,0,3,3,5,3,13,0,0,26,12,11,11,7,12,5,5,0,57,730,473,562,399,474,365,81,3,3089,0,0,0,0,3,0,0,0,8,13,3,0,0,0,3,3,0,25,7,3,3,0,8,4,0,0,27,0,9,8,7,3,10,10,3,47,6,12,9,10,7,10,6,0,66,3,12,19,6,22,29,14,0,101,0,27,42,42,59,43,13,0,230,0,7,56,67,89,69,14,0,309,0,10,43,71,64,59,9,0,260,0,4,28,32,47,36,14,0,157,0,0,8,22,23,25,0,0,82,0,0,8,15,15,22,3,0,67,0,0,3,7,11,13,0,0,37,0,0,0,0,4,3,0,0,8,0,0,4,4,7,4,0,0,22,25
LGA10130,58,0,0,6,4,12,0,3,0,29,0,0,4,3,12,3,0,0,28,0,0,3,3,8,3,0,0,13,0,0,0,0,4,3,3,0,19,0,0,0,7,3,0,0,0,15,8,0,4,0,0,0,3,0,21,349,261,212,150,197,133,33,5,1337,0,0,0,0,0,3,0,0,3,3,0,0,0,0,3,0,0,3,9,4,0,0,0,0,0,0,14,10,4,3,3,3,4,5,0,30,0,0,3,0,9,6,4,0,25,0,9,3,3,8,7,5,0,36,0,14,23,11,25,22,5,0,94,0,15,11,18,28,22,4,0,99,0,0,17,18,25,33,7,0,97,0,3,3,6,6,8,0,0,27,0,0,3,3,3,3,0,0,10,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,13,0,0,0,0,0,3,0,0,3,0,3,0,0,0,4,0,0,10,19
LGA10250,97,0,4,3,15,13,8,3,0,47,0,0,3,9,12,10,6,0,41,0,0,0,4,8,3,3,0,20,0,0,0,13,7,5,3,0,25,0,0,0,3,3,8,5,0,26,10,3,4,0,8,0,0,0,25,412,212,224,212,304,251,69,9,1690,0,0,0,4,0,3,0,0,6,6,0,0,0,0,4,0,0,13,0,0,3,3,3,3,4,0,19,3,0,4,4,8,4,3,0,24,0,7,5,8,3,14,10,0,44,0,9,16,9,14,24,13,0,79,0,7,27,26,28,26,9,0,119,0,14,23,23,34,51,9,0,150,0,11,18,21,38,30,7,0,131,0,0,16,19,11,17,0,0,60,0,0,8,3,8,11,0,0,37,0,0,4,3,4,4,4,0,16,0,0,0,3,0,3,4,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,8,16
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,5,6,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,3,0,0,9,0,0,0,0,4,8,0,0,15,0,0,3,5,3,4,0,0,21,0,0,0,0,3,0,0,0,6,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA10470,115,0,3,15,15,9,11,0,0,54,0,3,4,7,12,5,3,0,34,0,0,4,10,4,3,3,0,20,0,0,10,9,6,3,0,0,29,0,0,6,3,4,0,3,0,16,13,4,3,0,3,3,0,0,31,417,358,359,243,230,186,53,15,1871,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,4,7,3,0,0,3,6,0,0,14,0,9,3,5,4,4,3,0,28,0,3,4,3,6,6,15,0,39,0,0,10,9,20,19,5,0,71,0,15,19,20,29,33,5,0,125,0,7,38,45,52,52,3,3,204,0,10,25,31,46,42,3,0,158,0,3,14,29,26,22,3,0,98,0,3,9,22,23,17,0,0,69,0,0,3,17,12,3,0,0,35,0,0,5,10,7,0,0,0,29,0,0,0,0,6,0,0,0,8,0,0,0,3,6,7,0,0,22,24
LGA10550,73,0,0,7,9,15,16,3,0,50,0,0,6,0,6,10,4,0,22,0,0,0,4,4,0,0,0,11,0,0,0,6,3,0,0,0,15,0,0,0,3,0,4,0,0,8,4,3,9,0,6,5,0,0,23,279,104,163,182,300,261,72,6,1375,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,0,0,0,3,4,0,0,0,8,0,3,0,7,0,5,3,0,22,0,3,0,8,3,13,3,0,28,3,0,5,3,19,22,7,0,63,0,8,11,22,15,29,11,0,105,0,10,20,20,38,38,3,0,132,0,6,17,24,50,36,4,0,125,0,0,10,29,24,21,0,0,89,0,3,5,5,11,13,0,0,41,0,0,4,0,7,5,0,0,17,0,0,0,4,3,3,3,0,15,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,6,11
LGA10600,16,0,0,3,3,3,0,0,0,11,0,0,0,3,0,0,0,0,9,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,46,22,36,55,69,55,14,0,297,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,0,3,0,3,3,3,0,14,0,0,0,0,5,0,0,0,6,0,0,3,3,3,9,3,0,24,0,0,9,6,8,14,0,0,36,0,0,11,0,21,19,3,0,53,0,0,5,8,21,9,6,0,53,0,0,7,3,9,7,0,0,18,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5
LGA10650,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,6,33,11,23,25,32,50,10,4,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,6,0,3,0,3,4,6,9,3,25,0,3,0,6,6,12,5,0,29,0,4,12,0,8,8,3,0,38,0,0,0,8,11,14,4,0,49,0,0,3,7,11,12,4,0,27,0,0,6,4,0,8,0,0,23,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5
LGA10750,864,0,19,122,155,120,91,14,0,524,0,7,98,137,122,59,19,0,440,0,10,63,67,69,43,3,0,259,0,3,57,114,109,48,15,0,340,7,3,23,49,44,16,10,0,156,42,27,23,18,26,21,9,0,165,2440,1757,1900,1728,1638,1076,247,14,10802,0,12,13,13,15,9,3,0,58,18,22,11,18,8,10,6,0,101,27,38,36,25,34,39,11,0,215,22,60,70,48,55,54,15,3,332,22,73,114,102,81,68,21,5,476,48,157,214,201,198,137,30,4,986,48,302,596,527,522,347,54,3,2403,39,333,902,867,860,553,84,3,3651,12,152,813,825,829,557,95,0,3291,4,83,446,479,510,283,65,0,1862,0,28,260,337,357,233,18,0,1235,0,5,124,214,188,130,12,0,668,3,9,91,149,180,107,13,0,546,0,3,15,37,35,9,3,0,106,3,14,41,59,55,49,6,0,232,263
LGA10800,11,0,0,0,0,0,4,0,0,4,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,23,26,14,28,29,4,0,152,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,13,0,0,0,0,3,4,0,0,11,0,0,0,3,3,7,0,0,20,0,0,0,3,3,4,0,0,16,0,0,4,6,4,8,3,0,34,0,7,13,10,8,9,0,0,47,0,3,5,11,16,9,3,0,47,0,3,16,16,8,18,0,0,58,0,0,14,8,6,3,0,0,31,0,0,14,12,12,3,0,0,38,0,0,0,3,0,4,0,0,10,0,0,3,0,0,0,0,0,6,3
