LGA_CODE_2016,SG_400_499_Mng,SG_400_499_Pro,SG_400_499_TecTW,SG_400_499_CoPSW,SG_400_499_ClAW,SG_400_499_SWks,SG_400_499_MaOpDv,SG_400_499_Lab,SG_400_499_IDNS,SG_400_499_Tot,SG_500_649_Mng,SG_500_649_Pro,SG_500_649_TecTW,SG_500_649_CoPSW,SG_500_649_ClAW,SG_500_649_SWks,SG_500_649_MaOpDv,SG_500_649_Lab,SG_500_649_IDNS,SG_500_649_Tot,SG_650_799_Mng,SG_650_799_Pro,SG_650_799_TecTW,SG_650_799_CoPSW,SG_650_799_ClAW,SG_650_799_SWks,SG_650_799_MaOpDv,SG_650_799_Lab,SG_650_799_IDNS,SG_650_799_Tot,SG_800_999_Mng,SG_800_999_Pro,SG_800_999_TecTW,SG_800_999_CoPSW,SG_800_999_ClAW,SG_800_999_SWks,SG_800_999_MaOpDv,SG_800_999_Lab,SG_800_999_IDNS,SG_800_999_Tot,SG_1000_1249_Mng,SG_1000_1249_Pro,SG_1000_1249_TecTW,SG_1000_1249_CoPSW,SG_1000_1249_ClAW,SG_1000_1249_SWks,SG_1000_1249_MaOpDv,SG_1000_1249_Lab,SG_1000_1249_IDNS,SG_1000_1249_Tot,SG_1250_1499_Mng,SG_1250_1499_Pro,SG_1250_1499_TecTW,SG_1250_1499_CoPSW,SG_1250_1499_ClAW,SG_1250_1499_SWks,SG_1250_1499_MaOpDv,SG_1250_1499_Lab,SG_1250_1499_IDNS,SG_1250_1499_Tot,SG_1500_1749_Mng,SG_1500_1749_Pro,SG_1500_1749_TecTW,SG_1500_1749_CoPSW,SG_1500_1749_ClAW,SG_1500_1749_SWks,SG_1500_1749_MaOpDv,SG_1500_1749_Lab,SG_1500_1749_IDNS,SG_1500_1749_Tot,SG_1750_1999_Mng,SG_1750_1999_Pro,SG_1750_1999_TecTW,SG_1750_1999_CoPSW,SG_1750_1999_ClAW,SG_1750_1999_SWks,SG_1750_1999_MaOpDv,SG_1750_1999_Lab,SG_1750_1999_IDNS,SG_1750_1999_Tot,SG_2000_2999_Mng,SG_2000_2999_Pro,SG_2000_2999_TecTW,SG_2000_2999_CoPSW,SG_2000_2999_ClAW,SG_2000_2999_SWks,SG_2000_2999_MaOpDv,SG_2000_2999_Lab,SG_2000_2999_IDNS,SG_2000_2999_Tot,SG_3000mo_Mng,SG_3000mo_Pro,SG_3000mo_TecTW,SG_3000mo_CoPSW,SG_3000mo_ClAW,SG_3000mo_SWks,SG_3000mo_MaOpDv,SG_3000mo_Lab,SG_3000mo_IDNS,SG_3000mo_Tot,SG_PINS_Mng,SG_PINS_Pro,SG_PINS_TecTW,SG_PINS_CoPSW,SG_PINS_ClAW,SG_PINS_SWks,SG_PINS_MaOpDv,SG_PINS_Lab,SG_PINS_IDNS,SG_PINS_Tot,SG_Tot_Mng,SG_Tot_Pro,SG_Tot_TecTW,SG_Tot_CoPSW,SG_Tot_ClAW,SG_Tot_SWks,SG_Tot_MaOpDv,SG_Tot_Lab,SG_Tot_IDNS,SG_Tot_Tot,LG_NNI_Mng,LG_NNI_Pro,LG_NNI_TecTW,LG_NNI_CoPSW,LG_NNI_ClAW,LG_NNI_SWks,LG_NNI_MaOpDv,LG_NNI_Lab,LG_NNI_IDNS,LG_NNI_Tot,LG_1_149_Mng,LG_1_149_Pro,LG_1_149_TecTW,LG_1_149_CoPSW,LG_1_149_ClAW,LG_1_149_SWks,LG_1_149_MaOpDv,LG_1_149_Lab,LG_1_149_IDNS,LG_1_149_Tot,LG_150_299_Mng,LG_150_299_Pro,LG_150_299_TecTW,LG_150_299_CoPSW,LG_150_299_ClAW,LG_150_299_SWks,LG_150_299_MaOpDv,LG_150_299_Lab,LG_150_299_IDNS,LG_150_299_Tot,LG_300_399_Mng,LG_300_399_Pro,LG_300_399_TecTW,LG_300_399_CoPSW,LG_300_399_ClAW,LG_300_399_SWks,LG_300_399_MaOpDv,LG_300_399_Lab,LG_300_399_IDNS,LG_300_399_Tot,LG_400_499_Mng,LG_400_499_Pro,LG_400_499_TecTW,LG_400_499_CoPSW,LG_400_499_ClAW,LG_400_499_SWks,LG_400_499_MaOpDv,LG_400_499_Lab,LG_400_499_IDNS,LG_400_499_Tot,LG_500_649_Mng,LG_500_649_Pro,LG_500_649_TecTW,LG_500_649_CoPSW,LG_500_649_ClAW,LG_500_649_SWks,LG_500_649_MaOpDv,LG_500_649_Lab,LG_500_649_IDNS,LG_500_649_Tot,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot
LGA10050,0,17,3,19,6,0,3,11,0,58,3,38,7,32,25,0,0,10,0,119,3,60,18,44,41,4,3,10,0,180,3,98,8,56,54,0,7,12,3,249,7,185,11,51,71,3,8,11,0,341,7,211,11,38,40,4,4,4,0,316,18,232,3,41,24,0,0,3,3,326,20,190,4,57,11,3,0,0,4,297,78,136,0,77,11,0,4,0,0,312,15,33,0,4,0,0,0,0,0,49,0,17,0,3,3,0,0,0,0,22,158,1236,76,440,302,15,25,77,16,2344,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,8,0,0,0,0,3,0,0,3,0,8,0,3,3,10,10,0,0,0,0,21,0,6,10,0,7,0,4,5,0,43,3,5,34,5,15,0,10,8,4,90
LGA10130,0,15,0,11,10,0,0,11,0,47,0,14,4,18,11,0,0,9,0,55,0,30,3,21,24,0,0,8,0,90,0,59,9,27,20,0,7,13,0,141,3,94,7,40,39,0,6,6,3,193,4,100,3,30,26,0,0,7,3,170,13,117,8,32,12,0,0,0,3,183,14,127,5,23,3,0,0,0,0,174,44,105,0,37,4,0,0,0,0,193,7,19,0,0,0,0,0,0,0,27,0,6,0,5,3,0,0,0,0,10,87,712,44,252,157,4,13,64,7,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,3,0,0,0,0,0,7,0,0,0,3,3,0,3,0,0,12,0,0,3,4,9,0,8,9,0,30,3,4,3,3,8,0,17,6,3,40
LGA10250,0,14,3,9,4,0,0,8,0,40,0,26,4,25,11,0,0,7,0,74,3,55,0,42,25,0,0,12,3,139,0,88,5,38,28,0,0,14,3,175,4,86,6,29,28,0,3,3,0,165,3,79,6,11,20,0,3,3,0,129,9,111,3,25,9,0,0,0,0,159,7,138,7,30,11,0,0,0,0,185,53,84,4,24,10,0,0,4,3,182,13,11,0,0,0,0,0,0,0,18,0,7,0,0,0,0,0,0,0,11,91,711,46,254,151,7,8,60,12,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,3,0,14,0,3,4,0,12,0,0,0,0,24,4,0,4,0,12,0,4,9,0,37,0,4,8,0,12,0,19,16,0,54
LGA10300,0,0,0,0,4,0,0,0,0,4,0,0,0,4,3,0,0,0,0,4,0,3,0,3,3,0,0,0,0,9,0,4,0,0,3,0,0,0,0,8,0,3,0,3,0,0,0,3,0,13,0,15,0,4,0,0,0,0,0,17,0,4,0,6,0,0,0,0,0,6,0,4,0,3,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,19,11,0,0,7,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,4,0,11
LGA10470,0,13,0,24,6,0,0,3,0,42,0,24,3,27,13,0,3,8,0,73,0,44,3,47,17,0,5,9,0,124,0,57,6,68,38,0,0,12,3,194,4,112,5,58,75,0,3,13,0,268,3,137,12,65,62,3,0,3,3,283,12,149,16,118,30,4,0,0,3,331,24,177,11,93,14,0,0,0,0,321,76,125,6,81,13,3,0,0,0,303,21,23,0,3,3,0,0,0,0,52,0,3,0,5,5,0,0,0,0,11,141,867,61,609,282,5,13,66,17,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,6,0,3,0,3,4,0,0,3,0,17,4,5,4,3,5,0,5,8,0,30,3,15,12,4,15,0,27,10,0,90
LGA10550,0,5,0,10,5,0,0,0,0,21,0,29,0,17,10,0,3,3,0,70,3,34,3,28,11,0,0,6,3,93,0,52,4,28,29,0,3,18,0,136,3,73,0,24,25,0,3,8,4,142,3,78,3,11,11,0,5,0,0,114,0,87,8,6,4,0,3,5,0,110,3,95,5,27,0,0,0,0,0,141,30,51,8,31,0,0,0,0,0,119,3,12,0,3,0,0,0,0,0,16,0,9,0,3,0,0,0,0,0,7,55,527,34,198,110,5,24,45,7,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,0,8,4,0,0,3,0,21,0,5,3,3,6,0,3,3,0,26,0,5,6,4,20,0,13,3,0,56
LGA10600,0,12,0,6,7,0,0,0,0,23,0,5,0,9,4,0,0,3,0,15,0,10,0,9,9,0,0,6,0,35,0,16,0,10,9,0,0,4,0,50,0,28,0,10,6,0,0,0,0,41,3,43,0,0,4,0,0,0,0,47,0,36,0,0,0,0,0,0,0,42,0,38,0,7,0,0,0,0,0,46,12,18,0,7,0,0,0,0,0,39,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,19,213,3,70,36,0,0,26,3,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,3,0,3,3,0,0,0,11,7,0,31
LGA10650,0,0,0,3,0,0,0,0,0,9,0,3,0,10,0,0,0,0,0,14,0,11,0,8,0,0,0,0,0,22,0,6,0,10,7,0,0,4,0,23,0,15,0,6,3,0,0,0,0,29,0,19,0,0,0,0,0,0,0,23,0,19,0,3,0,0,0,0,0,21,0,19,0,7,0,0,0,0,0,26,8,11,0,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,10,109,0,63,15,0,3,10,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,0,3,0,3,0,3,5,0,22
LGA10750,0,44,11,64,31,0,3,12,4,172,3,114,7,112,67,3,3,26,0,342,3,214,15,187,145,0,12,44,3,616,15,368,34,240,246,7,27,80,7,1026,31,774,34,305,274,14,30,53,14,1526,30,902,35,222,140,13,32,28,8,1421,36,928,36,230,79,7,16,25,4,1361,94,1032,46,213,60,0,25,20,7,1492,306,646,69,217,69,9,22,16,9,1366,87,155,13,17,3,0,0,0,0,273,11,46,3,11,14,0,0,3,3,87,619,5298,310,1951,1160,63,165,344,67,9973,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,8,0,0,0,12,3,0,0,0,0,26,0,0,0,16,10,3,0,0,0,32,0,3,3,27,13,0,3,3,0,54,5,7,24,40,25,0,0,8,0,113,0,8,32,29,24,0,18,20,0,131,0,24,36,35,54,0,42,48,7,249
LGA10800,0,3,0,3,0,0,0,0,0,7,0,9,0,4,3,0,0,3,0,23,0,5,0,3,4,0,0,5,0,19,0,11,0,5,3,0,0,0,0,24,0,13,0,0,3,0,0,0,0,20,0,13,0,3,0,0,3,0,0,20,0,12,0,4,0,0,0,0,0,17,3,14,0,0,0,0,0,0,0,15,8,10,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,93,0,33,17,0,3,12,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,0,4,0,3,0,0,3,0,5,0,9,5,0,21
