LGA_CODE_2016,EAFW_18_TechFEI_NS,EAFW_18_TechFEI_Tot,EAFW_18_UniOTIs_FT,EAFW_18_UniOTIs_PT,EAFW_18_UniOTIs_NS,EAFW_18_UniOTIs_Tot,EAFW_18_Other,EAFW_18_NS,EAFW_18_Tot,EAFW_19_TechFEI_FT,EAFW_19_TechFEI_PT,EAFW_19_TechFEI_NS,EAFW_19_TechFEI_Tot,EAFW_19_UniOTIs_FT,EAFW_19_UniOTIs_PT,EAFW_19_UniOTIs_NS,EAFW_19_UniOTIs_Tot,EAFW_19_Other,EAFW_19_NS,EAFW_19_Tot,EAFW_20_24_TechFEI_FT,EAFW_20_24_TechFEI_PT,EAFW_20_24_TechFEI_NS,EAFW_20_24_TechFEI_Tot,EAFW_20_24_UniOTIs_FT,EAFW_20_24_UniOTIs_PT,EAFW_20_24_UniOTIs_NS,EAFW_20_24_UniOTIs_Tot,EAFW_20_24_Other,EAFW_20_24_NS,EAFW_20_24_Tot,EAFW_25_29_TechFEI_FT,EAFW_25_29_TechFEI_PT,EAFW_25_29_TechFEI_NS,EAFW_25_29_TechFEI_Tot,EAFW_25_29_UniOTIs_FT,EAFW_25_29_UniOTIs_PT,EAFW_25_29_UniOTIs_NS,EAFW_25_29_UniOTIs_Tot,EAFW_25_29_Other,EAFW_25_29_NS,EAFW_25_29_Tot,EAFW_30over_TechFEI_FT,EAFW_30over_TechFEI_PT,EAFW_30over_TechFEI_NS,EAFW_30over_TechFEI_Tot,EAFW_30over_UniOTIs_FT,EAFW_30over_UniOTIs_PT,EAFW_30over_UniOTIs_NS,EAFW_30over_UniOTIs_Tot,EAFW_30over_Other,EAFW_30over_NS,EAFW_30over_Tot,EAFW_Tot_TechFEI_FT,EAFW_Tot_TechFEI_PT,EAFW_Tot_TechFEI_NS,EAFW_Tot_TechFEI_Tot,EAFW_Tot_UniOTIs_FT,EAFW_Tot_UniOTIs_PT,EAFW_Tot_UniOTIs_NS,EAFW_Tot_UniOTIs_Tot,EAFW_Tot_Other,EAFW_Tot_NS,EAFW_Tot_Tot,Tot_16_TechFEI_FT,Tot_16_TechFEI_PT,Tot_16_TechFEI_NS,Tot_16_TechFEI_Tot,Tot_16_UniOTIs_FT,Tot_16_UniOTIs_PT,Tot_16_UniOTIs_NS,Tot_16_UniOTIs_Tot,Tot_16_Other,Tot_16_NS,Tot_16_Tot,Tot_17_TechFEI_FT,Tot_17_TechFEI_PT,Tot_17_TechFEI_NS,Tot_17_TechFEI_Tot,Tot_17_UniOTIs_FT,Tot_17_UniOTIs_PT,Tot_17_UniOTIs_NS,Tot_17_UniOTIs_Tot,Tot_17_Other,Tot_17_NS,Tot_17_Tot,Tot_18_TechFEI_FT,Tot_18_TechFEI_PT,Tot_18_TechFEI_NS,Tot_18_TechFEI_Tot,Tot_18_UniOTIs_FT,Tot_18_UniOTIs_PT,Tot_18_UniOTIs_NS,Tot_18_UniOTIs_Tot,Tot_18_Other,Tot_18_NS,Tot_18_Tot,Tot_19_TechFEI_FT,Tot_19_TechFEI_PT,Tot_19_TechFEI_NS,Tot_19_TechFEI_Tot,Tot_19_UniOTIs_FT,Tot_19_UniOTIs_PT,Tot_19_UniOTIs_NS,Tot_19_UniOTIs_Tot,Tot_19_Other,Tot_19_NS,Tot_19_Tot,Tot_20_24_TechFEI_FT,Tot_20_24_TechFEI_PT,Tot_20_24_TechFEI_NS,Tot_20_24_TechFEI_Tot,Tot_20_24_UniOTIs_FT,Tot_20_24_UniOTIs_PT,Tot_20_24_UniOTIs_NS,Tot_20_24_UniOTIs_Tot,Tot_20_24_Other,Tot_20_24_NS,Tot_20_24_Tot,Tot_25_29_TechFEI_FT,Tot_25_29_TechFEI_PT,Tot_25_29_TechFEI_NS,Tot_25_29_TechFEI_Tot,Tot_25_29_UniOTIs_FT,Tot_25_29_UniOTIs_PT,Tot_25_29_UniOTIs_NS,Tot_25_29_UniOTIs_Tot,Tot_25_29_Other,Tot_25_29_NS,Tot_25_29_Tot,Tot_30over_TechFEI_FT,Tot_30over_TechFEI_PT,Tot_30over_TechFEI_NS,Tot_30over_TechFEI_Tot,Tot_30over_UniOTIs_FT,Tot_30over_UniOTIs_PT,Tot_30over_UniOTIs_NS,Tot_30over_UniOTIs_Tot,Tot_30over_Other,Tot_30over_NS,Tot_30over_Tot,Tot_Tot_TechFEI_FT,Tot_Tot_TechFEI_PT,Tot_Tot_TechFEI_NS,Tot_Tot_TechFEI_Tot,Tot_Tot_UniOTIs_FT,Tot_Tot_UniOTIs_PT,Tot_Tot_UniOTIs_NS,Tot_Tot_UniOTIs_Tot,Tot_Tot_Other,Tot_Tot_NS,Tot_Tot_Tot
LGA10050,0,0,7,0,0,7,12,0,19,0,0,0,0,19,0,0,19,3,0,26,0,3,0,3,43,3,0,41,3,0,52,0,3,0,5,9,10,0,17,0,3,19,0,11,0,11,8,29,0,33,7,27,78,0,25,0,28,72,34,0,111,60,33,234,0,4,0,4,0,0,0,0,247,4,257,5,21,0,31,0,0,0,0,286,8,324,17,50,0,72,40,4,0,44,153,3,267,12,50,0,59,78,9,0,90,19,4,176,52,173,0,220,371,97,0,470,29,14,733,32,81,0,109,83,131,0,212,29,17,370,44,260,0,307,111,369,0,484,113,164,1066,163,642,0,805,683,620,3,1300,879,207,3192
LGA10130,0,0,9,0,0,9,3,0,18,0,0,0,0,20,0,0,23,0,0,23,0,4,0,5,57,6,0,66,0,0,74,0,0,0,0,14,6,0,14,0,0,24,3,12,0,10,6,16,0,22,0,10,45,3,20,0,22,111,31,0,145,35,9,207,5,4,0,10,0,0,0,0,114,0,124,3,10,0,14,3,0,0,3,121,0,140,3,13,0,21,72,3,0,71,51,0,144,7,16,0,19,109,9,0,118,3,0,148,27,65,0,91,357,140,0,505,13,11,615,16,40,0,55,100,76,3,180,7,8,252,12,142,3,159,138,322,5,462,51,86,758,73,298,0,374,781,554,7,1341,354,110,2182
LGA10250,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,10,0,0,21,0,0,0,0,0,0,0,0,0,3,3,4,9,0,12,6,4,0,12,3,9,40,8,15,0,22,18,6,0,29,41,11,98,7,9,0,15,0,0,0,0,164,0,176,3,19,0,20,0,0,0,0,159,8,191,3,25,0,30,13,0,0,17,96,5,138,0,26,0,33,35,3,0,40,3,5,75,21,71,3,93,139,60,0,200,7,12,305,12,32,0,37,38,47,0,86,11,11,151,30,197,0,226,65,236,6,305,74,122,724,71,376,4,451,287,350,9,646,507,159,1761
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,4,0,3,0,3,6,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,3,0,4,12,0,3,0,3,0,0,0,0,0,0,6,0,8,0,8,0,7,0,7,3,14,35,0,18,0,22,0,11,0,10,10,20,56
LGA10470,0,3,14,0,0,14,8,0,19,0,3,0,3,15,0,0,15,0,0,17,5,4,0,7,57,5,0,58,0,0,69,0,7,0,3,9,0,0,12,0,0,21,0,13,0,16,8,17,0,19,3,16,50,9,25,0,39,96,24,0,118,28,19,206,0,5,0,3,0,0,0,0,140,6,143,8,18,0,21,0,0,0,0,147,6,175,12,38,0,50,68,3,0,70,56,0,169,7,47,0,56,119,6,0,130,5,0,186,31,97,3,136,470,114,0,584,8,8,739,18,70,0,82,67,91,0,158,24,12,279,33,226,0,260,63,364,0,436,71,145,913,103,502,4,607,791,583,4,1377,449,180,2621
LGA10550,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,3,0,3,9,0,0,0,0,3,7,0,9,0,3,13,0,6,0,5,0,12,0,7,7,6,28,3,5,0,12,8,17,0,24,35,17,85,0,3,0,9,0,0,0,0,115,3,125,3,11,0,14,0,0,0,0,129,4,156,3,14,0,21,5,0,0,5,57,0,83,7,21,0,29,9,0,0,11,5,3,48,10,57,0,63,29,26,0,54,7,12,137,7,39,0,39,10,32,0,43,7,10,102,9,88,3,100,33,155,0,190,48,154,482,37,233,3,271,92,214,0,300,376,184,1129
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,7,0,0,10,10,6,22,0,0,0,0,0,0,0,0,38,0,38,0,0,0,0,0,0,0,0,31,0,39,0,9,0,9,0,0,0,0,18,0,28,3,9,0,6,3,0,0,3,0,0,13,4,4,0,6,13,7,0,15,0,3,28,0,6,0,3,4,11,0,14,0,6,22,9,35,0,49,16,65,0,72,18,45,181,13,61,0,76,35,77,0,112,105,56,353
LGA10650,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,3,0,5,3,0,0,7,5,4,20,0,3,0,3,0,0,0,0,14,0,11,0,3,0,3,0,0,0,0,20,3,26,0,4,0,4,0,0,0,0,9,0,13,0,11,0,9,3,0,0,6,0,0,19,0,12,0,14,6,8,0,11,3,0,30,0,6,0,6,3,10,0,12,0,3,19,7,27,0,29,3,29,0,32,9,32,103,9,61,0,67,20,39,0,62,53,41,222
LGA10750,0,16,28,0,0,28,32,0,74,0,11,0,14,39,4,0,38,4,0,56,7,18,0,30,129,24,0,151,12,11,206,7,19,0,26,21,20,0,45,8,20,102,8,36,3,55,19,34,0,55,29,68,207,36,98,4,136,239,82,5,325,246,113,818,16,27,0,44,0,0,0,0,830,25,900,17,69,0,88,9,0,0,9,758,21,876,65,150,3,211,465,37,0,502,236,8,961,55,164,4,230,617,72,3,691,49,17,980,169,485,4,662,2025,506,5,2543,201,77,3484,107,283,3,387,415,423,3,849,174,71,1474,217,859,28,1099,420,1125,18,1568,655,583,3903,647,2038,44,2728,3958,2164,33,6160,2896,797,12582
LGA10800,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,11,9,0,3,0,3,5,6,0,6,6,15,29,0,0,0,0,0,0,0,0,12,0,14,0,3,0,5,0,0,0,0,16,0,22,0,8,0,8,0,0,0,0,9,0,15,0,0,0,0,4,0,0,4,0,0,5,3,9,0,11,10,6,0,13,3,0,25,0,6,0,7,3,11,0,15,0,3,27,3,24,0,21,3,19,0,22,7,35,92,5,49,0,55,20,34,0,52,44,42,194
