LGA_CODE_2016,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
LGA10050,20,0,3,675,480,21,30,3,6,542,466,24,26,4,5,528,574,30,47,4,5,658,679,43,42,8,9,789,675,53,53,10,0,785,602,26,34,8,4,669,283,17,26,4,0,337,67,12,12,6,0,96,11,0,0,0,0,9,4,0,0,0,0,3,5145,249,296,48,32,5770,757,0,3,6,3,771,696,0,5,0,3,706,488,4,17,3,3,519,629,16,39,10,0,695,584,18,48,15,6,677,615,29,51,6,3,702,566,32,37,4,4,647,577,27,42,6,3,655,553,17,38,17,7,628,397,22,33,13,0,464,168,17,31,6,0,218,27,0,10,3,4,43,13,3,3,3,3,27,6068,198,354,96,40,6749,597,16,25,12,14,661,149,3,7,9,20,192,11957,460,691,157,109,13370,352,0,0,0,0,354,1234,11,25,3,4,1283,1449,48,65,0,7,1567,1362,78,93,5,13,1545,1281,104,94,9
LGA10130,10,0,0,301,273,6,8,3,0,296,208,9,11,4,0,237,324,14,15,7,0,364,368,24,24,3,6,423,395,23,25,5,0,459,330,21,22,14,6,392,163,13,37,8,4,227,31,5,26,8,0,73,17,0,8,10,3,38,4,0,4,9,0,13,2696,122,200,73,24,3110,381,0,3,9,4,391,394,0,6,0,6,409,247,3,3,3,0,251,229,8,12,8,0,255,240,5,16,4,3,269,289,15,19,9,0,322,261,11,28,3,0,300,260,13,26,6,5,311,253,11,17,14,0,293,157,8,23,11,5,209,62,3,23,20,4,105,16,3,14,9,0,41,3,0,10,13,0,26,2790,78,195,98,28,3189,281,12,9,4,4,307,80,3,3,8,7,106,5849,218,401,188,61,6720,166,0,4,4,0,169,539,3,9,6,9,566,693,16,36,0,4,748,670,44,42,4,0,756,559,47,62,15
LGA10250,9,0,0,209,203,12,15,6,0,236,230,25,34,5,3,293,302,30,38,6,0,377,348,23,48,10,0,425,375,40,40,10,5,468,323,23,48,5,0,412,179,22,30,7,0,233,33,5,16,7,0,60,9,7,9,8,0,28,0,3,3,6,0,10,2452,188,296,65,17,3016,432,0,0,0,4,440,292,0,0,0,0,298,214,6,12,3,0,235,247,5,41,11,3,310,281,14,43,11,0,352,378,24,54,10,0,463,400,30,57,12,7,504,391,21,44,15,4,475,416,21,52,19,7,507,282,22,56,10,9,383,97,11,29,12,3,154,28,3,20,5,0,59,7,3,5,3,0,23,3475,168,411,116,37,4203,253,14,30,8,6,309,83,9,10,7,27,123,6261,376,746,189,82,7652,158,0,0,0,4,168,510,11,12,0,0,531,541,15,36,0,0,594,585,40,65,10,7,699,603,95,109,3
LGA10300,0,0,0,20,6,0,3,0,0,7,6,0,0,0,0,10,15,0,0,0,0,23,18,0,3,0,0,20,18,0,0,3,0,20,15,4,4,5,0,25,12,0,7,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,12,21,12,0,162,11,0,0,0,0,8,12,0,0,0,0,11,10,0,0,0,0,16,12,0,0,0,0,11,19,0,0,0,0,22,23,0,3,0,0,25,17,3,3,0,0,22,16,3,0,0,0,22,23,0,0,0,0,25,15,0,3,0,0,20,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,156,14,10,9,7,190,16,0,0,0,3,26,4,0,0,0,4,13,294,24,32,24,7,382,8,0,0,0,0,8,38,0,3,0,0,46,30,4,5,0,0,40,28,3,5,0,0,32,26,8,5,0
LGA10470,9,0,3,459,325,21,5,0,0,354,328,23,36,8,0,389,456,21,26,6,4,516,513,43,31,7,3,595,486,26,33,11,3,567,421,22,29,7,6,492,222,14,15,11,0,264,52,6,17,10,3,93,13,3,3,4,0,20,0,0,4,0,0,12,3670,193,224,77,29,4198,498,0,0,3,3,504,494,3,10,6,8,511,294,5,10,4,0,318,356,14,26,8,3,397,335,13,37,11,0,399,387,12,29,4,4,442,351,17,32,3,3,407,326,14,23,14,7,377,310,17,33,11,9,377,226,10,28,4,0,272,87,9,29,3,3,138,30,3,18,4,0,60,6,0,8,5,3,24,3713,119,273,86,33,4223,389,11,9,7,9,428,125,4,13,10,20,172,7894,329,519,178,94,9020,243,0,0,3,0,242,834,12,21,3,5,876,1055,37,56,3,12,1161,909,84,51,0,4,1053,864,72,92,12
LGA10550,9,3,7,179,154,10,17,0,0,176,143,10,28,3,3,184,215,24,22,3,3,273,285,25,34,7,3,358,285,29,39,15,4,373,242,22,53,6,3,335,131,7,26,3,9,174,34,12,8,9,0,63,4,0,7,8,0,24,4,0,0,3,0,13,1894,145,253,63,26,2381,304,0,3,3,0,309,145,0,3,0,4,147,145,4,4,3,0,159,210,10,12,4,3,240,243,14,29,3,0,289,264,18,20,10,4,325,304,9,45,5,7,374,373,21,37,13,5,453,399,28,44,13,3,488,254,12,46,23,3,337,99,11,25,8,0,147,19,12,14,5,0,53,8,0,4,3,0,12,2775,134,293,102,30,3337,248,15,31,4,5,305,68,5,13,15,15,106,4981,296,595,183,78,6138,174,0,0,0,3,176,367,4,19,0,0,394,398,7,21,4,8,438,433,30,45,0,3,512,405,54,75,9
LGA10600,0,0,0,34,33,3,10,0,0,48,36,0,4,0,0,40,48,3,10,0,0,64,81,3,18,0,0,94,68,8,13,3,0,83,63,3,27,4,3,103,39,8,13,3,4,70,8,5,7,9,0,25,0,0,3,3,0,5,0,0,4,3,0,9,441,37,105,24,9,619,73,0,3,0,0,77,48,0,3,0,0,45,37,3,10,3,0,54,56,0,14,4,0,80,65,3,6,5,0,79,78,5,24,7,0,115,102,5,24,3,0,142,109,3,18,3,0,134,106,8,13,3,3,135,91,6,18,4,3,121,19,0,17,9,0,52,3,0,8,4,0,17,3,0,7,3,0,7,801,32,164,57,9,1059,58,3,11,3,0,78,12,0,6,8,7,35,1318,76,285,85,28,1785,32,0,0,0,3,28,59,0,0,0,3,70,95,3,8,0,0,103,114,12,25,3,0,161,119,10,19,0
LGA10650,4,0,0,42,30,0,0,0,0,36,31,9,6,0,3,49,30,6,13,0,0,51,46,8,19,0,0,71,46,9,6,3,0,63,53,9,4,3,0,67,32,5,7,3,0,45,6,3,6,3,0,15,0,0,4,0,0,5,0,0,3,6,0,9,353,45,76,23,5,512,50,0,0,0,3,53,32,0,0,0,0,38,50,0,3,3,0,50,43,0,0,0,0,44,50,4,4,5,0,63,48,4,8,7,0,68,49,3,3,8,0,65,67,0,4,8,0,77,81,7,5,8,0,98,50,10,9,3,5,69,28,3,5,5,0,36,6,0,3,0,0,15,7,0,0,0,0,8,558,39,47,44,12,697,48,5,9,7,0,62,15,0,0,3,8,29,981,89,129,77,27,1303,45,0,0,0,0,49,99,0,6,3,3,111,103,10,14,0,0,128,102,12,5,10,0,124,84,18,20,10
LGA10750,56,3,18,2990,2574,75,104,9,6,2776,2394,126,114,12,18,2666,2686,139,118,23,10,2981,2753,148,124,20,19,3069,2667,136,115,14,17,2952,2188,114,69,15,16,2393,1140,54,47,12,6,1252,282,17,9,3,3,324,43,6,9,0,0,65,11,0,3,0,0,14,22040,868,805,118,133,23963,2397,8,10,11,18,2450,2023,4,28,11,10,2081,1322,25,76,16,8,1445,1708,83,134,52,14,1986,1820,101,195,53,14,2172,1857,95,170,43,9,2176,1728,104,157,37,26,2053,1495,85,125,32,10,1739,1356,56,93,24,12,1554,919,55,79,14,10,1083,378,37,38,19,5,480,111,12,17,3,4,141,26,4,3,10,0,41,17144,659,1124,335,139,19397,1494,27,59,24,33,1637,753,36,44,41,103,981,41433,1601,2031,515,402,45979,1268,6,3,0,18,1301,5097,58,82,5,44,5281,7631,266,203,13,52,8166,7887,554,372,38,40,8894,7465,647,402,40
LGA10800,0,0,0,46,27,0,7,3,0,35,38,7,4,6,0,45,49,3,14,3,0,67,44,9,20,6,0,85,31,3,8,9,0,53,34,3,17,11,0,68,23,3,15,9,0,38,5,3,10,3,0,15,0,0,5,0,0,8,0,0,5,4,0,5,338,31,101,50,0,513,42,0,0,0,0,45,32,0,0,0,0,35,29,0,3,3,0,36,43,0,3,4,0,59,37,3,4,0,0,52,45,0,4,6,0,53,33,0,3,3,0,38,50,0,5,0,0,51,45,5,9,0,0,58,35,4,5,4,0,51,14,0,3,3,0,18,3,0,6,0,0,7,3,0,5,3,0,14,415,19,47,27,4,513,32,0,13,5,0,53,8,0,0,11,7,31,791,51,158,98,16,1110,38,0,0,0,0,38,108,0,18,0,0,123,124,4,10,6,0,146,116,8,21,5,0,149,122,11,21,10
