LGA_CODE_2016,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_Turkey_E,F_Turkey_OM_IE,F_Turkey_OM_UIE,F_Turkey_CFW,F_Turkey_ES_NS,F_Turkey_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Zimbabwe_E,F_Zimbabwe_OM_IE,F_Zimbabwe_OM_UIE,F_Zimbabwe_CFW,F_Zimbabwe_ES_NS,F_Zimbabwe_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_FYROM_E,P_FYROM_OM_IE,P_FYROM_OM_UIE,P_FYROM_CFW,P_FYROM_ES_NS,P_FYROM_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Malta_E,P_Malta_OM_IE,P_Malta_OM_UIE,P_Malta_CFW,P_Malta_ES_NS,P_Malta_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot
LGA10850,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,0,4,3,0,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,14,14,4,3,3,0,29,808,54,145,70,15,1088,2022,142,301,128,36,2630,8,0,0,0,0,8,7,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,6,30,0,4,8,0,45,0,0,0,0,0,0
LGA10900,0,12,40,0,3,0,0,47,0,0,0,0,0,0,472,46,110,22,4,652,47,6,20,4,0,69,28,0,5,0,3,35,3,0,0,0,0,5,200,21,67,8,5,310,99,7,15,0,8,121,8354,537,1240,192,88,10412,11068,1054,1964,251,113,14459,29,8,9,3,0,51,77,14,15,5,0,109,3,4,0,0,0,11,7,3,3,0,0,22,29,3,3,0,0,37,0,0,3,0,0,4,66,15,24,3,3,114,13,0,0,0,0,13,30,3,3,0,0,38,121,17,12,9,0,150,23,0,0,0,0,27,7,3,0,0,0,13,6,0,7,0,0,15,53,12,16,4,0,77,26,5,12,3,0,45,25,4,10,0,0,37,23,5,4,0,0,39,9,5,10,0,0,28,46,3,7,3,4,65,12,6,3,0,0,20,51,4,15,3,3,77,266,41,70,10,8,392,22,3,3,0,3,25
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,4,0,7,422,15,56,40,12,551,854,52,163,76,21,1175,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,4
LGA11100,0,52,230,7,13,3,0,248,39,0,0,0,0,45,524,15,26,3,8,580,88,3,3,0,0,96,256,7,13,3,0,277,17,0,0,0,0,18,1804,54,56,13,21,1941,165,8,3,5,15,192,16949,465,419,106,143,18078,23567,1172,603,100,188,25638,106,3,3,0,0,119,1541,130,95,28,11,1805,87,6,10,0,0,105,221,29,11,0,4,266,435,13,3,0,3,459,269,12,3,0,8,290,186,6,8,4,0,206,214,27,22,3,3,270,455,11,20,0,7,496,1473,47,29,4,14,1562,764,37,34,6,4,852,123,11,9,3,0,144,139,10,8,0,3,163,319,30,11,0,3,366,232,17,11,3,5,267,194,9,6,0,0,209,287,29,19,3,5,340,296,40,26,0,3,367,315,16,10,3,4,352,50,3,5,0,0,53,65,5,0,0,0,70,1453,52,32,4,21,1561,204,4,12,0,4,222
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,8,20,0,0,3,0,24,424,20,39,28,12,510,709,38,112,46,25,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,4,0,0,0,0,4
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,72,0,7,6,0,83,90,6,14,14,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,3,0,0,34,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,22,72,3,7,0,8,87,3042,101,154,52,57,3404,5521,236,338,84,107,6286,4,0,0,0,0,4,6,3,4,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,31,4,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,46,0,5,0,0,46,0,0,0,0,0,0
LGA11300,0,101,48,0,11,3,0,58,26,0,0,0,0,32,200,9,12,0,3,219,22,3,0,0,0,28,175,8,13,8,0,208,8,0,0,0,0,8,681,17,20,9,5,730,68,9,3,0,6,85,8309,377,413,109,71,9280,7429,413,418,71,59,8387,36,0,0,0,0,36,1283,304,195,64,5,1859,36,0,0,0,0,38,62,6,3,0,0,70,118,0,3,3,0,127,29,0,0,0,0,32,37,0,5,0,0,44,53,8,4,0,3,70,239,21,32,3,0,295,706,46,24,0,6,782,103,0,10,0,3,118,57,5,4,0,0,69,48,0,3,0,0,58,78,20,6,0,0,100,137,15,16,4,0,176,32,4,3,0,0,39,352,70,60,25,10,514,189,56,49,14,3,306,123,9,15,0,0,148,21,3,0,0,0,20,10,0,0,0,0,12,256,13,17,0,0,288,81,8,4,0,0,97
LGA11350,0,3,21,0,3,0,0,32,0,0,0,0,0,0,250,34,91,15,8,387,53,12,29,0,0,90,3,0,3,3,0,5,4,0,0,0,0,5,160,30,64,10,7,264,119,11,31,9,12,182,4726,463,1195,206,128,6716,6629,893,1854,260,193,9832,58,13,25,0,0,97,9,4,5,0,0,14,3,0,0,0,0,4,3,0,0,0,0,7,10,3,4,0,0,13,0,0,0,0,0,0,92,21,34,8,3,156,3,0,0,0,0,3,4,0,0,0,0,7,32,9,9,7,0,50,9,0,3,0,0,13,4,0,0,0,0,4,0,0,0,0,0,0,25,3,9,0,0,36,51,5,13,0,3,72,66,3,13,5,3,83,12,3,3,0,0,14,0,0,0,0,0,0,13,0,6,0,0,19,4,0,4,0,0,8,25,9,16,3,0,45,262,55,95,9,9,430,3,0,0,0,0,3
LGA11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,9,7,0,50,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,18,0,0,0,0,18,29,0,4,4,0,45,1245,87,226,156,22,1741,2561,261,629,323,74,3851,3,0,0,0,0,4,3,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,6,5,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,3,0,5,0,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,8,36,4,13,0,0,51,0,0,0,0,0,0
