LGA_CODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
LGA10050,0,0,0,5,0,0,0,5,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,5,5,4,6,3,0,0,18,20,96,154,161,185,84,29,737,668,574,447,404,399,113,9,2608,39,24,36,37,36,28,12,215,4126,5005,5011,5460,4192,921,106,24820
LGA10130,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,3,0,3,7,6,0,3,0,13,24,56,151,187,214,179,65,876,385,246,169,193,217,73,14,1303,34,25,24,26,22,15,8,144,2240,2389,2420,2892,2341,687,142,13113
LGA10250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,19,88,244,288,328,204,66,1244,334,229,217,281,314,91,5,1478,34,20,47,35,27,27,13,193,2062,2197,3003,3571,3129,835,146,14940
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,20,22,12,3,82,15,9,11,12,8,3,5,60,0,6,0,3,0,4,3,12,100,116,179,187,202,51,11,844
LGA10470,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,10,5,0,0,0,0,0,16,32,88,149,176,195,152,51,835,510,346,268,270,297,90,19,1798,50,27,35,35,32,15,7,204,2962,3412,3413,3757,2918,776,140,17376
LGA10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,11,0,0,0,4,6,0,0,11,15,56,147,197,292,180,55,934,262,219,222,297,394,111,13,1524,31,20,24,29,30,22,10,168,1446,1600,2127,3044,2878,751,119,11960
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,35,85,117,134,88,33,491,54,51,80,100,101,30,0,413,11,0,12,12,12,3,0,51,332,482,679,923,898,253,59,3625
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,54,74,97,52,15,330,41,44,38,47,64,25,7,259,7,7,3,5,3,6,5,48,322,401,472,574,652,232,57,2709
LGA10750,79,81,41,37,20,12,0,270,7,6,5,0,0,0,0,19,7,3,0,7,0,0,0,21,89,94,48,43,28,12,0,310,115,664,1028,829,569,197,34,3425,2053,1736,1465,1176,1038,311,40,7811,216,260,203,199,132,55,27,1087,16077,24058,24634,23349,15578,3196,257,107142
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,17,32,68,84,88,60,31,384,51,45,34,39,60,20,6,254,10,8,5,9,11,6,4,54,321,433,519,531,539,183,72,2594
LGA10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,57,82,69,28,299,54,80,76,64,39,20,3,340,3,5,10,4,4,8,0,29,320,566,639,663,488,183,67,2918
LGA10900,12,6,3,4,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,3,4,3,0,0,32,54,175,438,556,520,311,56,2100,576,359,342,377,446,150,18,2263,40,20,21,30,26,17,9,164,3055,2741,3449,4244,3641,1137,150,18417
LGA10950,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,17,16,36,34,14,15,139,20,29,24,26,21,10,4,130,5,8,3,0,3,3,0,24,163,266,237,315,194,77,40,1295
LGA11100,62,94,72,39,41,3,0,310,4,4,6,3,0,0,0,19,0,0,3,3,3,0,0,13,68,96,82,47,43,3,0,338,25,132,251,171,121,39,15,753,692,918,1101,1114,752,130,13,4706,75,95,77,71,56,16,9,400,5276,11839,11760,10887,6398,1261,124,47543
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,22,16,8,8,75,10,24,11,6,7,7,0,72,0,0,3,3,3,3,0,12,105,242,198,236,178,71,14,1054
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,19,0,4,0,0,3,0,0,11,0,0,0,0,0,0,0,0,14,32,28,36,36,14,0,162
LGA11250,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,18,40,38,49,31,4,196,132,192,133,163,175,36,7,847,18,11,13,16,21,7,8,98,945,1427,1248,1520,1379,285,48,6856
LGA11300,24,37,31,18,19,6,0,132,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,4,31,36,32,23,22,6,0,143,12,69,131,155,120,46,24,565,409,311,225,216,212,93,13,1480,44,46,27,21,25,5,0,168,2604,3994,3425,3574,2605,691,96,16995
