LGA_CODE_2016,SEO_AGFF_Bf_91,SEO_AGFF_91_95,SEO_AGFF_96_00,SEO_AGFF_01_05,SEO_AGFF_06_10,SEO_AGFF_11_15,SEO_AGFF_2016,SEO_AGFF_NS,SEO_AGFF_Tot,SEO_Min_Bf_91,SEO_Min_91_95,SEO_Min_96_00,SEO_Min_01_05,SEO_Min_06_10,SEO_Min_11_15,SEO_Min_2016,SEO_Min_NS,SEO_Min_Tot,SEO_Mnf_Bf_91,SEO_Mnf_91_95,SEO_Mnf_96_00,SEO_Mnf_01_05,SEO_Mnf_06_10,SEO_Mnf_11_15,SEO_Mnf_2016,SEO_Mnf_NS,SEO_Mnf_Tot,SEO_EGWWS_Bf_91,SEO_EGWWS_91_95,SEO_EGWWS_96_00,SEO_EGWWS_01_05,SEO_EGWWS_06_10,SEO_EGWWS_11_15,SEO_EGWWS_2016,SEO_EGWWS_NS,SEO_EGWWS_Tot,SEO_Const_Bf_91,SEO_Const_91_95,SEO_Const_96_00,SEO_Const_01_05,SEO_Const_06_10,SEO_Const_11_15,SEO_Const_2016,SEO_Const_NS,SEO_Const_Tot,SEO_WST_Bf_91,SEO_WST_91_95,SEO_WST_96_00,SEO_WST_01_05,SEO_WST_06_10,SEO_WST_11_15,SEO_WST_2016,SEO_WST_NS,SEO_WST_Tot,SEO_RetT_Bf_91,SEO_RetT_91_95,SEO_RetT_96_00,SEO_RetT_01_05,SEO_RetT_06_10,SEO_RetT_11_15,SEO_RetT_2016,SEO_RetT_NS,SEO_RetT_Tot,SEO_AcFd_Bf_91,SEO_AcFd_91_95,SEO_AcFd_96_00,SEO_AcFd_01_05,SEO_AcFd_06_10,SEO_AcFd_11_15,SEO_AcFd_2016,SEO_AcFd_NS,SEO_AcFd_Tot,SEO_TPW_Bf_91,SEO_TPW_91_95,SEO_TPW_96_00,SEO_TPW_01_05,SEO_TPW_06_10,SEO_TPW_11_15,SEO_TPW_2016,SEO_TPW_NS,SEO_TPW_Tot,SEO_IMT_Bf_91,SEO_IMT_91_95,SEO_IMT_96_00,SEO_IMT_01_05,SEO_IMT_06_10,SEO_IMT_11_15,SEO_IMT_2016,SEO_IMT_NS,SEO_IMT_Tot,SEO_FinIns_Bf_91,SEO_FinIns_91_95,SEO_FinIns_96_00,SEO_FinIns_01_05,SEO_FinIns_06_10,SEO_FinIns_11_15,SEO_FinIns_2016,SEO_FinIns_NS,SEO_FinIns_Tot,SEO_RHRE_Bf_91,SEO_RHRE_91_95,SEO_RHRE_96_00,SEO_RHRE_01_05,SEO_RHRE_06_10,SEO_RHRE_11_15,SEO_RHRE_2016,SEO_RHRE_NS,SEO_RHRE_Tot,SEO_ProSTS_Bf_91,SEO_ProSTS_91_95,SEO_ProSTS_96_00,SEO_ProSTS_01_05,SEO_ProSTS_06_10,SEO_ProSTS_11_15,SEO_ProSTS_2016,SEO_ProSTS_NS,SEO_ProSTS_Tot,SEO_AdSup_Bf_91,SEO_AdSup_91_95,SEO_AdSup_96_00,SEO_AdSup_01_05,SEO_AdSup_06_10,SEO_AdSup_11_15,SEO_AdSup_2016,SEO_AdSup_NS,SEO_AdSup_Tot,SEO_PubAS_Bf_91,SEO_PubAS_91_95,SEO_PubAS_96_00,SEO_PubAS_01_05,SEO_PubAS_06_10,SEO_PubAS_11_15,SEO_PubAS_2016,SEO_PubAS_NS,SEO_PubAS_Tot,SEO_EdTrn_Bf_91,SEO_EdTrn_91_95,SEO_EdTrn_96_00,SEO_EdTrn_01_05,SEO_EdTrn_06_10,SEO_EdTrn_11_15,SEO_EdTrn_2016,SEO_EdTrn_NS,SEO_EdTrn_Tot,SEO_HC_SA_Bf_91,SEO_HC_SA_91_95,SEO_HC_SA_96_00,SEO_HC_SA_01_05,SEO_HC_SA_06_10,SEO_HC_SA_11_15,SEO_HC_SA_2016,SEO_HC_SA_NS,SEO_HC_SA_Tot,SEO_ArtsR_Bf_91,SEO_ArtsR_91_95,SEO_ArtsR_96_00,SEO_ArtsR_01_05,SEO_ArtsR_06_10,SEO_ArtsR_11_15,SEO_ArtsR_2016,SEO_ArtsR_NS,SEO_ArtsR_Tot,SEO_OthSvs_Bf_91,SEO_OthSvs_91_95,SEO_OthSvs_96_00,SEO_OthSvs_01_05,SEO_OthSvs_06_10,SEO_OthSvs_11_15,SEO_OthSvs_2016,SEO_OthSvs_NS,SEO_OthSvs_Tot,SEO_IDNS_Bf_91,SEO_IDNS_91_95,SEO_IDNS_96_00,SEO_IDNS_01_05,SEO_IDNS_06_10,SEO_IDNS_11_15,SEO_IDNS_2016,SEO_IDNS_NS,SEO_IDNS_Tot,SEO_Tot_Bf_91,SEO_Tot_91_95,SEO_Tot_96_00,SEO_Tot_01_05,SEO_Tot_06_10,SEO_Tot_11_15,SEO_Tot_2016,SEO_Tot_NS,SEO_Tot_Tot,SOLSEWVW_AGFF_Bf_91,SOLSEWVW_AGFF_91_95,SOLSEWVW_AGFF_96_00,SOLSEWVW_AGFF_01_05,SOLSEWVW_AGFF_06_10,SOLSEWVW_AGFF_11_15,SOLSEWVW_AGFF_2016,SOLSEWVW_AGFF_NS,SOLSEWVW_AGFF_Tot,SOLSEWVW_Min_Bf_91,SOLSEWVW_Min_91_95
LGA10050,9,0,0,3,0,0,0,3,12,0,0,0,0,0,0,0,0,0,86,9,6,17,11,14,0,5,155,12,0,0,0,0,0,0,0,15,49,3,3,9,12,6,0,0,90,8,3,4,3,6,3,0,0,27,75,3,19,6,10,14,0,0,139,54,4,12,19,15,16,0,7,118,39,3,3,0,4,0,0,3,54,5,0,3,0,3,0,0,0,14,12,0,0,3,0,0,0,0,26,11,3,0,0,3,3,0,4,23,33,6,3,5,8,5,0,0,62,25,0,0,9,3,3,0,0,42,90,3,7,4,8,4,0,10,122,100,11,10,19,14,19,0,3,175,207,13,18,37,31,21,5,4,344,7,3,0,3,3,3,0,0,19,35,7,3,8,5,6,0,0,63,40,4,0,8,3,4,0,7,61,907,80,110,152,148,123,7,44,1562,3,0,0,0,3,3,0,0,10,0,0
LGA10130,33,0,3,9,9,11,0,3,70,3,0,0,0,0,0,0,0,3,6,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,4,10,4,4,0,0,3,33,8,0,5,0,0,0,0,0,15,28,0,13,9,7,6,3,0,74,15,3,10,8,5,4,0,3,44,5,0,0,3,0,0,0,0,13,3,0,0,0,0,0,0,0,3,8,0,3,3,0,0,0,0,12,4,0,0,0,0,0,0,0,9,40,3,7,4,6,3,0,3,64,14,3,3,0,3,4,0,0,23,41,0,3,3,5,4,0,3,57,146,23,19,20,15,35,7,6,274,98,9,16,15,18,11,0,3,177,4,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,20,7,0,0,4,3,0,0,0,24,489,55,101,86,86,83,13,31,939,7,0,3,6,15,65,20,5,118,0,0
LGA10250,53,0,3,9,9,5,7,0,94,0,0,0,0,0,0,0,0,3,28,3,8,10,11,6,0,0,59,9,0,0,0,0,0,0,0,12,54,0,5,7,8,10,0,10,97,22,0,0,0,0,0,0,0,28,70,6,13,14,17,8,0,6,140,49,7,9,16,20,14,0,3,112,34,3,0,3,3,3,0,5,45,8,4,3,3,3,0,0,0,17,15,4,3,0,0,0,0,0,26,18,0,0,0,0,0,0,0,23,51,3,7,11,16,16,0,3,101,22,3,3,11,4,0,0,0,51,37,3,6,3,4,4,0,3,60,84,7,5,10,18,3,0,7,135,183,32,21,27,27,18,0,9,310,7,0,0,6,0,0,0,0,18,21,7,0,3,0,3,0,3,43,35,0,4,3,6,3,0,3,59,802,90,103,139,158,100,10,50,1444,15,3,6,9,5,9,3,4,54,0,0
LGA10300,0,0,3,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,4,3,3,3,0,0,32,0,0,0,0,0,0,0,0,8,0,0
LGA10470,22,3,3,0,3,0,0,4,32,0,0,0,0,0,0,0,0,3,40,4,12,10,3,13,0,0,78,3,0,0,0,3,0,0,0,5,37,6,7,4,10,5,0,3,61,15,0,3,0,0,0,0,0,20,41,7,10,8,8,16,0,9,94,28,8,8,3,13,14,0,4,76,24,0,5,0,0,0,0,3,31,6,0,5,4,0,0,0,0,21,6,0,0,0,0,3,0,0,18,5,3,0,0,0,4,0,0,7,37,3,4,3,4,8,0,0,57,18,5,3,0,0,0,0,4,27,66,11,7,3,8,0,0,7,94,104,16,12,10,11,19,0,6,180,118,12,13,12,13,18,0,8,188,4,0,0,0,3,0,0,0,6,14,3,0,3,0,0,0,3,25,19,0,0,0,7,0,0,0,30,607,71,90,64,93,96,4,35,1061,7,0,0,3,4,4,0,0,19,0,0
LGA10550,39,0,0,3,3,0,0,5,53,0,0,0,0,0,0,0,0,0,51,0,7,8,4,3,0,6,81,3,0,0,0,0,0,0,0,4,33,0,5,0,0,4,0,3,50,10,0,0,0,0,0,0,0,20,62,3,4,12,0,0,0,7,91,73,6,8,5,7,4,0,7,108,16,3,0,0,0,0,0,0,22,9,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,14,50,6,7,3,4,3,0,4,73,18,3,0,3,4,0,0,0,32,33,3,3,0,3,0,0,0,50,45,4,3,9,4,0,0,0,69,162,11,8,9,14,9,0,14,229,20,0,3,3,0,3,0,3,34,19,0,3,3,4,4,0,5,32,19,3,0,0,0,0,0,3,26,688,51,55,67,51,43,3,51,1012,5,0,0,0,0,0,0,0,10,0,0
LGA10600,10,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,16,0,4,6,0,3,0,0,28,0,0,0,0,0,0,0,0,3,18,0,8,0,3,3,0,3,34,0,0,0,0,0,0,0,0,3,20,0,0,0,3,3,0,0,34,25,3,0,3,4,0,0,0,41,11,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,7,18,0,4,3,3,0,0,3,38,7,0,0,0,0,3,0,0,15,9,0,0,0,3,0,0,0,12,27,0,3,3,0,0,0,0,39,40,9,3,4,5,3,0,3,72,3,3,0,0,0,0,0,0,6,8,0,0,3,0,0,0,0,14,5,0,0,0,0,0,0,3,10,240,23,24,34,24,17,3,15,384,6,0,0,0,0,3,0,0,15,0,0
LGA10650,19,0,6,6,0,6,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,12,0,0,3,0,0,0,0,22,5,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,0,10,12,0,3,3,3,4,0,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,8,84,3,10,17,11,16,0,6,145,0,0,3,0,4,3,0,0,8,0,0
LGA10750,20,0,3,4,8,3,0,3,43,13,3,3,4,3,3,0,0,28,801,95,137,108,108,101,4,24,1371,185,19,27,25,16,15,0,9,289,495,56,120,91,132,111,12,24,1051,488,66,81,80,80,76,3,19,896,599,91,174,152,120,115,7,22,1275,111,34,55,77,66,53,3,13,416,619,112,142,117,117,77,5,33,1232,45,7,14,10,6,8,0,0,83,69,9,16,18,5,7,0,4,128,92,7,13,12,15,4,0,4,149,195,32,43,35,28,29,8,10,382,183,33,50,34,37,34,7,9,379,320,42,56,26,32,17,3,11,500,595,83,93,81,38,29,0,18,936,660,106,119,102,99,76,8,35,1209,42,11,12,5,5,12,0,0,102,228,27,47,27,37,34,0,10,406,363,51,90,61,79,76,8,50,786,6131,893,1290,1078,1030,873,83,293,11678,26,12,8,11,15,11,0,0,88,19,0
LGA10800,10,0,0,0,0,8,0,0,20,8,0,0,0,0,4,0,0,14,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,6,6,16,8,0,0,86,0,0,0,0,6,4,0,0,10,3,0
LGA10850,18,0,0,0,0,0,0,0,25,26,4,0,4,0,3,0,0,45,15,3,3,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,5,115,11,8,11,11,10,0,7,172,3,0,0,0,0,0,0,3,6,3,0
LGA10900,24,3,4,0,0,0,0,0,28,3,0,0,0,0,0,0,0,6,20,4,8,5,3,0,0,0,48,7,0,0,0,0,0,0,0,12,97,10,11,6,3,12,0,4,151,21,0,0,0,0,0,0,0,25,144,11,12,21,9,6,0,0,199,124,15,27,18,23,32,0,4,239,59,3,3,3,0,0,0,6,77,27,0,4,0,0,3,0,3,39,36,4,4,0,3,0,0,0,47,60,3,0,0,0,0,0,0,64,152,10,12,16,12,4,0,3,210,58,0,9,5,3,3,0,3,79,135,12,14,9,5,3,0,3,182,219,15,17,12,12,6,0,0,275,382,30,34,31,36,16,0,9,542,55,7,5,5,7,0,0,0,82,66,8,4,3,9,0,0,0,89,60,0,9,6,3,0,0,3,96,1740,139,193,143,124,94,3,51,2487,0,4,0,4,3,0,0,0,11,0,0
LGA10950,0,0,0,0,0,0,0,0,6,8,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,23,8,4,4,5,9,0,7,50,0,0,0,0,0,0,0,0,3,0,0
LGA11100,3,0,3,0,0,5,0,0,12,3,0,0,0,0,0,0,0,0,275,31,53,58,56,85,12,12,590,21,3,8,0,6,7,0,0,43,167,41,72,66,92,149,9,13,605,146,21,29,40,41,58,6,13,349,188,48,67,28,62,81,5,8,482,73,21,30,36,38,52,9,9,260,1404,198,234,227,216,222,16,73,2588,39,3,14,10,4,16,0,0,81,41,8,9,12,12,12,0,3,95,58,5,23,10,20,28,3,3,147,97,28,23,30,41,40,4,10,270,111,15,30,29,29,59,3,11,281,91,3,16,9,20,13,0,3,148,50,3,7,4,4,4,0,3,78,82,11,16,17,30,22,0,0,177,28,4,3,0,0,5,0,0,38,79,8,20,16,17,17,4,0,164,123,23,35,33,42,47,6,26,327,3067,477,679,605,736,922,86,192,6769,10,0,0,0,3,11,0,0,23,0,3
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,3,3,0,6,3,0,0,36,0,0,0,0,0,4,0,0,6,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
LGA11250,3,0,0,0,0,0,0,0,6,9,0,0,0,5,3,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,0,4,0,0,0,0,8,3,0,0,0,0,0,0,0,3,7,3,3,0,3,3,0,0,17,15,0,3,3,3,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,3,14,12,0,0,0,3,3,0,0,21,31,4,7,10,10,10,3,3,72,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,8,6,0,0,0,0,0,0,0,11,127,13,11,19,29,27,3,3,233,0,0,0,0,0,3,0,0,3,0,0
LGA11300,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,9,3,0,0,6,0,0,0,13,3,0,0,0,0,0,0,0,3,44,3,13,5,14,20,0,4,104,11,0,0,3,0,0,0,0,16,73,15,14,9,18,17,0,6,151,19,3,10,7,11,13,0,6,69,62,9,20,8,11,3,0,3,107,3,3,0,3,0,3,0,0,13,43,5,3,9,6,7,0,3,71,20,0,6,7,0,3,0,0,32,58,5,15,12,9,14,0,0,117,29,4,0,0,10,11,0,0,50,137,8,27,11,9,17,0,3,218,134,28,18,13,27,18,3,7,239,183,25,22,25,33,30,0,9,336,3,0,3,0,0,0,0,0,10,36,3,0,4,3,4,0,0,48,22,0,7,3,7,10,0,4,62,889,123,163,122,150,163,8,50,1666,0,0,0,0,0,0,0,0,3,0,0
