LGA_CODE_2016,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA57210,3,123,108,8,8,3,4,133,106,7,30,13,0,161,96,19,28,6,0,149,66,9,17,19,3,117,47,8,28,18,3,99,12,3,10,15,7,49,3,4,5,3,0,16,3,3,3,6,0,14,824,76,165,89,24,1180,68,0,0,3,0,69,39,0,3,3,0,44,33,0,0,0,3,39,22,0,5,3,0,31,29,4,6,3,3,50,40,0,11,7,0,64,48,0,9,4,0,65,55,0,11,3,0,71,62,4,11,5,0,85,51,0,13,11,0,77,21,0,17,10,0,53,4,0,6,13,0,30,0,4,4,11,0,21,477,17,107,82,6,689,64,10,18,6,0,102,22,0,5,10,3,45,1389,105,295,190,41,2019
LGA57280,0,579,465,34,18,0,6,522,488,33,21,4,11,555,436,30,13,0,3,485,339,25,10,3,3,379,162,17,7,0,4,194,53,4,0,3,3,66,3,0,3,0,0,13,0,0,5,0,0,10,4206,192,122,12,38,4568,126,0,0,0,0,128,76,0,3,0,0,83,112,0,9,0,0,124,143,5,13,3,0,158,126,3,11,0,4,141,100,6,13,6,0,125,107,4,6,0,0,122,93,4,6,0,3,108,68,0,11,5,0,83,44,0,3,0,0,49,20,0,4,0,0,27,7,0,0,0,0,3,4,0,0,0,0,5,1032,28,74,14,13,1168,364,16,8,4,6,394,129,3,5,3,12,154,5728,241,204,38,71,6286
LGA57350,0,7,8,0,4,0,0,16,11,0,15,3,0,28,17,0,7,3,0,30,17,4,7,3,0,34,17,4,6,0,0,27,0,5,3,0,0,10,0,0,0,0,0,0,0,0,3,0,0,3,102,24,53,15,6,203,0,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,8,3,0,0,0,0,4,7,0,0,0,0,9,3,0,0,0,0,7,6,0,0,0,0,10,9,0,0,3,0,12,12,3,9,3,0,20,15,0,0,0,0,18,0,0,0,0,0,0,0,3,0,3,0,7,0,0,3,0,0,3,76,5,22,10,0,115,14,6,4,0,0,26,9,0,3,3,0,14,200,35,85,33,6,355
LGA57420,0,38,26,9,5,0,0,40,17,4,6,4,0,36,30,4,10,0,0,47,24,9,14,3,0,43,16,0,6,3,0,25,6,0,7,3,0,17,3,0,4,3,0,12,0,0,0,0,0,0,259,26,60,25,3,373,5,0,0,0,0,5,12,0,0,0,0,12,11,0,0,0,0,12,5,0,4,0,0,9,5,0,0,0,0,10,9,0,0,0,0,9,13,3,3,0,0,15,8,0,0,3,0,17,8,3,4,0,0,16,4,0,3,0,0,9,0,0,0,3,0,8,3,0,3,3,0,11,0,0,4,0,0,4,76,10,18,15,0,129,29,0,8,3,0,35,11,4,0,0,3,17,381,43,85,47,3,559
LGA57490,16,1705,1481,160,183,22,15,1858,1574,169,194,26,11,1978,1541,149,179,35,12,1921,1019,123,116,21,6,1279,548,66,85,7,13,724,141,30,34,8,3,212,31,6,13,0,0,56,10,0,6,0,0,20,13481,983,1198,155,93,15914,2244,0,10,12,16,2279,1480,0,34,4,8,1529,827,17,91,17,3,953,898,37,146,41,7,1129,925,31,149,32,5,1150,974,48,148,26,6,1209,985,58,136,32,5,1216,828,34,125,22,7,1018,682,37,128,33,4,889,487,48,95,15,4,654,227,23,66,21,4,333,68,14,19,10,3,118,36,8,13,8,0,65,10665,371,1147,273,79,12535,993,46,66,24,16,1141,391,9,39,13,50,499,25531,1406,2443,472,235,30091
LGA57630,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,16,0,3,0,0,22
LGA57700,0,256,200,37,47,7,7,302,221,48,42,10,4,328,211,65,62,18,5,355,161,38,40,12,3,258,87,26,40,4,0,151,24,14,12,6,0,57,11,4,4,4,0,23,0,3,3,0,0,9,1816,328,366,75,26,2615,205,0,3,6,0,217,124,0,11,0,3,143,104,3,28,7,0,147,102,7,33,13,0,149,128,11,38,7,3,184,103,10,29,12,3,158,99,19,38,14,0,163,93,13,25,9,0,149,86,12,33,3,0,139,78,11,35,4,0,133,36,7,14,7,0,64,12,3,9,11,0,34,7,4,4,6,0,20,1173,114,305,97,16,1710,138,15,17,10,0,180,46,4,4,0,8,70,3177,465,689,188,49,4569
LGA57770,0,37,13,3,0,0,0,23,18,3,4,0,0,28,22,0,4,0,0,29,16,0,0,0,0,13,15,0,4,0,0,20,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,175,13,24,7,3,222,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,7,3,0,0,0,0,3,5,0,0,0,0,4,0,0,3,0,0,5,4,3,0,0,0,6,10,0,0,0,0,13,7,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,51,6,8,0,0,69,9,0,0,0,0,8,3,0,3,0,0,8,244,16,35,5,3,305
LGA57840,3,749,638,109,49,8,4,801,628,105,71,4,3,812,581,117,72,16,0,791,550,98,67,14,3,732,322,75,53,5,0,454,116,29,21,7,3,173,20,14,3,3,0,38,9,7,4,0,0,17,5556,734,483,62,32,6873,497,0,11,9,5,522,686,7,27,0,5,730,421,7,34,4,5,468,438,24,40,7,4,511,360,30,37,7,0,441,399,42,45,13,3,498,359,45,67,13,5,490,340,48,69,12,5,474,325,47,69,16,4,452,247,54,68,18,4,388,162,43,62,23,3,291,64,19,28,9,0,120,13,6,16,11,0,42,4312,370,565,137,39,5421,348,23,37,5,5,424,156,7,9,9,10,198,10377,1138,1091,218,89,12914
LGA57910,30,5081,4302,558,348,42,37,5289,4278,604,369,36,24,5302,3968,571,348,34,32,4949,3175,507,317,34,22,4050,1905,308,219,27,16,2476,586,174,110,13,7,897,125,47,35,12,0,215,34,30,15,5,0,82,37618,3785,2676,265,237,44585,2812,10,28,24,18,2889,3535,20,113,10,17,3691,2097,44,160,19,16,2335,2012,101,265,37,10,2427,2016,152,278,55,8,2512,2033,170,284,53,8,2561,1989,186,303,49,25,2553,1743,177,305,45,19,2287,1571,168,268,57,20,2078,1387,182,271,50,18,1908,781,179,230,59,16,1263,301,70,108,41,10,529,121,50,65,31,9,277,22406,1509,2678,523,196,27312,2010,98,119,34,26,2293,883,58,86,34,124,1189,62923,5459,5560,857,590,75381
