LGA_CODE_2016,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA10050,9,1492,1361,126,122,14,4,1629,1497,175,122,17,15,1829,1421,196,135,15,10,1784,1262,149,126,11,8,1564,680,102,91,12,12,900,179,49,45,14,0,289,27,13,13,0,3,51,8,4,5,3,0,23,12114,1057,941,104,92,14311,1225,3,6,8,12,1253,979,0,18,4,3,1003,661,11,30,3,4,701,755,21,50,12,0,842,708,25,65,21,5,821,722,35,62,12,3,833,683,48,57,14,4,812,681,43,65,7,8,801,664,41,71,16,7,799,555,40,76,22,3,696,269,38,64,18,0,381,59,12,19,14,4,115,31,0,9,12,6,60,7989,330,593,149,55,9114,854,23,55,12,21,970,315,9,25,24,49,424,21265,1427,1611,294,214,24820
LGA10130,5,689,695,56,80,14,8,848,758,78,77,8,3,934,795,97,112,16,8,1034,691,81,94,25,11,906,374,53,101,20,4,560,86,27,76,28,4,219,25,14,31,29,4,103,10,4,20,26,0,60,6061,528,744,194,58,7589,615,0,3,14,4,637,646,3,7,4,10,670,365,0,11,3,3,384,328,10,24,8,0,361,323,12,25,3,7,366,358,20,29,8,0,415,341,13,38,5,3,409,340,19,51,12,5,420,335,22,44,13,0,409,245,17,48,16,5,325,125,12,38,31,3,207,45,6,30,26,3,107,18,6,23,18,3,62,4080,141,361,158,41,4777,421,25,25,16,11,496,181,9,19,25,24,252,10745,696,1145,392,132,13113
LGA10250,13,826,686,117,112,16,7,939,754,115,138,12,8,1032,768,144,155,19,6,1094,720,90,162,16,8,996,399,71,132,18,3,625,89,35,60,11,0,205,24,19,22,13,3,77,11,6,19,11,0,49,5847,757,1026,142,59,7830,737,0,4,6,6,751,468,0,11,3,7,487,323,4,23,6,3,357,352,11,41,11,3,425,374,26,65,11,0,474,483,34,95,12,4,625,502,35,82,15,10,646,510,39,92,22,4,664,570,39,95,22,7,731,418,52,109,21,8,603,204,45,73,26,10,350,59,9,42,16,3,130,19,15,29,19,5,81,5024,305,767,183,55,6331,381,35,58,15,10,486,176,25,21,8,55,291,11420,1120,1876,351,181,14940
LGA10300,0,45,38,13,7,3,0,62,41,9,7,4,0,56,36,10,10,9,0,61,36,13,18,7,0,75,24,6,19,5,0,50,3,3,8,0,0,17,0,0,3,0,0,6,0,0,0,0,0,0,318,64,86,43,3,517,12,0,0,0,0,16,17,0,0,0,0,21,16,3,0,0,0,15,11,0,0,0,0,17,18,0,0,4,0,26,26,0,7,3,0,33,24,4,0,0,0,29,22,3,5,0,0,28,25,0,0,0,0,32,28,0,3,5,0,32,5,5,0,0,0,11,0,0,0,4,0,7,3,0,0,4,0,3,211,20,20,19,7,272,26,0,0,0,3,28,15,0,0,3,9,25,567,87,105,63,14,844
LGA10470,0,1047,1003,102,90,15,14,1224,1096,114,109,20,3,1341,1041,115,103,21,12,1296,908,94,91,27,13,1132,522,62,81,25,6,690,134,47,68,30,4,279,24,8,24,16,0,73,11,7,20,12,0,45,8639,746,806,178,78,10452,776,0,3,8,8,798,786,4,14,7,8,818,443,6,12,5,3,476,436,15,31,8,8,499,397,15,44,11,0,473,454,14,47,10,7,528,418,24,46,6,8,500,401,19,34,18,3,478,391,21,52,23,9,496,331,22,52,12,0,421,155,19,54,19,0,244,62,12,35,15,3,125,24,9,18,18,3,78,5077,193,447,158,56,5921,582,25,26,17,21,676,233,3,26,15,46,332,14529,973,1313,366,199,17376
LGA10550,8,539,504,83,82,4,8,682,639,90,102,14,9,865,680,109,135,21,12,955,580,103,143,21,9,852,320,72,104,20,11,527,89,47,50,19,5,211,10,10,22,14,0,68,10,3,16,11,0,40,4607,604,822,142,87,6257,496,0,3,5,5,506,233,0,3,0,3,251,218,6,9,3,0,235,268,6,16,9,3,303,310,18,44,3,0,370,341,25,50,13,6,431,390,21,64,11,10,493,463,26,70,19,5,593,546,51,98,17,3,722,376,44,95,34,10,560,164,29,76,22,3,295,37,21,35,16,6,109,18,11,25,12,0,62,3866,257,587,166,63,4930,411,36,66,17,13,533,148,9,28,21,38,245,9035,899,1494,339,195,11960
LGA10600,3,147,138,17,36,7,5,200,176,24,26,10,0,238,173,22,50,4,3,251,151,26,69,3,5,250,96,17,43,3,5,172,23,12,29,12,0,72,5,8,9,5,0,25,0,3,8,6,3,24,1178,155,325,58,28,1743,136,0,3,0,0,142,66,0,3,0,0,67,62,3,10,3,3,80,90,0,18,4,3,115,102,3,16,5,0,126,113,10,30,9,0,161,124,14,43,7,0,184,140,11,40,8,4,197,163,5,37,12,3,219,135,8,37,6,5,199,37,4,42,14,0,95,13,3,15,10,0,44,5,0,11,10,0,30,1175,64,313,84,19,1653,98,8,26,7,0,143,40,0,23,8,16,82,2488,227,682,161,65,3625
LGA10650,3,130,82,24,40,9,3,163,107,33,38,12,3,191,107,33,29,6,0,172,114,32,26,11,5,192,89,29,31,15,4,171,24,10,17,12,3,66,3,8,11,13,0,26,0,3,10,8,0,18,966,201,248,96,32,1547,76,0,0,5,3,78,49,0,3,4,0,53,60,0,4,7,0,69,43,4,0,0,0,54,57,4,12,5,0,76,62,7,10,7,0,80,54,3,3,6,0,69,85,5,8,8,0,99,94,15,14,9,0,135,70,9,19,11,5,112,49,6,8,3,0,69,23,3,3,5,0,32,11,5,3,10,0,29,722,59,95,75,10,960,86,7,11,7,3,124,44,7,8,9,13,80,1819,277,366,187,59,2709
LGA10750,46,8598,7791,756,459,45,63,9121,7363,811,458,44,53,8730,7111,706,447,52,62,8382,5869,573,330,47,44,6859,3330,347,242,38,25,3987,1028,181,98,24,11,1345,190,67,29,9,0,298,27,18,16,3,3,71,62061,5005,3141,358,472,71029,4166,14,20,31,33,4261,4054,26,84,36,26,4233,2345,64,149,29,27,2607,2443,150,248,67,18,2927,2378,181,301,76,20,2956,2355,171,295,64,18,2902,2248,179,289,58,43,2820,1970,187,280,49,24,2503,1806,128,224,46,24,2217,1396,154,212,38,13,1815,678,92,137,34,14,958,244,42,66,15,5,378,79,19,31,24,0,141,26169,1403,2343,556,261,30726,2583,91,118,37,51,2883,1892,129,146,76,257,2500,92699,6623,5748,1034,1041,107142
LGA10800,0,173,122,13,36,14,0,191,105,15,49,20,0,190,93,20,59,17,0,185,116,12,52,27,4,211,69,15,35,15,3,133,16,9,29,11,0,68,5,6,10,9,0,30,0,3,13,11,4,34,1028,127,355,150,17,1676,62,0,0,0,0,71,49,0,3,0,0,55,40,0,3,3,0,53,54,0,4,4,0,69,53,3,9,0,0,61,53,0,3,7,0,70,42,3,8,3,0,56,68,0,3,0,0,76,58,3,14,3,0,79,52,10,13,3,0,73,22,0,7,6,0,33,7,0,6,3,0,23,8,0,8,14,0,24,571,24,95,47,6,748,52,3,18,10,3,93,35,0,13,19,14,78,1689,157,480,231,42,2594
LGA10850,3,221,213,10,10,9,3,249,224,20,16,6,0,264,157,16,23,6,3,212,131,16,24,20,0,192,72,18,39,9,0,141,7,8,22,11,0,48,0,6,21,9,0,34,3,4,14,4,5,30,1542,119,219,79,20,1978,88,0,0,3,0,94,38,0,3,0,0,39,41,0,10,0,0,49,42,4,0,3,0,47,46,3,5,0,3,65,53,3,14,0,0,75,54,3,11,3,0,69,71,3,11,5,0,84,48,0,15,5,0,67,34,0,12,12,0,61,12,7,13,6,0,40,14,3,8,7,0,35,9,0,8,10,0,22,542,29,113,56,7,750,104,7,14,10,0,130,32,0,5,5,11,60,2217,156,350,151,40,2918
LGA10900,11,815,682,160,176,16,6,1041,847,129,172,16,10,1170,793,174,181,23,11,1175,750,138,178,23,5,1100,398,119,139,10,4,679,148,51,58,6,3,269,19,12,15,5,0,62,19,5,6,3,0,33,6314,979,1250,129,66,8737,1042,3,12,3,0,1057,896,3,25,9,0,933,478,3,40,12,4,538,419,24,94,7,3,553,464,45,119,14,11,652,602,53,130,23,6,817,615,60,187,12,3,881,614,55,143,24,3,840,610,48,165,19,5,853,539,73,181,30,4,830,300,60,138,29,8,528,99,39,53,12,8,214,36,22,25,17,3,100,6722,477,1321,214,62,8801,487,19,59,11,14,596,202,7,33,13,26,288,13729,1485,2670,369,165,18417
LGA10950,0,74,75,0,13,4,0,101,86,7,20,3,0,113,76,6,24,8,4,119,56,3,20,5,0,80,23,7,15,5,0,53,9,3,9,3,0,27,0,0,7,3,0,7,0,0,14,11,0,19,666,34,137,53,12,904,24,0,0,0,0,24,21,0,0,0,0,21,22,0,0,0,3,20,27,0,3,4,0,31,13,0,0,0,0,15,35,0,0,0,0,40,33,3,8,0,0,39,27,4,0,0,0,27,12,0,0,0,0,20,21,0,6,0,0,28,7,0,8,0,0,16,0,0,3,5,0,12,0,0,6,4,0,12,245,9,36,19,8,320,29,0,3,3,0,42,16,5,0,11,6,39,954,52,177,88,21,1295
LGA11100,13,4374,3998,244,125,9,18,4397,3710,309,120,8,30,4173,3345,249,134,14,19,3756,2654,212,89,3,29,2987,1323,118,59,4,9,1518,481,74,31,4,3,594,94,17,20,0,0,130,18,11,3,4,0,42,29979,1744,842,73,180,32815,863,0,8,4,5,881,1803,7,27,8,12,1856,1288,18,29,8,12,1357,1041,31,50,17,5,1143,976,54,62,15,9,1116,1091,43,74,12,14,1230,1153,52,60,4,19,1288,977,42,58,5,5,1097,777,33,61,7,7,885,504,41,47,14,9,612,255,25,32,14,11,334,88,20,15,3,3,124,38,21,11,8,0,74,10850,389,523,124,109,12001,1643,33,19,13,19,1722,781,45,43,22,100,995,43253,2206,1435,235,414,47543
LGA11150,0,74,59,7,6,5,0,72,60,12,8,5,0,86,78,5,13,3,0,95,44,3,18,8,4,77,35,7,10,4,0,55,12,0,13,3,0,26,3,0,0,3,0,5,3,0,3,0,0,8,572,35,89,40,14,761,12,0,0,0,0,12,16,0,0,0,0,16,24,0,0,0,0,30,20,0,0,0,0,18,19,0,3,0,0,21,17,0,3,0,0,19,14,0,6,0,0,16,19,0,0,3,5,29,16,0,5,0,0,19,11,0,0,0,0,14,16,0,5,0,0,21,8,0,0,3,0,8,0,0,0,3,0,3,192,3,30,12,5,232,29,0,3,0,0,31,15,0,0,0,6,27,808,42,128,50,31,1054
LGA11200,0,17,6,0,0,0,0,6,6,0,0,0,0,8,10,0,4,0,0,14,8,0,3,3,0,14,3,0,0,8,0,7,0,0,0,7,0,8,0,0,0,0,0,3,0,0,0,0,0,0,61,4,8,13,0,93,0,0,0,0,0,0,7,0,0,0,0,7,7,0,0,0,0,7,0,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,5,5,0,0,0,0,4,0,0,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,3,3,0,50,7,0,0,0,0,11,3,0,0,0,0,3,117,11,15,14,0,162
LGA11250,4,394,375,22,28,7,5,435,432,24,20,4,9,485,473,41,26,8,5,556,452,48,39,3,11,552,256,26,35,10,3,326,62,17,13,5,0,95,11,0,12,0,0,25,3,3,4,3,0,10,3728,216,234,40,44,4260,244,0,0,3,4,251,180,0,3,0,0,187,181,3,6,3,4,193,164,4,10,3,3,183,148,0,12,0,7,166,162,3,22,4,0,186,179,10,13,0,3,200,175,0,10,3,0,199,214,3,19,3,3,239,117,10,14,8,0,149,70,10,12,10,0,96,27,0,4,0,0,36,5,0,4,5,4,14,1856,43,132,43,34,2114,274,11,10,8,13,316,120,4,7,0,34,169,5986,268,381,95,126,6856
LGA11300,4,1129,934,112,74,9,4,1133,965,125,80,8,9,1176,943,152,112,8,4,1227,834,112,75,9,6,1040,498,52,49,4,8,613,188,29,28,0,0,251,39,9,15,3,3,65,17,8,6,0,0,25,8364,855,594,78,54,9946,706,3,10,6,5,732,998,4,27,3,9,1038,556,14,21,7,4,605,449,27,52,13,3,547,397,31,39,8,3,483,426,38,48,18,4,527,396,45,44,18,3,506,427,30,46,14,3,524,358,31,47,7,0,449,298,34,38,6,3,380,191,21,14,7,10,241,66,14,17,4,0,100,32,4,20,9,0,65,5304,297,424,126,53,6194,453,10,22,9,12,506,264,19,17,16,31,347,14381,1180,1061,222,148,16995
LGA11350,12,654,479,144,149,17,9,805,462,161,197,15,4,843,424,137,164,16,15,758,382,101,154,17,10,668,200,82,111,14,9,412,48,31,50,11,4,146,10,12,12,3,3,41,4,5,16,6,0,28,3820,837,1148,121,83,6014,457,0,4,3,14,475,367,3,18,3,9,407,424,10,69,9,3,520,395,21,88,20,13,533,387,39,136,19,13,597,451,56,164,24,16,710,402,53,180,20,8,669,392,47,178,16,14,643,445,37,176,25,14,698,323,66,181,22,15,599,134,29,96,21,7,279,43,19,33,8,6,109,16,7,20,9,0,50,4238,379,1350,184,127,6286,272,28,77,20,10,408,171,15,40,24,49,298,8510,1261,2615,349,270,12998
LGA11400,4,278,230,25,40,12,6,320,251,32,41,17,6,346,225,32,71,19,9,353,193,24,77,8,5,304,118,24,57,20,0,227,37,17,35,35,8,140,5,5,27,27,5,74,3,4,17,22,7,53,1883,213,471,189,54,2811,75,0,0,4,3,88,57,0,0,0,0,64,71,3,7,0,0,78,74,3,7,8,0,95,64,3,19,9,0,98,103,8,18,5,3,134,78,11,21,6,0,113,97,4,17,13,0,133,90,7,18,4,0,114,75,7,23,19,0,124,29,7,24,22,4,89,18,8,24,20,3,66,6,0,19,18,0,48,837,65,194,124,16,1239,122,3,20,13,8,160,51,3,11,23,7,93,2897,282,700,350,81,4309
LGA11450,10,1624,1380,323,152,14,17,1892,1364,275,130,8,15,1789,1212,234,137,5,8,1598,957,154,108,15,12,1253,550,106,78,17,8,758,192,47,24,8,4,278,30,18,10,0,0,63,12,5,0,3,3,24,12075,1741,1007,98,125,15053,1436,5,12,11,10,1470,970,10,26,3,11,1024,498,29,53,8,6,587,577,36,94,21,5,735,616,63,96,17,12,795,661,77,84,15,4,845,588,53,93,16,8,759,528,52,75,19,5,679,469,43,72,16,9,598,364,63,79,16,3,518,145,43,39,21,6,249,53,13,19,5,0,97,17,10,7,14,0,49,6921,484,746,173,74,8401,603,40,38,16,15,715,361,35,44,22,60,512,19966,2296,1837,305,276,24684
LGA11500,22,3294,3213,312,170,19,32,3743,3005,297,216,24,26,3569,3112,319,189,21,39,3683,2652,302,185,17,19,3177,1474,157,122,15,16,1786,448,81,39,5,4,576,79,36,14,3,0,137,14,8,6,0,0,28,25925,2120,1445,146,238,29870,2280,5,3,13,16,2311,2031,5,34,16,14,2102,1164,27,53,17,13,1271,1225,51,98,33,10,1423,1170,62,115,28,12,1390,1244,75,123,24,3,1463,1116,62,142,25,8,1360,1121,80,116,21,13,1350,1004,86,103,25,15,1236,772,63,111,23,4,975,396,54,46,19,3,519,136,26,24,14,7,201,44,14,17,12,6,84,13697,612,992,268,125,15699,1289,50,50,18,21,1423,787,40,52,38,116,1035,41700,2819,2537,462,498,48022
LGA11520,19,2944,2339,276,153,18,12,2795,1981,311,166,15,17,2490,1908,258,152,12,9,2347,1439,178,104,17,15,1750,762,139,68,5,6,982,274,46,43,9,4,374,61,38,15,10,0,121,15,5,12,4,0,42,18598,1823,1063,123,127,21726,965,4,13,7,3,992,1354,6,32,5,4,1406,967,30,70,17,11,1094,808,63,92,23,4,998,724,86,121,24,9,961,750,86,133,28,4,996,631,88,136,19,13,890,591,88,119,14,7,815,543,80,109,17,6,761,433,66,94,20,3,615,232,71,94,17,4,425,90,29,48,7,3,182,27,23,14,15,4,85,8114,731,1084,214,78,10215,853,20,57,13,16,953,484,46,45,22,72,664,28042,2618,2240,372,285,33558
LGA11570,44,6807,5708,874,566,54,72,7271,5967,859,607,49,58,7537,5832,927,581,79,68,7486,5037,700,477,59,51,6332,2898,436,339,31,32,3728,935,205,140,34,15,1327,196,91,36,18,6,349,71,44,25,15,7,151,48994,5957,4150,470,505,60067,2800,11,27,38,18,2894,3680,44,112,50,38,3916,2403,109,230,45,26,2812,2313,190,307,66,23,2904,2290,221,355,89,34,3000,2309,258,357,86,37,3040,2293,238,394,79,31,3031,2173,221,345,62,31,2840,1854,182,318,71,24,2454,1464,157,292,56,19,1987,781,132,167,51,13,1135,292,71,73,35,8,477,122,39,41,24,8,222,24764,1867,3016,741,315,30698,2101,117,123,69,60,2484,1707,158,177,74,266,2389,77572,8097,7464,1359,1147,95636
LGA11600,3,70,61,12,16,8,0,96,74,14,16,6,3,120,50,14,21,12,0,103,62,11,18,8,0,100,38,10,23,5,0,83,9,9,10,10,0,39,0,0,3,3,0,11,0,0,5,3,0,7,556,108,138,73,12,883,25,0,0,0,0,29,39,0,0,0,0,37,28,0,3,3,0,37,18,0,0,0,0,27,20,3,3,3,0,29,19,6,7,5,0,34,21,0,3,0,0,24,35,0,3,3,0,37,26,3,10,0,3,40,9,0,10,3,0,24,3,4,0,0,0,9,3,0,0,3,0,10,5,0,4,3,0,13,259,20,38,29,7,350,40,10,10,7,3,67,22,0,0,4,4,38,884,134,185,109,30,1342
LGA11650,27,5784,5469,784,605,56,53,6971,5862,867,680,66,51,7522,5737,837,652,84,72,7385,5081,652,575,84,45,6440,2671,436,395,50,33,3580,660,236,189,31,16,1129,110,81,67,19,4,282,31,24,32,28,3,116,46826,5119,4477,526,407,57355,5712,13,33,24,61,5847,4262,21,102,30,30,4444,2476,45,203,31,34,2791,2754,122,314,55,27,3270,2879,189,430,79,28,3608,3177,221,505,82,30,4016,3194,258,514,99,41,4101,3177,225,452,79,37,3966,3072,252,508,100,42,3975,2271,223,434,96,25,3055,1025,208,289,73,26,1621,366,119,138,62,9,692,118,47,64,28,8,259,34483,1934,3979,842,396,41635,3204,151,226,61,76,3721,1318,114,133,84,232,1886,85835,7324,8816,1517,1114,104601
LGA11700,0,14,15,3,3,3,0,28,12,0,7,3,0,25,16,7,3,3,0,32,15,3,15,4,0,34,26,3,12,8,3,50,7,0,3,4,0,9,0,3,3,5,0,8,0,0,4,3,0,9,161,21,57,31,7,283,0,0,0,0,0,3,3,0,0,0,0,8,3,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,9,0,0,0,0,7,6,0,3,0,0,13,0,0,0,3,0,6,3,0,3,5,0,6,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,48,0,3,7,0,68,9,0,3,0,3,9,11,0,0,8,3,19,225,26,69,47,10,384
LGA11720,5,813,792,98,75,13,7,983,829,112,76,8,13,1041,704,92,78,10,12,892,683,74,89,15,10,871,321,63,66,15,11,475,76,36,25,18,8,158,17,11,9,8,0,38,10,3,5,7,0,32,6527,621,558,120,77,7904,851,0,4,3,12,866,628,0,12,6,6,648,441,4,24,7,6,476,471,15,57,5,6,556,449,10,24,7,6,500,498,25,53,7,5,589,491,22,46,19,9,579,467,19,44,13,7,552,436,22,47,14,6,529,318,28,57,16,0,424,141,29,36,24,3,232,36,15,19,11,0,83,22,6,13,3,0,48,5246,194,429,153,73,6092,493,14,20,8,11,550,210,14,12,20,44,295,12478,838,1019,301,196,14840
LGA11730,7,853,846,103,127,11,9,1094,907,91,148,25,16,1180,940,126,135,38,13,1250,882,94,162,43,13,1194,460,83,130,38,8,718,110,32,60,24,0,232,24,10,30,16,8,83,8,15,23,15,3,65,6857,671,1020,235,97,8880,696,0,0,8,11,719,419,0,9,5,8,434,355,3,13,4,4,383,355,12,29,8,3,405,429,15,60,7,7,517,465,16,72,14,9,579,540,18,69,18,8,657,579,29,81,25,12,733,623,30,115,30,12,821,500,37,95,32,8,676,186,21,76,35,3,323,70,5,42,16,3,140,36,3,28,22,3,94,5250,204,693,228,92,6473,521,16,60,21,26,647,205,15,35,35,61,358,12837,912,1808,519,278,16352
LGA11750,4,170,154,11,11,4,3,182,120,9,19,3,0,152,153,13,14,15,4,207,126,8,16,15,0,169,66,8,15,6,0,97,17,4,15,3,0,42,0,0,8,10,0,13,0,3,3,11,0,13,1312,80,141,79,17,1632,39,0,0,0,0,39,34,0,0,0,0,37,41,0,3,4,0,45,52,0,10,3,0,62,37,3,3,0,4,50,35,0,0,7,0,40,31,0,0,3,0,35,38,3,7,0,0,47,27,0,5,3,0,31,31,0,8,3,0,37,8,0,0,3,0,14,0,0,3,3,0,6,7,0,0,0,0,8,378,8,41,23,4,462,95,0,7,5,3,111,47,0,0,9,8,66,1831,98,190,120,35,2274
LGA11800,14,1526,1584,168,179,33,11,1984,1637,215,235,25,20,2130,1552,212,226,30,20,2038,1440,166,180,46,19,1852,760,132,172,30,10,1104,204,50,80,17,4,353,29,21,18,8,0,70,6,8,5,4,0,28,12618,1187,1479,261,115,15655,1424,0,6,17,12,1457,972,4,26,7,8,1023,737,10,35,14,11,811,806,15,77,4,10,913,804,28,89,14,5,950,921,52,140,20,10,1154,916,61,130,31,9,1153,984,62,115,22,8,1201,1035,57,143,30,12,1280,766,54,145,47,12,1021,306,45,85,39,3,475,96,19,32,17,4,163,30,3,21,15,4,70,9793,417,1046,284,118,11666,857,36,79,27,27,1027,357,20,45,27,77,523,23621,1661,2654,602,337,28868
LGA12000,0,55,38,9,12,7,0,69,50,4,19,4,0,78,34,11,26,7,4,78,38,4,26,6,6,82,19,12,13,10,0,49,3,3,6,11,0,22,3,6,7,6,0,16,0,0,9,5,0,17,359,55,146,58,14,634,46,0,0,9,0,55,22,0,0,0,0,21,22,0,3,0,0,21,12,0,0,0,0,15,21,3,8,0,0,30,19,3,7,4,0,34,20,3,9,0,0,36,28,3,7,0,0,38,17,0,3,3,0,28,23,0,4,0,0,31,5,0,3,5,0,16,5,0,4,0,0,10,0,6,3,0,0,9,242,13,58,23,0,338,13,0,7,3,0,26,19,0,6,0,3,28,635,71,219,89,19,1030
LGA12150,3,54,50,5,17,3,0,81,67,19,20,9,0,116,65,18,21,18,4,122,65,8,28,20,0,120,40,4,32,17,0,94,14,9,7,8,0,37,3,3,10,6,0,29,0,0,7,10,0,15,554,76,174,105,18,927,25,0,0,3,0,28,23,0,0,0,0,28,23,0,3,0,4,27,24,0,3,0,0,29,30,0,0,0,0,36,29,0,0,0,0,31,39,0,4,3,0,46,19,3,0,0,0,30,38,0,0,4,0,49,23,0,4,3,0,35,15,3,3,3,0,27,5,0,5,0,0,11,0,0,10,4,0,8,291,10,34,28,17,377,38,7,10,6,4,65,34,3,4,9,5,60,920,94,230,149,42,1433
LGA12350,9,266,205,30,43,9,7,289,247,22,55,11,5,336,237,41,48,8,5,337,185,24,69,11,4,283,150,21,61,11,4,255,47,12,42,10,3,111,8,5,21,19,0,48,5,0,21,8,3,33,1997,188,442,95,43,2766,183,0,0,5,0,193,116,0,4,3,0,123,96,3,3,3,0,105,88,7,14,7,3,116,91,3,22,6,0,114,115,5,16,3,0,139,128,6,15,12,0,162,117,3,25,6,3,159,117,3,17,3,0,148,91,7,31,11,0,145,50,6,14,10,5,91,14,4,22,3,4,48,3,0,14,11,0,30,1205,53,202,87,25,1573,123,5,19,7,3,150,44,0,6,20,20,88,3368,246,666,205,93,4581
