LGA_CODE_2016,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20more_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20more_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20more_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20more_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20more_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20more_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20more_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20more_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20more_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20more_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20more_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20more_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20more_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20more_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20more_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20more_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20more_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20more_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20more_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20more_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20more_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20more_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20more_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20more_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20more_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20more_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20more_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20more_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20more_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20more_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20more_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20more_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20more_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20more_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20more_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20more_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20more_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20more_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20more_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20more_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
LGA10050,14,10,0,0,23,0,0,0,0,0,20,69,21,0,108,3,0,0,0,5,41,167,12,5,223,10,45,8,0,65,11,112,22,0,144,7,62,18,3,94,24,37,13,3,68,6,11,3,0,20,18,35,0,0,49,20,33,3,0,54,42,96,5,0,142,20,27,6,0,49,3,3,3,0,12,8,8,5,0,20,43,86,7,0,142,7,14,0,0,20,26,74,8,0,103,25,54,3,0,75,332,941,138,12,1427,26,13,0,0,36,0,0,0,0,0,34,38,0,0,73,0,0,0,0,0,209,66,3,3,277,15,16,0,0,33,64,61,4,0,126,22,62,0,0,90,45,16,0,0,64,15,0,0,0,15,9,3,0,0,17,11,3,0,0,12,122,47,4,3,182,67,21,0,3,91,3,0,3,0,9,54,8,0,0,61,169,46,6,3,218,19,8,0,0,21,139,80,0,0,219
LGA10130,47,56,3,3,110,0,0,0,0,0,5,7,3,0,17,0,3,0,0,3,13,67,3,7,83,3,25,3,0,27,6,55,8,0,73,11,40,6,0,55,10,20,5,0,37,4,3,0,0,6,6,14,0,0,21,6,16,0,0,28,26,39,10,0,67,5,18,0,0,22,0,3,0,0,3,9,3,0,0,11,22,36,0,0,62,3,3,0,0,6,4,30,0,0,34,10,19,0,0,28,192,449,41,13,696,196,120,0,8,323,0,0,0,0,0,27,18,0,3,50,0,0,0,0,0,101,34,0,4,144,7,3,0,0,14,27,40,3,0,73,21,41,5,0,70,23,6,0,0,35,7,3,0,0,6,5,0,0,0,6,3,5,0,0,6,66,30,15,0,112,27,10,0,0,36,6,3,0,0,5,56,3,3,0,59,62,19,0,0,80,7,3,0,0,13,42,38,0,0,77
LGA10250,24,34,4,0,64,0,0,0,0,0,14,37,7,0,50,3,3,0,0,7,49,92,6,3,152,5,29,3,0,41,17,69,13,0,99,10,68,7,0,87,17,27,0,0,48,7,8,0,0,13,23,27,0,0,42,18,33,11,0,59,65,97,3,3,165,14,31,0,0,42,0,3,0,0,7,10,6,0,0,26,30,57,7,0,94,11,11,0,0,23,12,33,0,0,45,31,25,0,3,63,361,685,65,12,1120,168,55,0,4,230,4,0,0,0,4,51,17,0,0,77,4,0,0,0,10,217,85,0,4,301,15,7,0,0,18,66,73,3,0,150,34,65,3,3,99,26,19,3,0,47,13,3,0,0,15,15,5,0,0,21,11,3,0,0,18,156,50,6,0,211,78,12,0,0,94,5,0,0,0,6,66,10,0,3,76,160,33,0,3,198,45,9,0,0,55,114,44,0,0,163
LGA10300,7,36,6,5,49,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,9,0,0,12,0,0,0,0,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,17,63,6,5,87,15,27,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,3,0,0,16,0,0,0,0,0,5,3,0,0,13,5,3,0,0,10,8,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,14
LGA10470,14,41,3,0,61,0,0,0,0,0,13,44,7,3,64,0,7,0,0,10,57,138,13,3,210,3,26,6,3,34,9,71,14,0,88,0,53,14,0,71,26,23,7,0,64,3,5,0,0,4,9,15,0,0,28,9,14,5,0,25,25,70,11,0,109,18,29,3,0,53,0,9,0,0,9,3,3,0,0,5,15,28,0,0,50,0,0,3,0,3,11,36,3,0,42,16,17,0,3,35,231,630,91,17,973,120,79,0,3,199,0,0,0,0,0,34,15,0,0,49,9,0,0,0,9,156,74,0,6,231,5,4,0,0,11,40,32,0,0,82,28,39,0,0,69,30,15,0,0,46,5,0,0,0,5,0,5,0,0,8,22,4,0,0,21,100,23,6,0,126,47,14,0,0,61,0,0,0,0,3,42,9,0,0,49,79,20,0,0,104,24,4,0,4,34,93,53,0,4,154
LGA10550,26,45,0,0,66,0,0,0,0,0,11,28,4,0,44,0,0,0,0,4,53,86,0,3,145,3,14,0,3,20,17,78,8,0,101,22,81,3,0,108,6,43,3,0,58,6,7,0,0,14,3,6,0,0,10,13,30,0,0,47,37,54,9,0,96,14,17,0,0,33,0,3,3,0,6,7,10,0,0,19,15,34,5,0,49,5,16,3,0,20,7,30,0,0,42,12,9,0,0,23,259,597,35,7,899,177,96,0,10,285,0,0,0,0,0,37,19,4,3,63,0,0,0,0,0,171,56,0,7,237,7,4,0,0,19,56,57,3,7,125,57,84,0,0,140,14,17,0,0,29,9,0,0,0,9,5,0,0,0,7,3,3,0,0,6,89,22,3,0,114,61,17,0,0,80,3,3,0,0,4,41,3,0,6,50,88,25,3,3,114,31,3,0,0,37,84,39,0,3,123
LGA10600,5,8,0,3,20,0,0,0,0,0,4,9,0,0,10,0,0,0,0,0,9,14,3,0,26,0,5,0,0,9,0,16,0,0,22,6,21,3,0,25,4,9,0,0,9,3,0,0,0,3,0,0,0,0,0,3,5,0,0,7,18,10,0,0,30,0,8,0,0,4,0,0,0,0,0,3,3,0,0,11,0,12,0,0,12,0,0,0,0,0,3,13,0,0,13,5,7,0,0,14,71,145,8,4,227,98,27,0,4,126,0,0,0,0,0,31,9,0,0,41,3,0,0,0,3,66,11,0,0,85,3,0,0,0,5,37,17,0,0,65,25,19,0,0,42,9,8,0,0,19,3,0,0,0,3,12,0,0,0,12,10,4,0,0,12,45,8,0,0,51,30,6,0,0,36,3,0,0,0,3,21,3,0,0,21,51,11,0,3,58,15,0,0,0,17,39,13,0,0,46
LGA10650,33,48,0,0,84,0,0,0,0,0,4,7,0,0,16,3,0,0,0,3,10,21,0,0,30,3,10,0,0,9,0,24,4,3,29,4,16,0,0,21,11,16,4,0,24,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,6,9,0,0,14,4,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,10,7,0,0,15,0,3,0,0,7,90,168,12,6,277,89,50,0,3,136,0,0,0,0,0,6,4,0,0,10,0,0,0,0,0,34,10,0,3,41,3,0,0,0,3,10,10,0,0,26,17,14,0,0,36,10,3,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,3,0,0,8,9,3,0,0,9,4,0,0,0,3,9,0,0,0,9,11,9,0,0,14,0,0,0,0,0,16,8,0,0,31
LGA10750,12,11,0,3,29,0,0,0,0,3,136,364,87,0,582,16,26,7,0,52,404,773,103,13,1290,78,211,54,3,350,141,377,25,0,547,35,163,34,7,242,364,278,47,11,698,56,41,5,0,104,68,43,0,0,113,51,121,6,0,188,258,269,12,3,545,112,169,17,3,307,15,44,17,0,72,34,44,5,0,89,143,314,26,5,484,21,25,3,0,49,134,294,18,0,454,158,254,22,6,442,2228,3841,494,60,6623,77,17,0,0,98,0,0,0,0,0,171,77,3,7,250,23,7,3,0,35,647,167,0,12,829,67,24,3,0,90,271,138,8,0,421,100,104,6,0,211,682,63,3,7,755,47,5,0,0,53,47,3,0,0,54,42,13,0,0,56,473,79,0,3,555,342,48,3,3,395,14,6,0,0,20,258,37,0,3,299,538,89,6,3,634,75,13,0,0,92,471,129,0,10,612
LGA10800,27,18,3,3,51,7,4,0,0,10,0,3,0,0,4,0,0,0,0,0,7,3,0,0,15,0,3,3,0,5,0,10,0,4,16,0,14,0,0,14,3,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,13,0,0,15,0,3,3,0,7,47,95,6,11,157,167,123,0,8,301,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,23,5,0,3,26,4,0,0,0,3,6,11,0,0,17,6,7,0,0,12,10,16,0,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,7,7,3,0,0,5,0,0,0,0,0,4,0,0,0,7,17,3,0,0,14,3,0,0,0,3,12,5,0,0,22
