LGA_CODE_2016,CoPSW_2000_2999_H_0,CoPSW_2000_2999_H_1_15,CoPSW_2000_2999_H_16_24,CoPSW_2000_2999_H_25_34,CoPSW_2000_2999_H_35_39,CoPSW_2000_2999_H_40,CoPSW_2000_2999_H_41_48,CoPSW_2000_2999_H_49mo,CoPSW_2000_2999_H_NS,CoPSW_2000_2999_H_Tot,CoPSW_3000mo_H_0,CoPSW_3000mo_H_1_15,CoPSW_3000mo_H_16_24,CoPSW_3000mo_H_25_34,CoPSW_3000mo_H_35_39,CoPSW_3000mo_H_40,CoPSW_3000mo_H_41_48,CoPSW_3000mo_H_49mo,CoPSW_3000mo_H_NS,CoPSW_3000mo_H_Tot,CoPSW_PINS_H_0,CoPSW_PINS_H_1_15,CoPSW_PINS_H_16_24,CoPSW_PINS_H_25_34,CoPSW_PINS_H_35_39,CoPSW_PINS_H_40,CoPSW_PINS_H_41_48,CoPSW_PINS_H_49mo,CoPSW_PINS_H_NS,CoPSW_PINS_H_Tot,CoPSW_Tot_H_0,CoPSW_Tot_H_1_15,CoPSW_Tot_H_16_24,CoPSW_Tot_H_25_34,CoPSW_Tot_H_35_39,CoPSW_Tot_H_40,CoPSW_Tot_H_41_48,CoPSW_Tot_H_49mo,CoPSW_Tot_H_NS,CoPSW_Tot_H_Tot,ClAW_NNI_H_0,ClAW_NNI_H_1_15,ClAW_NNI_H_16_24,ClAW_NNI_H_25_34,ClAW_NNI_H_35_39,ClAW_NNI_H_40,ClAW_NNI_H_41_48,ClAW_NNI_H_49mo,ClAW_NNI_H_NS,ClAW_NNI_H_Tot,ClAW_1_149_H_0,ClAW_1_149_H_1_15,ClAW_1_149_H_16_24,ClAW_1_149_H_25_34,ClAW_1_149_H_35_39,ClAW_1_149_H_40,ClAW_1_149_H_41_48,ClAW_1_149_H_49mo,ClAW_1_149_H_NS,ClAW_1_149_H_Tot,ClAW_150_299_H_0,ClAW_150_299_H_1_15,ClAW_150_299_H_16_24,ClAW_150_299_H_25_34,ClAW_150_299_H_35_39,ClAW_150_299_H_40,ClAW_150_299_H_41_48,ClAW_150_299_H_49mo,ClAW_150_299_H_NS,ClAW_150_299_H_Tot,ClAW_300_399_H_0,ClAW_300_399_H_1_15,ClAW_300_399_H_16_24,ClAW_300_399_H_25_34,ClAW_300_399_H_35_39,ClAW_300_399_H_40,ClAW_300_399_H_41_48,ClAW_300_399_H_49mo,ClAW_300_399_H_NS,ClAW_300_399_H_Tot,ClAW_400_499_H_0,ClAW_400_499_H_1_15,ClAW_400_499_H_16_24,ClAW_400_499_H_25_34,ClAW_400_499_H_35_39,ClAW_400_499_H_40,ClAW_400_499_H_41_48,ClAW_400_499_H_49mo,ClAW_400_499_H_NS,ClAW_400_499_H_Tot,ClAW_500_649_H_0,ClAW_500_649_H_1_15,ClAW_500_649_H_16_24,ClAW_500_649_H_25_34,ClAW_500_649_H_35_39,ClAW_500_649_H_40,ClAW_500_649_H_41_48,ClAW_500_649_H_49mo,ClAW_500_649_H_NS,ClAW_500_649_H_Tot,ClAW_650_799_H_0,ClAW_650_799_H_1_15,ClAW_650_799_H_16_24,ClAW_650_799_H_25_34,ClAW_650_799_H_35_39,ClAW_650_799_H_40,ClAW_650_799_H_41_48,ClAW_650_799_H_49mo,ClAW_650_799_H_NS,ClAW_650_799_H_Tot,ClAW_800_999_H_0,ClAW_800_999_H_1_15,ClAW_800_999_H_16_24,ClAW_800_999_H_25_34,ClAW_800_999_H_35_39,ClAW_800_999_H_40,ClAW_800_999_H_41_48,ClAW_800_999_H_49mo,ClAW_800_999_H_NS,ClAW_800_999_H_Tot,ClAW_1000_1249_H_0,ClAW_1000_1249_H_1_15,ClAW_1000_1249_H_16_24,ClAW_1000_1249_H_25_34,ClAW_1000_1249_H_35_39,ClAW_1000_1249_H_40,ClAW_1000_1249_H_41_48,ClAW_1000_1249_H_49mo,ClAW_1000_1249_H_NS,ClAW_1000_1249_H_Tot,ClAW_1250_1499_H_0,ClAW_1250_1499_H_1_15,ClAW_1250_1499_H_16_24,ClAW_1250_1499_H_25_34,ClAW_1250_1499_H_35_39,ClAW_1250_1499_H_40,ClAW_1250_1499_H_41_48,ClAW_1250_1499_H_49mo,ClAW_1250_1499_H_NS,ClAW_1250_1499_H_Tot,ClAW_1500_1749_H_0,ClAW_1500_1749_H_1_15,ClAW_1500_1749_H_16_24,ClAW_1500_1749_H_25_34,ClAW_1500_1749_H_35_39,ClAW_1500_1749_H_40,ClAW_1500_1749_H_41_48,ClAW_1500_1749_H_49mo,ClAW_1500_1749_H_NS,ClAW_1500_1749_H_Tot,ClAW_1750_1999_H_0,ClAW_1750_1999_H_1_15,ClAW_1750_1999_H_16_24,ClAW_1750_1999_H_25_34,ClAW_1750_1999_H_35_39,ClAW_1750_1999_H_40,ClAW_1750_1999_H_41_48,ClAW_1750_1999_H_49mo,ClAW_1750_1999_H_NS,ClAW_1750_1999_H_Tot,ClAW_2000_2999_H_0,ClAW_2000_2999_H_1_15,ClAW_2000_2999_H_16_24,ClAW_2000_2999_H_25_34,ClAW_2000_2999_H_35_39,ClAW_2000_2999_H_40,ClAW_2000_2999_H_41_48,ClAW_2000_2999_H_49mo,ClAW_2000_2999_H_NS,ClAW_2000_2999_H_Tot,ClAW_3000mo_H_0,ClAW_3000mo_H_1_15,ClAW_3000mo_H_16_24,ClAW_3000mo_H_25_34,ClAW_3000mo_H_35_39,ClAW_3000mo_H_40,ClAW_3000mo_H_41_48,ClAW_3000mo_H_49mo,ClAW_3000mo_H_NS,ClAW_3000mo_H_Tot,ClAW_PINS_H_0,ClAW_PINS_H_1_15,ClAW_PINS_H_16_24,ClAW_PINS_H_25_34,ClAW_PINS_H_35_39,ClAW_PINS_H_40,ClAW_PINS_H_41_48,ClAW_PINS_H_49mo,ClAW_PINS_H_NS,ClAW_PINS_H_Tot,ClAW_Tot_H_0,ClAW_Tot_H_1_15,ClAW_Tot_H_16_24,ClAW_Tot_H_25_34,ClAW_Tot_H_35_39,ClAW_Tot_H_40,ClAW_Tot_H_41_48,ClAW_Tot_H_49mo,ClAW_Tot_H_NS,ClAW_Tot_H_Tot
LGA10050,7,3,8,0,35,12,10,13,0,88,0,3,3,0,3,0,3,0,0,11,3,9,5,7,10,3,7,0,3,47,141,608,519,655,562,293,172,169,53,3160,3,9,0,0,0,0,0,0,0,18,0,39,4,0,0,0,0,3,0,52,0,67,22,11,0,3,3,0,3,108,3,68,46,15,7,3,0,4,3,147,11,54,84,61,20,14,5,0,0,241,9,49,137,151,57,20,12,11,3,446,28,40,74,165,163,61,23,15,4,571,28,15,53,149,284,114,51,20,0,711,23,16,24,61,237,134,77,26,4,610,23,3,10,35,176,82,45,23,0,392,9,9,9,19,65,47,17,29,0,203,3,0,3,8,24,25,17,4,0,87,5,4,5,4,13,24,20,19,0,97,3,9,0,5,3,4,0,8,0,31,3,7,7,4,16,4,3,0,4,50,148,380,465,680,1071,541,271,175,31,3765
LGA10130,3,0,0,0,19,3,3,15,0,44,0,0,0,0,0,0,0,0,0,6,0,0,4,3,7,0,3,0,7,22,69,314,231,294,263,126,64,109,36,1505,0,6,0,0,0,0,0,0,0,8,0,17,0,0,0,0,0,0,3,27,0,34,18,3,0,0,0,0,3,66,3,29,20,12,0,0,3,0,0,69,3,29,38,20,6,3,3,3,0,103,5,30,58,54,23,8,0,4,0,191,10,21,32,69,78,24,8,4,0,253,11,12,27,46,119,39,28,19,0,301,13,10,15,30,135,52,21,14,0,290,7,6,4,9,103,28,19,15,0,191,0,3,3,7,52,24,18,9,0,109,3,3,0,0,19,7,5,11,0,43,0,3,3,3,12,8,4,13,0,44,0,4,0,0,9,0,0,7,0,22,0,0,0,0,9,8,4,3,0,27,66,204,224,256,562,209,113,93,14,1730
LGA10250,5,0,0,4,11,9,8,4,0,37,0,0,0,0,0,0,0,0,0,0,0,7,5,3,3,0,0,0,3,25,68,362,340,546,326,122,73,93,34,1965,0,3,0,0,3,0,0,3,0,14,0,18,0,0,0,0,0,3,0,29,3,34,9,4,0,6,0,0,0,54,3,35,30,8,4,0,0,0,3,92,5,37,52,26,5,4,4,3,0,134,8,27,64,65,31,11,9,10,0,227,5,16,34,83,92,25,15,3,3,286,3,7,27,66,118,37,19,20,0,295,8,9,17,33,102,43,21,15,4,260,5,3,7,9,51,25,12,15,0,126,3,3,6,7,17,7,4,5,0,59,0,4,0,9,10,12,8,5,0,50,0,5,3,4,9,11,5,6,0,43,0,0,0,0,9,4,3,3,0,13,0,0,0,0,5,3,3,0,3,20,56,220,258,321,462,183,105,91,20,1714
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,23,20,12,10,4,3,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,8,0,0,3,10,0,3,0,0,0,14,0,4,0,3,0,0,0,0,0,10,3,0,0,8,3,3,3,3,0,21,0,0,0,0,3,3,0,0,0,14,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,23,12,10,3,9,4,81
LGA10470,10,0,3,3,26,24,7,17,0,95,0,0,0,0,3,0,0,0,0,6,0,4,4,0,6,0,0,4,3,28,121,489,340,414,445,307,110,132,49,2416,0,10,0,0,4,0,0,0,0,19,0,20,0,0,0,0,0,0,0,26,3,46,14,4,0,0,0,3,0,64,6,38,22,5,3,4,0,3,0,80,4,41,42,13,4,7,0,0,0,112,18,34,67,61,27,12,3,3,0,224,12,16,34,84,93,33,8,11,4,298,13,9,28,69,161,63,23,15,0,385,16,7,7,49,189,83,39,20,0,406,17,8,6,12,106,51,30,13,0,250,4,5,5,15,40,29,12,16,0,136,0,0,7,13,10,16,15,6,0,67,3,4,0,0,19,12,8,16,0,70,0,0,3,5,0,3,4,5,0,24,0,0,3,7,8,4,0,0,0,35,98,248,237,338,673,318,148,119,12,2190
LGA10550,3,0,0,0,13,5,4,11,0,39,0,0,0,0,0,0,0,0,0,5,0,3,6,6,5,0,3,0,0,19,72,294,229,348,262,88,63,90,21,1468,0,4,0,0,0,0,0,0,0,10,0,28,0,4,3,0,0,0,0,38,7,45,3,3,4,0,3,3,0,65,6,30,13,10,3,0,0,0,0,64,8,32,39,18,7,3,0,4,0,109,6,34,49,62,25,13,0,3,3,194,13,10,24,63,65,22,14,3,3,211,12,8,24,60,81,35,13,11,0,242,10,5,21,31,65,36,16,17,4,209,4,8,5,12,35,18,10,7,0,104,3,3,0,9,18,10,14,8,0,55,0,0,3,7,5,7,0,7,0,29,0,0,0,0,3,0,3,3,0,19,0,3,0,0,3,0,0,0,0,9,0,5,0,3,0,3,0,0,3,21,60,211,186,276,315,144,75,76,11,1365
LGA10600,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,108,81,104,61,25,20,25,10,452,0,3,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,14,0,3,8,3,3,0,0,0,0,21,3,10,13,5,4,0,0,0,0,37,0,9,20,27,10,3,0,3,0,68,4,6,8,20,11,0,3,0,0,57,0,0,12,11,15,7,3,0,0,59,0,3,3,8,12,7,3,0,0,35,0,0,0,3,6,6,3,0,0,17,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,55,68,75,67,34,18,21,3,359
LGA10650,0,0,0,0,3,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,75,55,70,46,16,18,32,3,334,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,11,0,8,8,0,0,0,0,0,0,12,0,3,17,6,3,3,0,0,0,32,0,8,10,7,8,4,0,0,0,30,3,3,6,14,9,3,0,3,0,51,5,0,5,13,17,6,8,4,0,59,0,3,0,7,10,3,3,3,0,25,0,0,0,0,6,0,0,3,0,18,0,0,0,0,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,38,46,49,51,22,16,18,3,267
LGA10750,16,0,5,16,98,49,38,50,3,278,0,6,0,3,10,3,5,10,3,42,9,14,10,10,17,8,6,7,21,115,323,1475,1491,1678,1947,1236,627,661,196,9635,4,22,13,11,11,9,0,5,3,72,5,152,18,8,8,4,0,3,9,201,11,254,94,22,9,4,0,0,10,416,19,237,191,53,20,17,6,3,7,543,28,160,268,76,54,34,7,13,8,654,28,157,384,316,157,98,17,31,8,1207,49,91,220,429,582,292,63,44,21,1794,63,62,146,382,1030,583,182,124,24,2608,69,41,85,209,1135,834,266,218,32,2898,33,26,58,100,590,458,216,227,20,1734,23,11,35,48,283,286,121,207,9,1020,14,6,11,17,111,140,72,115,8,495,17,15,10,20,80,106,82,151,3,484,3,0,7,12,25,31,18,45,3,155,3,16,23,18,42,34,13,15,23,197,386,1261,1563,1729,4133,2933,1065,1195,191,14452
LGA10800,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,41,34,32,27,13,11,23,3,183,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,3,0,8,4,0,0,0,0,0,0,12,0,5,7,0,0,0,0,0,0,18,0,4,3,6,3,0,0,0,0,23,3,9,13,16,9,0,0,0,0,40,0,3,7,11,10,3,0,0,0,33,3,6,0,9,9,4,0,3,0,29,4,0,0,0,17,3,3,3,0,29,0,0,0,0,0,4,3,3,0,13,0,0,0,0,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,38,33,44,48,26,12,18,3,235
