LGA_CODE_2016,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49mo_Mng,FTS_49mo_Pro,FTS_49mo_TecTW,FTS_49mo_CoPSW,FTS_49mo_ClAW,FTS_49mo_SWks,FTS_49mo_MaOpDv,FTS_49mo_Lab,FTS_49mo_IDNS,FTS_49mo_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49mo_Mng,PTS_49mo_Pro,PTS_49mo_TecTW,PTS_49mo_CoPSW,PTS_49mo_ClAW,PTS_49mo_SWks,PTS_49mo_MaOpDv,PTS_49mo_Lab,PTS_49mo_IDNS,PTS_49mo_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
LGA10050,0,0,0,10,3,39,0,13,0,73,3,34,9,216,29,540,14,188,7,1038,3,4,3,44,9,74,0,23,0,158,3,3,4,18,6,22,0,11,0,65,0,9,10,0,3,5,0,3,0,38,0,4,3,0,0,0,0,0,0,11,0,0,3,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,9,4,0,0,8,4,14,0,9,6,51,17,49,48,316,55,695,15,251,17,1455,0,0,0,0,0,0,0,3,0,9,0,4,5,12,5,27,3,6,0,61,0,0,3,17,0,8,3,3,0,40,0,6,10,20,4,18,0,3,0,56,3,26,73,12,21,9,3,0,0,149,4,9,60,7,8,9,0,0,0,90,4,0,24,4,3,0,0,3,0,40,0,3,10,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,5,12,50,186,71,37,71,12,26,5,464
LGA10130,0,7,3,18,4,26,0,22,0,84,9,31,17,127,26,253,17,114,3,600,4,4,5,34,4,61,6,22,0,147,3,0,6,20,4,14,3,4,0,54,0,0,3,3,6,4,0,0,0,19,0,0,5,3,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,6,0,18,9,14,0,6,9,57,18,50,48,220,57,367,24,174,18,972,0,0,0,3,0,0,0,5,0,9,0,0,3,7,5,16,5,6,0,47,0,3,0,9,3,3,0,7,0,31,0,9,3,17,4,11,0,0,0,46,3,10,20,11,12,12,0,5,0,69,3,3,15,3,0,4,0,0,0,26,0,3,9,3,3,3,0,0,0,23,3,0,6,0,3,3,0,0,0,21,0,0,0,3,0,0,0,3,0,9,11,34,60,61,30,50,9,22,0,281
LGA10250,0,0,0,7,0,23,0,10,0,41,0,10,4,98,19,277,8,136,0,562,0,0,4,30,3,35,0,16,0,90,0,3,0,8,4,5,3,7,0,32,0,0,0,3,5,0,0,0,0,12,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,4,3,18,3,10,17,153,36,351,17,170,8,758,0,0,0,3,0,4,0,0,0,6,0,0,5,8,0,11,0,11,3,35,0,0,0,4,0,13,0,3,0,30,0,0,5,9,0,10,0,4,0,32,3,0,43,8,7,7,0,0,0,66,4,0,24,0,0,0,0,4,0,32,0,4,4,0,0,0,0,0,0,10,0,0,5,0,0,5,3,0,0,15,0,0,0,0,0,0,0,0,0,3,3,8,93,36,16,44,0,17,3,227
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,11
LGA10470,0,4,5,22,0,31,0,10,4,79,16,28,8,228,26,312,4,148,6,772,3,5,6,55,4,56,4,23,0,149,3,5,0,23,0,16,0,5,0,70,0,3,10,3,3,5,0,3,0,34,0,3,3,3,0,0,0,3,0,14,0,0,4,3,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,5,0,3,0,18,0,7,0,5,12,51,26,54,38,358,40,431,10,199,21,1182,0,0,0,5,0,0,0,0,0,12,0,7,0,15,3,10,0,6,0,45,0,3,0,22,0,12,0,6,0,39,0,6,5,13,3,8,0,4,0,45,0,8,40,14,3,9,0,3,0,74,0,14,44,10,7,3,0,0,0,80,0,0,22,3,4,0,0,0,0,30,5,3,14,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,0,3,8,32,129,76,26,43,3,24,0,347
LGA10550,0,0,0,3,0,11,0,9,0,30,0,0,9,63,5,185,0,90,3,357,0,0,3,8,0,8,0,6,0,27,0,0,0,3,0,3,0,0,0,7,0,0,9,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,6,16,3,0,26,87,5,208,0,109,13,450,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,17,0,0,0,0,0,6,0,0,0,13,0,3,3,3,0,3,0,3,0,19,0,4,28,7,4,3,0,3,0,50,0,0,21,0,3,3,0,3,0,26,3,0,3,0,3,0,0,0,0,14,0,0,11,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,3,9,65,22,13,24,0,15,0,155
LGA10600,0,0,0,0,0,0,0,0,0,5,0,0,3,23,3,40,4,30,0,104,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,3,28,3,45,4,42,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,0,0,9,0,3,0,0,0,0,16,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,3,3,0,0,4,0,35
LGA10650,0,0,0,0,0,3,0,0,0,4,0,0,0,11,0,23,5,20,0,61,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,16,0,27,0,19,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,4,3,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,3,4,0,4,0,41
LGA10750,8,11,13,36,10,140,8,71,3,287,28,152,59,514,183,1871,84,733,35,3660,32,51,46,227,86,515,95,234,15,1300,19,17,17,77,19,114,13,57,3,344,13,13,30,18,15,19,3,8,4,112,7,13,21,17,10,13,9,4,0,94,4,3,10,3,3,4,6,4,3,35,3,0,4,14,3,3,0,3,0,29,3,6,9,24,9,47,4,23,46,174,111,263,201,929,338,2732,222,1135,111,6045,0,0,10,5,3,5,0,3,3,23,0,15,10,51,16,80,15,46,3,237,12,15,9,60,31,67,28,41,0,260,5,12,40,38,17,40,9,12,4,184,7,24,177,47,31,23,20,10,7,343,15,25,197,47,27,13,12,8,3,346,3,6,82,15,11,8,0,5,0,133,5,9,60,7,8,3,3,7,0,104,0,0,8,3,8,11,0,0,11,43,50,120,598,274,146,258,88,128,24,1682
LGA10800,0,0,0,0,0,0,0,5,0,7,4,0,0,3,0,16,0,19,0,44,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,4,3,3,6,0,19,5,27,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,3,0,0,0,0,11,3,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,3,4,3,0,3,0,30
