LGA_CODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
LGA10050,41,174,117,92,90,79,35,88,23,731,13,64,28,20,6,16,10,19,6,187,11,35,16,8,3,3,7,4,13,106,970,3114,2598,3409,4962,3909,2389,3045,424,24820
LGA10130,24,99,61,44,48,51,21,101,6,461,4,56,29,23,12,19,9,59,8,223,12,27,21,16,5,14,11,28,7,142,496,1834,1356,1592,2772,1818,1046,1951,252,13113
LGA10250,40,145,123,87,61,52,20,72,13,607,12,70,32,20,16,29,8,28,10,226,8,40,19,15,5,21,9,16,9,146,486,2078,1898,2356,2837,2082,1047,1863,291,14940
LGA10300,4,4,0,4,5,3,0,11,0,38,0,3,0,3,0,0,0,0,0,14,0,0,3,3,0,0,0,0,0,11,28,72,85,113,133,127,58,200,25,844
LGA10470,28,111,71,55,58,77,34,104,5,553,19,63,34,32,14,20,8,29,5,223,7,47,19,15,9,15,3,22,11,140,676,2240,1724,1964,3664,2924,1439,2426,332,17376
LGA10550,30,139,93,60,57,39,33,82,16,547,21,54,23,32,12,25,7,30,11,205,8,30,18,20,8,12,3,17,8,119,533,1745,1391,1788,2095,1658,939,1558,245,11960
LGA10600,4,41,30,30,16,16,7,30,4,178,7,15,10,17,3,7,0,15,0,78,0,16,5,3,9,7,0,14,5,59,143,592,467,594,543,445,234,524,82,3625
LGA10650,8,34,25,19,13,13,6,38,11,158,9,19,7,7,0,3,6,18,4,77,3,16,5,3,3,0,3,10,5,57,124,355,282,322,364,381,196,611,80,2709
LGA10750,101,335,335,284,444,397,187,314,67,2475,17,179,123,75,100,91,28,77,25,720,14,66,48,32,15,31,6,20,29,257,2883,10285,9870,10573,23900,21844,9728,15561,2500,107142
LGA10800,10,15,18,6,9,13,4,42,9,125,4,6,12,8,3,3,0,18,5,55,3,13,3,7,4,12,0,17,6,72,93,268,223,258,304,386,205,780,78,2594
LGA10850,12,18,11,14,7,12,5,26,0,97,5,17,9,12,3,5,3,20,7,82,3,13,5,5,3,9,7,16,4,67,130,287,221,243,345,346,362,928,60,2918
LGA10900,39,250,155,127,65,75,35,91,13,849,15,121,62,37,22,19,9,18,4,290,7,56,27,22,4,12,3,16,6,150,596,3377,2707,2718,2654,2574,1262,2249,288,18417
LGA10950,3,3,9,7,3,10,3,17,0,55,0,3,0,4,0,3,0,5,7,25,4,3,3,9,0,4,3,17,3,40,42,102,95,125,156,174,152,418,39,1295
LGA11100,41,113,121,101,179,221,89,108,16,989,8,60,38,24,41,43,21,24,6,272,3,30,28,18,12,10,3,8,5,124,1722,3025,4228,4754,9594,11002,5173,7049,995,47543
LGA11150,3,9,6,3,3,8,0,12,0,50,0,8,3,3,0,3,0,3,0,23,0,3,0,0,0,7,0,3,3,14,31,68,58,106,238,190,84,242,27,1054
LGA11200,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,6,17,22,21,23,14,41,3,162
LGA11250,13,48,34,18,20,27,13,37,3,213,4,20,7,10,8,8,5,10,6,69,8,8,4,0,0,4,4,3,8,48,316,749,565,805,1433,1090,560,1176,169,6856
LGA11300,21,84,88,73,65,86,32,63,8,518,7,46,29,20,24,19,3,14,0,168,8,33,22,4,10,10,0,7,3,96,506,2193,2130,1874,3466,3397,1295,1792,347,16995
LGA11350,19,143,72,62,33,47,15,48,10,452,7,58,25,22,10,7,6,16,6,155,0,30,18,3,6,8,7,10,16,91,408,2203,1865,2215,1893,1885,787,1454,298,12998
LGA11400,14,31,25,31,21,36,23,68,8,246,4,25,16,17,11,17,14,38,4,146,0,12,16,14,11,15,8,21,11,113,160,415,371,456,549,703,462,1102,93,4309
LGA11450,36,96,84,72,61,90,31,85,16,577,5,40,30,21,16,22,3,19,9,164,4,27,12,4,8,8,3,5,11,84,715,3076,2557,2768,4409,4558,2177,3905,512,24684
LGA11500,44,192,178,153,197,167,71,140,31,1175,9,87,72,46,45,49,10,36,11,358,8,43,19,20,4,3,7,9,7,130,1423,5638,4827,5230,10691,8956,4176,6052,1035,48022
LGA11520,32,189,144,90,112,124,45,91,12,840,10,90,58,30,28,34,17,38,12,324,10,53,20,15,5,17,3,21,11,143,953,3357,3700,3163,6366,7901,2909,4555,664,33558
LGA11570,89,419,402,316,443,427,159,309,40,2598,35,199,172,104,115,131,28,81,26,886,22,119,52,52,39,66,10,36,20,422,2484,10527,10361,9812,20705,19384,7982,11994,2389,95636
LGA11600,3,8,3,3,9,3,5,26,3,60,4,3,0,3,0,4,0,7,0,19,3,11,0,3,0,0,0,11,0,31,67,118,93,135,172,196,94,421,38,1342
LGA11650,138,691,561,375,357,327,127,317,55,2945,47,353,203,128,81,75,24,95,33,1051,27,149,69,46,25,38,14,40,52,453,3721,14632,13123,13883,19715,17614,7878,12150,1886,104601
