LGA_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
LGA10050,23,60,11,13,106,14311,9114,970,424,24820
LGA10130,60,62,12,7,142,7589,4777,496,252,13113
LGA10250,49,81,8,9,146,7830,6331,486,291,14940
LGA10300,0,3,0,0,11,517,272,28,25,844
LGA10470,45,78,7,11,140,10452,5921,676,332,17376
LGA10550,40,62,8,8,119,6257,4930,533,245,11960
LGA10600,24,30,0,5,59,1743,1653,143,82,3625
LGA10650,18,29,3,5,57,1547,960,124,80,2709
LGA10750,71,141,14,29,257,71029,30726,2883,2500,107142
LGA10800,34,24,3,6,72,1676,748,93,78,2594
LGA10850,30,22,3,4,67,1978,750,130,60,2918
LGA10900,33,100,7,6,150,8737,8801,596,288,18417
LGA10950,19,12,4,3,40,904,320,42,39,1295
LGA11100,42,74,3,5,124,32815,12001,1722,995,47543
LGA11150,8,3,0,3,14,761,232,31,27,1054
LGA11200,0,0,0,0,0,93,50,11,3,162
LGA11250,10,14,8,8,48,4260,2114,316,169,6856
LGA11300,25,65,8,3,96,9946,6194,506,347,16995
LGA11350,28,50,0,16,91,6014,6286,408,298,12998
LGA11400,53,48,0,11,113,2811,1239,160,93,4309
LGA11450,24,49,4,11,84,15053,8401,715,512,24684
LGA11500,28,84,8,7,130,29870,15699,1423,1035,48022
LGA11520,42,85,10,11,143,21726,10215,953,664,33558
LGA11570,151,222,22,20,422,60067,30698,2484,2389,95636
LGA11600,7,13,3,0,31,883,350,67,38,1342
LGA11650,116,259,27,52,453,57355,41635,3721,1886,104601
LGA11700,9,0,0,0,11,283,68,9,19,384
LGA11720,32,48,6,7,92,7904,6092,550,295,14840
LGA11730,65,94,8,19,188,8880,6473,647,358,16352
LGA11750,13,8,0,3,24,1632,462,111,66,2274
LGA11800,28,70,8,23,122,15655,11666,1027,523,28868
LGA12000,17,9,0,0,24,634,338,26,28,1030
LGA12150,15,8,4,3,30,927,377,65,60,1433
LGA12350,33,30,3,11,77,2766,1573,150,88,4581
LGA12380,82,110,10,16,223,48876,20649,1760,1726,73013
LGA12700,28,33,3,3,63,1127,896,90,57,2170
LGA12730,23,22,0,3,46,2228,1239,159,72,3697
LGA12750,26,48,5,10,92,5955,5283,474,262,11976
LGA12850,67,86,13,18,179,36419,17785,1331,1590,57129
LGA12870,20,21,5,8,52,2970,1568,223,124,4879
LGA12900,33,26,8,14,88,2458,1186,156,113,3905
LGA12930,54,160,7,5,233,24401,15982,1357,947,42681
LGA12950,38,17,0,0,53,977,491,57,50,1573
LGA13010,31,32,8,6,78,1751,1107,122,79,3062
LGA13310,23,51,3,3,82,6669,3688,388,236,10978
LGA13340,37,36,6,11,92,2026,1069,144,87,3323
LGA13450,24,50,3,9,88,7815,3593,412,279,12095
LGA13510,28,35,4,9,82,2454,1425,141,109,4132
LGA13550,33,23,4,7,64,3060,1531,168,100,4856
LGA13660,31,20,3,3,65,1269,565,77,46,1956
LGA13800,51,87,5,6,152,14780,8218,647,481,24127
LGA13850,10,8,0,0,18,778,386,51,46,1264
LGA13910,36,33,0,0,75,3217,1718,178,130,5247
LGA14000,81,196,14,17,312,22463,15520,1157,722,39859
LGA14100,12,40,0,4,48,2343,1840,128,73,4382
LGA14170,100,190,13,14,315,38221,21544,1671,1260,62692
LGA14200,50,42,8,21,121,3713,2201,230,180,6323
LGA14300,12,14,0,4,28,1195,525,71,36,1830
LGA14350,31,39,6,14,90,4945,3687,416,289,9338
LGA14400,15,34,0,3,53,2401,2665,199,78,5346
LGA14500,63,322,14,16,413,15340,13450,882,472,30154
LGA14550,35,24,0,11,72,1534,1051,78,66,2729
LGA14600,35,24,3,3,65,1430,679,93,73,2281
LGA14650,57,151,14,22,237,31640,23326,2123,929,58009
LGA14700,25,68,8,3,102,10662,4737,392,246,16037
LGA14750,26,23,3,7,61,3087,1199,168,109,4565
LGA14850,55,66,7,30,162,11088,7912,653,385,20041
LGA14870,20,38,3,5,62,4546,2465,292,158,7458
LGA14900,74,114,19,20,227,41268,18931,1741,1528,63465
LGA14920,25,27,3,3,61,1687,803,93,75,2659
LGA14950,13,10,0,3,24,519,316,30,13,884
LGA15050,29,55,3,16,113,15355,10081,890,423,26746
LGA15240,92,129,16,40,282,13855,11240,1196,630,26930
LGA15270,65,55,7,9,134,5818,3164,359,189,9530
LGA15300,39,25,15,0,74,3746,1361,218,152,5479
LGA15350,32,95,11,3,141,4660,3717,219,125,8719
LGA15520,37,36,8,3,82,2553,1434,186,111,4283
LGA15560,13,14,3,4,32,1065,436,100,50,1649
LGA15650,19,26,0,3,44,5612,2383,350,178,8517
LGA15700,33,21,6,5,68,2821,2257,200,124,5411
LGA15750,29,22,6,13,73,4262,1641,258,149,6309
LGA15800,17,23,0,3,45,1289,655,94,58,2093
LGA15850,12,10,3,4,33,1245,481,57,45,1833
LGA15900,76,212,20,44,345,59731,32551,3686,1533,97502
