LGA_CODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA10050,35,22,5,1033,859,18,57,29,9,972,922,49,122,35,18,1136,1325,38,119,30,14,1524,2133,89,184,24,25,2457,2791,130,202,21,20,3165,3235,144,193,15,22,3615,2846,186,196,18,31,3279,1986,145,125,18,19,2295,1439,174,96,5,5,1717,1008,88,52,3,3,1159,1106,138,97,9,11,1349,253,197,83,4,0,540,340,21,27,10,24,423,21265,1427,1611,294,214,24820
LGA10130,28,26,4,560,532,30,50,40,7,663,551,20,74,47,12,702,691,37,95,49,13,886,1067,51,124,39,19,1300,1405,76,141,41,16,1684,1334,92,146,24,5,1598,1300,86,159,24,9,1575,843,71,72,13,3,993,778,63,70,5,8,926,556,31,33,4,5,623,762,53,57,11,6,888,211,67,57,0,0,338,165,12,24,14,16,240,10745,696,1145,392,132,13113
LGA10250,50,30,6,671,412,6,109,31,17,580,601,42,124,39,17,822,893,44,168,28,12,1154,1402,90,220,42,19,1774,1798,98,231,20,19,2164,1712,117,239,33,16,2125,1346,147,212,20,14,1738,766,97,126,14,3,1010,580,126,120,13,6,839,520,70,61,7,0,655,485,119,85,8,4,698,139,133,80,8,4,368,150,16,28,9,23,228,11420,1120,1876,351,181,14940
LGA10300,0,0,0,9,24,0,8,5,4,36,40,5,9,4,0,54,47,3,9,0,3,59,62,15,16,9,0,96,86,8,14,4,0,114,104,12,7,11,6,136,77,6,16,3,0,103,50,15,4,0,0,69,28,3,5,4,0,40,13,11,4,0,0,28,17,4,4,5,0,29,5,6,10,0,0,19,14,3,4,5,0,19,567,87,105,63,14,844
LGA10470,27,20,20,701,610,17,77,47,14,769,649,27,92,36,17,819,857,35,110,32,12,1043,1382,69,164,39,21,1682,1749,75,148,30,24,2027,2018,127,139,28,14,2323,1861,136,146,17,17,2184,1302,88,95,16,9,1505,1134,120,84,14,16,1369,915,53,47,8,4,1021,946,99,80,4,0,1121,232,88,54,9,3,389,206,12,26,14,20,274,14529,973,1313,366,199,17376
LGA10550,57,28,5,533,394,29,135,47,14,616,467,34,132,39,21,692,705,36,145,32,22,942,1091,100,200,29,15,1430,1238,116,193,32,14,1592,1361,113,156,28,23,1680,1185,120,155,13,19,1490,679,95,106,12,9,905,505,86,57,6,10,664,388,27,44,3,3,474,334,69,32,3,8,447,96,43,43,5,3,188,136,23,20,11,15,206,9035,899,1494,339,195,11960
LGA10600,18,8,0,155,113,4,56,30,4,207,127,9,75,19,9,232,208,13,73,8,8,315,305,18,118,17,14,468,369,33,83,5,8,501,330,27,79,8,8,460,296,22,53,3,0,375,189,25,36,6,6,258,126,13,24,3,0,171,100,10,10,7,0,132,119,17,17,3,0,151,40,12,21,0,0,68,39,8,16,11,10,73,2488,227,682,161,65,3625
LGA10650,7,9,3,94,69,11,22,22,3,125,104,19,33,15,8,176,143,25,34,12,0,216,238,36,48,29,7,351,276,32,40,6,9,363,304,27,41,12,4,383,224,30,48,10,3,319,136,27,15,8,3,190,94,18,28,6,0,145,59,13,7,0,0,79,55,23,12,7,0,100,9,14,13,7,0,47,36,4,10,3,9,60,1819,277,366,187,59,2709
LGA10750,187,84,34,3496,3372,105,364,106,58,4004,3431,193,421,126,61,4229,4197,245,518,92,84,5133,6720,512,683,109,112,8131,10410,587,759,75,126,11953,13591,793,698,83,150,15311,14403,922,674,40,112,16151,9700,731,425,29,61,10946,7719,672,269,28,39,8728,5521,400,165,8,34,6130,6451,644,235,16,31,7372,2246,622,197,18,25,3102,1414,114,82,31,104,1738,92699,6623,5748,1034,1041,107142
LGA10800,4,9,3,84,60,3,30,17,0,109,85,6,24,19,6,133,118,6,33,18,3,190,205,17,45,28,3,296,176,13,27,24,7,245,196,24,69,19,3,305,202,25,63,17,0,304,134,15,45,6,0,200,140,15,32,6,3,196,76,7,23,3,0,111,153,8,22,7,0,192,40,8,31,12,4,100,31,4,14,11,4,67,1689,157,480,231,42,2594
LGA10850,12,13,4,114,64,7,22,21,3,117,73,0,16,20,3,120,77,9,24,7,0,120,124,8,38,18,6,191,214,13,40,12,3,287,205,25,53,5,3,286,233,28,43,12,0,315,221,23,26,0,0,262,218,18,21,8,3,266,218,8,13,3,0,250,335,12,12,0,0,369,110,10,15,4,0,133,30,3,12,3,4,57,2217,156,350,151,40,2918
LGA10900,100,26,8,1009,833,43,204,41,11,1125,831,73,226,43,18,1192,1099,66,226,34,16,1437,1612,116,324,37,15,2101,1754,130,308,26,23,2238,1758,163,314,20,17,2274,1520,210,286,21,9,2052,955,161,186,12,14,1321,781,143,145,17,11,1087,656,84,88,5,0,834,636,172,112,11,3,939,183,98,76,3,5,368,202,21,40,5,17,284,13729,1485,2670,369,165,18417
LGA10950,0,3,3,32,26,4,4,10,4,48,39,0,7,9,3,58,42,5,8,8,0,69,64,8,16,11,0,101,92,3,16,3,0,114,115,0,19,5,3,142,131,4,26,13,4,179,85,5,8,3,0,105,105,8,19,0,0,133,70,3,9,4,3,86,101,3,11,3,0,119,38,11,11,3,0,58,25,0,10,8,0,46,954,52,177,88,21,1295
LGA11100,40,13,7,801,936,19,55,15,19,1041,1172,44,90,12,17,1334,1499,53,110,24,27,1717,2553,134,163,25,40,2909,3888,185,160,25,44,4306,5589,214,189,26,60,6081,6221,250,178,16,51,6713,4588,211,120,10,28,4958,3852,252,89,3,16,4217,2911,168,57,7,16,3155,4925,278,82,6,17,5306,3618,343,53,5,20,4034,624,31,38,13,40,741,43253,2206,1435,235,414,47543
LGA11150,9,0,0,14,28,0,3,4,4,43,18,3,9,3,0,36,24,3,5,4,0,38,53,3,14,5,0,77,99,5,7,4,0,118,123,5,24,0,5,164,126,3,10,3,4,150,85,6,10,3,3,105,73,0,4,0,4,83,67,0,5,0,0,74,65,4,8,0,0,82,13,3,13,0,0,26,17,0,9,6,10,33,808,42,128,50,31,1054
LGA11200,0,0,0,5,7,0,0,3,0,7,5,0,3,0,0,7,16,0,5,0,0,21,8,0,3,0,0,12,16,0,0,3,0,19,16,0,0,0,0,19,12,6,3,0,0,19,4,0,0,0,0,11,15,0,0,0,0,15,8,0,0,0,0,11,3,0,0,0,0,3,3,3,0,0,0,3,8,0,0,0,0,9,117,11,15,14,0,162
LGA11250,6,5,9,231,226,7,33,11,8,283,248,17,35,13,14,322,338,10,26,18,16,408,563,32,48,7,8,660,657,26,36,6,11,739,691,33,53,3,7,785,737,48,35,3,17,833,543,28,23,3,5,605,503,7,15,0,5,530,448,14,8,3,0,477,583,19,22,0,0,622,116,9,22,0,7,155,107,14,23,0,17,160,5986,268,381,95,126,6856
LGA11300,40,9,11,690,756,16,43,23,11,848,804,27,68,27,16,944,776,47,86,12,18,935,1148,91,98,22,7,1366,1353,127,130,19,18,1651,1599,130,129,19,18,1889,1759,144,114,13,17,2053,1361,107,93,8,7,1578,1180,108,62,9,0,1355,869,75,35,6,3,993,1414,111,57,6,11,1598,485,161,83,5,3,744,189,9,14,0,19,233,14381,1180,1061,222,148,16995
