LGA_CODE_2016,ET_NS_35_39_HW_0,ET_NS_35_39_HW_1_15,ET_NS_35_39_HW_16_24,ET_NS_35_39_HW_25_34,ET_NS_35_39_HW_35_39,ET_NS_35_39_HW_40,ET_NS_35_39_HW_41_48,ET_NS_35_39_HW_49mor,ET_NS_35_39_HW_NS,ET_NS_35_39_Tot,ET_NS_40_44_HW_0,ET_NS_40_44_HW_1_15,ET_NS_40_44_HW_16_24,ET_NS_40_44_HW_25_34,ET_NS_40_44_HW_35_39,ET_NS_40_44_HW_40,ET_NS_40_44_HW_41_48,ET_NS_40_44_HW_49mor,ET_NS_40_44_HW_NS,ET_NS_40_44_Tot,ET_NS_45_49_HW_0,ET_NS_45_49_HW_1_15,ET_NS_45_49_HW_16_24,ET_NS_45_49_HW_25_34,ET_NS_45_49_HW_35_39,ET_NS_45_49_HW_40,ET_NS_45_49_HW_41_48,ET_NS_45_49_HW_49mor,ET_NS_45_49_HW_NS,ET_NS_45_49_Tot,ET_NS_50_54_HW_0,ET_NS_50_54_HW_1_15,ET_NS_50_54_HW_16_24,ET_NS_50_54_HW_25_34,ET_NS_50_54_HW_35_39,ET_NS_50_54_HW_40,ET_NS_50_54_HW_41_48,ET_NS_50_54_HW_49mor,ET_NS_50_54_HW_NS,ET_NS_50_54_Tot,ET_NS_55_59_HW_0,ET_NS_55_59_HW_1_15,ET_NS_55_59_HW_16_24,ET_NS_55_59_HW_25_34,ET_NS_55_59_HW_35_39,ET_NS_55_59_HW_40,ET_NS_55_59_HW_41_48,ET_NS_55_59_HW_49mor,ET_NS_55_59_HW_NS,ET_NS_55_59_Tot,ET_NS_60_64_HW_0,ET_NS_60_64_HW_1_15,ET_NS_60_64_HW_16_24,ET_NS_60_64_HW_25_34,ET_NS_60_64_HW_35_39,ET_NS_60_64_HW_40,ET_NS_60_64_HW_41_48,ET_NS_60_64_HW_49mor,ET_NS_60_64_HW_NS,ET_NS_60_64_Tot,ET_NS_65_69_HW_0,ET_NS_65_69_HW_1_15,ET_NS_65_69_HW_16_24,ET_NS_65_69_HW_25_34,ET_NS_65_69_HW_35_39,ET_NS_65_69_HW_40,ET_NS_65_69_HW_41_48,ET_NS_65_69_HW_49mor,ET_NS_65_69_HW_NS,ET_NS_65_69_Tot,ET_NS_70_74_HW_0,ET_NS_70_74_HW_1_15,ET_NS_70_74_HW_16_24,ET_NS_70_74_HW_25_34,ET_NS_70_74_HW_35_39,ET_NS_70_74_HW_40,ET_NS_70_74_HW_41_48,ET_NS_70_74_HW_49mor,ET_NS_70_74_HW_NS,ET_NS_70_74_Tot,ET_NS_75ov_HW_0,ET_NS_75ov_HW_1_15,ET_NS_75ov_HW_16_24,ET_NS_75ov_HW_25_34,ET_NS_75ov_HW_35_39,ET_NS_75ov_HW_40,ET_NS_75ov_HW_41_48,ET_NS_75ov_HW_49mor,ET_NS_75ov_HW_NS,ET_NS_75ov_Tot,ET_NS_Tot_HW_0,ET_NS_Tot_HW_1_15,ET_NS_Tot_HW_16_24,ET_NS_Tot_HW_25_34,ET_NS_Tot_HW_35_39,ET_NS_Tot_HW_40,ET_NS_Tot_HW_41_48,ET_NS_Tot_HW_49mor,ET_NS_Tot_HW_NS,ET_NS_Tot_Tot,Tot_15_19_HW_0,Tot_15_19_HW_1_15,Tot_15_19_HW_16_24,Tot_15_19_HW_25_34,Tot_15_19_HW_35_39,Tot_15_19_HW_40,Tot_15_19_HW_41_48,Tot_15_19_HW_49mor,Tot_15_19_HW_NS,Tot_15_19_Tot,Tot_20_24_HW_0,Tot_20_24_HW_1_15,Tot_20_24_HW_16_24,Tot_20_24_HW_25_34,Tot_20_24_HW_35_39,Tot_20_24_HW_40,Tot_20_24_HW_41_48,Tot_20_24_HW_49mor,Tot_20_24_HW_NS,Tot_20_24_Tot,Tot_25_29_HW_0,Tot_25_29_HW_1_15,Tot_25_29_HW_16_24,Tot_25_29_HW_25_34,Tot_25_29_HW_35_39,Tot_25_29_HW_40,Tot_25_29_HW_41_48,Tot_25_29_HW_49mor,Tot_25_29_HW_NS,Tot_25_29_Tot,Tot_30_34_HW_0,Tot_30_34_HW_1_15,Tot_30_34_HW_16_24,Tot_30_34_HW_25_34,Tot_30_34_HW_35_39,Tot_30_34_HW_40,Tot_30_34_HW_41_48,Tot_30_34_HW_49mor,Tot_30_34_HW_NS,Tot_30_34_Tot,Tot_35_39_HW_0,Tot_35_39_HW_1_15,Tot_35_39_HW_16_24,Tot_35_39_HW_25_34,Tot_35_39_HW_35_39,Tot_35_39_HW_40,Tot_35_39_HW_41_48,Tot_35_39_HW_49mor,Tot_35_39_HW_NS,Tot_35_39_Tot,Tot_40_44_HW_0,Tot_40_44_HW_1_15,Tot_40_44_HW_16_24,Tot_40_44_HW_25_34,Tot_40_44_HW_35_39,Tot_40_44_HW_40,Tot_40_44_HW_41_48,Tot_40_44_HW_49mor,Tot_40_44_HW_NS,Tot_40_44_Tot,Tot_45_49_HW_0,Tot_45_49_HW_1_15,Tot_45_49_HW_16_24,Tot_45_49_HW_25_34,Tot_45_49_HW_35_39,Tot_45_49_HW_40,Tot_45_49_HW_41_48,Tot_45_49_HW_49mor,Tot_45_49_HW_NS,Tot_45_49_Tot,Tot_50_54_HW_0,Tot_50_54_HW_1_15,Tot_50_54_HW_16_24,Tot_50_54_HW_25_34,Tot_50_54_HW_35_39,Tot_50_54_HW_40,Tot_50_54_HW_41_48,Tot_50_54_HW_49mor,Tot_50_54_HW_NS,Tot_50_54_Tot,Tot_55_59_HW_0,Tot_55_59_HW_1_15,Tot_55_59_HW_16_24,Tot_55_59_HW_25_34,Tot_55_59_HW_35_39,Tot_55_59_HW_40,Tot_55_59_HW_41_48,Tot_55_59_HW_49mor,Tot_55_59_HW_NS,Tot_55_59_Tot,Tot_60_64_HW_0,Tot_60_64_HW_1_15,Tot_60_64_HW_16_24,Tot_60_64_HW_25_34,Tot_60_64_HW_35_39,Tot_60_64_HW_40,Tot_60_64_HW_41_48,Tot_60_64_HW_49mor,Tot_60_64_HW_NS,Tot_60_64_Tot
LGA10050,0,0,5,0,4,0,3,3,3,20,3,0,0,3,4,0,0,0,3,13,0,0,4,0,4,3,3,3,4,23,4,3,3,0,4,3,0,3,3,22,3,3,0,4,0,3,0,3,0,22,3,0,0,0,0,7,0,6,5,20,0,0,0,0,0,0,0,0,10,15,0,4,0,0,0,0,0,0,3,9,3,3,3,0,0,0,0,0,3,9,21,26,15,16,28,24,8,30,49,214,63,966,162,120,178,107,45,21,51,1727,64,379,273,346,570,399,192,122,62,2402,126,190,185,328,561,443,284,274,38,2430,146,211,305,320,544,422,267,308,38,2573,86,234,268,325,473,397,273,352,37,2441,71,176,285,375,511,463,274,376,35,2568,68,162,267,382,606,484,316,426,46,2755,87,145,233,415,586,467,282,443,34,2699,111,162,232,405,515,372,269,401,29,2491,87,204,231,253,305,247,134,214,23,1698
LGA10130,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,10,0,0,0,0,3,0,0,0,3,5,3,0,0,0,0,0,3,3,0,16,0,0,0,0,4,3,0,6,0,10,0,0,0,0,0,3,0,3,3,10,0,0,0,0,0,0,0,0,4,11,0,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,4,9,11,14,6,15,15,18,7,21,24,132,59,463,106,69,84,34,25,23,37,903,56,306,176,187,259,154,83,67,45,1340,54,136,114,139,330,185,117,115,19,1206,55,108,126,128,289,173,140,157,18,1187,46,107,109,148,233,189,89,171,13,1117,21,114,127,179,303,217,102,223,23,1304,31,99,112,196,308,227,131,261,16,1386,34,106,134,181,372,222,126,307,23,1509,60,111,142,166,340,192,117,261,17,1398,41,102,101,119,179,138,67,174,20,949
LGA10250,0,0,0,0,6,3,0,0,4,14,0,3,0,0,3,0,0,0,10,20,0,3,3,4,0,4,0,0,4,15,0,0,0,0,5,3,0,0,4,15,3,0,3,0,0,0,3,0,9,23,0,3,0,3,0,0,0,0,3,15,0,3,5,0,0,0,0,0,3,10,0,3,0,0,0,0,0,3,6,13,4,3,0,0,0,0,0,0,5,17,10,24,16,15,16,17,3,12,55,181,43,552,108,91,94,43,17,14,29,992,35,158,148,185,256,140,72,57,22,1073,34,92,100,164,259,144,89,100,16,1003,50,125,138,165,262,191,110,142,20,1197,29,109,178,191,265,243,103,209,37,1367,33,132,215,281,289,267,126,256,36,1641,34,154,189,305,350,272,141,264,24,1734,50,141,204,321,387,274,147,287,27,1834,67,185,219,329,372,244,139,241,36,1833,57,184,214,206,218,169,74,166,13,1294
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,3,9,14,5,4,7,6,4,4,0,0,0,28,0,4,3,6,13,18,10,14,7,75,3,3,3,14,17,10,3,14,0,62,3,4,10,0,8,9,4,11,5,54,0,11,5,8,12,8,3,18,0,71,3,8,12,9,11,19,9,27,3,105,3,7,9,12,8,17,9,23,3,91,0,11,9,15,15,15,9,19,4,93,5,4,12,13,19,16,12,28,3,114,3,9,20,11,11,11,3,24,0,92
LGA10470,0,0,0,0,0,0,0,0,7,12,0,7,0,0,0,3,0,4,3,17,3,3,0,0,0,0,0,5,4,17,0,3,0,0,7,7,0,3,4,22,3,0,3,0,0,5,0,3,4,26,7,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,5,0,8,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,21,28,15,11,22,23,4,26,46,199,54,601,106,92,115,81,36,20,42,1140,79,384,220,212,385,271,96,124,52,1822,76,153,148,171,462,325,174,198,28,1738,83,162,157,184,350,288,166,247,36,1671,50,131,141,198,348,299,153,246,24,1595,42,133,177,216,411,330,174,316,28,1817,53,102,161,235,471,365,196,309,28,1916,51,109,150,215,447,348,190,309,25,1841,63,119,162,213,403,295,137,297,23,1711,75,120,170,134,204,207,82,199,22,1205
LGA10550,0,0,0,0,3,0,0,0,3,8,0,5,3,3,4,3,0,3,0,18,3,3,3,4,7,3,0,3,3,28,0,4,0,0,4,3,0,6,0,17,3,3,3,0,5,3,0,5,8,27,3,0,8,0,7,0,0,10,3,30,0,0,0,0,3,0,0,4,6,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,13,28,21,18,27,14,5,33,38,195,39,397,47,60,78,54,21,23,26,743,26,81,85,83,185,113,50,48,31,701,36,72,79,87,165,120,74,79,8,720,57,92,83,129,194,149,71,100,9,878,30,100,124,148,173,143,90,132,19,959,31,120,133,178,218,175,111,180,17,1162,48,121,156,223,283,216,134,225,21,1420,47,142,178,275,289,255,166,250,27,1626,94,204,201,314,285,222,112,235,28,1696,69,195,184,180,152,144,72,163,30,1182
LGA10600,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,8,0,3,3,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,12,8,6,9,4,7,6,16,65,3,108,11,17,20,8,4,3,9,181,9,25,12,29,29,18,5,10,7,147,4,26,21,32,39,18,24,35,7,194,12,38,38,37,48,46,19,49,6,285,18,41,36,54,48,38,18,47,12,302,10,42,46,67,55,58,26,61,6,376,15,60,63,61,83,58,38,58,6,446,18,55,56,93,76,71,26,84,7,478,21,57,71,95,78,60,40,77,10,504,20,74,69,56,40,48,27,44,9,396
LGA10650,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,11,0,0,3,3,0,0,0,3,0,10,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,4,7,10,4,16,13,59,9,65,5,12,18,20,4,7,6,143,5,23,11,25,50,28,14,24,7,177,5,16,19,23,34,35,20,37,8,208,7,13,19,18,32,31,27,37,7,190,10,24,29,26,27,34,14,55,4,224,4,29,24,26,28,41,20,72,4,249,11,17,14,41,50,34,27,81,3,277,9,28,28,47,43,50,15,70,10,296,19,43,44,49,38,50,21,84,3,342,25,43,41,37,35,41,17,71,5,315
LGA10750,3,8,8,0,20,15,7,8,27,95,7,0,6,11,11,30,4,17,18,106,3,7,8,17,20,13,6,19,29,128,5,10,3,10,8,26,3,22,17,108,3,3,6,7,18,13,3,9,10,85,3,6,3,5,15,6,0,8,7,56,5,3,3,6,4,5,0,3,16,45,0,5,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,16,21,51,95,80,85,158,151,41,118,257,1041,243,2997,814,452,565,462,142,132,200,6009,233,1558,1538,1133,2071,1744,746,717,320,10068,363,600,1007,1010,2867,2588,1194,1518,350,11487,455,749,1056,1116,2937,2747,1297,1910,295,12572,317,732,1064,1166,2760,2694,1134,2008,309,12188,213,709,961,1239,2818,2866,1237,2195,217,12448,222,689,845,1285,2640,2666,1226,2208,244,12016,238,572,744,1187,2863,2335,1152,2037,207,11329,248,551,718,956,2387,2037,891,1541,156,9484,203,546,622,650,1424,1197,482,876,95,6098
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,3,8,3,3,0,3,3,3,3,9,14,42,3,49,11,8,19,21,5,0,10,120,10,14,19,23,31,39,20,37,4,192,4,14,18,20,26,34,19,64,6,201,6,21,28,15,24,31,26,75,8,228,9,15,24,23,20,30,38,84,9,249,9,21,18,33,29,34,24,100,5,271,3,15,24,20,32,47,17,98,3,250,13,25,22,26,33,41,19,93,13,284,13,28,26,29,37,55,22,101,8,311,9,26,20,28,25,25,14,64,7,223
