LGA_CODE_2016,Mng_NNI_H_0,Mng_NNI_H_1_15,Mng_NNI_H_16_24,Mng_NNI_H_25_34,Mng_NNI_H_35_39,Mng_NNI_H_40,Mng_NNI_H_41_48,Mng_NNI_H_49mo,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_15,Mng_1_149_H_16_24,Mng_1_149_H_25_34,Mng_1_149_H_35_39,Mng_1_149_H_40,Mng_1_149_H_41_48,Mng_1_149_H_49mo,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_15,Mng_150_299_H_16_24,Mng_150_299_H_25_34,Mng_150_299_H_35_39,Mng_150_299_H_40,Mng_150_299_H_41_48,Mng_150_299_H_49mo,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_15,Mng_300_399_H_16_24,Mng_300_399_H_25_34,Mng_300_399_H_35_39,Mng_300_399_H_40,Mng_300_399_H_41_48,Mng_300_399_H_49mo,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_15,Mng_400_499_H_16_24,Mng_400_499_H_25_34,Mng_400_499_H_35_39,Mng_400_499_H_40,Mng_400_499_H_41_48,Mng_400_499_H_49mo,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_15,Mng_500_649_H_16_24,Mng_500_649_H_25_34,Mng_500_649_H_35_39,Mng_500_649_H_40,Mng_500_649_H_41_48,Mng_500_649_H_49mo,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_15,Mng_650_799_H_16_24,Mng_650_799_H_25_34,Mng_650_799_H_35_39,Mng_650_799_H_40,Mng_650_799_H_41_48,Mng_650_799_H_49mo,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_15,Mng_800_999_H_16_24,Mng_800_999_H_25_34,Mng_800_999_H_35_39,Mng_800_999_H_40,Mng_800_999_H_41_48,Mng_800_999_H_49mo,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_15,Mng_1000_1249_H_16_24,Mng_1000_1249_H_25_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40,Mng_1000_1249_H_41_48,Mng_1000_1249_H_49mo,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_15,Mng_1250_1499_H_16_24,Mng_1250_1499_H_25_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40,Mng_1250_1499_H_41_48,Mng_1250_1499_H_49mo,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_15,Mng_1500_1749_H_16_24,Mng_1500_1749_H_25_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40,Mng_1500_1749_H_41_48,Mng_1500_1749_H_49mo,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_15,Mng_1750_1999_H_16_24,Mng_1750_1999_H_25_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40,Mng_1750_1999_H_41_48,Mng_1750_1999_H_49mo,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_15,Mng_2000_2999_H_16_24,Mng_2000_2999_H_25_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40,Mng_2000_2999_H_41_48,Mng_2000_2999_H_49mo,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000mo_H_0,Mng_3000mo_H_1_15,Mng_3000mo_H_16_24,Mng_3000mo_H_25_34,Mng_3000mo_H_35_39,Mng_3000mo_H_40,Mng_3000mo_H_41_48,Mng_3000mo_H_49mo,Mng_3000mo_H_NS,Mng_3000mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_15,Mng_PINS_H_16_24,Mng_PINS_H_25_34,Mng_PINS_H_35_39,Mng_PINS_H_40,Mng_PINS_H_41_48,Mng_PINS_H_49mo,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_15,Mng_Tot_H_16_24,Mng_Tot_H_25_34,Mng_Tot_H_35_39,Mng_Tot_H_40,Mng_Tot_H_41_48,Mng_Tot_H_49mo,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_15,Pro_NNI_H_16_24,Pro_NNI_H_25_34,Pro_NNI_H_35_39,Pro_NNI_H_40,Pro_NNI_H_41_48,Pro_NNI_H_49mo,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_15,Pro_1_149_H_16_24,Pro_1_149_H_25_34,Pro_1_149_H_35_39,Pro_1_149_H_40,Pro_1_149_H_41_48,Pro_1_149_H_49mo,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_15,Pro_150_299_H_16_24,Pro_150_299_H_25_34,Pro_150_299_H_35_39,Pro_150_299_H_40,Pro_150_299_H_41_48,Pro_150_299_H_49mo,Pro_150_299_H_NS,Pro_150_299_H_Tot,Pro_300_399_H_0,Pro_300_399_H_1_15,Pro_300_399_H_16_24,Pro_300_399_H_25_34,Pro_300_399_H_35_39,Pro_300_399_H_40,Pro_300_399_H_41_48,Pro_300_399_H_49mo,Pro_300_399_H_NS,Pro_300_399_H_Tot
LGA10050,0,4,0,0,0,0,3,9,0,21,0,10,0,0,4,3,0,3,0,26,0,4,4,3,0,4,0,8,0,32,0,12,10,3,7,0,3,17,3,57,0,7,13,11,5,9,5,12,0,56,4,11,12,24,13,14,9,30,0,118,3,14,11,28,55,45,16,37,0,209,7,7,7,25,74,64,47,66,10,301,9,6,15,19,72,94,51,117,0,377,6,8,7,17,41,50,72,81,0,289,8,4,4,8,55,62,47,116,4,307,4,0,12,12,27,45,29,74,3,202,15,3,0,7,57,86,86,151,0,411,3,9,3,4,11,21,22,102,0,176,0,0,0,0,5,3,3,6,0,33,72,88,103,166,419,494,401,834,33,2614,4,6,0,3,0,0,0,7,0,15,0,36,3,0,0,0,0,0,0,40,10,37,3,0,0,7,0,3,0,60,7,31,10,8,8,0,0,4,0,65
LGA10130,3,3,3,3,4,5,3,34,0,54,0,8,7,0,0,3,0,12,0,25,3,8,3,3,3,3,0,13,0,42,3,8,13,4,0,6,0,44,3,77,0,13,5,9,7,15,13,35,0,97,0,4,9,18,16,22,8,57,3,137,0,9,11,17,47,40,17,69,4,206,5,4,9,8,35,37,33,70,3,213,4,3,10,23,38,48,34,93,3,262,0,0,6,9,30,31,23,50,0,150,4,11,6,7,39,21,14,54,0,161,0,3,3,4,24,20,9,28,0,93,6,3,3,7,40,44,19,108,0,230,0,3,0,5,9,24,7,61,0,114,8,3,5,3,0,6,3,21,3,47,41,83,85,118,284,320,201,752,22,1906,0,3,0,0,0,0,0,3,0,6,3,25,7,0,0,3,0,0,0,43,9,37,7,3,0,4,0,4,0,63,3,31,17,3,3,0,0,3,3,70
LGA10250,0,3,0,4,3,3,0,19,0,36,0,3,0,3,3,7,0,11,0,24,0,5,3,8,0,3,0,9,0,33,3,8,7,8,3,8,4,18,0,55,4,15,13,10,6,15,6,30,4,100,0,9,9,28,13,22,7,45,0,137,9,14,20,22,40,30,26,58,4,217,5,6,18,28,65,52,30,63,4,276,8,12,12,23,58,60,38,74,3,276,3,7,5,10,30,32,29,62,0,179,3,4,8,3,30,32,21,58,0,161,4,3,3,6,20,16,13,35,0,99,7,5,12,7,22,39,33,83,0,198,7,4,4,6,14,33,12,60,0,137,0,0,0,0,0,7,5,12,0,24,59,95,126,163,307,357,217,621,21,1963,0,0,3,0,0,0,3,0,3,12,0,26,0,4,0,0,0,0,0,29,3,28,5,3,0,3,0,3,3,50,3,33,20,11,4,9,4,4,0,84
LGA10300,0,3,0,3,0,3,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,3,0,5,0,0,3,0,0,4,3,9,0,22,0,0,0,3,0,3,0,9,0,18,0,0,3,5,3,10,4,14,0,31,0,0,0,0,8,5,3,15,0,29,0,0,0,0,0,3,4,9,0,21,0,0,0,0,0,3,0,4,0,14,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,3,0,7,0,20,0,0,0,0,0,0,0,13,0,17,0,0,0,0,0,4,0,7,0,11,3,8,10,14,12,30,18,111,3,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA10470,0,3,3,3,0,4,0,14,0,35,3,7,3,3,0,0,0,9,0,24,0,12,3,4,0,4,3,7,3,34,5,5,6,7,3,11,3,21,0,71,0,3,7,8,3,15,3,31,0,79,7,7,9,16,7,16,7,37,3,117,5,0,10,20,41,38,5,41,3,173,3,7,17,24,46,53,28,65,0,249,3,5,4,26,47,52,50,69,3,264,6,9,3,10,43,37,34,66,0,211,11,9,5,8,33,44,26,83,0,227,5,3,3,0,24,28,19,64,3,156,10,4,4,3,51,64,52,121,3,310,4,4,0,5,5,24,17,86,0,150,0,0,0,5,0,3,3,12,3,32,63,91,89,153,321,399,276,720,21,2131,3,0,3,0,0,0,0,4,0,9,0,14,4,0,0,0,0,0,4,29,3,45,3,0,0,0,0,4,0,58,4,22,17,3,0,0,4,3,3,62
LGA10550,4,3,3,3,3,8,0,21,0,41,4,5,0,0,0,3,3,18,0,36,5,10,4,13,3,9,4,28,3,82,4,8,13,12,4,4,6,27,4,80,6,12,12,19,0,12,3,27,3,89,4,16,15,26,14,20,10,46,0,147,4,10,16,18,31,27,24,46,3,178,9,10,9,23,47,45,18,59,6,223,8,7,3,18,40,46,32,63,9,221,6,7,8,11,20,20,23,52,0,152,0,4,3,9,22,29,23,43,3,123,4,4,3,4,7,12,14,27,0,77,9,6,3,7,16,23,18,53,0,128,3,0,3,3,0,7,9,29,0,57,0,0,3,0,3,3,0,8,6,27,65,110,90,172,215,255,181,546,39,1669,0,3,0,0,0,0,0,0,0,3,0,4,0,3,4,0,0,0,0,8,6,30,9,3,0,0,0,0,0,47,0,17,22,6,0,3,0,0,3,55
LGA10600,0,4,4,3,0,3,0,15,0,28,0,3,0,0,0,0,0,0,0,7,0,7,3,8,0,7,4,12,0,43,0,5,0,11,6,3,3,6,0,38,0,5,6,8,4,3,0,5,0,39,0,6,8,13,3,4,6,19,0,62,0,0,6,11,13,13,4,15,0,65,5,7,4,9,4,15,4,30,0,69,0,3,3,7,8,14,6,10,0,61,0,0,3,4,8,10,6,23,0,56,3,0,0,0,4,3,0,11,0,30,0,0,0,4,3,8,0,4,0,25,0,0,0,0,7,3,7,18,0,34,3,0,0,0,0,3,0,15,0,24,0,0,0,0,0,0,0,4,3,13,19,48,43,77,61,94,44,189,11,591,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,10,4,3,0,0,0,0,0,19,0,12,10,3,3,0,0,0,0,23
LGA10650,0,3,0,3,0,0,3,13,0,24,0,0,0,0,0,4,0,3,0,10,0,3,3,3,0,0,0,19,0,35,0,0,3,3,0,4,0,24,0,38,0,3,4,4,5,5,4,18,0,38,0,3,0,6,8,3,3,30,8,66,6,0,3,3,3,14,0,31,0,68,3,5,6,3,5,15,6,25,0,71,3,7,6,3,6,12,14,39,0,86,0,0,0,3,3,6,6,33,0,58,4,0,0,3,0,7,3,27,0,39,0,0,0,0,3,3,0,9,0,24,0,0,0,3,0,14,4,27,0,46,0,5,3,0,0,0,3,15,0,29,0,0,0,4,0,3,0,13,0,22,21,34,29,47,36,92,50,333,13,649,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,5
LGA10750,5,11,7,8,4,13,3,29,3,83,3,22,6,4,9,3,0,3,3,57,7,36,20,12,8,14,3,21,3,120,5,33,34,25,20,14,3,29,5,179,6,26,60,40,26,36,10,37,3,249,8,32,60,87,64,77,13,73,9,427,11,32,37,77,190,148,44,107,10,652,20,18,40,72,298,267,103,187,15,1010,31,29,27,74,329,438,172,354,20,1468,25,15,26,47,250,358,186,326,11,1248,28,12,21,36,197,371,222,441,17,1352,20,11,21,30,138,277,166,422,0,1088,49,18,21,32,267,558,392,1090,14,2438,31,18,22,33,82,265,223,868,13,1556,0,6,3,7,20,47,17,49,19,161,253,324,403,588,1889,2881,1564,4036,152,12088,10,20,7,6,4,7,3,9,5,73,8,141,14,12,4,7,0,3,3,201,11,167,59,23,12,12,3,15,6,306,13,129,73,33,17,25,3,18,4,313
LGA10800,5,3,0,4,0,9,4,17,0,42,0,4,0,0,0,0,0,4,4,9,0,0,3,3,0,4,0,10,0,15,0,0,0,4,4,8,0,15,3,36,0,3,3,9,0,7,0,26,3,43,0,9,4,6,4,9,4,38,0,75,3,3,8,5,5,10,4,28,0,62,4,3,3,7,3,18,8,45,4,99,9,0,0,0,3,13,3,55,0,88,0,0,0,0,3,11,3,22,0,47,0,0,0,3,0,5,4,29,0,45,0,0,0,0,0,3,0,18,0,24,0,0,0,3,3,13,5,22,0,48,0,4,3,0,0,8,6,31,0,48,0,0,0,3,0,0,0,18,3,26,27,35,24,50,29,111,45,371,23,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3
LGA10850,0,0,0,0,0,3,0,18,0,18,0,0,0,0,0,0,0,7,0,12,0,5,0,3,0,3,0,4,0,17,0,3,3,0,3,3,3,13,0,26,0,0,3,0,0,3,0,14,0,29,0,7,3,7,0,4,0,14,0,42,0,3,7,9,4,6,9,17,3,57,3,3,3,4,7,8,3,27,0,58,0,0,6,3,3,9,7,39,0,70,0,0,0,4,9,14,7,17,0,46,0,0,0,5,4,6,5,16,3,40,0,0,0,0,9,3,3,18,0,33,0,0,0,0,4,3,11,23,0,47,3,0,0,0,0,0,5,32,0,46,0,0,0,0,0,4,0,3,3,13,17,28,29,41,39,64,51,270,5,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,5,0,15,0,0,0,3,0,0,0,0,0,5
LGA10900,0,3,6,4,0,4,3,19,0,39,0,14,3,0,0,4,0,4,0,24,4,11,4,3,0,3,0,6,0,29,0,22,14,6,8,12,3,16,0,75,0,8,20,9,3,6,3,23,0,79,0,12,24,21,20,28,6,38,3,153,3,7,14,32,29,27,13,41,3,172,5,12,15,29,40,56,29,57,0,238,6,9,15,22,46,76,46,63,3,292,5,7,6,19,32,51,23,59,0,201,0,7,7,10,36,29,22,66,3,190,5,0,8,8,13,33,10,43,0,118,9,7,6,8,36,50,41,111,0,276,0,0,3,8,7,16,9,58,0,105,0,3,4,0,0,7,3,6,0,25,44,127,148,193,274,406,212,605,20,2029,0,3,3,0,3,4,0,4,0,20,0,53,13,9,3,3,0,4,0,88,7,87,22,18,9,12,3,8,0,159,9,78,33,16,10,12,0,10,0,163
LGA10950,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,13,0,0,3,0,0,0,0,8,0,16,0,0,0,0,0,0,0,4,0,15,0,0,0,3,0,0,0,19,0,30,0,0,0,0,0,6,0,8,0,15,0,0,0,0,0,0,9,13,0,25,0,0,0,3,3,6,4,25,0,42,3,0,0,0,0,5,0,4,0,13,0,0,3,3,0,3,3,15,0,27,0,0,0,0,3,0,3,13,0,15,0,0,0,0,3,4,0,7,0,21,0,0,0,0,0,3,4,17,0,29,0,0,0,0,0,0,0,13,4,20,6,9,12,19,14,31,21,154,7,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA11100,0,3,3,4,0,3,3,11,0,30,0,7,0,0,0,3,3,0,0,17,0,9,4,3,0,3,0,0,0,27,0,8,6,8,0,4,0,9,0,38,0,6,23,12,3,8,0,3,0,59,0,7,19,20,34,17,7,14,4,119,9,8,24,24,71,45,18,34,4,237,11,5,22,29,137,106,37,66,5,424,16,9,20,34,165,188,80,120,5,618,12,8,21,19,100,189,93,136,10,597,17,6,16,26,90,203,113,189,3,666,15,11,14,38,82,152,108,180,3,596,35,9,21,53,152,448,269,584,7,1583,27,9,13,31,82,308,241,877,6,1599,0,0,0,7,11,15,11,19,12,81,152,119,196,304,940,1704,979,2243,57,6684,6,0,0,0,3,7,0,0,0,19,0,35,4,3,0,6,0,4,5,53,0,48,7,0,3,4,3,0,3,72,4,32,27,5,7,10,3,0,0,81
LGA11150,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,6,0,3,0,3,0,0,0,5,0,13,0,0,0,0,3,0,0,6,0,18,3,0,3,0,4,5,0,10,0,29,0,3,0,0,5,4,5,5,0,19,0,0,0,0,3,8,0,10,0,22,0,0,0,0,3,0,0,7,0,12,0,0,0,0,6,5,3,9,0,15,3,0,0,0,0,3,3,14,0,25,0,0,0,0,0,0,3,10,0,10,0,3,0,0,0,0,0,6,3,15,7,8,3,3,26,31,16,108,3,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,4,0,3,3,0,3,3,25,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,4,0,0,3,0,3,0,0,4,0,17,0,9,0,0,5,3,0,9,0,19,0,0,0,4,0,0,0,5,0,23,0,0,4,11,4,10,0,19,0,50,0,5,0,6,19,11,4,10,0,59,0,0,0,4,23,9,7,20,0,67,5,0,0,6,17,27,15,15,0,76,0,3,0,3,12,8,3,23,3,56,0,3,0,0,8,18,3,14,0,49,0,0,0,0,12,8,4,18,0,57,3,3,3,6,19,17,19,55,0,130,3,0,0,0,7,6,7,34,0,57,0,0,0,0,0,5,0,6,3,21,18,29,21,49,125,120,71,231,13,673,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,0,9,3,3,3,0,0,0,3,18,0,14,4,3,0,0,0,0,0,25
LGA11300,0,3,0,3,0,5,0,3,4,25,0,10,0,0,0,3,0,0,0,16,0,6,4,3,0,3,0,3,3,17,0,4,11,5,0,3,3,4,0,36,0,3,15,3,3,5,0,4,0,33,0,7,18,14,5,9,0,14,0,69,0,7,13,13,41,36,10,21,0,138,0,3,16,22,53,75,21,20,4,213,3,3,7,7,69,65,30,53,0,228,3,4,4,9,38,47,25,33,0,164,5,0,5,12,38,45,22,33,3,170,3,0,3,3,31,45,17,33,0,130,9,0,5,11,68,128,58,85,0,375,6,5,7,3,18,66,29,122,0,247,0,0,0,0,3,4,0,7,7,18,40,62,94,117,359,543,210,436,28,1886,0,6,0,0,0,0,0,3,0,11,3,54,8,3,3,3,0,0,0,75,6,59,12,8,3,0,0,0,3,91,0,46,30,12,3,5,3,0,0,98
