LGA_CODE_2016,EWFT_16_TechFEI_FT,EWFT_16_TechFEI_PT,EWFT_16_TechFEI_NS,EWFT_16_TechFEI_Tot,EWFT_16_UniOTIs_FT,EWFT_16_UniOTIs_PT,EWFT_16_UniOTIs_NS,EWFT_16_UniOTIs_Tot,EWFT_16_Other,EWFT_16_NS,EWFT_16_Tot,EWFT_17_TechFEI_FT,EWFT_17_TechFEI_PT,EWFT_17_TechFEI_NS,EWFT_17_TechFEI_Tot,EWFT_17_UniOTIs_FT,EWFT_17_UniOTIs_PT,EWFT_17_UniOTIs_NS,EWFT_17_UniOTIs_Tot,EWFT_17_Other,EWFT_17_NS,EWFT_17_Tot,EWFT_18_TechFEI_FT,EWFT_18_TechFEI_PT,EWFT_18_TechFEI_NS,EWFT_18_TechFEI_Tot,EWFT_18_UniOTIs_FT,EWFT_18_UniOTIs_PT,EWFT_18_UniOTIs_NS,EWFT_18_UniOTIs_Tot,EWFT_18_Other,EWFT_18_NS,EWFT_18_Tot,EWFT_19_TechFEI_FT,EWFT_19_TechFEI_PT,EWFT_19_TechFEI_NS,EWFT_19_TechFEI_Tot,EWFT_19_UniOTIs_FT,EWFT_19_UniOTIs_PT,EWFT_19_UniOTIs_NS,EWFT_19_UniOTIs_Tot,EWFT_19_Other,EWFT_19_NS,EWFT_19_Tot,EWFT_20_24_TechFEI_FT,EWFT_20_24_TechFEI_PT,EWFT_20_24_TechFEI_NS,EWFT_20_24_TechFEI_Tot,EWFT_20_24_UniOTIs_FT,EWFT_20_24_UniOTIs_PT,EWFT_20_24_UniOTIs_NS,EWFT_20_24_UniOTIs_Tot,EWFT_20_24_Other,EWFT_20_24_NS,EWFT_20_24_Tot,EWFT_25_29_TechFEI_FT,EWFT_25_29_TechFEI_PT,EWFT_25_29_TechFEI_NS,EWFT_25_29_TechFEI_Tot,EWFT_25_29_UniOTIs_FT,EWFT_25_29_UniOTIs_PT,EWFT_25_29_UniOTIs_NS,EWFT_25_29_UniOTIs_Tot,EWFT_25_29_Other,EWFT_25_29_NS,EWFT_25_29_Tot,EWFT_30over_TechFEI_FT,EWFT_30over_TechFEI_PT,EWFT_30over_TechFEI_NS,EWFT_30over_TechFEI_Tot,EWFT_30over_UniOTIs_FT,EWFT_30over_UniOTIs_PT,EWFT_30over_UniOTIs_NS,EWFT_30over_UniOTIs_Tot,EWFT_30over_Other,EWFT_30over_NS,EWFT_30over_Tot,EWFT_Tot_TechFEI_FT,EWFT_Tot_TechFEI_PT,EWFT_Tot_TechFEI_NS,EWFT_Tot_TechFEI_Tot,EWFT_Tot_UniOTIs_FT,EWFT_Tot_UniOTIs_PT,EWFT_Tot_UniOTIs_NS,EWFT_Tot_UniOTIs_Tot,EWFT_Tot_Other,EWFT_Tot_NS,EWFT_Tot_Tot,EWPT_16_TechFEI_FT,EWPT_16_TechFEI_PT,EWPT_16_TechFEI_NS,EWPT_16_TechFEI_Tot,EWPT_16_UniOTIs_FT,EWPT_16_UniOTIs_PT,EWPT_16_UniOTIs_NS,EWPT_16_UniOTIs_Tot,EWPT_16_Other,EWPT_16_NS,EWPT_16_Tot,EWPT_17_TechFEI_FT,EWPT_17_TechFEI_PT,EWPT_17_TechFEI_NS,EWPT_17_TechFEI_Tot,EWPT_17_UniOTIs_FT,EWPT_17_UniOTIs_PT,EWPT_17_UniOTIs_NS,EWPT_17_UniOTIs_Tot,EWPT_17_Other,EWPT_17_NS,EWPT_17_Tot,EWPT_18_TechFEI_FT,EWPT_18_TechFEI_PT,EWPT_18_TechFEI_NS,EWPT_18_TechFEI_Tot,EWPT_18_UniOTIs_FT,EWPT_18_UniOTIs_PT,EWPT_18_UniOTIs_NS,EWPT_18_UniOTIs_Tot,EWPT_18_Other,EWPT_18_NS,EWPT_18_Tot,EWPT_19_TechFEI_FT,EWPT_19_TechFEI_PT,EWPT_19_TechFEI_NS,EWPT_19_TechFEI_Tot,EWPT_19_UniOTIs_FT,EWPT_19_UniOTIs_PT,EWPT_19_UniOTIs_NS,EWPT_19_UniOTIs_Tot,EWPT_19_Other,EWPT_19_NS,EWPT_19_Tot,EWPT_20_24_TechFEI_FT,EWPT_20_24_TechFEI_PT,EWPT_20_24_TechFEI_NS,EWPT_20_24_TechFEI_Tot,EWPT_20_24_UniOTIs_FT,EWPT_20_24_UniOTIs_PT,EWPT_20_24_UniOTIs_NS,EWPT_20_24_UniOTIs_Tot,EWPT_20_24_Other,EWPT_20_24_NS,EWPT_20_24_Tot,EWPT_25_29_TechFEI_FT,EWPT_25_29_TechFEI_PT,EWPT_25_29_TechFEI_NS,EWPT_25_29_TechFEI_Tot,EWPT_25_29_UniOTIs_FT,EWPT_25_29_UniOTIs_PT,EWPT_25_29_UniOTIs_NS,EWPT_25_29_UniOTIs_Tot,EWPT_25_29_Other,EWPT_25_29_NS,EWPT_25_29_Tot,EWPT_30over_TechFEI_FT,EWPT_30over_TechFEI_PT,EWPT_30over_TechFEI_NS,EWPT_30over_TechFEI_Tot,EWPT_30over_UniOTIs_FT,EWPT_30over_UniOTIs_PT,EWPT_30over_UniOTIs_NS,EWPT_30over_UniOTIs_Tot,EWPT_30over_Other,EWPT_30over_NS,EWPT_30over_Tot,EWPT_Tot_TechFEI_FT,EWPT_Tot_TechFEI_PT,EWPT_Tot_TechFEI_NS,EWPT_Tot_TechFEI_Tot,EWPT_Tot_UniOTIs_FT,EWPT_Tot_UniOTIs_PT,EWPT_Tot_UniOTIs_NS,EWPT_Tot_UniOTIs_Tot,EWPT_Tot_Other,EWPT_Tot_NS,EWPT_Tot_Tot,EAFW_16_TechFEI_FT,EAFW_16_TechFEI_PT,EAFW_16_TechFEI_NS,EAFW_16_TechFEI_Tot,EAFW_16_UniOTIs_FT,EAFW_16_UniOTIs_PT,EAFW_16_UniOTIs_NS,EAFW_16_UniOTIs_Tot,EAFW_16_Other,EAFW_16_NS,EAFW_16_Tot,EAFW_17_TechFEI_FT,EAFW_17_TechFEI_PT,EAFW_17_TechFEI_NS,EAFW_17_TechFEI_Tot,EAFW_17_UniOTIs_FT,EAFW_17_UniOTIs_PT,EAFW_17_UniOTIs_NS,EAFW_17_UniOTIs_Tot,EAFW_17_Other,EAFW_17_NS,EAFW_17_Tot,EAFW_18_TechFEI_FT,EAFW_18_TechFEI_PT
LGA10050,0,4,0,4,0,0,0,0,4,0,9,0,13,0,14,0,0,0,0,0,0,15,3,38,0,44,0,0,0,0,3,0,47,3,38,0,36,3,3,0,7,3,0,51,21,119,0,140,27,54,0,78,16,7,246,12,51,0,60,8,85,0,101,19,7,189,15,119,0,133,35,221,0,259,55,83,531,56,389,0,438,74,367,0,441,98,102,1088,0,0,0,0,0,0,0,0,226,4,235,9,3,0,14,0,0,0,0,270,4,284,14,9,0,27,34,4,0,37,139,7,205,11,8,0,18,58,7,0,65,9,3,97,35,43,0,73,302,45,0,350,14,3,439,19,26,0,49,65,35,0,97,10,5,158,30,130,0,157,74,120,0,191,51,51,454,111,226,0,339,530,214,0,746,716,75,1874,0,0,0,0,0,0,0,0,11,0,11,0,3,0,3,0,0,0,0,19,0,27,0,0
LGA10130,0,4,0,5,0,0,0,0,0,0,5,0,7,0,6,0,0,0,0,3,0,12,0,13,0,14,0,0,0,0,0,0,14,3,6,0,12,3,3,0,6,0,0,19,14,43,0,51,18,58,0,79,3,8,137,10,19,0,37,11,42,0,52,3,5,95,3,72,3,74,36,202,0,241,33,49,391,30,168,0,197,70,301,0,373,42,61,678,4,0,0,3,0,0,0,0,105,0,107,3,0,0,9,0,0,0,0,108,0,111,3,4,0,12,60,3,0,59,48,0,115,3,9,0,6,85,3,0,90,0,0,102,12,23,0,35,285,76,0,358,4,6,404,3,14,0,17,74,35,0,111,3,0,132,5,63,0,69,95,99,3,200,15,29,316,35,112,0,151,601,216,4,822,282,39,1297,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,12,0,17,0,0
LGA10250,0,3,0,7,0,0,0,0,0,0,6,0,13,0,13,0,0,0,0,0,0,10,0,21,0,17,0,0,0,0,0,0,22,0,17,0,16,0,0,0,3,0,0,18,8,48,3,57,12,22,0,34,3,3,99,3,14,0,21,7,29,0,37,6,7,67,9,88,0,99,5,136,3,145,32,67,347,25,199,4,223,26,187,3,221,48,84,574,3,3,0,9,0,0,0,0,152,0,159,0,8,0,9,0,0,0,0,148,8,160,4,6,0,9,11,0,0,15,85,3,106,3,8,0,12,31,4,0,37,3,5,57,13,22,0,36,118,36,0,157,3,0,192,5,14,0,13,34,18,0,54,3,3,73,18,94,0,117,50,97,0,148,35,46,342,43,157,0,206,246,153,3,397,422,64,1091,0,0,0,0,0,0,0,0,11,0,11,0,3,0,3,0,0,0,0,16,0,20,0,0
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,4,0,4,0,9,17,0,13,0,14,0,4,0,4,0,10,28,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,0,3,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,3,5,10,0,9,0,9,0,3,0,3,5,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,0,0,0,0,0,0,0,0,0,3,0,15,0,15,0,0,0,0,0,0,15,3,29,0,30,0,0,0,3,3,0,35,7,37,0,41,3,5,0,5,3,0,48,14,73,4,94,28,46,0,77,7,4,174,5,46,0,59,9,57,0,64,12,11,148,10,119,0,130,20,250,0,267,47,85,527,40,319,3,366,64,354,0,415,72,104,959,0,3,0,3,0,0,0,0,129,0,133,0,4,0,4,0,0,0,0,132,8,144,7,11,0,16,47,5,0,53,48,0,118,0,8,0,13,107,3,0,112,3,0,125,7,23,0,37,388,65,0,450,7,3,494,10,14,0,27,48,28,0,78,4,4,111,18,97,0,116,43,102,0,150,22,43,329,44,163,0,209,638,208,0,837,347,63,1456,0,0,0,0,0,0,0,0,5,0,10,3,0,0,3,0,0,0,0,11,0,18,0,0
LGA10550,0,3,0,3,0,0,0,0,0,0,3,0,7,0,7,0,0,0,0,0,0,10,0,12,0,13,0,0,0,0,0,0,15,8,18,0,24,0,0,0,0,0,0,29,9,40,0,45,3,14,0,20,0,3,67,0,17,0,17,0,16,0,16,3,3,42,3,42,0,43,5,84,0,83,17,83,231,16,139,0,156,5,117,0,120,32,96,405,0,0,0,3,0,0,0,0,107,3,111,3,3,0,4,0,0,0,0,118,3,128,0,3,0,8,5,0,0,5,47,0,55,0,0,0,5,4,0,0,6,5,0,15,3,17,0,18,28,4,0,37,8,8,61,3,20,0,22,11,9,0,19,3,4,48,4,44,3,50,28,64,0,94,27,60,221,19,83,3,103,74,83,0,155,311,74,640,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,0,0,13,0,15,0,0
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,8,0,7,0,7,0,0,0,0,0,0,5,0,3,0,4,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,12,0,14,0,27,0,28,9,28,71,0,26,0,31,0,32,0,31,9,32,97,0,0,0,0,0,0,0,0,31,0,35,0,0,0,0,0,0,0,0,33,0,28,0,0,0,0,0,0,0,0,18,0,17,3,0,0,4,3,0,0,3,0,0,7,0,0,0,8,6,3,0,11,0,0,19,0,0,0,3,4,11,0,14,0,3,20,8,27,0,38,9,30,0,46,5,16,101,13,33,0,50,22,48,0,70,92,23,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,0,0,5,0,6,0,6,0,0,0,0,0,0,6,0,9,0,5,0,5,0,3,0,0,12,0,4,0,4,0,6,0,6,0,0,14,0,13,0,14,0,13,0,13,0,17,49,3,38,0,40,0,25,0,25,0,21,87,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,0,0,0,0,22,3,25,0,0,0,0,0,0,0,0,5,0,8,0,3,0,3,0,0,0,0,0,0,7,0,3,0,3,4,3,0,5,3,0,15,0,3,0,3,3,3,0,10,0,0,12,3,7,0,8,3,13,0,12,9,6,41,5,19,0,19,15,17,0,31,49,12,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10750,0,24,0,25,0,0,0,0,7,0,26,4,49,0,49,0,0,0,0,13,0,66,11,96,3,113,14,3,0,14,9,0,137,10,125,3,138,18,17,0,33,7,4,177,49,358,3,410,140,178,0,318,70,28,826,28,176,3,208,71,272,3,347,73,33,657,88,510,18,613,153,756,13,924,376,361,2265,188,1336,28,1551,389,1228,21,1631,552,428,4165,18,5,0,23,0,0,0,0,751,23,797,18,13,0,28,10,0,0,12,658,10,713,41,39,0,87,428,31,0,464,193,5,743,45,36,0,82,563,50,3,621,34,11,741,108,113,0,225,1756,302,3,2069,119,39,2456,68,77,0,151,328,132,0,456,87,24,719,118,317,11,442,247,337,5,587,254,155,1428,419,604,8,1034,3328,852,17,4200,2098,262,7594,3,0,0,3,0,0,0,0,70,5,74,0,4,0,5,0,0,0,0,90,8,94,7,6
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,0,4,0,4,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,3,0,8,0,6,0,3,0,3,0,0,8,0,7,0,7,0,0,0,0,0,3,12,0,11,0,11,3,16,0,12,4,21,55,3,30,0,35,4,18,0,22,4,25,92,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,12,0,0,8,0,0,18,0,3,0,3,3,7,0,11,0,0,9,3,9,0,9,0,6,0,6,0,5,19,3,17,0,18,12,13,0,28,33,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
