LGA_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
LGA10050,240,38,0,1159,0,9,175,388,454,285,36,4,1349,0,4,38,122,175,154,43,3,540,36,44,70,76,103,67,23,4,423,1727,2402,5005,5011,5460,4192,921,106,24820
LGA10130,129,25,3,623,0,3,70,211,315,238,49,7,888,0,0,15,78,101,108,31,3,338,21,32,35,37,47,36,22,9,240,903,1340,2389,2420,2892,2341,687,142,13113
LGA10250,180,30,6,655,0,7,62,209,198,169,42,8,698,0,3,23,84,121,88,41,10,368,24,16,33,49,48,40,20,3,228,992,1073,2197,3003,3571,3129,835,146,14940
LGA10300,3,0,0,28,0,0,3,9,11,5,0,0,29,0,0,0,3,9,7,0,0,19,0,0,4,7,0,3,0,0,19,28,75,116,179,187,202,51,11,844
LGA10470,211,28,5,1021,0,4,162,315,372,242,35,3,1121,0,0,41,77,122,118,32,6,389,31,34,37,42,66,40,18,7,274,1140,1822,3412,3413,3757,2918,776,140,17376
LGA10550,118,17,3,474,0,4,49,105,152,110,29,9,447,0,3,15,34,60,66,19,0,188,24,14,19,28,46,48,18,5,206,743,701,1600,2127,3044,2878,751,119,11960
LGA10600,37,11,0,132,0,0,20,50,43,29,8,0,151,0,3,11,21,20,14,4,0,68,6,0,3,15,13,18,8,5,73,181,147,482,679,923,898,253,59,3625
LGA10650,23,3,0,79,0,0,13,26,17,25,3,0,100,0,0,3,13,8,15,10,4,47,4,6,7,5,17,16,4,4,60,143,177,401,472,574,652,232,57,2709
LGA10750,1128,153,10,6130,6,47,1283,2351,2193,1278,207,11,7372,11,20,297,930,1037,642,161,10,3102,127,202,353,359,373,265,51,14,1738,6009,10068,24058,24634,23349,15578,3196,257,107142
LGA10800,23,9,0,111,0,0,47,52,41,46,0,4,192,0,0,14,32,26,24,11,5,100,8,3,8,15,9,10,4,5,67,120,192,433,519,531,539,183,72,2594
LGA10850,31,4,3,250,0,3,118,110,96,31,3,0,369,0,0,20,49,46,15,0,3,133,6,0,6,13,12,9,5,4,57,152,173,566,639,663,488,183,67,2918
LGA10900,223,43,0,834,0,3,91,240,302,243,48,8,939,0,0,24,92,122,83,30,3,368,32,28,35,45,54,62,20,5,284,1410,1648,2741,3449,4244,3641,1137,150,18417
LGA10950,24,4,0,86,0,0,38,30,31,7,5,3,119,0,0,7,18,11,8,0,0,58,0,5,8,8,5,5,11,3,46,56,110,266,237,315,194,77,40,1295
LGA11100,486,69,3,3155,0,26,1058,1825,1477,790,114,8,5306,3,10,365,1386,1418,759,86,12,4034,22,79,174,157,163,105,32,3,741,1265,4013,11839,11760,10887,6398,1261,124,47543
LGA11150,12,0,0,74,0,4,17,18,28,9,4,0,82,0,0,5,3,5,3,8,0,26,0,5,0,6,8,10,3,8,33,23,85,242,198,236,178,71,14,1054
LGA11200,0,0,0,11,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,3,0,3,5,0,4,0,0,0,9,4,7,32,28,36,36,14,0,162
LGA11250,117,11,0,477,0,10,134,141,180,144,15,0,622,0,0,22,42,41,38,8,3,155,9,15,16,28,31,37,9,4,160,367,575,1427,1248,1520,1379,285,48,6856
LGA11300,184,38,3,993,0,4,242,438,479,360,68,7,1598,0,0,61,194,211,179,76,12,744,18,25,50,31,51,42,9,0,233,871,1730,3994,3425,3574,2605,691,96,16995
LGA11350,81,18,0,397,0,0,52,150,154,119,29,0,514,3,3,28,85,98,87,33,3,340,24,24,40,57,56,46,15,3,262,644,815,2371,2912,3039,2517,610,91,12998
LGA11400,44,9,0,241,0,4,93,104,90,45,17,4,358,0,0,16,40,52,24,15,12,151,8,3,13,15,16,17,13,7,86,165,212,744,875,978,828,396,113,4309
LGA11450,195,36,0,1295,0,7,256,476,381,211,36,9,1374,3,3,55,178,199,118,21,3,581,41,51,92,77,85,54,18,7,424,2127,2715,5275,5396,5030,3310,740,84,24684
LGA11500,473,69,0,2461,0,16,427,884,856,565,92,5,2843,3,14,103,322,355,238,53,11,1104,65,82,157,145,147,103,36,4,749,3174,4834,10071,10347,10381,7543,1532,130,48022
LGA11520,301,61,8,1994,0,10,677,1326,918,506,100,13,3547,0,11,231,883,852,382,106,21,2481,22,57,111,109,91,66,27,7,486,1269,3076,8772,8041,6765,4331,1164,143,33558
LGA11570,869,144,15,4542,0,43,892,1716,1645,1071,199,25,5580,8,20,217,730,906,543,181,26,2620,94,186,365,317,365,227,67,13,1625,4086,8609,21024,21042,21761,15209,3477,422,95636
LGA11600,11,3,0,44,0,0,3,22,18,10,4,0,66,0,4,7,12,9,10,3,0,49,0,9,9,16,7,9,6,0,48,70,107,243,256,295,258,80,31,1342
LGA11650,1012,124,7,4843,4,22,704,1637,1784,1124,197,24,5483,6,29,199,656,821,587,163,29,2486,170,154,276,287,392,286,93,26,1674,7736,9846,19178,21376,23970,18053,4001,453,104601
LGA11700,6,0,0,17,0,0,0,4,4,11,0,0,20,0,0,3,0,4,9,3,0,16,0,0,0,0,7,5,0,0,20,8,29,74,60,77,101,23,11,384
LGA11720,121,15,4,606,0,4,133,238,243,145,27,3,792,0,8,35,85,121,73,23,3,357,26,25,29,43,70,38,15,0,250,1153,1424,2958,3032,3212,2429,537,92,14840
LGA11730,181,21,4,707,0,5,84,207,228,165,20,7,726,0,3,41,73,91,81,29,7,325,21,10,34,59,59,53,14,13,265,1009,1133,2329,3195,4013,3643,844,188,16352
LGA11750,34,3,3,178,0,15,127,113,83,44,3,0,399,0,0,20,51,51,26,3,0,155,4,3,3,5,7,12,8,6,42,81,172,576,482,472,375,86,24,2274
LGA11800,306,29,0,1247,0,10,145,373,438,292,48,4,1319,0,7,40,137,170,142,45,9,546,38,50,70,56,109,75,20,4,423,1922,2354,5108,5834,6807,5571,1143,122,28868
LGA12000,3,0,9,49,0,0,8,13,13,13,3,0,46,0,0,3,14,17,11,4,0,43,3,6,0,3,8,3,3,0,24,71,87,154,189,233,191,72,24,1030
LGA12150,13,3,0,52,0,0,14,11,18,15,4,0,60,0,0,0,5,16,9,6,0,44,0,3,6,10,7,11,3,4,43,47,94,263,231,328,322,107,30,1433
LGA12350,45,9,0,171,0,0,28,36,58,30,7,0,166,0,3,6,15,28,23,14,3,93,3,8,8,10,18,16,11,5,84,305,420,708,838,1042,882,319,77,4581
LGA12380,659,107,8,3798,4,28,795,1489,1466,876,142,11,4804,7,17,198,579,698,452,142,16,2114,60,137,268,238,260,141,41,8,1155,3027,6628,17207,16634,16056,10857,2382,223,73013
LGA12700,31,7,0,95,0,3,3,33,39,20,7,0,107,0,0,10,12,9,14,11,5,65,0,3,3,3,15,9,6,0,29,147,127,251,387,511,502,180,63,2170
LGA12730,33,9,3,153,0,0,17,57,59,48,10,0,200,0,0,8,21,18,22,4,0,78,10,0,11,15,19,14,5,3,83,206,294,596,737,789,782,243,46,3697
LGA12750,121,22,4,416,0,0,38,99,137,127,21,3,424,0,3,14,45,62,58,23,3,212,16,22,33,38,40,62,13,8,233,789,762,1637,2213,2958,2869,660,92,11976
LGA12850,525,109,10,2771,0,18,474,892,915,586,120,9,3008,0,8,101,303,456,317,105,16,1304,51,130,198,183,228,148,38,6,982,2743,5396,12413,12377,13031,9067,1927,179,57129
LGA12870,47,3,0,173,0,0,24,62,72,48,13,0,211,0,0,4,24,33,32,12,3,105,10,13,14,21,20,28,16,4,125,282,390,810,903,1135,1016,292,52,4879
LGA12900,24,13,0,134,0,0,17,49,51,44,5,0,169,0,0,5,19,30,19,4,0,74,3,7,19,11,11,13,14,10,89,234,326,715,716,861,733,239,88,3905
LGA12930,456,68,7,2434,3,13,589,997,932,548,120,17,3214,0,3,130,505,616,369,113,18,1762,44,76,136,119,143,105,30,9,672,2089,3892,9498,9129,9490,6633,1712,233,42681
LGA12950,14,0,0,64,0,0,3,3,12,15,4,0,38,0,0,12,8,3,16,7,3,42,3,0,4,6,5,9,3,3,31,64,115,243,261,355,351,136,53,1573
LGA13010,23,10,3,95,0,3,21,33,35,25,10,0,132,0,0,3,5,13,16,10,4,51,0,5,3,10,14,15,13,8,62,182,216,416,557,677,656,275,78,3062
LGA13310,138,18,0,590,0,10,124,173,217,135,22,7,697,0,3,27,81,94,52,23,6,293,13,16,44,43,43,41,6,6,208,713,966,2270,2184,2461,1811,488,82,10978
LGA13340,38,4,7,143,0,0,16,27,55,43,9,3,152,0,0,7,10,31,25,10,0,92,0,3,11,12,11,21,13,6,69,180,199,504,549,775,737,295,92,3323
LGA13450,88,22,0,486,0,11,93,153,178,116,19,3,577,3,4,16,65,90,79,13,7,280,17,27,54,44,62,46,18,3,277,825,1093,2599,2363,2598,1981,543,88,12095
LGA13510,37,11,0,167,0,0,29,45,42,49,12,0,182,0,3,6,16,27,32,22,6,119,4,4,11,17,24,17,6,6,96,251,311,639,788,956,844,266,82,4132
