LGA_CODE_2016,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000mo_Mng,Pvte_3000mo_Pro,Pvte_3000mo_TecTW,Pvte_3000mo_CoPSW,Pvte_3000mo_ClAW,Pvte_3000mo_SWks,Pvte_3000mo_MaOpDv,Pvte_3000mo_Lab,Pvte_3000mo_IDNS,Pvte_3000mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot,NS_2000_2999_Mng,NS_2000_2999_Pro,NS_2000_2999_TecTW,NS_2000_2999_CoPSW,NS_2000_2999_ClAW,NS_2000_2999_SWks,NS_2000_2999_MaOpDv,NS_2000_2999_Lab,NS_2000_2999_IDNS,NS_2000_2999_Tot,NS_3000mo_Mng,NS_3000mo_Pro,NS_3000mo_TecTW,NS_3000mo_CoPSW,NS_3000mo_ClAW,NS_3000mo_SWks,NS_3000mo_MaOpDv,NS_3000mo_Lab,NS_3000mo_IDNS,NS_3000mo_Tot,NS_PINS_Mng,NS_PINS_Pro,NS_PINS_TecTW,NS_PINS_CoPSW,NS_PINS_ClAW,NS_PINS_SWks,NS_PINS_MaOpDv,NS_PINS_Lab,NS_PINS_IDNS,NS_PINS_Tot,NS_Tot_Mng,NS_Tot_Pro,NS_Tot_TecTW,NS_Tot_CoPSW,NS_Tot_ClAW,NS_Tot_SWks,NS_Tot_MaOpDv,NS_Tot_Lab,NS_Tot_IDNS,NS_Tot_Tot
LGA26350,1128,1800,324,77,225,220,14,70,45,3905,1269,1527,73,25,158,231,10,22,93,3403,84,172,78,92,82,122,15,44,26,718,7844,13710,5685,6066,5920,8266,558,3108,477,51633,3,0,0,0,0,0,0,0,17,27,0,0,0,11,0,4,0,0,15,33,0,3,5,7,0,3,0,7,18,38,0,0,4,5,3,5,0,3,20,44,3,0,4,7,0,4,0,3,26,42,0,0,3,4,3,0,0,6,11,33,3,5,5,5,0,0,3,6,29,54,3,7,8,4,3,10,0,4,20,61,0,6,11,3,4,0,0,3,18,48,0,6,3,0,0,3,0,0,15,32,0,9,3,0,0,0,0,0,9,27,4,7,0,0,0,3,0,0,13,26,0,10,0,3,0,0,0,0,4,17,3,3,0,0,0,0,0,0,9,16,11,15,6,7,9,8,0,3,102,153,25,75,47,54,23,35,16,34,342,656
LGA26430,50,17,13,0,5,0,3,0,0,81,34,21,7,0,3,3,0,0,7,72,30,4,3,3,6,5,3,15,5,75,829,321,442,296,237,237,166,629,30,3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,3,17,8,0,3,3,0,3,3,9,20,60
LGA26490,97,109,35,0,21,15,8,7,3,308,104,81,10,4,20,21,0,0,9,252,29,11,18,19,6,15,0,17,4,110,1425,1202,1247,1017,760,1088,233,961,76,8013,0,0,0,3,0,0,0,0,7,11,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,9,17,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,14,18,3,4,13,8,4,7,6,8,41,100
LGA26610,102,65,14,0,11,13,8,13,0,225,67,48,11,3,10,12,4,5,3,162,34,12,17,10,14,15,3,27,8,142,1510,779,1046,595,769,908,533,1095,92,7334,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,3,3,4,10,14,0,0,0,0,0,0,0,3,9,18,0,0,0,0,0,0,0,3,10,22,0,0,4,0,0,0,0,5,12,18,0,0,0,0,0,0,0,6,6,9,0,3,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,3,8,17,13,4,11,6,3,3,0,24,88,153
LGA26670,31,5,0,0,0,3,4,0,3,46,23,3,0,0,0,0,0,0,0,33,15,0,7,0,3,5,3,5,0,36,621,113,182,94,120,115,80,244,17,1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,0,0,0,0,0,0,0,12,28
LGA26700,118,93,31,10,22,21,11,13,3,327,73,95,18,10,12,11,9,9,4,237,27,17,28,23,13,23,6,25,6,177,1744,1249,1384,916,1079,1214,688,1189,110,9568,0,0,0,0,0,0,0,0,3,9,0,0,0,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,3,8,3,0,3,0,0,0,0,0,4,10,0,0,3,3,0,3,0,3,9,20,0,0,0,0,0,0,0,0,5,11,0,3,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,3,3,0,3,0,0,21,36,13,5,19,11,6,8,3,11,82,167
LGA26730,151,224,57,6,44,28,20,11,4,540,115,152,24,3,16,13,9,10,8,344,14,17,37,10,15,21,9,13,10,146,1380,1837,1640,1133,1528,1855,634,1142,91,11247,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,0,6,12,0,0,0,4,0,0,0,3,5,11,0,0,3,0,0,0,3,0,6,16,0,0,0,0,0,4,5,4,7,19,0,3,0,0,0,0,3,0,3,9,0,4,3,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,4,0,0,3,0,3,4,3,3,17,32,0,10,9,8,7,13,12,11,80,149
LGA26810,173,153,296,15,38,6,64,73,10,821,169,114,259,10,25,5,53,41,8,681,57,22,51,18,23,30,24,32,13,276,2641,1550,2594,1348,1302,1460,1033,2035,135,14096,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,3,0,0,0,7,4,0,3,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,6,15,0,0,3,3,0,0,0,0,12,18,5,0,0,0,0,0,3,6,10,24,0,0,0,4,0,0,3,4,7,18,3,3,4,0,0,0,0,0,14,30,3,0,3,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,4,12,3,0,3,5,0,3,0,4,28,48,25,10,18,17,9,7,10,16,111,226
LGA26890,30,5,4,0,0,0,0,0,0,40,30,3,3,0,0,3,0,0,0,40,18,0,5,0,0,4,3,6,0,32,711,93,103,72,82,49,72,196,11,1384,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,8,24
LGA26980,1232,1554,366,33,227,168,46,55,30,3709,930,907,75,17,112,94,7,8,16,2175,88,136,112,88,106,100,20,67,43,767,7312,13047,7077,6117,7858,7045,1777,3904,560,54693,0,0,4,3,0,3,0,0,26,32,0,3,4,4,0,3,0,0,17,36,0,12,8,12,3,8,0,9,22,64,0,0,0,5,7,3,3,12,28,59,0,3,3,3,3,4,0,4,33,56,0,6,10,5,9,3,0,3,32,72,3,3,11,6,4,0,5,11,34,75,3,4,12,8,13,6,0,5,37,86,4,7,10,3,0,4,0,3,34,64,5,8,3,3,3,0,0,0,13,41,3,0,3,0,3,0,0,0,15,26,0,5,0,0,0,0,0,0,7,17,3,4,0,0,0,0,0,0,8,17,3,4,0,0,3,0,0,0,10,23,5,5,7,13,11,4,3,6,122,178,33,70,78,60,54,39,15,61,437,847
