LGA_CODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA10050,150,3,3,0,0,156,14,0,3,0,0,16,15,0,0,0,0,15,74,13,10,3,0,91,48,4,3,0,0,58,25,5,8,0,0,35,3,0,0,0,0,3,555,46,37,13,7,654,47,7,3,0,0,60,21,5,4,0,0,27,16,0,0,0,0,15,397,25,37,7,7,470,253,23,27,6,19,334,21265,1427,1611,294,214,24820
LGA10130,78,0,3,0,0,86,3,0,0,0,0,8,11,0,0,0,0,11,53,6,4,3,0,66,30,5,0,0,0,33,13,0,0,0,0,18,3,0,0,0,0,3,256,28,29,12,5,327,53,3,13,3,0,72,24,7,0,0,0,23,14,0,0,0,0,14,358,8,14,11,3,395,138,10,17,12,15,195,10745,696,1145,392,132,13113
LGA10250,53,0,3,0,3,58,3,0,3,0,0,9,6,0,0,0,0,9,60,14,21,4,0,95,7,0,0,0,0,10,30,0,7,0,0,33,3,0,0,0,0,4,379,54,88,13,4,538,40,3,19,0,3,64,3,3,3,0,0,12,17,0,3,0,0,25,166,21,38,9,7,238,179,26,39,6,14,264,11420,1120,1876,351,181,14940
LGA10300,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,24,17,0,0,7,3,26,567,87,105,63,14,844
LGA10470,95,0,0,3,0,100,4,0,0,0,0,6,7,0,3,0,0,10,48,10,3,0,0,59,27,4,3,0,0,29,33,3,5,0,0,43,0,0,0,0,0,0,341,23,44,12,6,429,35,3,3,3,0,47,19,3,6,0,0,33,15,0,0,0,0,12,189,9,23,3,0,227,194,22,34,4,12,268,14529,973,1313,366,199,17376
LGA10550,54,3,4,0,5,64,6,0,0,0,0,8,10,0,0,0,0,12,20,7,4,3,0,34,0,0,0,0,0,0,23,5,3,0,0,30,0,0,0,0,0,0,345,34,92,13,4,483,30,5,5,3,0,49,5,0,3,0,0,12,4,0,4,0,0,7,122,15,36,3,0,176,225,15,42,4,16,303,9035,899,1494,339,195,11960
LGA10600,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,14,6,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,14,52,13,3,199,12,0,6,0,0,14,0,0,0,0,0,6,0,0,0,0,0,4,43,4,14,4,0,73,51,3,15,0,4,75,2488,227,682,161,65,3625
LGA10650,10,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,31,5,7,4,0,53,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,3,0,22,47,3,10,6,0,66,1819,277,366,187,59,2709
LGA10750,4533,157,201,31,41,4961,257,22,23,0,0,307,112,15,10,0,0,134,717,59,39,4,4,821,930,101,107,17,12,1166,262,9,10,3,3,291,242,36,48,13,6,342,2825,208,168,27,19,3237,261,18,14,3,5,298,1275,85,107,33,27,1523,133,0,8,0,0,145,6637,537,637,104,100,8017,1090,95,83,13,89,1370,92699,6623,5748,1034,1041,107142
LGA10800,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,10,6,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,22,0,8,0,0,31,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,4,18,3,0,0,0,23,31,10,5,15,3,64,1689,157,480,231,42,2594
LGA10850,11,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,49,0,12,3,0,65,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,3,17,0,7,0,0,26,36,5,11,7,5,65,2217,156,350,151,40,2918
LGA10900,118,5,3,0,0,127,30,4,12,0,0,45,12,0,0,0,0,20,55,6,17,3,0,80,17,5,0,0,0,26,63,3,3,0,0,70,3,0,0,0,0,8,760,144,245,36,3,1190,76,8,28,4,0,120,59,5,10,3,3,79,10,4,3,0,0,14,347,60,126,13,9,550,159,16,28,4,8,221,13729,1485,2670,369,165,18417
LGA10950,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,7,19,0,8,7,0,35,954,52,177,88,21,1295
LGA11100,1111,3,17,0,12,1139,128,6,9,0,0,141,122,5,3,4,0,140,364,35,13,3,3,425,214,8,0,0,5,222,382,13,21,3,6,420,119,13,8,7,3,150,1732,107,76,4,17,1937,197,4,3,3,0,215,606,29,30,6,3,681,42,3,3,0,0,44,4808,239,231,28,51,5359,403,28,16,6,41,485,43253,2206,1435,235,414,47543
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,18,0,0,0,0,21,28,0,11,7,0,48,808,42,128,50,31,1054
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,5,3,0,0,0,0,3,117,11,15,14,0,162
LGA11250,61,0,0,3,0,63,0,0,0,0,0,0,4,0,0,0,0,4,14,0,3,0,0,20,6,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,74,0,5,7,0,85,9,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,37,5,7,0,0,45,134,12,7,0,11,172,5986,268,381,95,126,6856
LGA11300,374,6,4,3,4,391,43,6,8,0,0,50,32,0,3,0,0,40,75,6,4,0,0,93,152,15,9,0,0,178,80,0,11,3,5,90,47,4,6,3,0,56,368,28,27,0,3,426,43,3,0,3,0,51,286,30,37,7,3,368,21,0,0,0,0,21,1233,65,61,7,20,1384,119,13,15,3,16,159,14381,1180,1061,222,148,16995
LGA11350,27,0,5,0,0,35,6,0,0,3,0,10,8,4,0,0,0,9,52,9,30,0,4,93,10,0,0,0,0,11,23,4,3,0,0,34,0,0,0,0,0,4,453,94,225,26,14,815,81,18,49,0,3,156,5,0,3,3,0,11,4,0,3,0,0,12,309,67,124,18,15,533,221,37,64,9,15,345,8510,1261,2615,349,270,12998
LGA11400,18,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,21,8,0,0,0,0,8,0,0,0,0,0,4,5,0,0,0,0,5,72,3,11,6,0,101,3,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,46,3,0,0,0,52,62,3,15,9,0,86,2897,282,700,350,81,4309
LGA11450,258,11,6,0,0,277,28,5,6,0,0,46,20,0,3,0,0,22,105,16,4,3,0,130,40,3,8,0,0,49,60,4,4,3,0,72,9,6,3,0,4,22,792,104,98,10,9,1008,46,5,4,0,0,58,176,21,27,5,5,227,31,3,0,0,0,34,966,123,111,20,14,1231,271,34,40,6,24,369,19966,2296,1837,305,276,24684
