LGA_CODE_2016,HNFA_15_19_EWFT,HNFA_15_19_EWPT,HNFA_15_19_EAFW,HNFA_15_19_EHW_NS,HNFA_15_19_Tot,HNFA_20_24_EWFT,HNFA_20_24_EWPT,HNFA_20_24_EAFW,HNFA_20_24_EHW_NS,HNFA_20_24_Tot,HNFA_25_29_EWFT,HNFA_25_29_EWPT,HNFA_25_29_EAFW,HNFA_25_29_EHW_NS,HNFA_25_29_Tot,HNFA_30_34_EWFT,HNFA_30_34_EWPT,HNFA_30_34_EAFW,HNFA_30_34_EHW_NS,HNFA_30_34_Tot,HNFA_35_39_EWFT,HNFA_35_39_EWPT,HNFA_35_39_EAFW,HNFA_35_39_EHW_NS,HNFA_35_39_Tot,HNFA_40_44_EWFT,HNFA_40_44_EWPT,HNFA_40_44_EAFW,HNFA_40_44_EHW_NS,HNFA_40_44_Tot,HNFA_45_49_EWFT,HNFA_45_49_EWPT,HNFA_45_49_EAFW,HNFA_45_49_EHW_NS,HNFA_45_49_Tot,HNFA_50_54_EWFT,HNFA_50_54_EWPT,HNFA_50_54_EAFW,HNFA_50_54_EHW_NS,HNFA_50_54_Tot,HNFA_55_59_EWFT,HNFA_55_59_EWPT,HNFA_55_59_EAFW,HNFA_55_59_EHW_NS,HNFA_55_59_Tot,HNFA_60_64_EWFT,HNFA_60_64_EWPT,HNFA_60_64_EAFW,HNFA_60_64_EHW_NS,HNFA_60_64_Tot,HNFA_65_69_EWFT,HNFA_65_69_EWPT,HNFA_65_69_EAFW,HNFA_65_69_EHW_NS,HNFA_65_69_Tot,HNFA_70_74_EWFT,HNFA_70_74_EWPT,HNFA_70_74_EAFW,HNFA_70_74_EHW_NS,HNFA_70_74_Tot,HNFA_75ov_EWFT,HNFA_75ov_EWPT,HNFA_75ov_EAFW,HNFA_75ov_EHW_NS,HNFA_75ov_Tot,HNFA_Tot_EWFT,HNFA_Tot_EWPT,HNFA_Tot_EAFW,HNFA_Tot_EHW_NS,HNFA_Tot_Tot,DNHNFA_15_19_EWFT,DNHNFA_15_19_EWPT,DNHNFA_15_19_EAFW,DNHNFA_15_19_EHW_NS,DNHNFA_15_19_Tot,DNHNFA_20_24_EWFT,DNHNFA_20_24_EWPT,DNHNFA_20_24_EAFW,DNHNFA_20_24_EHW_NS,DNHNFA_20_24_Tot,DNHNFA_25_29_EWFT,DNHNFA_25_29_EWPT,DNHNFA_25_29_EAFW,DNHNFA_25_29_EHW_NS,DNHNFA_25_29_Tot,DNHNFA_30_34_EWFT,DNHNFA_30_34_EWPT,DNHNFA_30_34_EAFW,DNHNFA_30_34_EHW_NS,DNHNFA_30_34_Tot,DNHNFA_35_39_EWFT,DNHNFA_35_39_EWPT,DNHNFA_35_39_EAFW,DNHNFA_35_39_EHW_NS,DNHNFA_35_39_Tot,DNHNFA_40_44_EWFT,DNHNFA_40_44_EWPT,DNHNFA_40_44_EAFW,DNHNFA_40_44_EHW_NS,DNHNFA_40_44_Tot,DNHNFA_45_49_EWFT,DNHNFA_45_49_EWPT,DNHNFA_45_49_EAFW,DNHNFA_45_49_EHW_NS,DNHNFA_45_49_Tot,DNHNFA_50_54_EWFT,DNHNFA_50_54_EWPT,DNHNFA_50_54_EAFW,DNHNFA_50_54_EHW_NS,DNHNFA_50_54_Tot,DNHNFA_55_59_EWFT,DNHNFA_55_59_EWPT,DNHNFA_55_59_EAFW,DNHNFA_55_59_EHW_NS,DNHNFA_55_59_Tot,DNHNFA_60_64_EWFT,DNHNFA_60_64_EWPT,DNHNFA_60_64_EAFW,DNHNFA_60_64_EHW_NS,DNHNFA_60_64_Tot,DNHNFA_65_69_EWFT,DNHNFA_65_69_EWPT,DNHNFA_65_69_EAFW,DNHNFA_65_69_EHW_NS,DNHNFA_65_69_Tot,DNHNFA_70_74_EWFT,DNHNFA_70_74_EWPT,DNHNFA_70_74_EAFW,DNHNFA_70_74_EHW_NS,DNHNFA_70_74_Tot,DNHNFA_75ov_EWFT,DNHNFA_75ov_EWPT,DNHNFA_75ov_EAFW,DNHNFA_75ov_EHW_NS,DNHNFA_75ov_Tot,DNHNFA_Tot_EWFT,DNHNFA_Tot_EWPT,DNHNFA_Tot_EAFW,DNHNFA_Tot_EHW_NS,DNHNFA_Tot_Tot,NFANS_15_19_EWFT,NFANS_15_19_EWPT,NFANS_15_19_EAFW,NFANS_15_19_EHW_NS,NFANS_15_19_Tot,NFANS_20_24_EWFT,NFANS_20_24_EWPT,NFANS_20_24_EAFW,NFANS_20_24_EHW_NS,NFANS_20_24_Tot,NFANS_25_29_EWFT,NFANS_25_29_EWPT,NFANS_25_29_EAFW,NFANS_25_29_EHW_NS,NFANS_25_29_Tot,NFANS_30_34_EWFT,NFANS_30_34_EWPT,NFANS_30_34_EAFW,NFANS_30_34_EHW_NS,NFANS_30_34_Tot,NFANS_35_39_EWFT,NFANS_35_39_EWPT,NFANS_35_39_EAFW,NFANS_35_39_EHW_NS,NFANS_35_39_Tot,NFANS_40_44_EWFT,NFANS_40_44_EWPT,NFANS_40_44_EAFW,NFANS_40_44_EHW_NS,NFANS_40_44_Tot,NFANS_45_49_EWFT,NFANS_45_49_EWPT,NFANS_45_49_EAFW,NFANS_45_49_EHW_NS,NFANS_45_49_Tot,NFANS_50_54_EWFT,NFANS_50_54_EWPT,NFANS_50_54_EAFW,NFANS_50_54_EHW_NS,NFANS_50_54_Tot,NFANS_55_59_EWFT,NFANS_55_59_EWPT,NFANS_55_59_EAFW,NFANS_55_59_EHW_NS,NFANS_55_59_Tot,NFANS_60_64_EWFT,NFANS_60_64_EWPT,NFANS_60_64_EAFW,NFANS_60_64_EHW_NS,NFANS_60_64_Tot,NFANS_65_69_EWFT,NFANS_65_69_EWPT,NFANS_65_69_EAFW,NFANS_65_69_EHW_NS,NFANS_65_69_Tot,NFANS_70_74_EWFT,NFANS_70_74_EWPT,NFANS_70_74_EAFW,NFANS_70_74_EHW_NS,NFANS_70_74_Tot
LGA10050,3,10,0,0,10,3,13,3,0,15,12,13,0,0,23,10,9,3,0,22,6,13,6,0,24,6,10,3,0,23,9,5,3,0,17,6,15,3,0,26,8,9,0,0,18,6,5,7,0,20,0,8,0,4,13,0,3,0,0,4,0,7,0,3,6,67,124,25,7,229,353,1234,62,50,1695,1270,987,57,58,2368,1546,684,126,35,2384,1516,821,142,36,2518,1477,798,85,33,2389,1607,814,67,29,2519,1795,791,61,46,2690,1749,778,86,34,2645,1536,775,108,29,2442,877,677,80,14,1651,284,375,37,15,708,46,105,14,6,178,17,58,5,11,93,14063,8894,929,394,24288,4,5,0,5,15,10,3,3,3,15,15,5,0,3,24,22,6,0,0,35,9,11,0,3,24,16,15,0,0,29,32,15,0,0,50,24,4,0,0,31,20,16,0,0,31,19,5,0,5,29,4,3,3,3,12,0,3,0,0,5
LGA10130,0,3,0,0,3,0,11,0,0,11,0,7,0,0,7,0,3,0,0,9,0,9,0,0,15,3,6,0,0,17,4,12,0,0,22,5,9,0,0,21,7,3,0,0,14,3,8,0,0,12,0,4,0,0,4,0,4,0,0,4,0,9,3,0,13,34,95,3,4,136,170,628,54,37,892,565,656,53,45,1321,741,378,49,16,1178,743,349,52,18,1166,682,345,46,10,1083,819,402,21,23,1263,921,383,26,15,1345,1017,412,34,21,1479,874,402,55,12,1346,552,316,38,14,926,216,200,24,6,447,104,99,4,8,211,58,56,8,7,125,7459,4619,472,239,12792,0,8,0,0,12,3,4,4,0,14,11,0,3,0,14,11,7,0,0,19,4,8,0,0,17,21,6,0,0,28,12,5,0,0,18,7,0,0,0,11,21,8,4,0,34,4,3,3,0,9,0,3,0,0,6,0,4,0,0,4
LGA10250,0,8,0,0,13,3,11,0,0,13,7,7,0,0,13,3,3,0,0,14,3,7,0,0,12,9,16,4,0,25,0,12,0,0,12,3,23,0,0,23,4,10,0,0,14,3,4,4,0,11,0,11,0,0,12,0,4,0,0,4,0,4,0,3,10,38,112,15,6,172,160,734,43,26,965,515,471,35,22,1048,578,345,35,12,969,686,417,47,19,1168,814,452,28,34,1328,924,600,28,32,1592,1019,624,31,21,1694,1069,632,45,27,1774,977,707,62,32,1780,609,595,53,8,1270,201,341,41,13,595,76,125,12,8,220,47,72,9,7,133,7668,6125,466,273,14530,3,7,0,0,8,9,0,0,0,10,13,5,0,0,16,11,4,0,0,15,7,7,0,7,23,15,7,0,4,28,13,10,0,3,26,18,11,0,0,36,19,13,3,0,35,7,10,0,0,20,3,0,0,0,3,3,3,0,3,10
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,11,12,16,5,0,25,46,21,0,7,75,41,15,3,0,59,32,17,3,5,54,46,27,0,0,71,63,31,3,3,99,59,26,3,3,92,61,29,0,4,89,75,33,5,3,110,50,32,3,0,92,17,11,4,0,37,6,7,0,0,14,0,3,0,0,8,511,262,25,21,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,5,3,0,0,9,6,13,0,0,19,9,9,0,0,17,7,6,3,0,12,0,8,0,0,12,14,14,0,0,27,3,9,0,0,15,10,8,0,0,24,5,3,4,0,14,3,8,0,0,15,0,3,0,0,9,0,0,0,0,4,0,3,0,0,9,68,93,19,3,184,236,788,50,44,1119,862,794,76,52,1789,1141,457,76,29,1706,1027,485,80,33,1631,1029,459,49,24,1560,1192,508,39,26,1759,1298,479,46,28,1849,1266,465,49,20,1795,1110,480,57,24,1671,681,408,71,21,1180,267,234,26,5,536,71,128,20,5,213,45,65,3,9,126,10241,5749,644,312,16949,0,0,0,0,3,3,7,0,0,21,9,3,0,0,14,19,6,0,0,28,15,10,0,0,25,16,12,0,5,35,32,13,3,3,50,17,7,0,3,23,13,6,0,0,25,6,5,5,0,15,5,3,0,0,8,4,0,0,0,3
LGA10550,0,3,0,0,3,0,12,0,0,16,0,8,0,0,9,0,3,0,0,4,3,6,0,0,6,5,8,0,0,16,3,7,0,0,6,4,14,0,0,22,6,13,0,0,15,8,15,3,0,24,3,3,0,0,5,0,0,0,0,0,0,5,0,0,10,35,96,9,6,142,175,496,37,26,734,380,238,25,31,670,434,222,31,7,696,497,293,57,9,855,533,357,33,16,932,666,411,32,20,1130,845,478,48,21,1395,936,562,45,27,1572,834,693,94,25,1647,510,540,70,27,1149,201,286,29,16,537,62,113,21,11,201,40,58,8,6,114,6128,4743,518,233,11628,0,5,0,0,9,8,3,0,0,11,4,3,0,0,12,9,6,0,0,21,3,12,0,0,20,12,12,0,0,20,11,7,0,0,21,13,15,4,0,27,11,15,0,0,31,7,10,0,0,17,3,6,0,0,9,0,0,0,0,0
LGA10600,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,4,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,14,15,10,4,41,33,136,3,12,178,69,60,9,7,142,100,72,4,7,188,156,107,12,6,281,144,123,14,9,286,193,156,10,3,365,236,180,8,6,432,247,197,18,7,469,247,211,23,10,493,166,198,18,9,388,72,92,5,4,177,25,39,4,0,73,21,24,0,9,54,1699,1603,129,79,3515,0,5,0,0,3,0,0,0,0,4,4,5,0,0,12,3,3,0,0,11,0,7,0,0,11,6,3,0,0,11,3,0,0,0,4,8,3,0,0,8,4,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,12,0,3,21,44,83,9,6,137,111,53,5,7,176,125,62,5,8,200,126,53,7,7,183,125,75,10,4,218,161,72,4,4,240,185,73,11,4,270,167,95,11,10,286,187,129,19,0,332,174,111,20,5,308,66,68,8,11,156,31,34,4,4,72,21,29,3,5,56,1521,936,116,73,2646,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,0,0,3,0,3,0,0,5,0,0,0,0,7,0,0,0,0,4,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0
LGA10750,10,40,0,3,55,27,86,3,0,127,28,65,5,0,98,36,50,7,0,86,45,46,3,4,104,59,53,4,0,120,65,51,10,0,122,63,57,7,3,132,55,50,13,6,128,30,51,10,4,90,21,24,0,3,51,4,13,0,0,12,3,11,0,3,17,452,594,65,33,1146,1280,4197,237,189,5900,5202,4110,227,304,9844,8070,2531,361,336,11291,8795,2841,447,271,12358,8471,2876,311,297,11961,8956,2824,206,209,12198,8574,2732,212,231,11743,8224,2412,223,195,11054,6722,2133,231,139,9222,3914,1744,197,85,5940,1305,915,103,61,2386,290,363,17,29,693,62,130,16,25,230,69857,29792,2788,2382,104824,9,29,0,10,46,55,32,3,13,105,70,21,4,8,96,66,33,3,15,120,82,34,3,4,126,102,26,0,4,136,96,36,3,14,150,104,38,0,6,147,75,39,3,11,129,42,26,0,0,70,15,20,3,0,37,6,4,0,3,13
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,4,0,0,4,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,3,0,3,11,13,3,0,25,40,69,3,10,121,123,58,10,4,190,141,53,4,6,200,151,63,6,8,225,171,58,9,4,246,184,70,9,5,265,187,53,3,0,243,188,67,10,13,273,210,82,13,8,303,128,72,11,7,213,70,37,10,8,114,25,19,4,5,57,25,24,0,6,63,1642,714,83,76,2519,0,3,0,0,4,5,0,0,0,3,3,0,0,0,3,3,3,0,0,5,0,0,0,3,6,3,6,0,0,3,4,0,0,0,7,0,5,0,0,6,4,0,0,0,3,5,0,0,0,8,3,0,0,0,5,3,0,0,0,0
