LGA_CODE_2016,M_Vietnam_OM_UIE,M_Vietnam_CFW,M_Vietnam_ES_NS,M_Vietnam_Tot,M_Zimbabwe_E,M_Zimbabwe_OM_IE,M_Zimbabwe_OM_UIE,M_Zimbabwe_CFW,M_Zimbabwe_ES_NS,M_Zimbabwe_Tot,M_Elsewhere_E,M_Elsewhere_OM_IE,M_Elsewhere_OM_UIE,M_Elsewhere_CFW,M_Elsewhere_ES_NS,M_Elsewhere_Tot,M_COB_NS_E,M_COB_NS_OM_IE,M_COB_NS_OM_UIE,M_COB_NS_CFW,M_COB_NS_ES_NS,M_COB_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_Australia_E,F_Australia_OM_IE,F_Australia_OM_UIE,F_Australia_CFW,F_Australia_ES_NS,F_Australia_Tot,F_Canada_E,F_Canada_OM_IE,F_Canada_OM_UIE,F_Canada_CFW,F_Canada_ES_NS,F_Canada_Tot,F_China_E,F_China_OM_IE,F_China_OM_UIE,F_China_CFW,F_China_ES_NS,F_China_Tot,F_Croatia_E,F_Croatia_OM_IE,F_Croatia_OM_UIE,F_Croatia_CFW,F_Croatia_ES_NS,F_Croatia_Tot,F_Egypt_E,F_Egypt_OM_IE,F_Egypt_OM_UIE,F_Egypt_CFW,F_Egypt_ES_NS,F_Egypt_Tot,F_Fiji_E,F_Fiji_OM_IE,F_Fiji_OM_UIE,F_Fiji_CFW,F_Fiji_ES_NS,F_Fiji_Tot,F_FYROM_E,F_FYROM_OM_IE,F_FYROM_OM_UIE,F_FYROM_CFW,F_FYROM_ES_NS,F_FYROM_Tot,F_Germany_E,F_Germany_OM_IE,F_Germany_OM_UIE,F_Germany_CFW,F_Germany_ES_NS,F_Germany_Tot,F_Greece_E,F_Greece_OM_IE,F_Greece_OM_UIE,F_Greece_CFW,F_Greece_ES_NS,F_Greece_Tot,F_HongKong_E,F_HongKong_OM_IE,F_HongKong_OM_UIE,F_HongKong_CFW,F_HongKong_ES_NS,F_HongKong_Tot,F_India_E,F_India_OM_IE,F_India_OM_UIE,F_India_CFW,F_India_ES_NS,F_India_Tot,F_Indonesia_E,F_Indonesia_OM_IE,F_Indonesia_OM_UIE,F_Indonesia_CFW,F_Indonesia_ES_NS,F_Indonesia_Tot,F_Iran_E,F_Iran_OM_IE,F_Iran_OM_UIE,F_Iran_CFW,F_Iran_ES_NS,F_Iran_Tot,F_Iraq_E,F_Iraq_OM_IE,F_Iraq_OM_UIE,F_Iraq_CFW,F_Iraq_ES_NS,F_Iraq_Tot,F_Ireland_E,F_Ireland_OM_IE,F_Ireland_OM_UIE,F_Ireland_CFW,F_Ireland_ES_NS,F_Ireland_Tot,F_Italy_E,F_Italy_OM_IE,F_Italy_OM_UIE,F_Italy_CFW,F_Italy_ES_NS,F_Italy_Tot,F_Japan_E,F_Japan_OM_IE,F_Japan_OM_UIE,F_Japan_CFW,F_Japan_ES_NS,F_Japan_Tot,F_KoreaSouth_E,F_KoreaSouth_OM_IE,F_KoreaSouth_OM_UIE,F_KoreaSouth_CFW,F_KoreaSouth_ES_NS,F_KoreaSouth_Tot,F_Lebanon_E,F_Lebanon_OM_IE,F_Lebanon_OM_UIE,F_Lebanon_CFW,F_Lebanon_ES_NS,F_Lebanon_Tot,F_Malaysia_E,F_Malaysia_OM_IE,F_Malaysia_OM_UIE,F_Malaysia_CFW,F_Malaysia_ES_NS,F_Malaysia_Tot,F_Malta_E,F_Malta_OM_IE,F_Malta_OM_UIE,F_Malta_CFW,F_Malta_ES_NS,F_Malta_Tot,F_Netherlands_E,F_Netherlands_OM_IE,F_Netherlands_OM_UIE,F_Netherlands_CFW,F_Netherlands_ES_NS,F_Netherlands_Tot,F_NZ_E,F_NZ_OM_IE,F_NZ_OM_UIE,F_NZ_CFW,F_NZ_ES_NS,F_NZ_Tot,F_Pakistan_E,F_Pakistan_OM_IE,F_Pakistan_OM_UIE,F_Pakistan_CFW,F_Pakistan_ES_NS,F_Pakistan_Tot,F_Philippines_E,F_Philippines_OM_IE,F_Philippines_OM_UIE,F_Philippines_CFW,F_Philippines_ES_NS,F_Philippines_Tot,F_Poland_E,F_Poland_OM_IE,F_Poland_OM_UIE,F_Poland_CFW,F_Poland_ES_NS,F_Poland_Tot,F_Singapore_E,F_Singapore_OM_IE,F_Singapore_OM_UIE,F_Singapore_CFW,F_Singapore_ES_NS,F_Singapore_Tot,F_SthAfrica_E,F_SthAfrica_OM_IE,F_SthAfrica_OM_UIE,F_SthAfrica_CFW,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW
LGA10850,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,22,4,4,4,0,39,1410,104,211,81,25,1835,731,43,118,62,8,962,4,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,0,6,0,0,14,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
LGA10900,7,3,0,45,3,0,0,0,0,7,144,31,53,3,5,244,61,7,11,4,4,92,5374,945,1428,179,80,8007,6768,373,914,132,66,8251,20,3,6,0,0,29,44,5,7,3,0,60,0,3,0,0,0,4,5,0,0,0,0,6,21,0,0,0,0,19,0,0,0,0,0,0,39,8,10,4,3,56,3,0,0,0,0,3,16,3,0,0,0,24,48,3,4,3,0,63,16,0,0,0,0,15,3,0,0,0,0,3,6,0,0,0,0,7,23,7,3,0,0,37,16,0,3,0,0,17,19,0,6,0,0,28,20,3,5,0,0,23,3,0,0,0,0,10,28,0,3,0,0,33,9,0,0,0,0,16,32,3,6,0,0,46,165,19,34,4,3,231,4,0,0,0,3,10,80,3,3,0,0,88,18,0,6,0,0,26,8,0,0,0,0,7,37,0,7,3,0,49,14,0,0,0
LGA10950,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,7,20,0,5,0,0,27,531,43,118,41,12,749,388,15,54,36,12,506,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11100,18,3,4,402,29,3,0,0,0,32,3002,189,177,18,29,3421,233,25,13,5,26,295,26311,1741,1015,123,275,29462,9172,242,186,49,53,9709,46,0,3,0,0,52,842,48,31,9,7,931,35,0,3,0,0,43,75,3,0,0,0,84,170,3,0,0,3,175,122,0,0,0,4,124,70,3,3,0,0,82,95,0,6,0,0,99,202,3,6,0,3,215,417,8,3,0,3,436,377,14,12,3,8,408,48,0,0,3,0,50,41,0,4,0,0,49,83,4,3,0,0,94,79,0,0,0,0,88,112,5,0,0,0,118,131,10,8,0,0,142,94,6,3,0,0,105,134,3,4,0,0,147,16,0,0,0,0,15,29,0,0,0,0,35,555,11,6,3,6,578,18,0,0,0,0,19,555,0,3,0,6,567,70,0,3,0,0,71,50,0,0,3,0,52,144,4,3,3,0,156,46,3,0,0
LGA11150,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,14,0,9,3,0,22,386,27,89,24,19,540,367,16,37,22,12,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,45,6,12,8,0,74,58,0,3,10,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,3,0,0,0,0,3,19,0,0,0,0,24,62,4,6,0,10,82,2943,170,230,43,67,3455,2802,85,135,49,51,3113,4,0,0,0,0,4,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,31,0,0,0,0,34,0,0,0,0,0,0,38,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,14,3,0,0,0
LGA11300,17,3,5,158,5,0,0,0,0,5,545,42,42,5,11,656,52,4,9,0,11,74,6073,810,651,111,81,7718,4423,112,165,40,24,4766,22,0,0,0,0,20,795,131,87,27,3,1045,21,0,0,0,0,24,23,0,4,0,0,29,67,0,3,0,0,74,19,0,0,0,0,17,28,0,3,0,0,30,29,0,3,0,0,34,136,8,9,4,3,152,287,10,6,0,3,309,70,0,3,0,0,77,28,0,3,0,0,35,25,0,0,0,0,25,47,3,3,0,0,53,81,7,8,3,0,90,19,0,0,0,0,20,202,28,25,10,3,269,94,11,13,8,0,117,69,0,3,0,0,72,8,0,0,0,0,8,3,0,0,0,0,3,148,3,3,0,0,156,24,3,0,0,0,23,239,3,0,0,0,247,32,0,3,0,0,34,16,0,0,0,0,18,43,7,3,0,0,51,87,3,6,0
LGA11350,3,0,0,4,3,0,0,0,0,3,147,35,56,5,14,266,98,22,36,0,5,161,3781,803,1425,144,140,6285,3670,320,842,152,93,5081,37,5,16,0,0,59,3,0,3,0,0,11,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,6,0,0,0,0,0,0,60,9,16,4,0,97,0,0,0,0,0,0,4,0,0,0,0,4,10,0,3,5,0,18,6,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,16,19,0,4,0,0,25,52,0,8,5,0,69,3,0,3,0,0,12,0,0,0,0,0,0,3,0,3,0,0,7,5,0,4,0,0,9,16,3,4,0,0,29,140,20,43,3,3,218,3,0,0,0,0,3,18,0,3,0,0,25,3,0,0,3,0,7,3,0,0,0,0,7,22,4,17,0,4,49,3,0,0,0
LGA11400,0,0,0,0,4,0,0,0,0,4,31,3,0,0,0,37,28,0,13,0,0,45,1649,193,472,195,57,2561,1093,84,199,143,18,1541,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,5,0,0,17,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0
