LGA_CODE_2016,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_Inc_LR_15_24,F_M1_Tram_Inc_LR_25_34,F_M1_Tram_Inc_LR_35_44,F_M1_Tram_Inc_LR_45_54,F_M1_Tram_Inc_LR_55_64,F_M1_Tram_Inc_LR_65_74,F_M1_Tram_Inc_LR_75ov,F_M1_Tram_Inc_LR_Tot,F_M1_Taxi_15_24,F_M1_Taxi_25_34,F_M1_Taxi_35_44,F_M1_Taxi_45_54,F_M1_Taxi_55_64,F_M1_Taxi_65_74,F_M1_Taxi_75ov,F_M1_Taxi_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
LGA10050,5,0,3,0,0,0,0,10,14,13,24,11,6,3,0,71,23,12,26,11,10,3,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,11,12,29,44,56,77,40,19,276,233,133,127,138,149,60,5,845,21,17,14,21,13,18,10,106,1835,2336,2307,2439,1959,518,65,11450,0,3,3,0,0,0,0,9,25,11,16,15,8,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,9,0,0,0,19,1346,1928,2066,2405,1667,260,11,9688,329,92,78,94,72,18,0,683,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,9,3,9,10,14,6,3,0,56,3,3,10,7,6,3,0,28,89,78,51,69,80,15,0,384,1802,2133,2244,2620,1848,292,20,10956,0,0,0,0,0,0,0,0
LGA10130,0,0,0,4,0,0,0,8,13,19,7,12,7,4,0,60,13,20,7,23,7,4,0,71,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,7,10,25,62,89,102,102,40,433,137,77,57,69,87,45,11,477,13,14,8,6,11,10,4,72,1037,1203,1155,1353,1149,396,98,6400,0,0,0,0,3,0,0,5,13,0,3,7,8,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,0,17,690,782,895,1137,781,127,7,4418,144,94,75,73,64,7,0,461,0,0,0,3,3,10,0,18,4,0,0,0,4,0,0,15,3,4,3,6,5,0,0,26,0,6,11,9,4,4,0,33,51,66,47,47,66,15,6,304,914,968,1040,1292,937,169,16,5329,0,0,0,0,0,0,0,0
LGA10250,3,3,3,0,0,0,0,13,7,10,14,10,9,3,0,53,9,13,15,13,12,3,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,13,21,86,116,145,124,43,551,140,74,64,87,115,54,3,538,19,9,27,25,12,11,4,112,986,1136,1438,1628,1491,503,101,7292,0,0,0,0,0,0,0,0,24,10,4,11,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,599,716,1108,1359,1088,157,4,5036,164,48,46,62,57,13,0,396,0,0,0,0,3,0,0,3,3,0,3,4,3,0,0,10,10,7,17,14,12,3,0,62,0,5,4,10,8,3,0,33,47,27,41,92,60,20,5,296,842,819,1227,1552,1239,197,9,5885,0,0,0,0,0,0,0,0
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,17,10,3,48,4,4,0,0,5,0,3,21,0,3,0,0,0,0,0,10,62,59,96,93,113,31,8,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,46,46,53,3,0,209,3,5,4,6,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,4,0,0,0,0,12,8,9,5,9,18,0,0,50,30,49,64,73,81,7,3,297,0,0,0,0,0,0,0,0
LGA10470,0,4,3,4,0,0,0,11,5,23,4,10,10,5,0,51,5,26,11,17,12,5,0,66,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,6,5,0,0,0,0,0,16,10,31,41,73,87,79,32,353,178,100,86,89,112,40,19,622,21,16,19,19,21,11,7,105,1376,1717,1584,1726,1410,435,104,8358,0,3,0,0,0,0,0,6,9,6,3,3,7,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,3,0,0,0,21,908,1178,1402,1550,1045,168,12,6264,194,79,68,92,75,12,0,519,0,0,0,0,0,6,0,8,3,0,0,0,0,0,0,3,3,0,5,3,0,0,0,17,4,4,3,3,7,0,0,30,79,78,34,62,58,11,0,325,1202,1359,1516,1720,1200,208,19,7209,0,0,0,0,0,0,0,0
LGA10550,0,0,0,0,0,0,0,4,3,9,10,11,9,0,0,47,4,8,10,10,16,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,5,5,19,66,85,145,94,40,450,119,68,84,110,162,49,11,604,21,8,11,15,12,15,7,85,697,774,1001,1418,1424,425,93,5822,0,3,0,0,0,0,0,3,11,4,8,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,396,534,783,1150,913,139,10,3927,119,31,26,62,34,17,0,283,0,0,0,0,3,0,0,4,3,0,4,0,0,0,0,8,0,4,7,4,7,0,0,14,0,0,4,12,9,3,0,35,48,38,49,77,76,18,0,311,580,617,885,1308,1048,177,10,4616,0,0,0,0,0,0,0,0
LGA10600,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,13,0,3,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,41,62,62,50,24,242,23,20,31,34,44,7,0,155,6,0,3,3,3,0,3,23,160,259,348,439,443,148,38,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,133,201,304,255,29,6,1015,29,5,8,15,18,7,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,9,0,4,0,4,4,5,0,15,13,15,20,28,27,0,0,115,135,164,233,356,311,41,5,1244,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,9,3,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,19,37,64,38,9,178,15,10,14,9,24,8,3,87,3,4,4,4,0,3,5,21,173,206,230,268,353,141,41,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,119,156,196,194,39,3,796,16,8,3,3,3,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,3,0,6,4,0,0,13,12,18,15,25,20,8,4,101,110,144,179,230,227,53,7,956,0,0,0,0,0,0,0,0
LGA10750,35,14,20,11,8,3,0,94,79,115,82,70,50,9,0,402,296,349,277,200,147,27,5,1301,40,48,19,22,6,5,0,147,3,0,4,0,0,0,0,6,3,3,0,3,0,0,0,13,46,54,28,21,9,5,0,166,54,156,317,312,257,109,20,1236,882,592,572,507,483,159,24,3220,128,164,126,110,71,26,11,642,8604,14042,14124,13138,8982,2107,173,61168,207,352,186,164,116,22,0,1051,363,232,138,153,123,19,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,7,12,3,3,0,42,3659,6641,7650,7639,4657,639,35,30917,1289,495,437,554,477,95,5,3348,0,0,4,3,0,0,0,12,10,0,12,10,0,0,0,30,11,11,3,4,4,0,0,37,15,37,35,48,28,4,4,170,244,187,169,176,133,25,3,926,5800,7968,8653,8754,5540,804,47,37566,156,146,75,84,59,12,0,531
LGA10800,0,4,9,4,0,0,0,16,0,4,3,3,3,0,0,15,0,9,11,8,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,10,10,33,46,51,42,20,212,28,20,20,14,23,14,0,113,5,3,3,7,8,7,4,29,177,252,292,295,304,120,48,1482,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,120,150,137,128,14,5,623,25,10,7,10,7,0,0,58,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,9,5,8,12,12,15,9,0,55,107,142,172,168,151,23,7,768,0,0,0,0,0,0,0,0
