LGA_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
LGA10050,185,25,13,2568,2277,233,190,30,23,2755,2204,243,208,24,22,2699,2040,197,207,34,22,2491,1312,152,177,34,20,1698,483,85,114,34,15,731,93,19,41,25,9,187,48,7,19,22,9,106,21265,1427,1611,294,214,24820
LGA10130,114,25,10,1304,1137,100,127,17,5,1386,1174,122,163,32,16,1509,1083,111,136,44,10,1398,657,74,161,40,10,949,228,44,116,58,11,461,72,27,62,55,9,223,22,15,41,51,9,142,10745,696,1145,392,132,13113
LGA10250,213,29,20,1641,1294,156,237,26,15,1734,1328,191,259,43,15,1834,1353,145,270,42,23,1833,868,123,247,47,15,1294,322,89,146,45,10,607,90,28,71,32,13,226,33,23,44,34,17,146,11420,1120,1876,351,181,14940
LGA10300,16,7,0,105,64,8,14,8,0,91,64,14,8,5,0,93,73,10,20,9,0,114,51,5,19,13,3,92,15,10,12,3,4,38,0,0,4,3,0,14,3,0,0,7,0,11,567,87,105,63,14,844
LGA10470,135,29,17,1817,1573,138,160,22,17,1916,1498,136,147,39,22,1841,1365,119,153,47,26,1711,919,89,134,43,15,1205,307,62,122,47,8,553,101,24,64,27,6,223,37,17,45,34,4,140,14529,973,1313,366,199,17376
LGA10550,138,19,18,1162,1082,111,176,29,28,1420,1207,142,217,37,17,1626,1212,164,251,45,27,1696,749,126,212,68,30,1182,269,81,134,50,11,547,63,35,69,33,9,205,31,16,44,20,3,119,9035,899,1494,339,195,11960
LGA10600,68,9,7,376,314,38,70,20,0,446,330,35,96,15,7,478,334,33,115,18,8,504,244,23,95,19,8,396,59,19,75,29,3,178,22,13,29,11,0,78,6,3,23,15,6,59,2488,227,682,161,65,3625
LGA10650,51,12,4,249,171,37,50,19,3,277,209,38,33,9,0,296,219,46,50,24,11,342,172,42,59,28,10,315,83,19,30,22,5,158,30,11,17,20,0,77,13,11,10,23,3,57,1819,277,366,187,59,2709
LGA10750,786,121,106,12448,9971,1014,782,120,128,12016,9437,922,763,110,108,11329,8003,721,574,105,85,9484,4967,518,469,89,56,6098,1834,285,247,63,45,2475,455,115,111,22,15,720,120,33,45,32,21,257,92699,6623,5748,1034,1041,107142
LGA10800,46,20,0,271,150,20,61,23,3,250,174,19,62,21,0,284,185,20,69,34,7,311,121,24,50,23,7,223,44,6,40,26,4,125,14,6,22,15,6,55,8,3,31,25,8,72,1689,157,480,231,42,2594
LGA10850,27,4,4,336,285,22,26,10,0,349,236,20,38,13,5,314,190,14,41,23,8,270,112,20,57,21,0,216,26,20,34,20,3,97,17,8,35,23,4,82,13,3,22,21,4,67,2217,156,350,151,40,2918
LGA10900,309,40,14,1918,1528,193,371,35,15,2142,1466,238,338,51,12,2101,1447,198,356,42,22,2063,996,194,340,42,11,1581,474,107,202,44,19,849,124,51,75,24,9,290,58,26,37,21,7,150,13729,1485,2670,369,165,18417
LGA10950,9,7,3,146,115,11,25,6,0,158,106,12,24,6,6,157,71,4,25,6,4,112,45,13,21,9,0,89,18,4,17,6,3,55,3,0,14,4,0,25,0,0,14,18,0,40,954,52,177,88,21,1295
LGA11100,207,24,42,5929,5114,370,186,9,60,5738,4587,298,197,23,44,5146,3643,251,162,17,48,4112,1953,166,118,22,22,2285,776,107,62,21,19,989,190,37,35,4,4,272,60,34,13,15,8,124,43253,2206,1435,235,414,47543
LGA11150,11,5,3,99,78,12,12,5,0,112,93,8,18,5,5,125,62,6,19,13,4,105,48,7,12,4,0,74,31,0,16,3,0,50,9,0,3,7,4,23,3,0,3,3,3,14,808,42,128,50,31,1054
LGA11200,0,0,0,15,17,0,3,0,0,18,10,3,4,3,0,19,11,0,5,0,0,21,7,3,0,8,0,11,5,0,0,7,0,6,0,0,0,0,0,3,0,0,0,0,0,0,117,11,15,14,0,162
LGA11250,43,10,11,661,635,33,34,4,12,717,695,38,42,8,10,800,713,54,62,9,16,856,409,30,51,21,14,526,144,23,29,13,6,213,43,4,15,0,7,69,16,6,10,5,9,48,5986,268,381,95,126,6856
LGA11300,124,28,13,1719,1423,172,135,25,17,1766,1427,186,164,26,8,1809,1251,144,124,24,15,1558,840,85,97,13,14,1046,392,53,48,12,13,518,104,27,30,9,7,168,51,10,23,10,4,96,14381,1180,1061,222,148,16995
LGA11350,326,51,26,1596,897,223,395,40,23,1576,859,191,361,30,32,1471,871,144,336,41,34,1432,556,152,311,38,25,1085,193,56,156,32,13,452,46,29,50,19,15,155,26,11,36,24,8,91,8510,1261,2615,349,270,12998
LGA11400,62,19,6,476,333,36,62,18,8,468,339,37,88,33,11,509,296,28,101,19,6,452,210,37,82,45,7,378,77,27,67,70,7,246,21,18,49,49,10,146,11,4,42,49,7,113,2897,282,700,350,81,4309
LGA11450,258,33,33,2848,2024,339,233,28,24,2642,1823,296,216,34,15,2389,1497,209,189,27,20,1945,979,179,161,35,18,1365,368,99,71,28,15,577,84,38,32,8,6,164,29,19,9,17,7,84,19966,2296,1837,305,276,24684
LGA11500,306,53,50,5437,4289,370,369,52,48,5134,4397,420,319,48,60,5247,3825,397,300,47,47,4616,2381,226,249,39,31,2930,904,135,94,33,17,1175,221,68,48,19,12,358,63,24,23,18,11,130,41700,2819,2537,462,498,48022
LGA11520,301,42,25,3930,2693,404,306,34,32,3482,2591,355,273,36,29,3281,2072,261,222,40,25,2629,1281,207,165,27,15,1702,540,119,141,22,8,840,162,64,65,21,7,324,46,34,32,20,12,143,28042,2618,2240,372,285,33558
LGA11570,959,144,142,10757,8567,1129,1045,148,105,10991,8340,1176,973,155,122,10767,7210,917,821,147,102,9194,4594,604,645,106,71,6018,1796,352,311,91,37,2598,520,169,122,53,23,886,207,81,69,43,25,422,77572,8097,7464,1359,1147,95636
LGA11600,26,16,0,144,97,19,20,11,3,149,86,20,25,15,0,147,83,22,24,13,9,148,57,17,35,5,0,111,19,11,18,9,3,60,7,4,7,7,0,19,12,0,7,10,0,31,884,134,185,109,30,1342
