LGA_CODE_2016,OM_UIE_75ov_HW_0,OM_UIE_75ov_HW_1_15,OM_UIE_75ov_HW_16_24,OM_UIE_75ov_HW_25_34,OM_UIE_75ov_HW_35_39,OM_UIE_75ov_HW_40,OM_UIE_75ov_HW_41_48,OM_UIE_75ov_HW_49mor,OM_UIE_75ov_HW_NS,OM_UIE_75ov_Tot,OM_UIE_Tot_HW_0,OM_UIE_Tot_HW_1_15,OM_UIE_Tot_HW_16_24,OM_UIE_Tot_HW_25_34,OM_UIE_Tot_HW_35_39,OM_UIE_Tot_HW_40,OM_UIE_Tot_HW_41_48,OM_UIE_Tot_HW_49mor,OM_UIE_Tot_HW_NS,OM_UIE_Tot_Tot,CFW_15_19_HW_0,CFW_15_19_HW_1_15,CFW_15_19_HW_16_24,CFW_15_19_HW_25_34,CFW_15_19_HW_35_39,CFW_15_19_HW_40,CFW_15_19_HW_41_48,CFW_15_19_HW_49mor,CFW_15_19_HW_NS,CFW_15_19_Tot,CFW_20_24_HW_0,CFW_20_24_HW_1_15,CFW_20_24_HW_16_24,CFW_20_24_HW_25_34,CFW_20_24_HW_35_39,CFW_20_24_HW_40,CFW_20_24_HW_41_48,CFW_20_24_HW_49mor,CFW_20_24_HW_NS,CFW_20_24_Tot,CFW_25_29_HW_0,CFW_25_29_HW_1_15,CFW_25_29_HW_16_24,CFW_25_29_HW_25_34,CFW_25_29_HW_35_39,CFW_25_29_HW_40,CFW_25_29_HW_41_48,CFW_25_29_HW_49mor,CFW_25_29_HW_NS,CFW_25_29_Tot,CFW_30_34_HW_0,CFW_30_34_HW_1_15,CFW_30_34_HW_16_24,CFW_30_34_HW_25_34,CFW_30_34_HW_35_39,CFW_30_34_HW_40,CFW_30_34_HW_41_48,CFW_30_34_HW_49mor,CFW_30_34_HW_NS,CFW_30_34_Tot,CFW_35_39_HW_0,CFW_35_39_HW_1_15,CFW_35_39_HW_16_24,CFW_35_39_HW_25_34,CFW_35_39_HW_35_39,CFW_35_39_HW_40,CFW_35_39_HW_41_48,CFW_35_39_HW_49mor,CFW_35_39_HW_NS,CFW_35_39_Tot,CFW_40_44_HW_0,CFW_40_44_HW_1_15,CFW_40_44_HW_16_24,CFW_40_44_HW_25_34,CFW_40_44_HW_35_39,CFW_40_44_HW_40,CFW_40_44_HW_41_48,CFW_40_44_HW_49mor,CFW_40_44_HW_NS,CFW_40_44_Tot,CFW_45_49_HW_0,CFW_45_49_HW_1_15,CFW_45_49_HW_16_24,CFW_45_49_HW_25_34,CFW_45_49_HW_35_39,CFW_45_49_HW_40,CFW_45_49_HW_41_48,CFW_45_49_HW_49mor,CFW_45_49_HW_NS,CFW_45_49_Tot,CFW_50_54_HW_0,CFW_50_54_HW_1_15,CFW_50_54_HW_16_24,CFW_50_54_HW_25_34,CFW_50_54_HW_35_39,CFW_50_54_HW_40,CFW_50_54_HW_41_48,CFW_50_54_HW_49mor,CFW_50_54_HW_NS,CFW_50_54_Tot,CFW_55_59_HW_0,CFW_55_59_HW_1_15,CFW_55_59_HW_16_24,CFW_55_59_HW_25_34,CFW_55_59_HW_35_39,CFW_55_59_HW_40,CFW_55_59_HW_41_48,CFW_55_59_HW_49mor,CFW_55_59_HW_NS,CFW_55_59_Tot,CFW_60_64_HW_0,CFW_60_64_HW_1_15,CFW_60_64_HW_16_24,CFW_60_64_HW_25_34,CFW_60_64_HW_35_39,CFW_60_64_HW_40,CFW_60_64_HW_41_48,CFW_60_64_HW_49mor,CFW_60_64_HW_NS,CFW_60_64_Tot,CFW_65_69_HW_0,CFW_65_69_HW_1_15,CFW_65_69_HW_16_24,CFW_65_69_HW_25_34,CFW_65_69_HW_35_39,CFW_65_69_HW_40,CFW_65_69_HW_41_48,CFW_65_69_HW_49mor,CFW_65_69_HW_NS,CFW_65_69_Tot,CFW_70_74_HW_0,CFW_70_74_HW_1_15,CFW_70_74_HW_16_24,CFW_70_74_HW_25_34,CFW_70_74_HW_35_39,CFW_70_74_HW_40,CFW_70_74_HW_41_48,CFW_70_74_HW_49mor,CFW_70_74_HW_NS,CFW_70_74_Tot,CFW_75ov_HW_0,CFW_75ov_HW_1_15,CFW_75ov_HW_16_24,CFW_75ov_HW_25_34,CFW_75ov_HW_35_39,CFW_75ov_HW_40,CFW_75ov_HW_41_48,CFW_75ov_HW_49mor,CFW_75ov_HW_NS,CFW_75ov_Tot,CFW_Tot_HW_0,CFW_Tot_HW_1_15,CFW_Tot_HW_16_24,CFW_Tot_HW_25_34,CFW_Tot_HW_35_39,CFW_Tot_HW_40,CFW_Tot_HW_41_48,CFW_Tot_HW_49mor,CFW_Tot_HW_NS,CFW_Tot_Tot,ET_NS_15_19_HW_0,ET_NS_15_19_HW_1_15,ET_NS_15_19_HW_16_24,ET_NS_15_19_HW_25_34,ET_NS_15_19_HW_35_39,ET_NS_15_19_HW_40,ET_NS_15_19_HW_41_48,ET_NS_15_19_HW_49mor,ET_NS_15_19_HW_NS,ET_NS_15_19_Tot,ET_NS_20_24_HW_0,ET_NS_20_24_HW_1_15,ET_NS_20_24_HW_16_24,ET_NS_20_24_HW_25_34,ET_NS_20_24_HW_35_39,ET_NS_20_24_HW_40,ET_NS_20_24_HW_41_48,ET_NS_20_24_HW_49mor,ET_NS_20_24_HW_NS,ET_NS_20_24_Tot,ET_NS_25_29_HW_0,ET_NS_25_29_HW_1_15,ET_NS_25_29_HW_16_24,ET_NS_25_29_HW_25_34,ET_NS_25_29_HW_35_39,ET_NS_25_29_HW_40,ET_NS_25_29_HW_41_48,ET_NS_25_29_HW_49mor,ET_NS_25_29_HW_NS,ET_NS_25_29_Tot,ET_NS_30_34_HW_0,ET_NS_30_34_HW_1_15,ET_NS_30_34_HW_16_24,ET_NS_30_34_HW_25_34,ET_NS_30_34_HW_35_39,ET_NS_30_34_HW_40,ET_NS_30_34_HW_41_48,ET_NS_30_34_HW_49mor,ET_NS_30_34_HW_NS,ET_NS_30_34_Tot
LGA10050,0,6,3,3,3,0,0,3,0,19,55,222,161,214,155,273,121,397,25,1611,0,8,0,0,0,0,0,0,3,10,0,4,0,0,3,0,0,0,3,4,0,3,0,0,0,0,0,0,0,6,0,6,0,3,0,0,0,5,0,22,0,10,0,5,0,0,3,0,0,28,0,6,0,3,4,3,0,4,3,25,0,6,8,0,4,0,0,13,3,30,0,3,0,3,0,6,0,7,0,24,0,13,3,4,0,3,0,6,0,34,0,9,4,7,0,4,0,8,0,34,3,11,4,0,3,3,4,10,3,34,0,11,4,0,0,3,0,0,7,25,0,3,3,8,0,0,0,0,4,22,12,87,35,34,10,19,10,63,24,294,0,9,0,0,0,0,0,0,7,16,3,0,0,4,0,0,0,0,7,9,0,0,0,3,0,3,0,7,3,16,4,0,0,0,5,0,3,4,3,18
LGA10130,0,3,6,6,0,0,3,13,0,41,25,135,92,136,68,157,102,410,19,1145,0,8,3,0,0,4,0,0,4,18,0,4,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,4,3,13,0,6,0,0,3,3,0,10,0,21,0,9,0,3,0,4,0,13,0,25,0,3,0,3,0,0,0,6,0,17,0,3,4,0,0,0,3,10,4,32,3,6,6,0,4,5,0,17,3,44,0,6,3,7,0,4,6,20,0,40,0,19,4,8,3,8,3,17,3,58,0,11,12,4,0,6,3,21,7,55,3,3,13,3,3,6,0,12,3,51,16,83,51,28,13,33,16,132,25,392,0,3,3,0,0,0,0,0,0,5,0,3,3,3,5,3,0,0,0,18,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,3,3
LGA10250,0,18,3,8,0,7,9,9,0,44,58,297,210,264,126,316,139,453,21,1876,0,5,5,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,11,0,13,0,3,3,0,0,3,0,20,0,6,0,5,0,0,0,7,0,12,0,4,3,4,5,3,0,11,0,29,0,8,3,6,3,3,0,4,0,26,0,8,4,5,3,3,3,9,0,43,0,9,5,7,3,3,3,10,0,42,4,14,8,3,7,5,3,6,0,47,0,15,7,7,3,3,4,5,3,45,0,12,6,3,0,4,0,3,0,32,3,5,7,3,0,3,0,3,0,34,15,91,45,53,21,37,14,68,8,351,0,4,0,0,0,0,3,0,3,12,0,3,0,3,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,3,13
LGA10300,0,0,0,0,0,0,0,0,0,0,0,3,3,15,13,14,6,56,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,11,9,8,0,16,0,25,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA10470,3,11,3,5,3,5,0,13,0,45,26,162,141,139,112,218,108,375,26,1313,0,6,0,3,0,3,0,0,0,13,0,4,0,0,0,0,0,0,0,8,0,3,0,4,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,7,0,9,0,3,0,3,0,6,0,25,0,7,0,4,0,0,3,10,0,29,0,3,3,0,0,8,0,10,0,22,3,6,5,3,5,5,0,14,0,39,4,8,4,7,0,5,0,15,0,47,0,3,3,6,0,3,3,19,0,43,0,13,3,4,3,7,3,12,0,47,0,3,6,6,0,3,5,6,0,27,0,9,11,3,0,4,0,3,9,34,17,74,41,44,17,42,22,90,15,366,0,3,3,0,0,0,0,0,8,16,0,3,3,0,3,0,0,0,4,15,0,0,0,0,4,0,0,3,4,15,0,3,0,0,0,0,4,0,4,21
LGA10550,6,10,12,5,0,5,3,8,0,44,66,242,155,184,118,216,114,375,28,1494,0,3,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,6,0,3,0,0,0,0,0,8,0,3,0,0,0,0,0,3,0,10,5,6,3,0,0,0,3,3,3,19,0,6,3,3,3,3,3,3,0,29,0,9,3,9,0,9,3,13,3,37,3,9,5,6,5,5,0,7,0,45,4,21,6,9,0,9,5,5,9,68,0,10,3,5,5,4,3,11,3,50,0,9,3,4,0,9,3,11,3,33,0,7,0,6,0,3,0,6,0,20,17,85,33,47,17,46,15,62,21,339,0,5,0,0,0,0,0,0,3,13,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,3,3,0,0,12,0,3,0,0,0,3,0,0,0,11
LGA10600,0,3,5,0,0,0,0,3,3,23,26,123,93,99,47,85,45,143,23,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,4,8,0,3,0,5,0,0,0,3,0,9,0,3,0,6,0,3,0,7,3,20,0,4,0,0,0,0,0,7,0,15,0,3,4,5,0,0,0,6,0,18,3,5,3,4,0,0,0,3,0,19,0,10,0,5,0,0,3,5,0,29,0,4,0,3,0,3,0,4,0,11,0,6,0,3,0,4,0,5,0,15,7,50,16,20,4,13,3,38,8,161,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3
LGA10650,0,3,0,0,0,0,3,3,0,10,11,39,29,24,23,40,25,161,8,366,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,0,0,0,4,0,0,0,4,0,12,0,0,3,0,0,0,0,4,0,12,0,0,0,3,0,3,3,5,0,19,0,3,0,4,0,0,0,3,0,9,0,8,3,3,0,0,0,8,0,24,3,7,0,0,0,3,0,13,3,28,3,0,0,3,0,3,0,13,3,22,0,5,0,0,0,0,3,10,4,20,0,10,3,0,0,0,0,4,3,23,7,40,13,22,8,20,3,61,9,187,0,3,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10750,0,10,9,7,3,8,0,8,0,45,118,883,715,744,541,994,378,1218,146,5748,4,27,0,0,0,0,0,0,7,36,0,19,10,3,0,3,0,0,3,47,3,10,10,7,3,3,0,3,9,46,3,32,18,15,11,6,3,12,5,116,3,43,25,15,8,17,0,8,6,127,3,26,17,16,9,14,9,18,5,121,3,34,14,13,7,14,6,19,7,120,8,14,15,15,9,13,3,29,3,110,4,17,17,10,11,8,3,22,8,105,5,23,17,3,8,12,3,12,5,89,0,22,14,5,3,3,3,11,4,63,0,8,3,3,0,3,0,6,4,22,0,9,10,6,3,4,0,0,4,32,37,275,175,106,74,104,38,138,76,1034,3,25,6,3,9,11,3,0,18,72,9,7,10,8,16,12,4,9,35,112,6,6,9,8,22,18,3,4,32,117,7,7,10,6,17,5,4,12,24,93
LGA10800,3,3,0,6,0,3,0,8,0,31,18,40,24,30,22,78,34,221,13,480,4,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,4,0,12,0,4,0,3,0,0,0,6,0,15,0,0,0,0,0,3,0,8,0,13,0,7,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,18,0,23,0,0,0,0,0,0,0,17,5,21,0,3,0,0,0,5,0,22,3,34,0,3,0,0,0,5,0,11,0,23,3,0,3,3,0,0,3,9,6,26,0,0,0,0,0,0,0,5,0,15,0,5,6,3,0,5,0,0,3,25,10,30,9,15,7,29,10,104,19,231,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
