LGA_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
LGA10050,2614,4957,3267,3160,3765,3089,1442,2152,373,24820
LGA10130,1906,3159,1433,1505,1730,1337,479,1381,182,13113
LGA10250,1963,2961,1998,1965,1714,1690,726,1692,236,14940
LGA10300,211,79,95,85,81,31,84,158,24,844
LGA10470,2131,3338,2288,2416,2190,1871,922,1966,258,17376
LGA10550,1669,1971,1630,1468,1365,1375,664,1627,189,11960
LGA10600,591,670,473,452,359,297,241,473,63,3625
LGA10650,649,295,347,334,267,199,220,356,43,2709
LGA10750,12088,17492,13193,9635,14452,10802,16166,11267,2045,107142
LGA10800,715,272,346,183,235,152,327,306,54,2594
LGA10850,545,357,481,205,227,154,480,413,51,2918
LGA10900,2029,4295,2296,3158,2128,1778,591,1893,248,18417
LGA10950,288,141,196,123,106,69,190,153,26,1295
LGA11100,6684,7886,6213,5111,6836,4952,4599,4213,1041,47543
LGA11150,209,170,112,177,111,54,58,117,35,1054
LGA11200,43,33,14,26,12,3,7,20,3,162
LGA11250,673,1170,983,1028,741,693,695,729,132,6856
LGA11300,1886,4790,1451,1977,2582,2233,658,1095,323,16995
LGA11350,2053,2573,1786,1615,1422,1472,537,1315,229,12998
LGA11400,1093,622,605,287,372,183,434,648,70,4309
LGA11450,2611,4130,4127,2644,3145,2697,2502,2423,408,24684
LGA11500,4853,8888,5940,5623,6046,5322,4968,5518,866,48022
LGA11520,4960,9671,3253,2949,5988,3266,1025,1811,633,33558
LGA11570,10975,17179,13341,10304,13301,9228,9469,9812,2018,95636
LGA11600,453,83,133,82,110,35,143,275,25,1342
LGA11650,11074,20240,14072,13718,14350,12795,6081,10604,1672,104601
LGA11700,134,38,37,49,24,11,14,69,9,384
LGA11720,1676,2298,1947,2389,1513,1792,1021,1972,233,14840
LGA11730,2007,2782,2128,2298,2045,1825,1096,1894,275,16352
LGA11750,367,280,440,177,189,110,460,215,35,2274
LGA11800,3401,5550,3511,3715,4023,3291,1472,3424,483,28868
LGA12000,303,149,110,89,86,82,77,115,15,1030
LGA12150,423,180,140,164,156,72,74,189,34,1433
LGA12350,842,632,582,484,490,478,288,688,96,4581
LGA12380,8676,11713,10342,6470,10313,7007,9368,7451,1671,73013
LGA12700,470,322,293,217,253,164,139,275,36,2170
LGA12730,653,579,426,441,444,342,276,466,65,3697
LGA12750,1464,2013,1707,1639,1571,1507,598,1266,196,11976
LGA12850,6588,9121,8021,5659,7480,5871,6802,6194,1395,57129
LGA12870,828,516,754,481,450,365,413,977,93,4879
LGA12900,791,596,491,383,424,383,260,500,84,3905
LGA12930,4596,12160,4804,5094,6637,4158,1559,2867,808,42681
LGA12950,492,184,163,196,117,106,90,204,17,1573
LGA13010,691,400,348,386,346,279,180,372,69,3062
LGA13310,1287,2032,1436,1464,1367,1178,828,1219,169,10978
LGA13340,1001,403,403,275,308,169,259,451,62,3323
LGA13450,1779,1686,1605,1108,1453,1276,835,2146,208,12095
LGA13510,741,522,488,417,422,370,260,827,80,4132
LGA13550,900,650,609,497,533,436,511,636,92,4856
LGA13660,710,217,150,165,160,85,146,288,35,1956
LGA13800,2991,3807,4381,2618,3135,2185,1825,2749,433,24127
LGA13850,251,120,190,122,127,104,132,194,23,1264
LGA13910,1122,731,697,508,673,495,333,619,86,5247
LGA14000,4985,9510,5195,5023,5116,3882,2075,3410,664,39859
LGA14100,533,1394,431,799,568,252,54,281,67,4382
LGA14170,8628,15207,8097,7684,7413,5941,3586,4957,1187,62692
LGA14200,1001,895,809,758,600,687,368,1064,150,6323
LGA14300,388,192,160,301,182,101,172,311,22,1830
LGA14350,1138,1557,1131,1440,1038,949,603,1277,195,9338
LGA14400,737,906,819,829,652,532,210,577,76,5346
LGA14500,3878,10306,2664,4390,3894,2387,425,1681,523,30154
LGA14550,634,411,324,237,284,224,200,374,50,2729
LGA14600,586,316,264,251,223,169,179,247,40,2281
LGA14650,5693,10597,8312,7935,7895,7617,3394,5775,804,58009
LGA14700,2778,5078,1598,1400,2286,1303,384,895,311,16037
LGA14750,711,625,610,329,491,324,447,931,94,4565
LGA14850,2332,4785,2229,2480,2739,2099,952,2125,301,20041
LGA14870,747,1063,1224,976,1025,588,924,772,142,7458
LGA14900,7191,11329,8330,6898,9400,6116,6612,6140,1446,63465
LGA14920,631,301,280,252,238,156,356,390,50,2659
LGA14950,330,105,81,91,86,35,52,98,15,884
LGA15050,2659,5130,3973,3176,3748,3183,1830,2672,379,26746
LGA15240,3325,4581,3541,3590,3073,3347,1533,3469,463,26930
LGA15270,1416,1245,1628,899,934,881,1302,1076,145,9530
LGA15300,1129,802,612,541,677,427,513,679,96,5479
LGA15350,1304,2250,1254,1345,865,951,81,473,183,8719
LGA15520,1139,385,562,493,358,259,316,703,76,4283
LGA15560,559,121,159,112,143,78,162,281,33,1649
LGA15650,848,1146,1810,774,818,668,1418,912,130,8517
LGA15700,751,852,718,774,556,488,371,804,100,5411
LGA15750,1030,854,946,497,608,458,1131,657,129,6309
LGA15800,509,252,233,215,212,156,173,305,30,2093
LGA15850,459,247,239,149,189,136,240,150,25,1833
LGA15900,9584,25162,12180,10758,15807,8210,5924,8455,1420,97502
LGA15950,15255,28964,4739,4460,10279,4735,597,2002,1357,72386
LGA15990,12822,20959,11808,10277,11628,9590,3656,6100,1383,88217
LGA16100,426,220,346,196,173,117,370,280,57,2190
LGA16150,2042,4287,2543,2318,2783,1969,990,1752,292,18974
LGA16200,1034,871,761,624,647,518,540,535,103,5634
LGA16260,17521,37056,12981,12080,29629,9672,6502,8735,3023,137198
LGA16350,6959,13632,8492,7593,9944,7139,6937,6645,1185,68524
LGA16380,3127,5508,3729,3549,3877,3195,1452,2680,411,27531
LGA16400,3108,3699,5180,3088,2901,2618,2208,2592,459,25849
LGA16490,2202,2293,2641,1604,1977,1314,1065,1353,261,14713
LGA16550,5044,14791,4878,5862,6047,3180,3036,3396,807,47040
LGA16610,879,942,832,805,673,596,557,1501,131,6912
LGA16650,2912,4488,3246,3545,3775,3563,2149,2398,556,26641
LGA16700,15287,29278,7956,5997,12231,6626,1858,4226,1567,85034
LGA16900,1634,3123,2278,2654,1966,2760,929,1618,233,17200
LGA16950,3971,6229,5301,4749,3995,3929,1762,3599,555,34092
LGA17000,1405,1597,3323,1306,1272,910,4064,1347,277,15517
LGA17040,1800,1213,1227,1490,984,963,711,1204,162,9757
LGA17080,1039,731,821,557,566,430,733,877,109,5865
LGA17100,2919,4101,2333,1200,3973,2397,2441,2140,469,21971
LGA17150,8156,14349,8846,8825,9088,8729,2976,5511,1027,67504
LGA17200,88581,191328,33471,32850,84348,33434,7101,18239,10034,499390
LGA17310,3306,4613,3337,2741,3099,2582,1496,3563,394,25123
LGA17350,537,350,302,235,267,233,135,254,24,2331
LGA17400,560,224,232,215,196,166,161,345,47,2148
LGA17420,9606,16768,7769,7162,9815,8358,2667,4980,1222,68355
LGA17550,3147,5264,3530,3801,3547,2816,1515,2920,451,26997
LGA17620,966,715,664,464,518,385,237,996,73,5018
LGA17640,546,252,237,178,173,121,88,184,30,1807
LGA17650,337,166,139,120,111,88,65,173,27,1227
LGA17750,3587,6120,4558,4344,3869,3174,1602,2955,424,30629
LGA17850,498,134,121,87,124,78,98,212,14,1372
LGA17900,518,313,178,304,187,107,161,282,46,2102
LGA17950,338,121,125,97,98,63,92,135,19,1091
LGA18020,832,439,278,360,262,210,171,418,55,3015
LGA18050,3397,6045,2587,3456,2629,3713,621,1461,441,24359
LGA18100,461,146,124,86,108,78,77,149,11,1243
LGA18200,616,290,333,253,248,121,308,512,55,2744
LGA18230,2817,3955,2992,2715,2926,2388,1257,2301,370,21715
LGA18250,9303,20289,5692,4376,8542,6122,1422,2737,983,59466
LGA18350,2444,3236,2715,2167,2091,1969,1025,1954,277,17876
LGA18400,1314,1394,2224,961,1209,762,1636,1400,176,11076
LGA18450,7964,17444,10599,9508,11708,7494,5241,6914,1263,78143
LGA18500,3210,5621,2219,3044,2144,2111,240,1100,405,20092
LGA18710,690,614,444,371,407,270,201,359,74,3423
LGA19090,0,0,0,0,0,0,0,0,0,0
LGA19399,300,91,69,86,48,21,29,175,25,846
LGA19499,9963,14162,50067,12664,5609,6004,13366,28443,3083,143362
LGA19799,3,19,18,11,3,0,3,30,0,90
LGA19898,0,0,0,0,0,0,0,0,0,0
LGA20110,863,636,672,525,426,477,325,620,69,4617
LGA20260,891,663,529,860,423,404,264,741,92,4865
LGA20570,4690,10079,6136,5803,6198,5100,2372,4410,701,45492
LGA20660,3843,12941,5078,5643,5068,3688,1183,2740,567,40759
LGA20740,1523,1533,1464,1403,1066,1398,385,1160,170,10097
LGA20830,2654,3010,2141,1814,1931,1731,833,2029,251,16390
LGA20910,3934,7866,3413,4705,3627,2996,778,1740,481,29534
LGA21010,826,805,661,624,558,489,306,619,87,4981
LGA21110,10653,23889,6366,8349,10375,6761,1087,3488,1140,72106
LGA21180,7568,10588,9062,6340,8944,7060,8078,7212,1252,66102
LGA21270,714,297,219,219,219,186,150,295,40,2345
