LGA_CODE_2016,OIDNS_500_649_A_35_44,OIDNS_500_649_A_45_54,OIDNS_500_649_A_55_64,OIDNS_500_649_A_65_74,OIDNS_500_649_A_75ov,OIDNS_500_649_T,OIDNS_650_799_A_15_19,OIDNS_650_799_A_20_24,OIDNS_650_799_A_25_34,OIDNS_650_799_A_35_44,OIDNS_650_799_A_45_54,OIDNS_650_799_A_55_64,OIDNS_650_799_A_65_74,OIDNS_650_799_A_75ov,OIDNS_650_799_T,OIDNS_800_999_A_15_19,OIDNS_800_999_A_20_24,OIDNS_800_999_A_25_34,OIDNS_800_999_A_35_44,OIDNS_800_999_A_45_54,OIDNS_800_999_A_55_64,OIDNS_800_999_A_65_74,OIDNS_800_999_A_75ov,OIDNS_800_999_T,OIDNS_1000_1249_A_15_19,OIDNS_1000_1249_A_20_24,OIDNS_1000_1249_A_25_34,OIDNS_1000_1249_A_35_44,OIDNS_1000_1249_A_45_54,OIDNS_1000_1249_A_55_64,OIDNS_1000_1249_A_65_74,OIDNS_1000_1249_A_75ov,OIDNS_1000_1249_T,OIDNS_1250_1499_A_15_19,OIDNS_1250_1499_A_20_24,OIDNS_1250_1499_A_25_34,OIDNS_1250_1499_A_35_44,OIDNS_1250_1499_A_45_54,OIDNS_1250_1499_A_55_64,OIDNS_1250_1499_A_65_74,OIDNS_1250_1499_A_75ov,OIDNS_1250_1499_T,OIDNS_1500_1749_A_15_19,OIDNS_1500_1749_A_20_24,OIDNS_1500_1749_A_25_34,OIDNS_1500_1749_A_35_44,OIDNS_1500_1749_A_45_54,OIDNS_1500_1749_A_55_64,OIDNS_1500_1749_A_65_74,OIDNS_1500_1749_A_75ov,OIDNS_1500_1749_T,OIDNS_1750_1999_A_15_19,OIDNS_1750_1999_A_20_24,OIDNS_1750_1999_A_25_34,OIDNS_1750_1999_A_35_44,OIDNS_1750_1999_A_45_54,OIDNS_1750_1999_A_55_64,OIDNS_1750_1999_A_65_74,OIDNS_1750_1999_A_75ov,OIDNS_1750_1999_T,OIDNS_2000_2999_A_15_19,OIDNS_2000_2999_A_20_24,OIDNS_2000_2999_A_25_34,OIDNS_2000_2999_A_35_44,OIDNS_2000_2999_A_45_54,OIDNS_2000_2999_A_55_64,OIDNS_2000_2999_A_65_74,OIDNS_2000_2999_A_75ov,OIDNS_2000_2999_T,OIDNS_3000mo_A_15_19,OIDNS_3000mo_A_20_24,OIDNS_3000mo_A_25_34,OIDNS_3000mo_A_35_44,OIDNS_3000mo_A_45_54,OIDNS_3000mo_A_55_64,OIDNS_3000mo_A_65_74,OIDNS_3000mo_A_75ov,OIDNS_3000mo_T,OIDNS_PINS_A_15_19,OIDNS_PINS_A_20_24,OIDNS_PINS_A_25_34,OIDNS_PINS_A_35_44,OIDNS_PINS_A_45_54,OIDNS_PINS_A_55_64,OIDNS_PINS_A_65_74,OIDNS_PINS_A_75ov,OIDNS_PINS_T,OIDNS_Tot_A_15_19,OIDNS_Tot_A_20_24,OIDNS_Tot_A_25_34,OIDNS_Tot_A_35_44,OIDNS_Tot_A_45_54,OIDNS_Tot_A_55_64,OIDNS_Tot_A_65_74,OIDNS_Tot_A_75ov,OIDNS_Tot_Tot,Tot_NNI_A_15_19,Tot_NNI_A_20_24,Tot_NNI_A_25_34,Tot_NNI_A_35_44,Tot_NNI_A_45_54,Tot_NNI_A_55_64,Tot_NNI_A_65_74,Tot_NNI_A_75ov,Tot_NNI_Tot,Tot_1_149_A_15_19,Tot_1_149_A_20_24,Tot_1_149_A_25_34,Tot_1_149_A_35_44,Tot_1_149_A_45_54,Tot_1_149_A_55_64,Tot_1_149_A_65_74,Tot_1_149_A_75ov,Tot_1_149_Tot,Tot_150_299_A_15_19,Tot_150_299_A_20_24,Tot_150_299_A_25_34,Tot_150_299_A_35_44,Tot_150_299_A_45_54,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54
LGA10050,3,3,3,5,0,32,0,13,8,4,3,0,0,0,30,0,9,12,6,20,7,0,0,50,0,0,6,10,13,6,0,0,31,0,0,5,10,3,3,3,0,26,0,0,3,9,11,6,0,0,25,0,0,0,10,7,3,0,0,15,0,0,3,5,8,4,0,0,21,0,0,0,0,4,0,0,0,4,5,3,13,4,13,13,3,0,57,19,46,54,75,96,41,27,13,373,36,7,16,24,19,30,8,3,142,784,54,33,50,44,38,26,3,1033,278,206,124,94,109,106,37,7,972,148,210,186,176,160,177,72,9,1136,178,266,290,209,246,247,84,10,1524,156,402,480,423,437,407,130,13,2457,68,515,740,583,626,488,135,13,3165,23,390,918,744,817,604,103,14,3615,4,197,859,757,780,586,87,6,3279,0,75,552,588,579,415,75,5,2295,0,25,330,452,525,343,38,3,1717,0,5,184,324,371
LGA10130,0,3,3,4,3,13,0,0,6,4,3,5,0,0,18,0,0,3,3,4,5,0,0,16,0,0,0,0,5,3,3,0,20,0,0,0,0,0,3,0,0,10,0,0,0,3,7,0,0,0,7,0,0,0,3,0,0,3,0,6,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,3,3,6,6,3,3,3,0,3,23,16,17,27,34,28,36,20,10,182,27,7,8,16,19,27,17,3,132,354,76,42,19,33,28,7,5,560,170,163,71,71,78,77,27,4,663,93,163,107,81,94,84,64,15,702,90,163,147,140,124,132,73,14,886,76,213,256,219,225,214,75,25,1300,44,238,400,294,329,276,83,13,1684,14,151,368,322,369,297,66,3,1598,4,85,365,346,398,296,66,16,1575,0,31,240,206,282,195,36,8,993,0,14,165,215,286,200,40,8,926,0,6,97,168,195
LGA10250,9,0,7,3,0,27,0,0,6,6,3,5,4,0,28,0,0,3,7,3,5,0,0,23,0,0,3,5,4,0,0,0,17,0,0,0,3,4,3,0,0,7,0,0,0,0,3,3,0,0,13,0,0,0,0,0,3,0,0,7,0,0,0,0,3,0,0,0,14,0,0,0,4,0,0,0,0,6,3,0,3,12,6,3,3,3,30,13,5,27,54,47,44,20,16,236,22,0,11,25,31,26,5,3,127,496,33,16,31,34,37,12,8,671,145,71,56,57,87,107,41,7,580,100,93,110,114,157,177,57,15,822,95,152,163,182,223,226,87,22,1154,68,206,282,332,403,365,110,9,1774,23,245,390,419,506,456,107,12,2164,9,162,387,431,571,453,94,11,2125,3,64,301,422,472,371,94,18,1738,0,19,185,274,258,228,43,3,1010,0,6,108,209,257,202,48,9,839,0,0,70,175,198
LGA10300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,5,5,3,6,4,0,24,3,3,3,3,6,3,0,0,23,4,0,0,0,3,3,0,0,9,4,3,3,5,13,6,3,0,36,3,5,7,9,9,9,4,0,54,5,6,3,9,14,12,4,3,59,4,18,10,9,15,28,11,0,96,3,9,24,16,28,32,5,0,114,4,11,24,25,28,36,5,3,136,0,12,13,22,21,28,8,0,103,0,3,13,26,15,10,0,0,69,0,0,6,11,13,7,3,0,40,0,0,7,9,8
LGA10470,3,3,3,0,0,20,0,0,6,5,5,4,3,0,31,0,3,3,7,0,3,3,0,22,0,0,3,3,5,0,0,0,18,0,0,4,6,4,8,0,0,20,0,0,0,5,0,9,0,0,21,0,0,0,0,0,3,0,0,8,0,0,0,3,8,7,0,0,16,0,0,0,0,0,3,0,0,4,8,4,7,8,11,0,0,0,37,19,17,41,59,42,52,15,12,258,30,9,8,26,27,27,13,0,141,463,102,45,27,21,26,16,0,701,199,183,97,84,72,92,36,5,769,116,185,137,116,100,95,53,16,819,118,192,182,146,162,148,81,15,1043,111,284,329,278,297,252,107,17,1682,44,321,479,374,396,319,88,10,2027,15,256,579,453,524,400,86,19,2323,7,157,571,464,519,368,84,11,2184,3,58,352,349,401,289,56,5,1505,0,24,255,351,391,300,47,3,1369,0,9,145,314,295
LGA10550,3,4,7,0,0,22,0,3,0,6,5,3,0,0,19,0,0,0,3,3,3,3,0,14,0,0,3,4,7,6,0,0,24,0,0,0,0,6,3,0,0,9,0,0,0,7,3,0,0,0,7,0,0,0,3,3,4,0,0,10,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,0,17,12,14,15,36,38,46,21,4,189,29,0,4,6,18,27,17,0,103,333,22,21,34,36,55,22,3,533,96,45,71,78,115,146,56,4,616,49,54,69,103,140,188,62,18,692,98,86,97,140,192,235,90,4,942,52,122,183,250,337,338,123,25,1430,36,153,258,281,416,352,81,20,1592,20,108,265,318,453,419,86,6,1680,9,55,256,281,447,361,68,7,1490,0,26,136,208,259,234,41,9,905,0,11,92,140,217,164,27,8,664,0,7,60,108,162
LGA10600,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,4,0,0,3,0,0,0,3,4,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,13,0,4,3,14,15,12,5,6,63,0,0,5,8,14,9,3,0,48,98,6,7,8,11,24,5,3,155,23,10,29,39,30,44,27,3,207,3,13,31,29,51,69,22,13,232,27,17,30,52,66,86,26,8,315,17,34,62,83,114,111,36,16,468,0,33,86,82,148,126,34,3,501,0,12,68,86,137,126,25,7,460,0,7,52,74,112,101,24,0,375,0,3,43,59,68,60,20,4,258,0,0,33,44,44,42,11,0,171,0,0,12,32,42
LGA10650,0,0,0,0,3,9,0,0,0,0,6,0,0,0,7,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,5,11,8,6,10,43,9,0,4,14,6,10,5,0,53,56,4,10,9,9,3,4,0,94,6,12,14,14,25,36,13,3,125,9,10,18,30,30,46,20,8,176,19,15,21,30,41,58,28,6,216,17,35,47,60,68,67,53,11,351,12,35,53,62,77,92,27,4,363,8,29,70,64,91,91,20,3,383,0,21,59,73,65,73,25,7,319,0,5,37,33,46,58,8,0,190,0,9,32,24,36,43,3,0,145,0,0,12,19,30
LGA10750,32,32,18,8,3,158,7,41,50,43,39,18,8,3,206,5,29,76,62,51,33,7,3,254,0,15,96,72,63,31,3,4,285,0,7,41,45,52,21,3,0,168,0,6,30,17,38,15,7,0,117,0,0,11,24,22,15,3,0,66,0,0,24,26,21,5,0,0,77,0,0,9,5,8,10,4,0,31,17,37,69,63,51,20,3,0,270,116,229,491,448,447,217,69,27,2045,155,77,113,146,127,63,22,3,703,2349,439,181,201,149,129,45,10,3496,1169,887,523,506,435,373,99,14,4004,612,849,732,679,648,525,161,31,4229,536,940,1007,902,880,659,183,31,5133,459,1306,1720,1604,1615,1049,346,35,8131,313,1729,2917,2476,2433,1711,356,25,11953,184,1673,3977,3401,3373,2272,409,23,15311,64,1144,4516,3956,3590,2416,449,20,16151,12,481,3036,2894,2556,1635,325,14,10946,8,206,2208,2395,2242,1436,225,15,8728,3,73,1205,1841,1705
LGA10800,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,3,0,12,3,0,0,11,10,12,11,3,54,4,0,8,10,15,14,0,0,60,34,9,7,7,6,5,7,3,84,16,10,15,5,16,27,16,3,109,18,15,21,14,13,42,20,3,133,16,22,12,31,46,34,13,8,190,17,25,43,54,60,78,22,7,296,3,31,33,55,63,40,24,9,245,0,27,56,56,77,59,22,8,305,0,23,61,63,65,58,22,11,304,0,8,37,53,43,45,11,3,200,0,4,46,51,43,41,9,7,196,0,9,21,29,18
