LGA_CODE_2016,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
LGA10050,0,0,0,0,0,175,100,12,19,301,354,1253,63,51,1727,1283,1003,64,62,2402,1567,701,126,38,2430,1545,842,146,38,2573,1492,821,86,37,2441,1629,833,71,35,2568,1829,812,68,46,2755,1784,801,87,34,2699,1564,799,111,29,2491,900,696,87,23,1698,289,381,41,23,731,51,115,13,6,187,23,60,11,13,106,14311,9114,970,424,24820
LGA10130,0,0,0,0,0,102,66,15,6,183,169,637,59,37,903,566,670,56,45,1340,748,384,54,19,1206,756,361,55,18,1187,689,366,46,13,1117,848,415,21,23,1304,934,409,31,16,1386,1034,420,34,23,1509,906,409,60,17,1398,560,325,41,20,949,219,207,24,6,461,103,107,4,8,223,60,62,12,7,142,7589,4777,496,252,13113
LGA10250,0,0,0,0,3,124,89,11,14,239,168,751,43,29,992,531,487,35,22,1073,594,357,34,16,1003,699,425,50,20,1197,826,474,29,37,1367,939,625,33,36,1641,1032,646,34,24,1734,1094,664,50,27,1834,996,731,67,36,1833,625,603,57,13,1294,205,350,40,13,607,77,130,12,10,226,49,81,8,9,146,7830,6331,486,291,14940
LGA10300,0,0,0,0,0,8,8,0,0,13,8,16,5,0,28,46,21,0,7,75,40,15,3,0,62,32,17,3,5,54,45,26,0,0,71,62,33,3,3,105,56,29,3,3,91,61,28,0,4,93,75,32,5,3,114,50,32,3,0,92,17,11,4,0,38,6,7,0,0,14,0,3,0,0,11,517,272,28,25,844
LGA10470,0,3,0,0,3,143,84,12,13,248,242,798,54,42,1140,876,818,79,52,1822,1161,476,76,28,1738,1053,499,83,36,1671,1047,473,50,24,1595,1224,528,42,28,1817,1341,500,53,28,1916,1296,478,51,25,1841,1132,496,63,23,1711,690,421,75,22,1205,279,244,28,5,553,73,125,19,5,223,45,78,7,11,140,10452,5921,676,332,17376
LGA10550,0,0,0,0,0,93,88,10,5,190,176,506,39,26,743,394,251,26,31,701,438,235,36,8,720,512,303,57,9,878,539,370,30,19,959,682,431,31,17,1162,865,493,48,21,1420,955,593,47,27,1626,852,722,94,28,1696,527,560,69,30,1182,211,295,30,16,547,68,109,21,11,205,40,62,8,8,119,6257,4930,533,245,11960
LGA10600,0,0,0,0,0,28,32,0,0,69,28,142,3,9,181,70,67,9,7,147,103,80,4,7,194,161,115,12,6,285,147,126,18,12,302,200,161,10,6,376,238,184,15,6,446,251,197,18,7,478,250,219,21,10,504,172,199,20,9,396,72,95,4,4,178,25,44,7,0,78,24,30,0,5,59,1743,1653,143,82,3625
LGA10650,0,0,0,0,0,19,11,0,0,33,49,78,9,6,143,111,53,5,7,177,128,69,5,8,208,124,54,7,7,190,130,76,10,4,224,163,80,4,4,249,191,69,11,3,277,172,99,9,10,296,192,135,19,3,342,171,112,25,5,315,66,69,8,11,158,26,32,9,4,77,18,29,3,5,57,1547,960,124,80,2709
LGA10750,0,4,0,0,5,723,338,22,91,1177,1301,4261,243,200,6009,5281,4233,233,320,10068,8166,2607,363,350,11487,8894,2927,455,295,12572,8598,2956,317,309,12188,9121,2902,213,217,12448,8730,2820,222,244,12016,8382,2503,238,207,11329,6859,2217,248,156,9484,3987,1815,203,95,6098,1345,958,101,67,2475,298,378,17,25,720,71,141,14,29,257,71029,30726,2883,2500,107142
LGA10800,0,0,0,0,0,31,20,0,3,55,38,71,3,10,120,123,55,10,4,192,146,53,4,6,201,149,69,6,8,228,173,61,9,9,249,191,70,9,5,271,190,56,3,3,250,185,76,13,13,284,211,79,13,8,311,133,73,9,7,223,68,33,10,9,125,30,23,4,5,55,34,24,3,6,72,1676,748,93,78,2594
