LGA_CODE_2016,P_M1_Tram_Inc_LR_15_24,P_M1_Tram_Inc_LR_25_34,P_M1_Tram_Inc_LR_35_44,P_M1_Tram_Inc_LR_45_54,P_M1_Tram_Inc_LR_55_64,P_M1_Tram_Inc_LR_65_74,P_M1_Tram_Inc_LR_75ov,P_M1_Tram_Inc_LR_Tot,P_M1_Taxi_15_24,P_M1_Taxi_25_34,P_M1_Taxi_35_44,P_M1_Taxi_45_54,P_M1_Taxi_55_64,P_M1_Taxi_65_74,P_M1_Taxi_75ov,P_M1_Taxi_Tot,P_M1_CarAsDriv_15_24,P_M1_CarAsDriv_25_34,P_M1_CarAsDriv_35_44,P_M1_CarAsDriv_45_54,P_M1_CarAsDriv_55_64,P_M1_CarAsDriv_65_74,P_M1_CarAsDriv_75ov,P_M1_CarAsDriv_Tot,P_M1_CarAsPas_15_24,P_M1_CarAsPas_25_34,P_M1_CarAsPas_35_44,P_M1_CarAsPas_45_54,P_M1_CarAsPas_55_64,P_M1_CarAsPas_65_74,P_M1_CarAsPas_75ov,P_M1_CarAsPas_Tot,P_M1_Truck_15_24,P_M1_Truck_25_34,P_M1_Truck_35_44,P_M1_Truck_45_54,P_M1_Truck_55_64,P_M1_Truck_65_74,P_M1_Truck_75ov,P_M1_Truck_Tot,P_M1_MBikeScoot_15_24,P_M1_MBikeScoot_25_34,P_M1_MBikeScoot_35_44,P_M1_MBikeScoot_45_54,P_M1_MBikeScoot_55_64,P_M1_MBikeScoot_65_74,P_M1_MBikeScoot_75ov,P_M1_MBikeScoot_Tot,P_M1_Bicycle_15_24,P_M1_Bicycle_25_34,P_M1_Bicycle_35_44,P_M1_Bicycle_45_54,P_M1_Bicycle_55_64,P_M1_Bicycle_65_74,P_M1_Bicycle_75ov,P_M1_Bicycle_Tot,P_M1_Other_15_24,P_M1_Other_25_34,P_M1_Other_35_44,P_M1_Other_45_54,P_M1_Other_55_64,P_M1_Other_65_74,P_M1_Other_75ov,P_M1_Other_Tot,P_M1_WlkOnly_15_24,P_M1_WlkOnly_25_34,P_M1_WlkOnly_35_44,P_M1_WlkOnly_45_54,P_M1_WlkOnly_55_64,P_M1_WlkOnly_65_74,P_M1_WlkOnly_75ov,P_M1_WlkOnly_Tot,P_M1_Tot_M1_15_24,P_M1_Tot_M1_25_34,P_M1_Tot_M1_35_44,P_M1_Tot_M1_45_54,P_M1_Tot_M1_55_64,P_M1_Tot_M1_65_74,P_M1_Tot_M1_75ov,P_M1_Tot_M1_Tot,P_M2_TrnBus_15_24,P_M2_TrnBus_25_34,P_M2_TrnBus_35_44,P_M2_TrnBus_45_54,P_M2_TrnBus_55_64,P_M2_TrnBus_65_74,P_M2_TrnBus_75ov,P_M2_TrnBus_Tot,P_M2_TrnFer_15_24,P_M2_TrnFer_25_34,P_M2_TrnFer_35_44,P_M2_TrnFer_45_54,P_M2_TrnFer_55_64,P_M2_TrnFer_65_74,P_M2_TrnFer_75ov,P_M2_TrnFer_Tot,P_M2_TrnTrm_Inc_LR_15_24,P_M2_TrnTrm_Inc_LR_25_34,P_M2_TrnTrm_Inc_LR_35_44,P_M2_TrnTrm_Inc_LR_45_54,P_M2_TrnTrm_Inc_LR_55_64,P_M2_TrnTrm_Inc_LR_65_74,P_M2_TrnTrm_Inc_LR_75ov,P_M2_TrnTrm_Inc_LR_Tot,P_M2_TrnCarAsDriv_15_24,P_M2_TrnCarAsDriv_25_34,P_M2_TrnCarAsDriv_35_44,P_M2_TrnCarAsDriv_45_54,P_M2_TrnCarAsDriv_55_64,P_M2_TrnCarAsDriv_65_74,P_M2_TrnCarAsDriv_75ov,P_M2_TrnCarAsDriv_Tot,P_M2_TrnCarAsPas_15_24,P_M2_TrnCarAsPas_25_34,P_M2_TrnCarAsPas_35_44,P_M2_TrnCarAsPas_45_54,P_M2_TrnCarAsPas_55_64,P_M2_TrnCarAsPas_65_74,P_M2_TrnCarAsPas_75ov,P_M2_TrnCarAsPas_Tot,P_M2_TrnOth_15_24,P_M2_TrnOth_25_34,P_M2_TrnOth_35_44,P_M2_TrnOth_45_54,P_M2_TrnOth_55_64,P_M2_TrnOth_65_74,P_M2_TrnOth_75ov,P_M2_TrnOth_Tot,P_M2_Train_and_Tot_15_24,P_M2_Train_and_Tot_25_34,P_M2_Train_and_Tot_35_44,P_M2_Train_and_Tot_45_54,P_M2_Train_and_Tot_55_64,P_M2_Train_and_Tot_65_74,P_M2_Train_and_Tot_75ov,P_M2_Train_and_Tot_Tot,P_M2_BusFer_15_24,P_M2_BusFer_25_34,P_M2_BusFer_35_44,P_M2_BusFer_45_54,P_M2_BusFer_55_64,P_M2_BusFer_65_74,P_M2_BusFer_75ov,P_M2_BusFer_Tot,P_M2_BusTrm_Inc_LR_15_24,P_M2_BusTrm_Inc_LR_25_34,P_M2_BusTrm_Inc_LR_35_44,P_M2_BusTrm_Inc_LR_45_54,P_M2_BusTrm_Inc_LR_55_64,P_M2_BusTrm_Inc_LR_65_74,P_M2_BusTrm_Inc_LR_75ov,P_M2_BusTrm_Inc_LR_Tot,P_M2_BusCarAsDriv_15_24,P_M2_BusCarAsDriv_25_34,P_M2_BusCarAsDriv_35_44,P_M2_BusCarAsDriv_45_54,P_M2_BusCarAsDriv_55_64,P_M2_BusCarAsDriv_65_74,P_M2_BusCarAsDriv_75ov,P_M2_BusCarAsDriv_Tot,P_M2_BusCarAsPas_15_24,P_M2_BusCarAsPas_25_34,P_M2_BusCarAsPas_35_44,P_M2_BusCarAsPas_45_54,P_M2_BusCarAsPas_55_64,P_M2_BusCarAsPas_65_74,P_M2_BusCarAsPas_75ov,P_M2_BusCarAsPas_Tot,P_M2_BusOth_15_24,P_M2_BusOth_25_34,P_M2_BusOth_35_44,P_M2_BusOth_45_54,P_M2_BusOth_55_64,P_M2_BusOth_65_74,P_M2_BusOth_75ov,P_M2_BusOth_Tot,P_M2_BusTot_15_24,P_M2_BusTot_25_34,P_M2_BusTot_35_44,P_M2_BusTot_45_54,P_M2_BusTot_55_64,P_M2_BusTot_65_74,P_M2_BusTot_75ov,P_M2_BusTot_Tot,P_M2_Other_M2_15_24,P_M2_Other_M2_25_34,P_M2_Other_M2_35_44,P_M2_Other_M2_45_54,P_M2_Other_M2_55_64,P_M2_Other_M2_65_74,P_M2_Other_M2_75ov,P_M2_Other_M2_Tot,P_M2_Tot_M2_15_24,P_M2_Tot_M2_25_34,P_M2_Tot_M2_35_44,P_M2_Tot_M2_45_54,P_M2_Tot_M2_55_64,P_M2_Tot_M2_65_74,P_M2_Tot_M2_75ov,P_M2_Tot_M2_Tot
LGA10050,0,0,0,0,0,0,0,3,9,5,13,4,7,0,0,39,2477,3809,3917,4395,3207,605,51,18455,601,192,145,147,98,24,0,1204,5,18,31,32,28,9,0,124,26,14,13,16,10,4,0,92,32,44,53,55,40,10,0,222,4,12,13,17,19,7,0,82,162,151,123,135,131,27,3,733,3349,4275,4333,4819,3551,689,53,21075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,20,3,0,0,0,0,0,0,6,14,0,6,3,3,0,0,27,30,20,35,21,14,8,0,127,47,23,41,26,22,8,0,161
LGA10130,0,0,0,0,3,0,0,5,7,7,8,4,8,0,0,34,1301,1659,1733,2096,1539,290,27,8646,293,173,116,121,91,19,3,827,6,9,12,29,35,32,3,132,11,13,17,32,20,3,5,103,16,18,19,32,27,0,0,117,7,10,16,17,22,17,3,89,113,130,112,118,124,49,15,656,1777,2029,2052,2459,1881,413,58,10669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,9,21,24,12,17,12,4,0,97,19,23,19,21,17,4,0,105
LGA10250,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,11,1168,1600,2206,2562,2107,410,32,10084,298,100,83,97,86,16,0,687,7,12,21,31,41,31,4,150,24,17,9,13,21,3,0,86,36,27,43,58,39,10,0,212,7,12,16,18,24,5,6,84,80,59,84,138,110,36,12,521,1649,1830,2473,2937,2446,513,54,11909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,14,0,0,0,0,0,0,0,7,8,6,3,3,0,0,0,21,14,23,15,26,12,4,0,98,24,23,18,29,13,3,0,119
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,73,105,102,132,18,4,491,16,12,8,16,5,4,0,52,0,0,3,5,0,0,0,11,0,0,3,3,0,0,0,3,0,0,0,4,3,0,0,6,0,3,10,4,0,3,0,17,11,11,20,29,26,3,0,99,84,98,145,157,172,26,4,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7
LGA10470,0,0,0,0,0,0,0,0,4,15,7,8,0,7,0,36,1757,2504,2663,2892,2035,418,43,12304,375,151,108,139,109,18,8,919,12,22,26,41,46,17,7,163,11,11,5,16,13,7,0,53,16,20,17,19,16,3,0,85,4,11,11,11,20,11,4,77,163,159,91,121,119,38,8,690,2350,2900,2942,3255,2376,518,63,14409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,3,6,6,5,3,0,0,17,8,35,9,16,17,8,0,92,16,35,16,25,20,6,0,118
LGA10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,785,1091,1515,2183,1834,339,27,7770,215,68,55,84,57,15,0,496,5,13,16,45,35,16,0,134,14,3,9,17,18,3,0,60,3,5,8,15,14,6,0,58,3,3,14,17,28,13,3,86,88,76,96,130,150,52,8,605,1127,1282,1717,2501,2141,442,43,9251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,10,7,16,12,12,13,0,0,63,12,15,8,19,20,0,0,81
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,164,324,439,582,535,99,5,2143,47,14,16,17,23,8,0,125,0,3,0,6,13,5,3,36,4,10,3,10,3,0,0,31,3,0,4,4,7,0,0,17,0,7,0,6,8,7,3,35,38,36,39,49,49,16,6,233,262,387,502,688,651,130,19,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,5,3,0,0,24,7,8,4,5,3,0,0,22
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,258,320,358,396,113,22,1649,38,17,10,12,3,4,3,84,0,4,4,12,19,6,0,45,0,0,4,0,4,3,0,15,3,0,0,8,9,0,0,24,0,8,10,11,3,0,0,37,20,37,26,42,55,21,5,212,258,326,367,446,484,154,31,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,10,4,3,0,0,4,0,0,10
LGA10750,0,0,0,3,0,0,0,5,20,51,58,48,22,6,0,210,8498,17620,19135,18362,11901,2215,128,77861,2649,1063,712,807,620,137,13,5996,89,255,352,374,226,53,3,1347,86,102,102,97,51,11,0,448,38,60,55,65,30,3,0,253,43,90,118,112,81,23,7,465,443,353,289,297,222,49,6,1666,12999,20696,21453,20731,13547,2579,154,92166,306,293,191,149,121,22,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,64,52,59,31,6,0,244,39,38,24,17,17,0,0,136,4,12,13,14,11,0,0,59,383,413,283,238,177,31,0,1525,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,10,16,7,8,0,0,69,82,28,14,19,3,3,0,147,4,3,0,0,0,0,0,15,110,43,34,30,16,3,0,237,120,157,121,107,74,8,0,582,608,611,440,371,262,46,6,2342
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,255,309,288,270,50,16,1358,47,36,24,22,19,4,0,151,0,4,13,7,12,6,4,46,0,0,0,0,0,3,0,4,3,0,3,0,0,0,0,12,0,7,12,12,12,3,0,45,18,23,25,28,39,20,9,148,243,350,396,389,372,86,27,1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,4,0,0,0,19,0,4,3,3,3,0,0,16,0,9,12,10,4,0,0,31
