LGA_CODE_2016,SWs_NNI_H_0,SWs_NNI_H_1_15,SWs_NNI_H_16_24,SWs_NNI_H_25_34,SWs_NNI_H_35_39,SWs_NNI_H_40,SWs_NNI_H_41_48,SWs_NNI_H_49mo,SWs_NNI_H_NS,SWs_NNI_H_Tot,SWs_1_149_H_0,SWs_1_149_H_1_15,SWs_1_149_H_16_24,SWs_1_149_H_25_34,SWs_1_149_H_35_39,SWs_1_149_H_40,SWs_1_149_H_41_48,SWs_1_149_H_49mo,SWs_1_149_H_NS,SWs_1_149_H_Tot,SWs_150_299_H_0,SWs_150_299_H_1_15,SWs_150_299_H_16_24,SWs_150_299_H_25_34,SWs_150_299_H_35_39,SWs_150_299_H_40,SWs_150_299_H_41_48,SWs_150_299_H_49mo,SWs_150_299_H_NS,SWs_150_299_H_Tot,SWs_300_399_H_0,SWs_300_399_H_1_15,SWs_300_399_H_16_24,SWs_300_399_H_25_34,SWs_300_399_H_35_39,SWs_300_399_H_40,SWs_300_399_H_41_48,SWs_300_399_H_49mo,SWs_300_399_H_NS,SWs_300_399_H_Tot,SWs_400_499_H_0,SWs_400_499_H_1_15,SWs_400_499_H_16_24,SWs_400_499_H_25_34,SWs_400_499_H_35_39,SWs_400_499_H_40,SWs_400_499_H_41_48,SWs_400_499_H_49mo,SWs_400_499_H_NS,SWs_400_499_H_Tot,SWs_500_649_H_0,SWs_500_649_H_1_15,SWs_500_649_H_16_24,SWs_500_649_H_25_34,SWs_500_649_H_35_39,SWs_500_649_H_40,SWs_500_649_H_41_48,SWs_500_649_H_49mo,SWs_500_649_H_NS,SWs_500_649_H_Tot,SWs_650_799_H_0,SWs_650_799_H_1_15,SWs_650_799_H_16_24,SWs_650_799_H_25_34,SWs_650_799_H_35_39,SWs_650_799_H_40,SWs_650_799_H_41_48,SWs_650_799_H_49mo,SWs_650_799_H_NS,SWs_650_799_H_Tot,SWs_800_999_H_0,SWs_800_999_H_1_15,SWs_800_999_H_16_24,SWs_800_999_H_25_34,SWs_800_999_H_35_39,SWs_800_999_H_40,SWs_800_999_H_41_48,SWs_800_999_H_49mo,SWs_800_999_H_NS,SWs_800_999_H_Tot,SWs_1000_1249_H_0,SWs_1000_1249_H_1_15,SWs_1000_1249_H_16_24,SWs_1000_1249_H_25_34,SWs_1000_1249_H_35_39,SWs_1000_1249_H_40,SWs_1000_1249_H_41_48,SWs_1000_1249_H_49mo,SWs_1000_1249_H_NS,SWs_1000_1249_H_Tot,SWs_1250_1499_H_0,SWs_1250_1499_H_1_15,SWs_1250_1499_H_16_24,SWs_1250_1499_H_25_34,SWs_1250_1499_H_35_39,SWs_1250_1499_H_40,SWs_1250_1499_H_41_48,SWs_1250_1499_H_49mo,SWs_1250_1499_H_NS,SWs_1250_1499_H_Tot,SWs_1500_1749_H_0,SWs_1500_1749_H_1_15,SWs_1500_1749_H_16_24,SWs_1500_1749_H_25_34,SWs_1500_1749_H_35_39,SWs_1500_1749_H_40,SWs_1500_1749_H_41_48,SWs_1500_1749_H_49mo,SWs_1500_1749_H_NS,SWs_1500_1749_H_Tot,SWs_1750_1999_H_0,SWs_1750_1999_H_1_15,SWs_1750_1999_H_16_24,SWs_1750_1999_H_25_34,SWs_1750_1999_H_35_39,SWs_1750_1999_H_40,SWs_1750_1999_H_41_48,SWs_1750_1999_H_49mo,SWs_1750_1999_H_NS,SWs_1750_1999_H_Tot,SWs_2000_2999_H_0,SWs_2000_2999_H_1_15,SWs_2000_2999_H_16_24,SWs_2000_2999_H_25_34,SWs_2000_2999_H_35_39,SWs_2000_2999_H_40,SWs_2000_2999_H_41_48,SWs_2000_2999_H_49mo,SWs_2000_2999_H_NS,SWs_2000_2999_H_Tot,SWs_3000mo_H_0,SWs_3000mo_H_1_15,SWs_3000mo_H_16_24,SWs_3000mo_H_25_34,SWs_3000mo_H_35_39,SWs_3000mo_H_40,SWs_3000mo_H_41_48,SWs_3000mo_H_49mo,SWs_3000mo_H_NS,SWs_3000mo_H_Tot,SWs_PINS_H_0,SWs_PINS_H_1_15,SWs_PINS_H_16_24,SWs_PINS_H_25_34,SWs_PINS_H_35_39,SWs_PINS_H_40,SWs_PINS_H_41_48,SWs_PINS_H_49mo,SWs_PINS_H_NS,SWs_PINS_H_Tot,SWs_Tot_H_0,SWs_Tot_H_1_15,SWs_Tot_H_16_24,SWs_Tot_H_25_34,SWs_Tot_H_35_39,SWs_Tot_H_40,SWs_Tot_H_41_48,SWs_Tot_H_49mo,SWs_Tot_H_NS,SWs_Tot_H_Tot,MaOpD_NNI_H_0,MaOpD_NNI_H_1_15,MaOpD_NNI_H_16_24,MaOpD_NNI_H_25_34,MaOpD_NNI_H_35_39,MaOpD_NNI_H_40,MaOpD_NNI_H_41_48,MaOpD_NNI_H_49mo,MaOpD_NNI_H_NS,MaOpD_NNI_H_Tot,MaOpD_1_149_H_0,MaOpD_1_149_H_1_15,MaOpD_1_149_H_16_24,MaOpD_1_149_H_25_34,MaOpD_1_149_H_35_39,MaOpD_1_149_H_40,MaOpD_1_149_H_41_48,MaOpD_1_149_H_49mo,MaOpD_1_149_H_NS,MaOpD_1_149_H_Tot,MaOpD_150_299_H_0,MaOpD_150_299_H_1_15,MaOpD_150_299_H_16_24,MaOpD_150_299_H_25_34,MaOpD_150_299_H_35_39,MaOpD_150_299_H_40,MaOpD_150_299_H_41_48,MaOpD_150_299_H_49mo,MaOpD_150_299_H_NS,MaOpD_150_299_H_Tot,MaOpD_300_399_H_0,MaOpD_300_399_H_1_15,MaOpD_300_399_H_16_24,MaOpD_300_399_H_25_34,MaOpD_300_399_H_35_39,MaOpD_300_399_H_40,MaOpD_300_399_H_41_48,MaOpD_300_399_H_49mo,MaOpD_300_399_H_NS,MaOpD_300_399_H_Tot
LGA10050,3,9,3,0,3,0,0,0,0,22,30,405,22,4,0,3,0,0,10,476,16,199,60,21,3,0,0,0,11,301,9,105,81,26,10,3,3,0,3,246,17,56,123,78,16,5,5,0,3,305,16,41,76,161,61,26,3,9,6,394,14,17,34,117,149,51,24,17,0,428,12,14,18,33,117,66,53,27,0,330,8,4,6,17,38,53,43,48,4,210,6,0,8,5,23,37,23,29,0,126,3,0,0,3,10,16,13,21,0,69,0,0,0,0,8,18,3,18,0,43,0,0,0,0,3,12,14,21,0,50,0,0,3,0,0,3,0,11,0,26,3,21,3,5,8,5,0,3,9,57,137,868,434,472,446,290,188,215,39,3089,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,25,0,17,6,3,3,0,0,0,0,27,3,25,8,7,0,6,0,0,0,47
LGA10130,7,7,0,0,0,0,0,0,0,20,13,169,10,4,0,0,0,0,4,201,13,95,31,6,3,3,0,0,9,153,7,43,38,5,7,0,0,3,0,107,0,37,64,36,11,0,0,0,0,154,8,26,47,70,28,10,3,3,0,194,6,5,21,59,68,19,4,14,5,195,0,3,10,13,60,23,22,5,0,131,4,0,0,4,13,5,12,12,0,58,0,0,0,3,4,7,7,9,0,29,0,0,0,0,6,3,3,8,0,28,0,0,0,0,3,5,4,4,0,13,0,0,0,0,0,3,0,5,0,19,0,0,0,4,0,0,0,8,0,15,0,4,3,0,0,3,0,0,0,21,57,397,225,199,210,83,58,90,23,1337,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,3,11,3,0,0,0,0,0,0,14,3,20,4,3,0,0,0,0,0,30
LGA10250,3,6,4,0,0,3,0,0,0,14,18,233,8,3,0,0,0,0,6,269,9,77,30,10,0,0,3,0,3,129,10,54,36,29,7,3,0,8,0,140,3,49,73,41,4,6,0,6,0,187,5,29,55,92,30,12,4,5,0,224,16,12,29,65,79,31,18,14,0,260,10,4,8,27,72,36,15,28,3,187,0,3,3,7,30,23,15,13,0,97,0,0,3,3,4,10,8,16,0,47,0,0,3,0,4,6,8,18,0,41,0,0,0,0,0,0,5,9,0,20,0,0,3,0,4,0,6,14,0,25,0,0,0,0,3,6,0,14,0,26,3,7,7,4,0,0,3,0,3,25,73,471,257,281,240,138,69,135,22,1690,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,13,0,8,4,3,0,0,0,0,0,19,0,13,3,8,4,0,0,3,0,24
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,9,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
LGA10470,0,5,0,0,3,0,0,3,0,14,20,225,8,3,3,0,3,3,4,269,14,118,25,14,0,0,0,4,7,186,5,70,53,20,8,0,0,3,3,161,4,49,73,38,12,3,0,5,0,191,13,30,66,84,36,15,7,3,3,266,7,10,13,52,132,29,17,10,3,270,11,0,16,22,79,34,28,22,4,215,11,0,5,9,31,27,15,15,4,115,0,0,3,0,10,18,3,15,0,54,0,0,3,0,0,3,4,12,3,34,0,0,0,0,3,7,8,12,0,20,0,0,0,0,3,4,5,14,0,29,0,3,0,0,3,0,0,10,0,16,0,8,0,3,6,0,0,0,3,31,92,531,265,247,327,141,104,129,38,1871,0,0,0,0,0,0,0,0,0,7,0,4,3,0,0,0,0,0,0,4,0,10,0,0,3,0,0,0,0,14,0,6,7,7,0,0,0,3,0,28
LGA10550,0,13,0,0,0,0,0,3,0,13,13,162,3,0,0,0,4,0,4,191,4,73,27,9,3,3,0,0,4,123,12,33,31,19,3,9,0,3,0,109,5,35,60,38,11,4,7,4,0,175,10,22,41,84,34,18,0,9,3,215,8,9,18,58,78,24,23,12,0,235,3,3,7,13,41,13,19,21,0,122,0,0,3,10,16,18,19,11,0,73,3,5,0,3,9,10,7,11,0,50,0,0,0,3,0,3,0,11,0,22,0,0,0,0,0,3,0,8,0,11,0,5,0,0,0,3,0,5,0,15,0,0,0,0,0,0,0,3,0,8,4,10,3,0,0,7,3,4,3,23,65,371,202,247,196,107,82,93,20,1375,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,9,0,3,3,0,0,0,0,0,0,8,0,3,8,0,3,0,0,0,0,22
LGA10600,0,3,0,0,0,0,0,0,0,4,0,36,0,0,0,0,0,0,0,41,0,19,6,0,0,0,0,0,0,22,0,13,3,8,0,0,0,0,0,26,0,3,7,10,4,0,0,5,3,38,3,4,4,15,5,3,0,3,0,43,0,0,4,15,16,5,3,3,0,44,0,0,0,9,6,5,0,3,0,23,0,0,0,0,6,3,3,0,0,16,0,0,0,0,3,0,0,0,0,11,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,9,86,33,60,48,24,12,22,7,297,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,4,3,0,0,0,0,0,14
LGA10650,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,25,0,5,8,0,0,0,0,0,0,10,3,4,5,3,0,0,0,0,0,19,3,5,9,3,0,0,0,0,0,17,0,9,11,11,4,3,0,3,0,34,0,0,0,8,8,0,0,0,0,24,0,0,5,0,10,7,3,0,0,23,0,0,0,0,0,3,0,3,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,3,6,7,54,38,26,21,16,9,21,7,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,4
LGA10750,21,62,5,13,6,5,3,0,3,120,97,1274,107,13,4,3,3,7,27,1530,46,753,292,61,14,7,0,3,30,1207,23,342,388,116,21,18,8,9,22,938,21,145,341,225,62,34,10,18,15,854,25,106,296,403,171,77,26,32,19,1142,32,53,105,280,413,167,55,45,19,1164,27,32,48,113,407,269,92,93,15,1098,15,15,30,50,234,276,115,128,5,864,10,4,10,19,128,162,71,122,3,524,4,7,5,9,88,152,72,98,3,440,0,3,4,6,48,85,39,78,3,259,3,11,3,5,33,83,63,135,3,340,0,3,0,3,12,32,12,82,0,156,6,26,24,17,17,20,11,9,31,165,327,2832,1659,1324,1645,1390,566,853,212,10802,6,11,7,3,15,5,0,6,6,58,3,62,15,3,5,4,0,4,0,101,7,93,59,9,15,8,3,3,0,215,10,80,114,47,41,22,3,3,13,332
LGA10800,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,18,0,6,3,0,0,5,0,3,0,14,0,5,4,3,0,0,0,0,0,11,0,0,6,5,0,0,0,0,0,15,0,3,7,8,5,0,0,0,0,25,0,0,3,3,5,4,0,0,0,24,0,0,0,0,0,3,0,3,0,15,3,0,0,0,4,7,0,0,0,11,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,9,32,30,19,22,25,9,15,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,13
