LGA_CODE_2016,MaOpD_400_499_H_0,MaOpD_400_499_H_1_15,MaOpD_400_499_H_16_24,MaOpD_400_499_H_25_34,MaOpD_400_499_H_35_39,MaOpD_400_499_H_40,MaOpD_400_499_H_41_48,MaOpD_400_499_H_49mo,MaOpD_400_499_H_NS,MaOpD_400_499_H_Tot,MaOpD_500_649_H_0,MaOpD_500_649_H_1_15,MaOpD_500_649_H_16_24,MaOpD_500_649_H_25_34,MaOpD_500_649_H_35_39,MaOpD_500_649_H_40,MaOpD_500_649_H_41_48,MaOpD_500_649_H_49mo,MaOpD_500_649_H_NS,MaOpD_500_649_H_Tot,MaOpD_650_799_H_0,MaOpD_650_799_H_1_15,MaOpD_650_799_H_16_24,MaOpD_650_799_H_25_34,MaOpD_650_799_H_35_39,MaOpD_650_799_H_40,MaOpD_650_799_H_41_48,MaOpD_650_799_H_49mo,MaOpD_650_799_H_NS,MaOpD_650_799_H_Tot,MaOpD_800_999_H_0,MaOpD_800_999_H_1_15,MaOpD_800_999_H_16_24,MaOpD_800_999_H_25_34,MaOpD_800_999_H_35_39,MaOpD_800_999_H_40,MaOpD_800_999_H_41_48,MaOpD_800_999_H_49mo,MaOpD_800_999_H_NS,MaOpD_800_999_H_Tot,MaOpD_1000_1249_H_0,MaOpD_1000_1249_H_1_15,MaOpD_1000_1249_H_16_24,MaOpD_1000_1249_H_25_34,MaOpD_1000_1249_H_35_39,MaOpD_1000_1249_H_40,MaOpD_1000_1249_H_41_48,MaOpD_1000_1249_H_49mo,MaOpD_1000_1249_H_NS,MaOpD_1000_1249_H_Tot,MaOpD_1250_1499_H_0,MaOpD_1250_1499_H_1_15,MaOpD_1250_1499_H_16_24,MaOpD_1250_1499_H_25_34,MaOpD_1250_1499_H_35_39,MaOpD_1250_1499_H_40,MaOpD_1250_1499_H_41_48,MaOpD_1250_1499_H_49mo,MaOpD_1250_1499_H_NS,MaOpD_1250_1499_H_Tot,MaOpD_1500_1749_H_0,MaOpD_1500_1749_H_1_15,MaOpD_1500_1749_H_16_24,MaOpD_1500_1749_H_25_34,MaOpD_1500_1749_H_35_39,MaOpD_1500_1749_H_40,MaOpD_1500_1749_H_41_48,MaOpD_1500_1749_H_49mo,MaOpD_1500_1749_H_NS,MaOpD_1500_1749_H_Tot,MaOpD_1750_1999_H_0,MaOpD_1750_1999_H_1_15,MaOpD_1750_1999_H_16_24,MaOpD_1750_1999_H_25_34,MaOpD_1750_1999_H_35_39,MaOpD_1750_1999_H_40,MaOpD_1750_1999_H_41_48,MaOpD_1750_1999_H_49mo,MaOpD_1750_1999_H_NS,MaOpD_1750_1999_H_Tot,MaOpD_2000_2999_H_0,MaOpD_2000_2999_H_1_15,MaOpD_2000_2999_H_16_24,MaOpD_2000_2999_H_25_34,MaOpD_2000_2999_H_35_39,MaOpD_2000_2999_H_40,MaOpD_2000_2999_H_41_48,MaOpD_2000_2999_H_49mo,MaOpD_2000_2999_H_NS,MaOpD_2000_2999_H_Tot,MaOpD_3000mo_H_0,MaOpD_3000mo_H_1_15,MaOpD_3000mo_H_16_24,MaOpD_3000mo_H_25_34,MaOpD_3000mo_H_35_39,MaOpD_3000mo_H_40,MaOpD_3000mo_H_41_48,MaOpD_3000mo_H_49mo,MaOpD_3000mo_H_NS,MaOpD_3000mo_H_Tot,MaOpD_PINS_H_0,MaOpD_PINS_H_1_15,MaOpD_PINS_H_16_24,MaOpD_PINS_H_25_34,MaOpD_PINS_H_35_39,MaOpD_PINS_H_40,MaOpD_PINS_H_41_48,MaOpD_PINS_H_49mo,MaOpD_PINS_H_NS,MaOpD_PINS_H_Tot,MaOpD_Tot_H_0,MaOpD_Tot_H_1_15,MaOpD_Tot_H_16_24,MaOpD_Tot_H_25_34,MaOpD_Tot_H_35_39,MaOpD_Tot_H_40,MaOpD_Tot_H_41_48,MaOpD_Tot_H_49mo,MaOpD_Tot_H_NS,MaOpD_Tot_H_Tot,Lab_NNI_H_0,Lab_NNI_H_1_15,Lab_NNI_H_16_24,Lab_NNI_H_25_34,Lab_NNI_H_35_39,Lab_NNI_H_40,Lab_NNI_H_41_48,Lab_NNI_H_49mo,Lab_NNI_H_NS,Lab_NNI_H_Tot,Lab_1_149_H_0,Lab_1_149_H_1_15,Lab_1_149_H_16_24,Lab_1_149_H_25_34,Lab_1_149_H_35_39,Lab_1_149_H_40,Lab_1_149_H_41_48,Lab_1_149_H_49mo,Lab_1_149_H_NS,Lab_1_149_H_Tot,Lab_150_299_H_0,Lab_150_299_H_1_15,Lab_150_299_H_16_24,Lab_150_299_H_25_34,Lab_150_299_H_35_39,Lab_150_299_H_40,Lab_150_299_H_41_48,Lab_150_299_H_49mo,Lab_150_299_H_NS,Lab_150_299_H_Tot,Lab_300_399_H_0,Lab_300_399_H_1_15,Lab_300_399_H_16_24,Lab_300_399_H_25_34,Lab_300_399_H_35_39,Lab_300_399_H_40,Lab_300_399_H_41_48,Lab_300_399_H_49mo,Lab_300_399_H_NS,Lab_300_399_H_Tot,Lab_400_499_H_0,Lab_400_499_H_1_15,Lab_400_499_H_16_24,Lab_400_499_H_25_34,Lab_400_499_H_35_39,Lab_400_499_H_40,Lab_400_499_H_41_48,Lab_400_499_H_49mo,Lab_400_499_H_NS,Lab_400_499_H_Tot,Lab_500_649_H_0,Lab_500_649_H_1_15,Lab_500_649_H_16_24,Lab_500_649_H_25_34,Lab_500_649_H_35_39,Lab_500_649_H_40,Lab_500_649_H_41_48,Lab_500_649_H_49mo,Lab_500_649_H_NS,Lab_500_649_H_Tot,Lab_650_799_H_0,Lab_650_799_H_1_15,Lab_650_799_H_16_24,Lab_650_799_H_25_34,Lab_650_799_H_35_39,Lab_650_799_H_40,Lab_650_799_H_41_48,Lab_650_799_H_49mo,Lab_650_799_H_NS,Lab_650_799_H_Tot,Lab_800_999_H_0,Lab_800_999_H_1_15,Lab_800_999_H_16_24,Lab_800_999_H_25_34,Lab_800_999_H_35_39,Lab_800_999_H_40,Lab_800_999_H_41_48,Lab_800_999_H_49mo,Lab_800_999_H_NS,Lab_800_999_H_Tot
LGA10050,0,16,15,14,6,3,0,4,4,66,4,10,24,29,17,17,3,12,0,101,7,11,10,27,83,52,18,17,0,230,7,6,9,18,87,74,57,39,7,309,4,4,6,10,54,45,59,68,3,260,6,0,5,4,25,32,37,63,0,157,5,3,0,0,5,9,24,38,3,82,6,0,0,4,6,5,22,25,0,67,7,0,0,0,6,4,6,14,0,37,0,0,0,4,0,3,3,0,0,8,0,0,0,0,7,3,3,8,4,22,59,96,84,111,300,252,219,290,31,1442,4,11,0,3,0,0,0,0,0,19,15,184,14,3,0,0,3,0,7,230,0,120,44,8,4,3,0,3,11,194,9,92,66,17,3,3,0,3,7,199,8,64,68,49,7,9,3,5,4,220,6,33,62,108,56,21,13,11,7,308,13,21,21,77,124,70,23,19,5,367,10,8,11,28,89,87,32,19,8,288
LGA10130,0,6,6,5,0,0,4,3,0,25,0,10,7,10,10,0,0,4,0,36,4,4,9,12,26,13,13,9,3,94,4,0,3,10,26,31,11,12,3,99,3,3,3,3,23,18,16,21,0,97,0,0,3,3,4,3,5,6,0,27,0,0,0,0,0,4,0,4,0,10,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,4,0,3,3,10,20,60,35,49,97,78,60,79,10,479,3,7,0,0,0,0,0,0,0,15,9,92,11,0,3,3,0,0,3,118,3,81,16,12,3,3,6,3,0,133,11,69,24,13,4,0,0,7,7,134,5,39,49,18,10,3,3,10,4,143,4,37,36,50,78,15,11,4,0,238,7,12,16,34,96,45,17,17,8,252,4,7,8,11,58,45,16,16,3,170
LGA10250,4,15,17,5,0,3,0,0,0,44,0,14,11,21,15,7,3,10,3,79,0,5,13,15,49,23,4,4,3,119,3,7,6,17,43,33,22,16,0,150,3,3,7,16,16,31,20,30,3,131,3,0,0,5,9,14,4,20,3,60,3,0,0,0,3,3,4,20,0,37,0,0,0,3,0,0,3,11,0,16,0,0,4,0,3,0,0,4,0,17,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,8,26,75,66,83,146,113,71,127,18,726,0,6,0,3,0,0,0,3,0,12,6,142,13,3,0,4,0,0,6,172,14,70,22,11,0,3,0,0,0,117,3,58,45,18,7,3,0,6,3,146,12,48,71,42,21,13,8,7,5,224,7,38,50,76,48,20,8,18,3,267,7,14,27,72,110,48,22,22,4,318,4,12,9,21,81,51,18,13,3,211
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,3,0,4,0,9,0,0,0,0,4,3,0,0,0,15,0,0,0,0,8,3,0,10,0,21,0,0,0,0,4,0,0,3,0,6,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,7,17,10,0,26,4,84,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,6,3,0,0,0,0,0,0,13,0,4,5,3,3,0,0,0,0,21,0,5,4,4,0,0,0,4,0,18,0,0,0,3,3,4,0,0,0,16,0,0,0,5,12,6,3,6,0,28,0,0,0,3,9,12,3,3,0,28
LGA10470,3,7,9,3,3,4,3,3,3,39,0,3,12,21,15,4,3,7,0,71,4,4,3,15,50,34,8,15,0,125,0,9,10,12,52,61,30,20,3,204,0,3,5,6,26,46,32,41,3,158,6,0,0,3,12,21,12,49,0,98,3,0,0,0,5,13,10,34,0,69,0,0,3,0,5,0,3,22,0,35,0,0,3,0,3,3,0,21,0,29,0,0,0,0,0,0,0,8,0,8,0,0,0,3,3,4,0,6,3,22,28,48,57,68,194,197,100,221,14,922,3,11,6,0,0,0,0,0,0,22,7,139,6,3,6,0,0,0,3,166,11,82,26,7,8,3,0,5,4,141,6,59,34,23,8,9,0,6,3,143,3,51,53,25,16,10,3,7,7,173,8,38,51,57,57,20,8,14,3,254,7,24,19,48,114,52,13,18,4,298,11,9,10,23,85,81,28,18,0,262
LGA10550,3,10,16,3,0,0,0,0,0,28,4,9,11,11,4,3,3,8,0,63,9,3,11,21,32,24,3,9,0,105,4,0,6,7,34,38,24,21,7,132,0,7,0,3,28,31,21,30,0,125,0,3,0,0,16,15,16,34,0,89,0,0,0,3,9,3,4,18,0,41,0,0,0,0,0,3,0,13,0,17,0,0,0,0,0,0,9,7,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,6,27,42,55,52,130,125,87,137,9,664,3,8,0,0,3,0,0,3,4,20,15,100,6,0,0,0,0,0,9,124,3,69,19,3,4,3,0,0,0,97,11,55,37,19,4,3,0,0,3,123,9,54,54,24,8,3,4,4,0,161,5,41,48,48,27,16,8,8,3,211,8,18,37,39,49,32,9,17,4,216,10,12,11,33,70,61,22,25,7,254
LGA10600,0,3,0,4,0,0,0,0,0,6,0,9,3,3,3,0,0,3,0,24,0,3,3,6,12,4,0,4,0,36,0,4,5,7,14,10,9,10,3,53,0,0,4,0,13,9,10,12,0,53,0,0,0,0,4,0,3,11,3,18,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,32,22,20,51,31,26,51,4,241,0,0,0,0,0,0,0,0,0,0,0,47,4,3,0,0,0,0,0,56,0,26,4,0,0,0,0,0,0,39,0,18,6,5,0,3,0,4,0,42,0,12,12,3,3,0,0,3,3,44,6,4,16,16,15,3,7,4,8,74,3,5,3,18,20,4,3,4,0,54,0,0,8,12,9,18,4,0,0,58
LGA10650,0,3,3,0,0,3,0,0,0,6,0,4,5,7,0,3,0,3,0,25,3,0,0,0,11,4,0,0,0,29,0,3,0,3,7,11,8,8,0,38,0,0,3,0,13,17,0,13,3,49,3,0,0,0,4,4,5,10,0,27,0,0,0,0,3,0,0,16,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,25,13,14,40,39,17,52,7,220,0,0,0,0,0,0,0,0,0,3,3,20,0,0,0,0,0,0,0,27,3,13,7,3,0,0,0,3,0,27,3,17,4,7,0,0,0,3,3,37,4,10,12,3,0,0,0,0,3,38,3,8,9,11,9,3,0,3,0,47,3,3,3,16,15,9,3,4,0,59,0,0,0,3,23,25,4,4,3,64
LGA10750,8,65,144,96,56,49,7,32,20,476,29,87,168,174,247,141,45,62,26,986,52,84,175,308,949,506,126,137,63,2403,59,77,119,306,1450,907,347,322,61,3651,79,38,76,201,988,859,434,580,42,3291,42,20,23,76,342,421,309,600,26,1862,31,9,11,36,175,227,195,534,21,1235,20,3,11,7,72,88,92,354,12,668,18,8,0,13,48,57,79,314,5,546,3,3,3,4,11,0,5,73,5,106,3,10,13,18,54,47,17,33,45,232,374,656,947,1308,4459,3359,1677,3055,341,16166,10,36,17,10,8,3,0,4,11,101,59,605,75,23,7,5,3,0,14,792,23,415,151,68,24,9,4,5,23,730,19,232,267,95,36,30,9,9,15,715,28,166,317,166,79,32,13,16,32,853,33,149,244,326,302,122,32,41,41,1287,47,106,135,293,754,336,90,79,36,1871,41,66,76,168,702,483,151,116,23,1828
LGA10800,0,3,3,0,0,0,0,3,0,11,0,3,0,3,0,3,0,5,0,20,0,3,0,3,4,6,3,0,0,16,0,0,0,4,13,7,3,5,0,34,4,0,3,0,5,9,4,19,0,47,0,0,0,0,3,6,10,22,0,47,0,0,0,0,0,3,17,37,0,58,3,0,0,0,3,0,0,19,0,31,0,0,0,0,0,3,3,25,0,38,0,0,0,0,0,4,0,3,0,10,0,0,0,0,0,0,0,0,3,6,11,19,16,11,30,42,43,147,7,327,0,3,0,0,0,0,0,0,3,5,0,15,0,0,0,0,0,0,0,23,0,15,5,0,0,0,0,0,0,28,3,6,9,0,0,0,0,0,0,17,0,3,5,10,3,3,0,3,0,28,0,9,3,14,9,3,3,3,3,51,0,3,7,4,7,9,0,3,0,41,0,3,0,8,10,12,3,8,0,45
