LGA_CODE_2016,Lab_1000_1249_H_0,Lab_1000_1249_H_1_15,Lab_1000_1249_H_16_24,Lab_1000_1249_H_25_34,Lab_1000_1249_H_35_39,Lab_1000_1249_H_40,Lab_1000_1249_H_41_48,Lab_1000_1249_H_49mo,Lab_1000_1249_H_NS,Lab_1000_1249_H_Tot,Lab_1250_1499_H_0,Lab_1250_1499_H_1_15,Lab_1250_1499_H_16_24,Lab_1250_1499_H_25_34,Lab_1250_1499_H_35_39,Lab_1250_1499_H_40,Lab_1250_1499_H_41_48,Lab_1250_1499_H_49mo,Lab_1250_1499_H_NS,Lab_1250_1499_H_Tot,Lab_1500_1749_H_0,Lab_1500_1749_H_1_15,Lab_1500_1749_H_16_24,Lab_1500_1749_H_25_34,Lab_1500_1749_H_35_39,Lab_1500_1749_H_40,Lab_1500_1749_H_41_48,Lab_1500_1749_H_49mo,Lab_1500_1749_H_NS,Lab_1500_1749_H_Tot,Lab_1750_1999_H_0,Lab_1750_1999_H_1_15,Lab_1750_1999_H_16_24,Lab_1750_1999_H_25_34,Lab_1750_1999_H_35_39,Lab_1750_1999_H_40,Lab_1750_1999_H_41_48,Lab_1750_1999_H_49mo,Lab_1750_1999_H_NS,Lab_1750_1999_H_Tot,Lab_2000_2999_H_0,Lab_2000_2999_H_1_15,Lab_2000_2999_H_16_24,Lab_2000_2999_H_25_34,Lab_2000_2999_H_35_39,Lab_2000_2999_H_40,Lab_2000_2999_H_41_48,Lab_2000_2999_H_49mo,Lab_2000_2999_H_NS,Lab_2000_2999_H_Tot,Lab_3000mo_H_0,Lab_3000mo_H_1_15,Lab_3000mo_H_16_24,Lab_3000mo_H_25_34,Lab_3000mo_H_35_39,Lab_3000mo_H_40,Lab_3000mo_H_41_48,Lab_3000mo_H_49mo,Lab_3000mo_H_NS,Lab_3000mo_H_Tot,Lab_PINS_H_0,Lab_PINS_H_1_15,Lab_PINS_H_16_24,Lab_PINS_H_25_34,Lab_PINS_H_35_39,Lab_PINS_H_40,Lab_PINS_H_41_48,Lab_PINS_H_49mo,Lab_PINS_H_NS,Lab_PINS_H_Tot,Lab_Tot_H_0,Lab_Tot_H_1_15,Lab_Tot_H_16_24,Lab_Tot_H_25_34,Lab_Tot_H_35_39,Lab_Tot_H_40,Lab_Tot_H_41_48,Lab_Tot_H_49mo,Lab_Tot_H_NS,Lab_Tot_H_Tot,OIDNS_NNI_H_0,OIDNS_NNI_H_1_15,OIDNS_NNI_H_16_24,OIDNS_NNI_H_25_34,OIDNS_NNI_H_35_39,OIDNS_NNI_H_40,OIDNS_NNI_H_41_48,OIDNS_NNI_H_49mo,OIDNS_NNI_H_NS,OIDNS_NNI_H_Tot,OIDNS_1_149_H_0,OIDNS_1_149_H_1_15,OIDNS_1_149_H_16_24,OIDNS_1_149_H_25_34,OIDNS_1_149_H_35_39,OIDNS_1_149_H_40,OIDNS_1_149_H_41_48,OIDNS_1_149_H_49mo,OIDNS_1_149_H_NS,OIDNS_1_149_H_Tot,OIDNS_150_299_H_0,OIDNS_150_299_H_1_15,OIDNS_150_299_H_16_24,OIDNS_150_299_H_25_34,OIDNS_150_299_H_35_39,OIDNS_150_299_H_40,OIDNS_150_299_H_41_48,OIDNS_150_299_H_49mo,OIDNS_150_299_H_NS,OIDNS_150_299_H_Tot,OIDNS_300_399_H_0,OIDNS_300_399_H_1_15,OIDNS_300_399_H_16_24,OIDNS_300_399_H_25_34,OIDNS_300_399_H_35_39,OIDNS_300_399_H_40,OIDNS_300_399_H_41_48,OIDNS_300_399_H_49mo,OIDNS_300_399_H_NS,OIDNS_300_399_H_Tot,OIDNS_400_499_H_0,OIDNS_400_499_H_1_15,OIDNS_400_499_H_16_24,OIDNS_400_499_H_25_34,OIDNS_400_499_H_35_39,OIDNS_400_499_H_40,OIDNS_400_499_H_41_48,OIDNS_400_499_H_49mo,OIDNS_400_499_H_NS,OIDNS_400_499_H_Tot,OIDNS_500_649_H_0,OIDNS_500_649_H_1_15,OIDNS_500_649_H_16_24,OIDNS_500_649_H_25_34,OIDNS_500_649_H_35_39,OIDNS_500_649_H_40,OIDNS_500_649_H_41_48,OIDNS_500_649_H_49mo,OIDNS_500_649_H_NS,OIDNS_500_649_H_Tot,OIDNS_650_799_H_0,OIDNS_650_799_H_1_15,OIDNS_650_799_H_16_24,OIDNS_650_799_H_25_34,OIDNS_650_799_H_35_39,OIDNS_650_799_H_40,OIDNS_650_799_H_41_48,OIDNS_650_799_H_49mo,OIDNS_650_799_H_NS,OIDNS_650_799_H_Tot,OIDNS_800_999_H_0,OIDNS_800_999_H_1_15,OIDNS_800_999_H_16_24,OIDNS_800_999_H_25_34,OIDNS_800_999_H_35_39,OIDNS_800_999_H_40,OIDNS_800_999_H_41_48,OIDNS_800_999_H_49mo,OIDNS_800_999_H_NS,OIDNS_800_999_H_Tot,OIDNS_1000_1249_H_0,OIDNS_1000_1249_H_1_15,OIDNS_1000_1249_H_16_24,OIDNS_1000_1249_H_25_34,OIDNS_1000_1249_H_35_39,OIDNS_1000_1249_H_40,OIDNS_1000_1249_H_41_48,OIDNS_1000_1249_H_49mo,OIDNS_1000_1249_H_NS,OIDNS_1000_1249_H_Tot,OIDNS_1250_1499_H_0,OIDNS_1250_1499_H_1_15,OIDNS_1250_1499_H_16_24,OIDNS_1250_1499_H_25_34,OIDNS_1250_1499_H_35_39,OIDNS_1250_1499_H_40,OIDNS_1250_1499_H_41_48,OIDNS_1250_1499_H_49mo,OIDNS_1250_1499_H_NS,OIDNS_1250_1499_H_Tot,OIDNS_1500_1749_H_0,OIDNS_1500_1749_H_1_15,OIDNS_1500_1749_H_16_24,OIDNS_1500_1749_H_25_34,OIDNS_1500_1749_H_35_39,OIDNS_1500_1749_H_40,OIDNS_1500_1749_H_41_48,OIDNS_1500_1749_H_49mo,OIDNS_1500_1749_H_NS,OIDNS_1500_1749_H_Tot,OIDNS_1750_1999_H_0,OIDNS_1750_1999_H_1_15,OIDNS_1750_1999_H_16_24,OIDNS_1750_1999_H_25_34,OIDNS_1750_1999_H_35_39,OIDNS_1750_1999_H_40,OIDNS_1750_1999_H_41_48,OIDNS_1750_1999_H_49mo,OIDNS_1750_1999_H_NS,OIDNS_1750_1999_H_Tot
LGA10050,6,4,11,10,43,43,21,15,0,157,0,0,0,8,8,7,14,13,0,53,0,0,0,0,5,11,16,11,0,47,0,0,0,0,3,3,4,3,0,16,0,0,0,0,0,3,6,5,0,15,0,0,0,3,0,0,0,0,0,4,3,10,0,5,3,7,3,0,4,37,80,550,305,317,345,264,135,111,49,2152,0,0,0,0,0,0,0,0,10,18,0,3,0,0,0,0,0,0,0,4,0,7,3,0,0,0,0,0,4,16,0,3,0,0,0,0,0,0,7,20,0,0,7,3,0,0,0,0,9,23,3,6,3,9,3,0,0,0,12,32,0,0,0,4,6,7,0,4,10,30,3,7,0,3,18,5,0,5,7,50,0,0,0,3,9,3,0,7,3,31,0,0,0,0,9,4,4,7,0,26,4,0,0,0,4,5,0,3,3,25,0,0,0,0,4,0,3,3,4,15
LGA10130,3,4,8,3,29,19,12,8,0,84,0,3,3,3,10,5,7,9,0,32,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,0,0,0,4,0,10,0,3,6,6,0,3,4,33,50,352,183,157,294,161,79,78,26,1381,3,0,0,0,0,0,0,0,7,9,0,6,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,5,13,0,4,3,0,0,4,0,4,0,11,3,3,0,3,3,0,0,0,3,13,0,0,3,0,3,3,3,0,8,18,0,0,0,0,3,4,4,0,4,16,0,0,0,0,3,3,0,3,3,20,0,0,0,0,3,3,0,0,0,10,0,0,0,0,4,0,0,0,0,7,0,3,0,0,0,0,0,0,0,6
LGA10250,0,3,3,11,26,20,15,21,0,106,0,3,7,3,3,13,7,3,3,34,0,0,3,0,3,4,0,5,0,20,0,0,0,0,3,5,0,0,0,8,0,0,3,0,0,3,0,4,3,14,0,0,0,3,3,0,0,3,0,14,3,13,0,0,5,0,0,0,3,24,56,415,253,265,319,180,73,97,32,1692,0,0,0,0,3,0,0,0,5,6,0,3,0,0,0,0,0,0,5,7,3,4,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,13,16,0,0,3,3,0,0,0,0,7,15,0,3,9,0,3,0,0,8,6,27,0,0,3,0,11,3,0,0,8,28,0,0,0,3,4,3,0,3,3,23,0,0,0,0,0,5,0,4,3,17,0,3,0,0,0,3,0,0,0,7,0,0,0,0,0,3,4,0,0,13,0,0,0,0,0,0,0,0,0,7
LGA10300,0,0,0,0,7,3,0,3,0,13,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,4,26,17,17,31,26,8,23,3,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,8,8,12,22,51,58,18,20,0,204,3,0,0,6,21,26,14,13,0,87,3,3,3,5,32,28,11,19,0,99,0,0,0,0,13,6,9,20,0,49,0,0,0,0,3,4,3,18,0,32,0,3,3,0,0,3,0,3,0,14,0,5,4,5,3,6,0,4,3,34,76,433,236,213,412,301,115,154,30,1966,3,0,0,0,0,0,0,0,10,13,3,7,0,0,0,0,0,0,8,16,0,3,0,0,0,0,0,0,10,15,0,6,3,3,0,0,0,0,8,14,0,0,4,0,0,0,0,0,5,15,0,0,4,3,0,0,0,0,3,20,0,0,0,3,0,4,3,0,10,31,3,4,0,4,0,4,0,5,5,22,0,0,0,4,5,5,0,3,3,18,0,0,0,0,8,3,3,3,3,20,0,3,0,0,4,6,4,5,0,21,0,0,0,0,7,0,0,0,0,8
LGA10550,6,8,12,12,75,60,30,17,0,215,6,0,0,3,20,28,9,18,3,84,3,0,0,0,11,11,4,8,0,40,0,0,3,0,3,0,4,3,0,17,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,9,5,11,6,3,3,4,3,8,7,45,76,375,225,183,279,225,101,114,43,1627,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,4,6,0,0,3,3,0,0,0,0,3,15,3,5,3,0,0,3,0,0,5,16,0,3,0,0,0,0,0,0,12,15,0,3,3,5,3,4,0,0,6,22,0,3,0,0,6,5,0,0,0,19,3,0,0,0,0,0,0,0,6,14,0,0,0,0,6,6,0,6,3,24,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,3,3,3,0,7,0,0,0,3,0,3,0,0,0,10
LGA10600,0,0,0,4,4,16,4,10,0,42,3,0,0,3,3,12,3,0,0,28,0,0,0,0,5,4,3,4,0,16,0,0,0,0,3,0,0,4,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,12,17,121,62,67,62,66,25,43,12,473,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,7,7,3,6,3,32,0,0,0,0,0,0,4,6,0,12,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,21,79,34,56,51,48,14,37,14,356,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA10750,20,31,51,94,370,342,178,205,28,1328,10,13,20,29,141,215,91,136,13,668,10,10,9,10,87,119,71,109,6,426,3,5,4,3,38,50,35,72,6,220,5,3,4,4,35,37,28,75,5,191,0,10,3,4,4,3,4,16,3,48,6,38,20,12,39,29,11,11,45,201,316,1890,1405,1297,2625,1823,713,897,294,11267,7,9,0,0,3,6,0,0,30,63,5,30,7,0,3,0,0,0,24,62,0,23,9,3,3,4,0,0,40,85,5,16,22,6,0,5,3,0,39,101,5,6,16,12,6,6,0,0,52,106,6,8,9,18,25,16,3,9,61,158,4,9,14,23,61,28,5,6,54,206,9,4,7,22,61,60,17,16,59,254,7,9,5,11,87,63,26,28,51,285,4,3,5,5,40,52,13,15,28,168,0,0,0,3,23,25,25,26,12,117,0,0,0,0,12,14,11,18,5,66
LGA10800,0,0,0,0,9,3,4,7,0,26,0,0,0,0,5,0,0,7,0,14,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,6,66,35,36,41,52,18,41,12,306,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
