LGA_CODE_2016,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000mo_A_15_19,Lab_3000mo_A_20_24,Lab_3000mo_A_25_34,Lab_3000mo_A_35_44,Lab_3000mo_A_45_54,Lab_3000mo_A_55_64,Lab_3000mo_A_65_74,Lab_3000mo_A_75ov,Lab_3000mo_Tot,Lab_PINS_A_15_19,Lab_PINS_A_20_24,Lab_PINS_A_25_34,Lab_PINS_A_35_44,Lab_PINS_A_45_54,Lab_PINS_A_55_64,Lab_PINS_A_65_74,Lab_PINS_A_75ov,Lab_PINS_Tot,Lab_Tot_A_15_19,Lab_Tot_A_20_24,Lab_Tot_A_25_34,Lab_Tot_A_35_44,Lab_Tot_A_45_54,Lab_Tot_A_55_64,Lab_Tot_A_65_74,Lab_Tot_A_75ov,Lab_Tot_Tot,OIDNS_NNI_A_15_19,OIDNS_NNI_A_20_24,OIDNS_NNI_A_25_34,OIDNS_NNI_A_35_44,OIDNS_NNI_A_45_54,OIDNS_NNI_A_55_64,OIDNS_NNI_A_65_74,OIDNS_NNI_A_75ov,OIDNS_NNI_T,OIDNS_1_149_A_15_19,OIDNS_1_149_A_20_24,OIDNS_1_149_A_25_34,OIDNS_1_149_A_35_44,OIDNS_1_149_A_45_54,OIDNS_1_149_A_55_64,OIDNS_1_149_A_65_74,OIDNS_1_149_A_75ov,OIDNS_1_149_T,OIDNS_150_299_A_15_19,OIDNS_150_299_A_20_24,OIDNS_150_299_A_25_34,OIDNS_150_299_A_35_44,OIDNS_150_299_A_45_54,OIDNS_150_299_A_55_64,OIDNS_150_299_A_65_74,OIDNS_150_299_A_75ov,OIDNS_150_299_T,OIDNS_300_399_A_15_19,OIDNS_300_399_A_20_24,OIDNS_300_399_A_25_34,OIDNS_300_399_A_35_44,OIDNS_300_399_A_45_54,OIDNS_300_399_A_55_64,OIDNS_300_399_A_65_74,OIDNS_300_399_A_75ov,OIDNS_300_399_T,OIDNS_400_499_A_15_19,OIDNS_400_499_A_20_24,OIDNS_400_499_A_25_34,OIDNS_400_499_A_35_44,OIDNS_400_499_A_45_54,OIDNS_400_499_A_55_64,OIDNS_400_499_A_65_74,OIDNS_400_499_A_75ov,OIDNS_400_499_T,OIDNS_500_649_A_15_19,OIDNS_500_649_A_20_24,OIDNS_500_649_A_25_34
LGA10050,90,235,293,366,336,93,3,1442,9,3,0,3,6,0,3,0,19,173,9,8,13,15,7,3,0,230,49,30,23,22,31,30,11,0,194,27,26,30,24,42,42,9,0,199,23,24,27,29,51,48,19,0,220,12,48,58,49,65,64,11,0,308,10,32,90,72,66,82,17,0,367,10,27,52,48,80,63,7,4,288,0,11,39,35,36,29,6,0,157,0,3,15,14,17,3,0,0,53,0,0,13,7,15,7,0,0,47,0,0,0,4,8,4,0,0,16,0,0,3,4,3,5,0,0,15,0,0,0,0,5,0,0,0,4,3,3,5,9,3,9,0,0,37,316,210,356,336,429,399,87,9,2152,0,0,3,3,6,3,3,0,18,4,0,0,0,0,0,0,0,4,8,3,0,0,0,0,0,0,16,0,8,3,3,3,0,6,3,20,0,3,3,5,6,4,0,0,23,0,0,3
LGA10130,57,77,73,114,114,29,3,479,7,0,5,0,0,3,0,0,15,76,11,14,7,6,3,0,0,118,28,33,19,14,17,18,8,0,133,10,33,23,9,20,21,9,0,134,9,36,26,24,25,18,9,3,143,14,37,72,50,37,27,10,0,238,12,29,82,39,46,41,3,0,252,4,16,43,22,48,39,8,0,170,0,10,17,18,25,11,3,0,84,0,0,4,8,12,3,0,0,32,0,0,0,0,8,3,0,0,9,0,0,0,0,3,3,0,0,5,0,0,0,0,0,3,0,0,7,0,0,0,0,5,0,3,0,4,5,7,6,3,4,3,0,0,33,165,202,310,197,246,194,58,7,1381,0,0,0,3,0,0,0,0,9,10,0,3,0,0,0,0,0,13,3,0,0,3,0,5,0,0,12,0,0,0,4,0,0,4,0,13,0,0,0,0,0,6,0,0,11,0,0,3
LGA10250,56,124,119,158,188,67,3,726,5,0,3,4,3,0,0,0,12,137,11,0,7,6,8,0,0,172,30,11,7,11,15,31,10,0,117,18,12,21,15,31,36,3,0,146,22,30,31,30,54,36,19,0,224,7,24,60,54,60,57,8,0,267,5,37,73,56,73,56,11,0,318,8,12,40,35,56,45,9,3,211,0,3,20,25,20,21,4,4,106,0,0,8,10,12,7,0,0,34,0,0,3,3,3,7,0,0,20,0,0,4,3,0,0,0,0,8,0,0,3,4,5,0,0,0,14,0,0,3,0,0,4,0,0,14,3,3,0,7,3,4,3,0,24,240,154,276,270,346,325,74,12,1692,5,0,0,0,0,0,0,0,6,3,0,0,0,0,5,0,0,7,3,0,0,0,0,0,5,3,15,0,0,0,3,0,5,0,0,16,0,3,0,0,6,6,3,0,15,0,0,9
LGA10300,6,14,9,21,26,3,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,3,0,0,0,0,13,3,0,4,4,3,5,0,0,21,4,0,0,3,4,4,0,0,18,0,3,5,0,3,12,0,0,16,0,5,7,4,3,5,3,0,28,0,3,7,3,6,4,0,0,28,0,0,3,4,3,0,0,0,13,0,0,0,0,0,4,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,7,14,30,36,33,34,4,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,57,131,188,240,208,58,9,922,12,3,0,3,3,0,0,0,22,123,18,8,11,6,0,3,0,166,37,23,19,15,20,25,7,0,141,17,25,22,26,30,11,10,0,143,19,23,32,30,31,25,13,0,173,17,45,46,44,41,54,10,3,254,10,57,57,50,67,59,6,0,298,3,29,52,46,74,47,3,0,262,0,13,38,43,58,45,8,0,204,0,3,9,22,30,22,3,0,87,0,0,10,22,36,23,3,0,99,0,0,3,10,18,11,0,0,49,0,0,8,10,8,5,0,0,32,0,0,0,3,0,3,0,0,14,5,0,4,0,7,8,0,0,34,242,235,315,331,425,337,73,9,1966,4,0,0,0,0,0,0,0,13,4,3,0,0,0,4,0,0,16,3,5,3,3,0,0,0,0,15,0,0,0,5,0,5,0,3,14,0,0,4,3,0,4,0,0,15,0,3,0
LGA10550,33,78,125,182,189,43,7,664,11,0,3,0,0,7,0,0,20,83,8,0,5,8,21,3,0,124,16,9,14,10,16,22,9,0,97,8,11,18,17,22,30,15,0,123,13,13,17,25,33,46,9,0,161,3,18,28,42,44,56,22,3,211,12,24,32,30,52,60,12,3,216,7,17,43,39,74,60,10,0,254,3,13,47,37,65,37,6,0,215,0,5,20,22,22,18,0,0,84,0,3,10,3,18,6,0,0,40,0,0,6,5,3,0,0,0,17,0,0,0,0,3,0,0,0,3,0,0,0,3,0,4,0,0,9,9,3,4,0,12,6,3,0,45,177,118,257,243,374,362,85,7,1627,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,0,15,0,0,0,3,0,10,3,0,16,0,0,0,0,3,9,3,0,15,0,3,3
LGA10600,3,38,31,63,73,25,0,241,0,0,0,0,0,0,0,0,0,36,0,0,3,7,11,0,0,56,9,0,8,7,5,7,0,0,39,0,3,3,3,9,13,7,3,42,5,0,4,4,8,17,3,0,44,5,5,15,10,15,14,4,0,74,0,8,10,7,18,17,3,0,54,0,0,7,11,15,15,3,0,58,0,6,6,3,14,13,0,0,42,0,0,6,4,6,9,0,0,28,0,0,3,4,3,0,0,0,16,0,0,0,3,5,0,0,0,8,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,12,60,30,55,66,120,115,21,7,473,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,3,9,0,0,0
LGA10650,15,22,33,55,56,32,7,220,3,0,0,3,0,0,0,0,3,14,0,0,0,3,0,0,0,27,0,9,4,3,3,6,0,0,27,3,0,7,6,10,6,5,0,37,0,4,8,0,10,9,3,3,38,3,4,9,7,12,9,9,0,47,9,11,11,9,4,17,4,0,59,3,8,3,13,14,17,4,0,64,0,3,3,5,3,5,3,0,32,0,3,4,3,3,3,0,0,12,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,37,42,49,57,57,77,35,8,356,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA10750,1287,3745,3902,3923,2583,442,22,16166,40,9,18,11,9,3,3,0,101,586,74,32,35,30,29,8,0,792,226,126,89,73,108,90,22,0,730,103,140,116,103,128,106,26,3,715,72,151,152,126,170,145,40,0,853,75,177,241,232,306,191,56,3,1287,60,235,392,332,436,350,59,0,1871,45,174,398,376,440,328,63,0,1828,19,118,302,288,327,229,38,0,1328,0,53,146,176,153,125,15,0,668,0,24,107,93,124,63,14,0,426,3,11,50,64,54,37,3,0,220,4,5,33,57,48,38,7,0,191,0,3,10,6,19,6,3,0,48,24,30,34,30,39,31,3,3,201,1258,1325,2117,2003,2404,1773,359,28,11267,12,5,12,13,11,4,4,3,63,31,12,4,10,10,0,0,0,62,16,19,12,9,14,3,4,8,85,6,22,14,16,22,12,10,3,101,8,21,19,26,13,11,8,6,106,7,22,38
LGA10800,18,70,75,64,80,18,3,327,6,0,0,0,0,0,0,0,5,10,4,0,3,0,0,0,0,23,9,3,3,3,0,4,0,0,28,7,0,3,0,5,8,0,0,17,3,3,4,3,8,4,3,0,28,3,3,3,12,10,14,8,0,51,3,5,8,7,11,3,5,4,41,0,7,7,14,9,9,0,0,45,0,0,4,8,7,0,3,0,26,0,0,0,0,3,0,0,0,14,0,0,4,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,6,34,27,47,62,64,44,19,9,306,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
