LGA_CODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
LGA10050,51,6,0,6,59,1071,495,24,17,1611
LGA10130,23,0,0,0,27,709,395,20,25,1145
LGA10250,64,18,0,0,86,1321,513,17,20,1876
LGA10300,0,0,0,0,3,57,51,0,0,105
LGA10470,34,10,0,0,46,868,416,8,15,1313
LGA10550,45,14,0,3,55,986,459,13,38,1494
LGA10600,29,6,0,0,41,520,143,0,16,682
LGA10650,14,3,0,0,11,236,116,0,8,366
LGA10750,240,33,3,5,284,4586,1059,49,57,5748
LGA10800,6,0,0,5,14,278,183,0,15,480
LGA10850,6,0,0,0,6,259,81,0,12,350
LGA10900,83,13,0,0,101,2102,531,14,24,2670
LGA10950,3,0,0,0,4,100,72,0,5,177
LGA11100,86,9,0,0,96,1164,249,12,13,1435
LGA11150,12,0,0,0,13,80,36,0,3,128
LGA11200,0,0,0,0,0,15,3,0,0,15
LGA11250,5,6,0,0,16,234,120,13,14,381
LGA11300,42,9,0,3,53,772,271,13,8,1061
LGA11350,117,19,0,3,138,2028,515,13,60,2615
LGA11400,12,3,0,0,17,438,226,3,26,700
LGA11450,78,12,0,0,94,1393,418,8,17,1837
LGA11500,95,19,0,7,119,1931,555,24,25,2537
LGA11520,84,15,0,4,97,1810,402,15,22,2240
LGA11570,305,61,3,3,372,5853,1512,36,67,7464
LGA11600,5,0,0,0,10,109,78,0,5,185
LGA11650,339,55,3,4,406,6646,2019,50,98,8816
LGA11700,0,0,0,0,0,34,26,0,3,69
LGA11720,29,5,0,4,34,722,282,3,17,1019
LGA11730,46,12,0,7,67,1278,477,4,53,1808
LGA11750,3,0,0,0,3,125,60,0,4,190
LGA11800,78,28,0,4,110,1842,731,48,38,2654
LGA12000,10,0,0,0,12,145,63,0,6,219
LGA12150,5,3,0,0,5,138,83,0,0,230
LGA12350,16,3,0,0,15,395,251,4,22,666
LGA12380,201,46,0,3,255,3455,908,29,50,4436
LGA12700,11,0,0,0,11,264,74,0,7,347
LGA12730,10,3,0,0,11,228,123,9,5,361
LGA12750,48,15,0,0,69,1048,473,14,32,1571
LGA12850,162,38,0,6,212,2616,1048,22,48,3736
LGA12870,11,5,0,0,21,259,138,5,8,411
LGA12900,15,3,0,0,17,320,212,0,15,553
LGA12930,115,16,0,3,134,2386,791,25,21,3220
LGA12950,3,0,0,0,5,206,135,0,8,345
LGA13010,3,3,0,0,11,296,153,3,6,462
LGA13310,28,4,0,0,34,568,252,5,20,845
LGA13340,11,0,0,0,10,384,175,3,15,572
LGA13450,20,0,0,0,19,509,269,12,32,823
LGA13510,14,5,0,0,21,263,194,0,8,464
LGA13550,13,6,0,0,21,324,166,3,7,498
LGA13660,4,0,0,0,4,221,123,3,9,351
LGA13800,69,21,0,3,94,1530,560,5,27,2126
LGA13850,5,4,0,0,3,89,59,0,4,154
LGA13910,17,6,0,0,25,404,286,7,24,721
LGA14000,142,23,0,6,176,2899,669,13,28,3609
LGA14100,18,0,0,0,21,289,75,6,3,368
LGA14170,274,37,3,0,312,5215,1050,34,53,6351
LGA14200,20,8,0,3,25,483,246,3,17,740
LGA14300,3,3,0,0,4,163,86,0,6,256
LGA14350,34,7,0,3,38,664,274,4,29,975
LGA14400,14,3,0,3,24,593,208,4,13,820
LGA14500,105,14,0,3,119,2512,499,15,27,3053
LGA14550,18,0,0,0,14,418,91,3,10,527
LGA14600,11,0,0,0,13,198,157,0,5,359
LGA14650,133,16,3,3,159,3344,1015,35,43,4439
LGA14700,40,9,0,0,46,873,196,3,12,1082
LGA14750,8,0,0,0,10,259,118,4,3,387
LGA14850,61,14,0,0,81,1382,521,21,45,1971
LGA14870,17,4,0,0,24,352,159,4,13,530
LGA14900,178,31,0,0,214,2865,767,33,40,3702
LGA14920,8,4,0,0,14,286,112,0,10,408
LGA14950,3,0,0,0,3,126,76,0,5,211
LGA15050,44,8,0,0,59,1128,429,20,20,1593
LGA15240,82,27,0,7,110,2101,841,17,70,3025
LGA15270,27,6,0,0,37,653,308,0,29,991
LGA15300,12,6,0,0,17,367,257,14,19,656
LGA15350,41,7,0,0,43,839,185,8,8,1032
LGA15520,14,7,0,0,19,347,184,3,9,540
LGA15560,6,0,0,0,6,144,68,0,9,223
LGA15650,13,3,0,0,12,285,112,6,11,409
LGA15700,13,3,0,0,21,507,211,0,17,734
LGA15750,18,3,0,0,19,369,184,5,12,564
LGA15800,5,0,0,0,5,199,104,0,4,312
LGA15850,6,0,0,0,6,184,85,0,9,280
LGA15900,148,29,4,0,174,3295,1054,94,47,4483
LGA15950,138,20,5,3,161,2267,543,55,23,2884
LGA15990,397,48,4,3,450,7308,1624,56,76,9053
LGA16100,7,0,0,0,10,187,75,0,3,261
LGA16150,24,0,0,0,32,853,374,16,19,1265
LGA16200,9,5,0,0,10,402,212,0,10,624
LGA16260,297,44,0,9,349,4065,1105,55,46,5273
LGA16350,207,34,0,4,244,3120,958,28,53,4156
LGA16380,81,20,0,0,107,2029,794,28,24,2875
LGA16400,63,9,0,3,79,1275,426,20,23,1742
LGA16490,43,13,0,0,55,933,317,11,16,1281
LGA16550,139,21,0,0,167,2691,680,32,28,3435
LGA16610,21,3,0,0,24,477,197,8,10,693
LGA16650,114,5,0,3,122,1687,387,14,23,2112
LGA16700,132,20,3,4,163,2425,570,40,19,3059
LGA16900,47,11,0,0,56,972,351,11,18,1351
LGA16950,124,22,0,9,152,2438,981,36,66,3522
LGA17000,24,4,0,0,29,420,151,0,12,576
