SA2_MAINCODE_2016,HNFA_15_19_EWFT,HNFA_15_19_EWPT,HNFA_15_19_EAFW,HNFA_15_19_EHW_NS,HNFA_15_19_Tot,HNFA_20_24_EWFT,HNFA_20_24_EWPT,HNFA_20_24_EAFW,HNFA_20_24_EHW_NS,HNFA_20_24_Tot,HNFA_25_29_EWFT,HNFA_25_29_EWPT,HNFA_25_29_EAFW,HNFA_25_29_EHW_NS,HNFA_25_29_Tot,HNFA_30_34_EWFT,HNFA_30_34_EWPT,HNFA_30_34_EAFW,HNFA_30_34_EHW_NS,HNFA_30_34_Tot,HNFA_35_39_EWFT,HNFA_35_39_EWPT,HNFA_35_39_EAFW,HNFA_35_39_EHW_NS,HNFA_35_39_Tot,HNFA_40_44_EWFT,HNFA_40_44_EWPT,HNFA_40_44_EAFW,HNFA_40_44_EHW_NS,HNFA_40_44_Tot,HNFA_45_49_EWFT,HNFA_45_49_EWPT,HNFA_45_49_EAFW,HNFA_45_49_EHW_NS,HNFA_45_49_Tot,HNFA_50_54_EWFT,HNFA_50_54_EWPT,HNFA_50_54_EAFW,HNFA_50_54_EHW_NS,HNFA_50_54_Tot,HNFA_55_59_EWFT,HNFA_55_59_EWPT,HNFA_55_59_EAFW,HNFA_55_59_EHW_NS,HNFA_55_59_Tot,HNFA_60_64_EWFT,HNFA_60_64_EWPT,HNFA_60_64_EAFW,HNFA_60_64_EHW_NS,HNFA_60_64_Tot,HNFA_65_69_EWFT,HNFA_65_69_EWPT,HNFA_65_69_EAFW,HNFA_65_69_EHW_NS,HNFA_65_69_Tot,HNFA_70_74_EWFT,HNFA_70_74_EWPT,HNFA_70_74_EAFW,HNFA_70_74_EHW_NS,HNFA_70_74_Tot,HNFA_75ov_EWFT,HNFA_75ov_EWPT,HNFA_75ov_EAFW,HNFA_75ov_EHW_NS,HNFA_75ov_Tot,HNFA_Tot_EWFT,HNFA_Tot_EWPT,HNFA_Tot_EAFW,HNFA_Tot_EHW_NS,HNFA_Tot_Tot,DNHNFA_15_19_EWFT,DNHNFA_15_19_EWPT,DNHNFA_15_19_EAFW,DNHNFA_15_19_EHW_NS,DNHNFA_15_19_Tot,DNHNFA_20_24_EWFT,DNHNFA_20_24_EWPT,DNHNFA_20_24_EAFW,DNHNFA_20_24_EHW_NS,DNHNFA_20_24_Tot,DNHNFA_25_29_EWFT,DNHNFA_25_29_EWPT,DNHNFA_25_29_EAFW,DNHNFA_25_29_EHW_NS,DNHNFA_25_29_Tot,DNHNFA_30_34_EWFT,DNHNFA_30_34_EWPT,DNHNFA_30_34_EAFW,DNHNFA_30_34_EHW_NS,DNHNFA_30_34_Tot,DNHNFA_35_39_EWFT,DNHNFA_35_39_EWPT,DNHNFA_35_39_EAFW,DNHNFA_35_39_EHW_NS,DNHNFA_35_39_Tot,DNHNFA_40_44_EWFT,DNHNFA_40_44_EWPT,DNHNFA_40_44_EAFW,DNHNFA_40_44_EHW_NS,DNHNFA_40_44_Tot,DNHNFA_45_49_EWFT,DNHNFA_45_49_EWPT,DNHNFA_45_49_EAFW,DNHNFA_45_49_EHW_NS,DNHNFA_45_49_Tot,DNHNFA_50_54_EWFT,DNHNFA_50_54_EWPT,DNHNFA_50_54_EAFW,DNHNFA_50_54_EHW_NS,DNHNFA_50_54_Tot,DNHNFA_55_59_EWFT,DNHNFA_55_59_EWPT,DNHNFA_55_59_EAFW,DNHNFA_55_59_EHW_NS,DNHNFA_55_59_Tot,DNHNFA_60_64_EWFT,DNHNFA_60_64_EWPT,DNHNFA_60_64_EAFW,DNHNFA_60_64_EHW_NS,DNHNFA_60_64_Tot,DNHNFA_65_69_EWFT,DNHNFA_65_69_EWPT,DNHNFA_65_69_EAFW,DNHNFA_65_69_EHW_NS,DNHNFA_65_69_Tot,DNHNFA_70_74_EWFT,DNHNFA_70_74_EWPT,DNHNFA_70_74_EAFW,DNHNFA_70_74_EHW_NS,DNHNFA_70_74_Tot,DNHNFA_75ov_EWFT,DNHNFA_75ov_EWPT,DNHNFA_75ov_EAFW,DNHNFA_75ov_EHW_NS,DNHNFA_75ov_Tot,DNHNFA_Tot_EWFT,DNHNFA_Tot_EWPT,DNHNFA_Tot_EAFW,DNHNFA_Tot_EHW_NS,DNHNFA_Tot_Tot,NFANS_15_19_EWFT,NFANS_15_19_EWPT,NFANS_15_19_EAFW,NFANS_15_19_EHW_NS,NFANS_15_19_Tot,NFANS_20_24_EWFT,NFANS_20_24_EWPT,NFANS_20_24_EAFW,NFANS_20_24_EHW_NS,NFANS_20_24_Tot,NFANS_25_29_EWFT,NFANS_25_29_EWPT,NFANS_25_29_EAFW,NFANS_25_29_EHW_NS,NFANS_25_29_Tot,NFANS_30_34_EWFT,NFANS_30_34_EWPT,NFANS_30_34_EAFW,NFANS_30_34_EHW_NS,NFANS_30_34_Tot,NFANS_35_39_EWFT,NFANS_35_39_EWPT,NFANS_35_39_EAFW,NFANS_35_39_EHW_NS,NFANS_35_39_Tot,NFANS_40_44_EWFT,NFANS_40_44_EWPT,NFANS_40_44_EAFW,NFANS_40_44_EHW_NS,NFANS_40_44_Tot,NFANS_45_49_EWFT,NFANS_45_49_EWPT,NFANS_45_49_EAFW,NFANS_45_49_EHW_NS,NFANS_45_49_Tot,NFANS_50_54_EWFT,NFANS_50_54_EWPT,NFANS_50_54_EAFW,NFANS_50_54_EHW_NS,NFANS_50_54_Tot,NFANS_55_59_EWFT,NFANS_55_59_EWPT,NFANS_55_59_EAFW,NFANS_55_59_EHW_NS,NFANS_55_59_Tot,NFANS_60_64_EWFT,NFANS_60_64_EWPT,NFANS_60_64_EAFW,NFANS_60_64_EHW_NS,NFANS_60_64_Tot,NFANS_65_69_EWFT,NFANS_65_69_EWPT,NFANS_65_69_EAFW,NFANS_65_69_EHW_NS,NFANS_65_69_Tot,NFANS_70_74_EWFT,NFANS_70_74_EWPT,NFANS_70_74_EAFW,NFANS_70_74_EHW_NS,NFANS_70_74_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,5,4,0,13,11,29,3,4,45,25,10,0,3,47,36,10,0,0,49,34,15,3,3,59,23,15,3,0,49,65,35,5,3,106,72,47,6,6,131,65,46,3,4,113,85,54,10,3,150,56,39,3,3,100,40,34,0,0,81,12,29,0,0,50,18,20,3,3,49,551,387,38,31,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,14,12,52,0,0,72,34,30,0,0,67,38,24,3,0,65,33,17,3,3,57,42,8,3,0,48,55,27,3,0,90,65,36,0,0,99,51,29,0,0,86,50,40,6,0,97,21,28,6,0,57,9,11,0,0,22,3,6,0,0,8,0,4,0,0,4,415,323,24,10,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,0,3,0,0,3,0,0,0,0,3,0,6,0,0,7,0,6,0,0,7,4,0,0,0,5,0,0,0,0,0,7,0,3,0,7,0,8,0,0,8,6,3,0,0,14,6,3,0,0,10,0,4,0,0,6,0,4,0,0,4,0,0,0,0,0,20,37,5,3,67,92,267,10,8,377,307,216,18,15,553,415,153,17,12,593,371,164,34,13,575,378,135,15,4,536,378,190,22,6,593,400,132,13,14,559,359,121,21,7,503,272,149,10,4,439,191,123,15,3,335,67,63,7,0,135,11,19,3,0,34,12,9,0,0,26,3252,1743,183,87,5267,0,6,0,0,9,4,0,0,0,5,5,3,0,0,7,3,0,0,0,3,0,0,0,0,3,3,3,0,0,6,3,3,0,0,7,5,3,0,0,8,3,3,0,0,8,4,0,0,0,6,4,0,0,0,3,0,0,0,0,0
101021010,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,16,66,157,3,12,239,206,57,6,8,274,283,44,13,8,346,256,51,10,3,317,207,41,4,3,256,206,45,4,6,263,217,44,3,0,268,202,33,0,3,241,168,35,6,3,215,103,41,10,0,150,38,30,3,0,76,9,15,3,0,25,7,8,0,0,15,1976,594,71,49,2691,0,4,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
101021011,0,0,0,0,5,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,7,3,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,3,0,24,38,106,8,5,153,98,52,3,3,150,192,48,5,7,249,209,48,10,3,267,195,62,5,6,272,235,65,6,5,315,266,97,9,3,378,264,79,10,3,357,165,77,6,3,253,102,84,9,3,190,55,58,7,3,120,22,40,0,0,58,16,17,0,0,38,1848,827,90,48,2810,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,3,0,0,0,3,3,0,0,0,3,3,0,0,0,3,7,3,0,0,5,6,0,0,0,6,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
101021012,0,0,0,0,0,3,0,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,17,38,99,3,0,138,171,77,10,4,259,203,38,6,8,246,175,48,5,3,225,159,38,6,3,205,167,52,0,4,224,172,33,6,0,213,148,48,0,4,208,114,40,4,4,159,60,35,4,0,105,21,25,0,0,40,8,11,0,0,18,0,7,0,0,4,1428,542,46,30,2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,21,32,0,0,55,38,17,0,3,60,42,11,3,7,63,55,25,3,0,81,43,23,0,0,69,67,20,0,3,91,78,25,0,3,106,81,44,0,3,125,80,33,8,0,123,72,36,11,0,114,35,24,5,0,61,22,16,4,7,44,5,6,0,0,13,636,303,41,22,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,4,0,0,4,0,3,0,0,3,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,4,0,0,9,3,4,0,0,11,0,3,0,0,3,0,5,0,0,5,0,0,0,0,3,0,3,0,0,3,0,0,0,3,4,12,34,3,3,51,68,166,4,6,251,149,90,3,5,253,167,80,21,3,263,169,85,20,3,274,138,95,9,9,246,228,101,6,3,342,266,113,13,9,400,274,113,10,6,404,251,124,19,0,398,142,93,14,6,260,51,53,11,0,117,24,26,3,0,49,5,18,0,4,31,1934,1160,137,60,3293,0,4,0,0,4,0,0,0,0,0,0,3,0,0,5,5,0,0,0,7,0,3,0,0,7,5,5,0,0,11,4,3,0,0,5,8,0,0,0,8,3,3,0,0,5,0,0,0,0,4,0,3,0,0,4,0,3,0,0,3
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,5,6,0,0,13,5,15,0,0,20,19,4,0,0,24,27,9,0,0,32,20,10,3,0,40,25,10,0,3,37,56,11,3,0,68,51,25,3,3,80,61,27,5,0,93,43,25,4,3,73,25,29,0,0,63,36,20,0,0,54,27,17,0,3,45,31,9,3,0,38,428,211,23,11,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
101031016,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,16,12,3,0,35,129,146,12,11,300,540,228,0,22,788,470,148,3,13,638,272,81,9,7,368,223,87,6,7,328,287,99,8,6,404,279,108,4,16,401,306,82,7,6,406,228,102,8,11,353,126,85,15,4,230,62,50,5,5,122,32,30,0,3,67,14,10,4,3,30,2960,1261,86,114,4425,3,0,0,0,3,8,4,0,3,13,6,3,0,0,9,6,0,0,0,8,6,6,0,0,12,3,0,0,0,4,4,0,0,0,8,7,0,0,0,8,0,3,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0
