SA2_MAINCODE_2016,P_M1_Tram_Inc_LR_15_24,P_M1_Tram_Inc_LR_25_34,P_M1_Tram_Inc_LR_35_44,P_M1_Tram_Inc_LR_45_54,P_M1_Tram_Inc_LR_55_64,P_M1_Tram_Inc_LR_65_74,P_M1_Tram_Inc_LR_75ov,P_M1_Tram_Inc_LR_Tot,P_M1_Taxi_15_24,P_M1_Taxi_25_34,P_M1_Taxi_35_44,P_M1_Taxi_45_54,P_M1_Taxi_55_64,P_M1_Taxi_65_74,P_M1_Taxi_75ov,P_M1_Taxi_Tot,P_M1_CarAsDriv_15_24,P_M1_CarAsDriv_25_34,P_M1_CarAsDriv_35_44,P_M1_CarAsDriv_45_54,P_M1_CarAsDriv_55_64,P_M1_CarAsDriv_65_74,P_M1_CarAsDriv_75ov,P_M1_CarAsDriv_Tot,P_M1_CarAsPas_15_24,P_M1_CarAsPas_25_34,P_M1_CarAsPas_35_44,P_M1_CarAsPas_45_54,P_M1_CarAsPas_55_64,P_M1_CarAsPas_65_74,P_M1_CarAsPas_75ov,P_M1_CarAsPas_Tot,P_M1_Truck_15_24,P_M1_Truck_25_34,P_M1_Truck_35_44,P_M1_Truck_45_54,P_M1_Truck_55_64,P_M1_Truck_65_74,P_M1_Truck_75ov,P_M1_Truck_Tot,P_M1_MBikeScoot_15_24,P_M1_MBikeScoot_25_34,P_M1_MBikeScoot_35_44,P_M1_MBikeScoot_45_54,P_M1_MBikeScoot_55_64,P_M1_MBikeScoot_65_74,P_M1_MBikeScoot_75ov,P_M1_MBikeScoot_Tot,P_M1_Bicycle_15_24,P_M1_Bicycle_25_34,P_M1_Bicycle_35_44,P_M1_Bicycle_45_54,P_M1_Bicycle_55_64,P_M1_Bicycle_65_74,P_M1_Bicycle_75ov,P_M1_Bicycle_Tot,P_M1_Other_15_24,P_M1_Other_25_34,P_M1_Other_35_44,P_M1_Other_45_54,P_M1_Other_55_64,P_M1_Other_65_74,P_M1_Other_75ov,P_M1_Other_Tot,P_M1_WlkOnly_15_24,P_M1_WlkOnly_25_34,P_M1_WlkOnly_35_44,P_M1_WlkOnly_45_54,P_M1_WlkOnly_55_64,P_M1_WlkOnly_65_74,P_M1_WlkOnly_75ov,P_M1_WlkOnly_Tot,P_M1_Tot_M1_15_24,P_M1_Tot_M1_25_34,P_M1_Tot_M1_35_44,P_M1_Tot_M1_45_54,P_M1_Tot_M1_55_64,P_M1_Tot_M1_65_74,P_M1_Tot_M1_75ov,P_M1_Tot_M1_Tot,P_M2_TrnBus_15_24,P_M2_TrnBus_25_34,P_M2_TrnBus_35_44,P_M2_TrnBus_45_54,P_M2_TrnBus_55_64,P_M2_TrnBus_65_74,P_M2_TrnBus_75ov,P_M2_TrnBus_Tot,P_M2_TrnFer_15_24,P_M2_TrnFer_25_34,P_M2_TrnFer_35_44,P_M2_TrnFer_45_54,P_M2_TrnFer_55_64,P_M2_TrnFer_65_74,P_M2_TrnFer_75ov,P_M2_TrnFer_Tot,P_M2_TrnTrm_Inc_LR_15_24,P_M2_TrnTrm_Inc_LR_25_34,P_M2_TrnTrm_Inc_LR_35_44,P_M2_TrnTrm_Inc_LR_45_54,P_M2_TrnTrm_Inc_LR_55_64,P_M2_TrnTrm_Inc_LR_65_74,P_M2_TrnTrm_Inc_LR_75ov,P_M2_TrnTrm_Inc_LR_Tot,P_M2_TrnCarAsDriv_15_24,P_M2_TrnCarAsDriv_25_34,P_M2_TrnCarAsDriv_35_44,P_M2_TrnCarAsDriv_45_54,P_M2_TrnCarAsDriv_55_64,P_M2_TrnCarAsDriv_65_74,P_M2_TrnCarAsDriv_75ov,P_M2_TrnCarAsDriv_Tot,P_M2_TrnCarAsPas_15_24,P_M2_TrnCarAsPas_25_34,P_M2_TrnCarAsPas_35_44,P_M2_TrnCarAsPas_45_54,P_M2_TrnCarAsPas_55_64,P_M2_TrnCarAsPas_65_74,P_M2_TrnCarAsPas_75ov,P_M2_TrnCarAsPas_Tot,P_M2_TrnOth_15_24,P_M2_TrnOth_25_34,P_M2_TrnOth_35_44,P_M2_TrnOth_45_54,P_M2_TrnOth_55_64,P_M2_TrnOth_65_74,P_M2_TrnOth_75ov,P_M2_TrnOth_Tot,P_M2_Train_and_Tot_15_24,P_M2_Train_and_Tot_25_34,P_M2_Train_and_Tot_35_44,P_M2_Train_and_Tot_45_54,P_M2_Train_and_Tot_55_64,P_M2_Train_and_Tot_65_74,P_M2_Train_and_Tot_75ov,P_M2_Train_and_Tot_Tot,P_M2_BusFer_15_24,P_M2_BusFer_25_34,P_M2_BusFer_35_44,P_M2_BusFer_45_54,P_M2_BusFer_55_64,P_M2_BusFer_65_74,P_M2_BusFer_75ov,P_M2_BusFer_Tot,P_M2_BusTrm_Inc_LR_15_24,P_M2_BusTrm_Inc_LR_25_34,P_M2_BusTrm_Inc_LR_35_44,P_M2_BusTrm_Inc_LR_45_54,P_M2_BusTrm_Inc_LR_55_64,P_M2_BusTrm_Inc_LR_65_74,P_M2_BusTrm_Inc_LR_75ov,P_M2_BusTrm_Inc_LR_Tot,P_M2_BusCarAsDriv_15_24,P_M2_BusCarAsDriv_25_34,P_M2_BusCarAsDriv_35_44,P_M2_BusCarAsDriv_45_54,P_M2_BusCarAsDriv_55_64,P_M2_BusCarAsDriv_65_74,P_M2_BusCarAsDriv_75ov,P_M2_BusCarAsDriv_Tot,P_M2_BusCarAsPas_15_24,P_M2_BusCarAsPas_25_34,P_M2_BusCarAsPas_35_44,P_M2_BusCarAsPas_45_54,P_M2_BusCarAsPas_55_64,P_M2_BusCarAsPas_65_74,P_M2_BusCarAsPas_75ov,P_M2_BusCarAsPas_Tot,P_M2_BusOth_15_24,P_M2_BusOth_25_34,P_M2_BusOth_35_44,P_M2_BusOth_45_54,P_M2_BusOth_55_64,P_M2_BusOth_65_74,P_M2_BusOth_75ov,P_M2_BusOth_Tot,P_M2_BusTot_15_24,P_M2_BusTot_25_34,P_M2_BusTot_35_44,P_M2_BusTot_45_54,P_M2_BusTot_55_64,P_M2_BusTot_65_74,P_M2_BusTot_75ov,P_M2_BusTot_Tot,P_M2_Other_M2_15_24,P_M2_Other_M2_25_34,P_M2_Other_M2_35_44,P_M2_Other_M2_45_54,P_M2_Other_M2_55_64,P_M2_Other_M2_65_74,P_M2_Other_M2_75ov,P_M2_Other_M2_Tot,P_M2_Tot_M2_15_24,P_M2_Tot_M2_25_34,P_M2_Tot_M2_35_44,P_M2_Tot_M2_45_54,P_M2_Tot_M2_55_64,P_M2_Tot_M2_65_74,P_M2_Tot_M2_75ov,P_M2_Tot_M2_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,60,85,159,113,35,13,505,12,7,3,4,6,0,0,34,3,3,0,4,4,9,0,27,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,0,0,10,3,0,18,19,12,16,19,26,18,6,110,64,93,110,194,164,64,24,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,6
101021008,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,79,87,105,142,97,19,0,532,23,3,3,3,9,0,0,45,0,0,0,4,5,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,7,8,3,5,6,0,0,33,109,102,111,158,126,23,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3
101021009,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,15,590,823,865,848,612,130,16,3877,130,94,48,32,22,5,0,334,0,3,4,6,4,0,0,29,14,8,5,4,9,0,0,36,3,4,7,9,3,0,0,22,3,8,7,8,0,0,0,27,50,86,54,52,39,4,0,288,796,1047,997,973,692,147,13,4669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,11,6,7,0,0,0,26,14,9,10,7,3,0,0,39
101021010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,308,539,437,439,296,70,6,2092,96,29,31,16,11,3,0,179,7,11,16,12,4,3,0,51,4,5,3,0,3,0,0,17,0,7,0,3,0,0,0,15,0,0,3,3,0,3,0,11,14,13,4,8,14,0,0,60,427,607,497,476,337,82,9,2437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,3,0,0,11,7,4,0,0,3,0,0,12
101021011,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,181,388,412,477,231,50,9,1749,34,14,13,19,5,6,0,96,4,7,13,18,15,3,0,61,0,3,3,7,0,0,0,12,3,0,4,0,0,0,0,9,3,4,7,6,9,0,0,27,11,18,16,35,31,13,3,121,237,442,472,560,295,82,10,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,8,7,0,0,21,4,5,3,12,7,0,0,27
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,393,342,332,197,39,7,1576,46,22,8,6,6,0,0,86,0,11,8,4,11,3,0,38,0,6,0,0,0,0,0,3,0,0,3,0,0,0,0,6,3,0,4,7,3,0,0,20,8,3,7,6,12,0,0,33,340,435,373,361,227,43,7,1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,3,0,0,19,3,5,3,6,3,0,0,15
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,110,112,166,137,42,0,644,16,3,4,8,7,4,0,35,0,4,3,3,11,6,3,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,19,5,11,5,11,12,5,4,63,91,126,133,193,178,73,8,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,0,0,3,0,3,0,0,11
101031014,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,273,405,464,624,445,105,17,2332,93,27,21,31,32,4,3,204,0,3,0,7,8,6,3,25,0,4,3,4,3,0,0,12,4,4,4,3,9,0,0,23,3,3,5,0,4,3,0,17,41,32,29,51,48,4,4,212,418,479,526,731,538,127,21,2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,4,3,0,20,3,4,5,6,4,3,0,20
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,58,85,49,22,3,273,10,7,0,8,3,0,0,32,0,0,5,3,6,4,0,18,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,3,0,0,3,5,0,10,6,4,12,7,11,9,5,66,39,50,83,108,77,42,7,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
101031016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,387,418,416,486,304,78,4,2098,176,103,23,16,14,3,0,336,0,0,0,8,7,0,3,22,0,0,3,3,0,0,0,10,0,3,13,7,0,0,0,32,21,23,21,18,17,10,0,115,218,275,101,107,55,18,0,770,834,835,587,650,414,112,9,3441,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,19,11,13,6,0,0,100,35,7,0,0,0,0,0,44,0,0,0,0,0,0,0,0,94,31,9,13,7,4,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,5,14,8,10,9,3,0,0,43,112,41,14,16,17,4,0,201
