SA2_MAINCODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
699999499,69,5,7,223,321,20,167,30,18,544,338,19,223,7,17,609,459,24,254,13,19,771,660,43,358,14,26,1100,700,69,323,10,15,1124,787,84,371,3,20,1271,755,96,374,0,12,1243,458,71,237,3,13,777,269,82,169,5,4,525,133,24,91,0,4,251,151,41,71,7,3,280,84,22,42,0,6,158,116,15,41,0,7,186,5407,613,2815,126,170,9132
701011001,0,0,0,16,17,0,0,0,0,13,31,0,0,0,0,33,35,3,0,0,0,40,72,0,0,0,0,69,125,3,0,0,0,124,182,3,0,0,0,187,198,3,5,0,0,202,142,6,0,0,0,151,111,9,3,0,0,116,132,0,0,0,0,138,206,3,3,0,0,213,83,9,0,0,0,90,14,0,0,0,3,20,1365,32,17,3,6,1432
701011002,4,8,0,173,180,9,11,3,3,204,181,0,13,4,3,208,317,5,17,3,5,349,474,21,23,6,14,532,768,17,25,3,0,811,1133,24,43,5,12,1215,1699,30,47,13,15,1803,1396,32,26,6,6,1468,1385,45,21,0,13,1463,1091,18,16,0,6,1137,1913,69,39,0,5,2028,967,106,45,3,3,1129,142,4,4,5,14,166,11851,397,335,71,99,12751
701011003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,4,3,0,0,0,8,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,23,3,0,0,0,28
701011004,3,0,0,57,38,0,0,0,0,43,36,0,3,0,0,44,59,0,6,0,0,66,98,5,11,0,4,119,160,0,6,0,0,167,205,3,22,0,4,233,306,18,10,0,0,333,195,7,11,0,0,211,150,12,6,0,0,169,124,4,9,0,0,129,82,3,4,0,0,100,36,13,7,0,0,52,19,0,3,0,0,24,1579,76,94,11,14,1767
701011005,0,0,0,13,15,0,0,3,0,16,17,0,5,0,0,18,30,0,6,0,0,36,35,3,5,0,0,47,58,0,4,0,0,61,86,5,5,8,0,104,162,3,14,0,0,181,149,6,0,0,0,166,152,4,3,0,0,157,106,3,6,0,0,119,200,21,8,7,0,233,59,14,4,0,0,80,22,0,7,0,0,25,1106,59,63,23,3,1259
701011006,0,0,3,31,15,0,0,0,0,18,24,0,0,0,0,20,37,0,4,0,0,46,52,3,4,3,0,63,72,3,4,3,0,87,113,0,5,0,0,116,183,4,3,0,3,197,191,3,6,0,0,197,172,8,0,0,0,183,109,3,0,0,0,118,177,0,0,0,0,182,54,3,0,0,0,56,19,0,0,0,0,23,1253,26,33,9,12,1337
701011007,0,0,0,36,17,0,3,0,0,17,25,0,6,4,0,30,55,0,0,0,3,64,54,4,10,0,0,74,99,9,4,0,0,109,155,4,9,3,0,169,151,15,15,0,3,181,130,12,5,0,3,150,103,12,5,0,0,127,85,13,5,0,0,108,115,14,12,0,0,134,43,19,8,0,0,68,17,3,0,0,3,21,1092,103,84,17,19,1312
701011008,0,0,0,24,20,0,0,0,0,24,31,5,3,0,0,33,51,4,3,0,0,62,61,3,4,0,3,76,85,12,3,0,3,111,131,5,8,0,3,152,181,8,9,0,3,199,102,5,8,0,0,115,95,10,10,0,0,110,54,9,5,0,0,72,57,14,3,0,0,74,34,29,3,3,0,64,15,0,0,0,3,19,933,96,65,8,20,1124
701011009,4,0,0,31,48,3,3,6,0,56,75,0,13,3,0,87,108,0,5,5,0,124,243,16,21,0,3,277,467,15,13,5,8,502,797,26,23,3,6,859,1047,42,30,4,11,1134,780,46,21,3,10,863,609,113,13,0,3,740,418,55,16,0,3,492,642,96,24,3,3,770,222,77,16,0,3,317,94,4,4,0,6,118,5604,497,210,46,55,6410
701021010,0,0,0,4,11,0,0,0,0,9,8,0,3,0,0,8,7,0,0,0,0,11,7,3,4,0,0,14,17,0,3,0,0,19,18,0,4,0,0,24,20,0,10,0,0,30,25,3,0,0,0,32,21,3,0,0,0,20,20,0,0,0,0,21,20,0,0,0,0,22,0,0,0,0,0,3,0,4,0,0,0,4,183,17,29,3,0,233
701021011,0,0,0,0,4,0,4,0,0,5,3,0,0,0,0,5,10,0,3,0,0,8,12,0,8,0,0,17,10,3,5,0,0,17,14,0,3,0,0,15,19,0,7,0,0,22,8,0,3,0,0,14,12,3,0,0,0,14,8,4,0,0,0,13,11,0,5,0,0,16,0,0,0,0,0,8,0,0,0,0,0,0,104,16,43,3,8,168
701021012,0,0,0,28,40,0,4,7,0,49,57,0,4,4,0,64,88,0,3,0,0,92,182,5,8,0,7,207,275,4,14,0,6,302,521,22,19,0,7,569,786,26,12,3,4,827,577,27,16,0,3,628,538,39,9,3,9,597,374,25,12,0,0,414,637,39,9,0,3,689,208,39,8,0,3,259,58,0,0,0,7,64,4390,241,116,18,48,4816
701021013,0,0,0,245,213,0,5,0,0,220,205,3,3,0,3,219,224,0,0,0,0,222,309,3,11,0,4,332,373,4,21,3,5,410,495,13,9,0,3,528,584,8,10,0,4,611,490,16,8,0,5,519,387,9,9,0,0,406,362,4,6,0,0,375,478,16,13,0,3,509,144,14,22,0,0,171,76,3,4,0,6,88,4608,103,115,15,43,4882
