SA2_MAINCODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
101021007,5,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,23,6,3,47,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,4,6,0,0,25,8,3,0,4,3,23,531,88,258,137,35,1048
101021008,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,20,0,3,0,0,25,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,16,0,5,0,0,22,13,0,0,0,0,17,626,50,93,13,13,794
101021009,83,0,0,0,0,87,8,0,0,0,0,6,6,3,0,0,0,7,17,0,0,0,0,20,29,0,0,0,0,31,16,0,3,0,0,19,7,0,0,0,0,7,129,8,3,0,0,148,27,0,0,0,0,27,17,3,7,0,0,25,19,0,0,0,0,19,242,14,14,0,0,272,60,9,0,0,3,72,4767,295,257,49,36,5407
101021010,41,0,0,0,0,41,4,0,0,0,0,7,4,0,0,0,0,4,5,0,3,0,0,15,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,59,12,13,0,0,78,3,0,0,0,0,4,13,0,0,0,0,13,0,0,0,0,0,0,94,11,5,3,0,115,23,0,0,0,3,27,2296,259,124,33,20,2735
101021011,8,0,0,0,0,4,4,0,0,0,0,4,3,0,4,0,0,10,15,5,0,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,99,19,25,6,0,148,17,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,53,9,9,9,0,82,33,5,7,8,3,52,1923,368,414,139,31,2873
101021012,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,13,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,58,12,10,0,0,81,9,0,0,0,0,11,3,0,0,0,0,3,3,0,0,0,0,3,66,16,13,0,0,93,13,3,7,0,0,24,1553,302,191,22,12,2086
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,22,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,23,4,7,3,0,30,704,72,146,79,19,1023
101031014,7,0,0,0,0,7,5,0,0,0,0,9,3,0,0,0,0,3,11,0,5,0,0,12,14,0,0,0,0,14,6,0,3,0,0,5,3,0,0,0,0,3,104,0,10,0,3,114,4,0,0,0,0,8,3,0,3,0,0,6,4,0,0,0,0,4,58,4,10,0,0,74,67,9,11,3,3,96,2821,196,286,65,35,3403
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,18,6,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,16,6,0,0,12,0,21,291,74,196,115,21,695
101031016,6,0,0,0,0,11,5,0,3,0,0,10,3,0,0,0,0,3,14,0,0,0,0,16,0,0,0,0,0,0,22,0,0,3,0,21,4,3,0,0,0,5,144,20,23,7,0,207,29,0,0,0,0,33,0,0,0,0,0,0,3,0,3,0,0,6,123,15,7,5,0,152,84,5,16,5,0,111,3648,304,416,123,43,4538
101041017,10,0,0,0,0,10,3,0,0,0,0,4,0,0,0,0,0,0,14,3,0,0,0,20,0,0,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,112,11,11,0,4,143,12,0,0,0,0,10,0,0,4,0,0,11,3,0,0,0,0,3,39,5,4,3,0,58,68,13,10,0,3,93,3424,283,371,65,64,4206
