SA2_MAINCODE_2016,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_Turkey_E,F_Turkey_OM_IE,F_Turkey_OM_UIE,F_Turkey_CFW,F_Turkey_ES_NS,F_Turkey_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Zimbabwe_E,F_Zimbabwe_OM_IE,F_Zimbabwe_OM_UIE,F_Zimbabwe_CFW,F_Zimbabwe_ES_NS,F_Zimbabwe_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_FYROM_E,P_FYROM_OM_IE,P_FYROM_OM_UIE,P_FYROM_CFW,P_FYROM_ES_NS,P_FYROM_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Malta_E,P_Malta_OM_IE,P_Malta_OM_UIE,P_Malta_CFW,P_Malta_ES_NS,P_Malta_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,13,4,0,0,0,3,15,295,27,104,69,10,509,465,77,213,117,27,894,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,4,7,3,0,18,0,0,0,0,0,0
101021008,0,0,6,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,4,0,0,0,0,11,364,12,48,3,6,430,522,40,75,9,11,646,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,7,3,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0
101021009,0,12,7,0,3,0,0,18,0,0,0,0,0,0,70,3,3,0,0,74,16,0,0,0,0,16,13,3,4,0,0,19,7,0,0,0,0,7,133,8,0,0,0,143,35,3,0,0,3,42,2674,73,99,23,20,2889,3608,206,182,28,20,4045,11,0,0,0,0,15,37,16,9,0,0,62,8,3,0,0,0,11,3,0,0,0,0,3,23,3,0,0,0,24,31,4,0,0,0,32,28,0,0,3,0,32,5,3,3,0,0,12,7,0,0,0,0,6,185,9,7,0,6,215,9,0,0,0,0,9,7,0,0,0,0,10,3,0,0,0,0,5,6,3,0,0,0,12,9,0,0,0,0,14,4,0,0,0,0,3,10,3,0,0,0,16,3,0,0,0,0,3,18,6,3,0,0,23,3,0,0,0,0,6,7,0,0,0,0,7,85,3,0,0,0,89,26,0,3,0,0,29
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,19,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,14,3,0,0,0,24,11,0,0,0,3,13,594,53,26,17,13,707,1810,205,94,28,16,2155,0,0,0,0,0,0,26,5,6,0,0,35,3,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,14,3,0,0,0,17,5,4,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,3,71,4,0,0,0,75,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,16,12,3,0,0,0,18,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,3,8,0,0,0,0,8,0,0,0,0,0,3,3,0,0,0,0,3,50,11,0,0,0,58,13,0,0,0,0,13
101021011,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,7,12,4,0,57,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,26,14,3,3,5,0,23,697,126,173,72,5,1073,1579,300,330,107,23,2336,4,0,0,0,0,8,3,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,9,0,0,3,0,0,10,0,0,0,0,0,0,6,0,0,0,0,4,20,9,0,0,0,31,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,12,8,4,3,0,0,12,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,8,3,0,0,0,0,3,9,3,0,4,0,13,35,10,11,4,0,57,7,0,0,0,0,7
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,4,0,0,30,3,0,0,0,0,6,514,60,78,12,4,674,1246,246,146,18,11,1672,3,0,0,0,0,3,11,3,4,0,0,20,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,5,8,0,3,0,0,11,7,0,3,0,0,13,0,0,0,0,0,0,3,0,0,0,0,3,31,5,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,4,0,4,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,30,6,6,0,0,38,5,0,0,0,0,5
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,15,3,3,3,0,17,344,31,48,36,7,466,634,60,132,76,21,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,6,0,0,0,0,0,0
101031014,0,0,5,0,3,0,0,7,0,0,0,0,0,0,60,0,3,0,3,63,3,0,0,0,0,7,3,0,0,0,0,4,0,0,0,0,0,0,35,0,3,0,0,37,42,3,6,0,0,54,1581,80,107,35,18,1822,2395,172,231,50,29,2874,3,0,0,0,0,3,7,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,10,4,3,0,0,19,0,0,0,0,0,0,6,0,0,0,0,5,13,0,0,0,0,13,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,12,0,3,0,0,15,56,5,0,0,0,66,0,0,0,0,0,4
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,7,6,0,0,3,0,10,119,32,62,51,3,266,252,67,166,85,13,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,3,5,3,0,15,0,0,0,0,0,0
101031016,0,0,14,0,0,3,0,19,0,0,0,0,0,3,63,3,15,3,0,94,9,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,73,7,8,3,0,85,38,3,7,3,0,51,1739,122,176,59,17,2123,3017,250,340,103,35,3740,29,0,3,0,0,33,16,0,0,0,0,16,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0,20,0,0,0,0,0,0,23,0,0,0,0,21,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,13,3,0,0,0,0,11,6,3,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,4,3,0,0,0,11,70,3,6,0,0,79,0,0,0,0,0,0
