SA2_MAINCODE_2016,HQ_NNI_Mng,HQ_NNI_Pro,HQ_NNI_TecTW,HQ_NNI_CoPSW,HQ_NNI_ClAW,HQ_NNI_SWks,HQ_NNI_MaOpDv,HQ_NNI_Lab,HQ_NNI_IDNS,HQ_NNI_Tot,HQ_1_149_Mng,HQ_1_149_Pro,HQ_1_149_TecTW,HQ_1_149_CoPSW,HQ_1_149_ClAW,HQ_1_149_SWks,HQ_1_149_MaOpDv,HQ_1_149_Lab,HQ_1_149_IDNS,HQ_1_149_Tot,HQ_150_299_Mng,HQ_150_299_Pro,HQ_150_299_TecTW,HQ_150_299_CoPSW,HQ_150_299_ClAW,HQ_150_299_SWks,HQ_150_299_MaOpDv,HQ_150_299_Lab,HQ_150_299_IDNS,HQ_150_299_Tot,HQ_300_399_Mng,HQ_300_399_Pro,HQ_300_399_TecTW,HQ_300_399_CoPSW,HQ_300_399_ClAW,HQ_300_399_SWks,HQ_300_399_MaOpDv,HQ_300_399_Lab,HQ_300_399_IDNS,HQ_300_399_Tot,HQ_400_499_Mng,HQ_400_499_Pro,HQ_400_499_TecTW,HQ_400_499_CoPSW,HQ_400_499_ClAW,HQ_400_499_SWks,HQ_400_499_MaOpDv,HQ_400_499_Lab,HQ_400_499_IDNS,HQ_400_499_Tot,HQ_500_649_Mng,HQ_500_649_Pro,HQ_500_649_TecTW,HQ_500_649_CoPSW,HQ_500_649_ClAW,HQ_500_649_SWks,HQ_500_649_MaOpDv,HQ_500_649_Lab,HQ_500_649_IDNS,HQ_500_649_Tot,HQ_650_799_Mng,HQ_650_799_Pro,HQ_650_799_TecTW,HQ_650_799_CoPSW,HQ_650_799_ClAW,HQ_650_799_SWks,HQ_650_799_MaOpDv,HQ_650_799_Lab,HQ_650_799_IDNS,HQ_650_799_Tot,HQ_800_999_Mng,HQ_800_999_Pro,HQ_800_999_TecTW,HQ_800_999_CoPSW,HQ_800_999_ClAW,HQ_800_999_SWks,HQ_800_999_MaOpDv,HQ_800_999_Lab,HQ_800_999_IDNS,HQ_800_999_Tot,HQ_1000_1249_Mng,HQ_1000_1249_Pro,HQ_1000_1249_TecTW,HQ_1000_1249_CoPSW,HQ_1000_1249_ClAW,HQ_1000_1249_SWks,HQ_1000_1249_MaOpDv,HQ_1000_1249_Lab,HQ_1000_1249_IDNS,HQ_1000_1249_Tot,HQ_1250_1499_Mng,HQ_1250_1499_Pro,HQ_1250_1499_TecTW,HQ_1250_1499_CoPSW,HQ_1250_1499_ClAW,HQ_1250_1499_SWks,HQ_1250_1499_MaOpDv,HQ_1250_1499_Lab,HQ_1250_1499_IDNS,HQ_1250_1499_Tot,HQ_1500_1749_Mng,HQ_1500_1749_Pro,HQ_1500_1749_TecTW,HQ_1500_1749_CoPSW,HQ_1500_1749_ClAW,HQ_1500_1749_SWks,HQ_1500_1749_MaOpDv,HQ_1500_1749_Lab,HQ_1500_1749_IDNS,HQ_1500_1749_Tot,HQ_1750_1999_Mng,HQ_1750_1999_Pro,HQ_1750_1999_TecTW,HQ_1750_1999_CoPSW,HQ_1750_1999_ClAW,HQ_1750_1999_SWks,HQ_1750_1999_MaOpDv,HQ_1750_1999_Lab,HQ_1750_1999_IDNS,HQ_1750_1999_Tot,HQ_2000_2999_Mng,HQ_2000_2999_Pro,HQ_2000_2999_TecTW,HQ_2000_2999_CoPSW,HQ_2000_2999_ClAW,HQ_2000_2999_SWks,HQ_2000_2999_MaOpDv,HQ_2000_2999_Lab,HQ_2000_2999_IDNS,HQ_2000_2999_Tot,HQ_3000mo_Mng,HQ_3000mo_Pro,HQ_3000mo_TecTW,HQ_3000mo_CoPSW,HQ_3000mo_ClAW,HQ_3000mo_SWks,HQ_3000mo_MaOpDv,HQ_3000mo_Lab,HQ_3000mo_IDNS,HQ_3000mo_Tot,HQ_PINS_Mng,HQ_PINS_Pro,HQ_PINS_TecTW,HQ_PINS_CoPSW,HQ_PINS_ClAW,HQ_PINS_SWks,HQ_PINS_MaOpDv,HQ_PINS_Lab,HQ_PINS_IDNS,HQ_PINS_Tot,HQ_Tot_Mng,HQ_Tot_Pro,HQ_Tot_TecTW,HQ_Tot_CoPSW,HQ_Tot_ClAW,HQ_Tot_SWks,HQ_Tot_MaOpDv,HQ_Tot_Lab,HQ_Tot_IDNS,HQ_Tot_Tot,CL_nfd_NNI_Mng,CL_nfd_NNI_Pro,CL_nfd_NNI_TecTW,CL_nfd_NNI_CoPSW,CL_nfd_NNI_ClAW,CL_nfd_NNI_SWks,CL_nfd_NNI_MaOpDv,CL_nfd_NNI_Lab,CL_nfd_NNI_IDNS,CL_nfd_NNI_Tot,CL_nfd_1_149_Mng,CL_nfd_1_149_Pro,CL_nfd_1_149_TecTW,CL_nfd_1_149_CoPSW,CL_nfd_1_149_ClAW,CL_nfd_1_149_SWks,CL_nfd_1_149_MaOpDv,CL_nfd_1_149_Lab,CL_nfd_1_149_IDNS,CL_nfd_1_149_Tot,CL_nfd_150_299_Mng,CL_nfd_150_299_Pro,CL_nfd_150_299_TecTW,CL_nfd_150_299_CoPSW,CL_nfd_150_299_ClAW,CL_nfd_150_299_SWks,CL_nfd_150_299_MaOpDv,CL_nfd_150_299_Lab,CL_nfd_150_299_IDNS,CL_nfd_150_299_Tot,CL_nfd_300_399_Mng,CL_nfd_300_399_Pro,CL_nfd_300_399_TecTW,CL_nfd_300_399_CoPSW,CL_nfd_300_399_ClAW,CL_nfd_300_399_SWks,CL_nfd_300_399_MaOpDv,CL_nfd_300_399_Lab,CL_nfd_300_399_IDNS,CL_nfd_300_399_Tot
101021007,5,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,9,6,10,0,5,0,3,0,0,0,19,4,4,9,0,0,3,0,3,3,23,4,3,7,0,3,4,0,4,0,28,12,9,0,3,0,4,3,0,0,38,4,5,0,7,3,3,0,0,0,24,5,18,5,6,4,0,0,0,0,44,11,25,3,0,9,0,0,0,0,47,10,19,0,0,8,0,0,0,0,30,5,13,3,0,3,0,0,0,0,30,3,14,0,0,3,0,0,0,0,23,12,17,0,4,0,0,0,0,0,35,3,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,100,146,28,27,27,17,3,16,3,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,12,0,6,0,5,0,0,0,0,0,16,0,4,0,3,0,3,0,0,0,12,0,10,5,8,6,0,0,0,0,27,0,9,0,6,5,0,0,0,0,23,0,19,0,3,3,0,0,0,0,41,3,35,0,3,0,0,0,0,0,45,0,31,0,4,0,0,0,0,0,38,0,45,0,3,0,0,0,0,0,51,11,28,0,0,0,0,0,0,0,40,0,3,0,3,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,19,196,11,50,19,11,0,0,3,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
101021009,0,3,3,0,0,0,0,0,0,10,0,3,0,3,3,3,0,3,0,19,0,10,3,16,3,3,0,3,0,34,0,14,3,13,6,10,0,4,0,56,3,6,3,28,11,13,3,9,0,84,3,27,10,21,17,15,3,4,0,103,10,42,12,44,24,25,3,11,0,182,16,68,15,49,40,17,3,11,5,231,26,103,21,40,56,16,3,10,3,277,15,140,7,22,35,8,0,3,3,232,20,140,10,31,27,6,3,0,4,239,25,131,3,29,19,5,0,0,3,214,106,139,13,43,26,8,0,0,0,334,43,58,5,0,0,0,0,0,0,106,0,9,0,0,3,0,0,0,5,16,270,900,117,351,275,115,26,65,34,2142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,6,0,0,0,0,3,0,0,3,0,5,0,0,0,3,0,7,4,3,0,17,3,5,0,0,0,6,3,0,0,18,0,9,0,0,9,3,4,4,0,31,6,9,5,4,9,10,7,3,0,58,4,14,8,0,14,9,6,6,3,71,11,24,24,7,11,5,11,0,0,96,13,25,17,0,14,5,3,4,0,80,5,20,8,0,0,8,0,0,0,45,12,16,3,3,6,0,0,0,0,43,29,16,4,0,5,0,4,0,0,60,16,6,0,0,0,3,0,0,0,26,3,0,0,0,0,0,0,0,0,4,115,145,71,21,71,55,41,34,6,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0
101021011,8,0,0,0,3,0,0,0,0,13,7,12,0,0,0,0,0,3,0,21,4,10,4,7,0,0,0,0,0,33,11,7,3,9,7,0,0,0,0,35,7,7,0,0,3,5,0,3,3,34,7,12,4,8,13,4,0,3,0,55,6,15,11,11,4,3,0,10,0,53,22,26,8,10,16,3,0,3,0,92,25,33,12,8,9,0,3,4,4,88,20,37,7,9,9,0,5,3,0,89,25,43,10,7,16,0,0,0,4,109,35,34,3,5,3,0,0,0,0,85,152,76,15,13,7,0,0,0,7,276,98,48,0,3,4,0,0,0,0,164,0,0,0,3,0,0,0,0,0,6,442,362,79,99,97,30,4,27,20,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,6,3,0,0,3,0,16,0,9,0,0,3,6,0,0,0,16,4,8,3,4,4,0,0,0,0,19,0,6,0,7,5,3,0,3,0,27,3,5,0,7,7,9,3,3,0,41,3,13,5,15,7,4,3,3,0,52,11,29,13,8,11,0,0,0,0,72,0,24,3,0,11,0,0,0,0,45,16,29,8,0,4,0,0,0,0,62,6,24,6,0,4,0,0,0,0,33,19,21,8,0,3,0,0,0,0,53,13,18,0,0,0,0,0,0,4,41,0,0,0,0,3,0,0,0,0,4,80,194,49,60,62,26,7,12,5,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
101031013,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,9,0,4,0,3,0,0,0,0,0,7,3,3,0,3,0,0,0,0,0,11,3,9,0,4,5,0,0,0,0,27,11,9,0,3,3,0,0,0,0,27,8,17,0,4,3,0,0,0,0,33,12,19,0,0,3,0,0,3,0,34,8,9,0,3,0,0,0,0,0,19,9,15,0,0,0,0,0,0,0,28,17,6,0,0,0,0,0,0,0,25,9,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,85,94,3,26,17,6,3,9,4,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,11,0,3,0,3,0,0,0,0,0,12,7,6,0,3,4,0,0,6,0,27,3,5,0,4,7,3,0,0,3,27,8,7,3,9,7,3,0,3,0,37,4,28,3,16,11,5,0,8,0,69,7,25,9,19,20,9,0,3,0,95,12,45,6,18,19,15,0,4,0,117,13,66,3,12,18,4,4,0,3,122,14,78,7,4,12,0,0,0,0,112,13,74,0,15,4,0,0,0,0,115,9,85,4,11,4,3,0,0,0,121,42,70,12,10,5,0,0,0,0,140,28,26,3,4,3,3,0,0,0,75,5,5,0,0,0,0,0,0,0,11,163,544,49,125,116,50,11,28,8,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
101031015,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,12,3,0,3,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,8,3,4,0,3,0,0,0,4,0,17,3,3,0,0,0,0,0,0,0,9,11,4,0,0,0,0,0,3,0,18,8,0,0,3,3,0,0,0,0,22,9,0,0,0,3,0,0,0,0,11,13,0,0,0,0,0,0,0,0,15,3,3,0,0,0,0,0,0,0,10,8,3,0,0,0,0,0,0,0,16,11,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,83,26,7,7,16,4,0,14,3,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
101031016,5,0,0,6,0,0,0,0,0,10,3,3,0,4,0,4,0,4,0,17,3,5,0,13,3,0,0,5,0,29,7,7,7,15,4,4,3,13,0,57,15,10,8,22,5,9,3,18,0,90,17,22,6,53,18,11,8,33,0,161,18,30,9,57,16,20,8,29,0,183,29,34,6,52,27,19,7,11,7,190,33,47,10,34,27,6,0,9,0,172,23,46,6,20,13,0,0,0,0,109,22,36,3,10,6,8,0,3,0,86,22,44,0,9,3,3,0,0,0,87,38,35,4,10,7,3,0,0,0,96,26,10,3,0,0,4,0,0,0,41,3,5,0,4,0,4,5,0,0,14,266,318,63,302,131,92,38,124,14,1354,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,5,0,0,0,3,0,0,0,3,0,12
