SA2_MAINCODE_2016,Pro_650_799_A_25_34,Pro_650_799_A_35_44,Pro_650_799_A_45_54,Pro_650_799_A_55_64,Pro_650_799_A_65_74,Pro_650_799_A_75ov,Pro_650_799_Tot,Pro_800_999_A_15_19,Pro_800_999_A_20_24,Pro_800_999_A_25_34,Pro_800_999_A_35_44,Pro_800_999_A_45_54,Pro_800_999_A_55_64,Pro_800_999_A_65_74,Pro_800_999_A_75ov,Pro_800_999_Tot,Pro_1000_1249_A_15_19,Pro_1000_1249_A_20_24,Pro_1000_1249_A_25_34,Pro_1000_1249_A_35_44,Pro_1000_1249_A_45_54,Pro_1000_1249_A_55_64,Pro_1000_1249_A_65_74,Pro_1000_1249_A_75ov,Pro_1000_1249_Tot,Pro_1250_1499_A_15_19,Pro_1250_1499_A_20_24,Pro_1250_1499_A_25_34,Pro_1250_1499_A_35_44,Pro_1250_1499_A_45_54,Pro_1250_1499_A_55_64,Pro_1250_1499_A_65_74,Pro_1250_1499_A_75ov,Pro_1250_1499_Tot,Pro_1500_1749_A_15_19,Pro_1500_1749_A_20_24,Pro_1500_1749_A_25_34,Pro_1500_1749_A_35_44,Pro_1500_1749_A_45_54,Pro_1500_1749_A_55_64,Pro_1500_1749_A_65_74,Pro_1500_1749_A_75ov,Pro_1500_1749_Tot,Pro_1750_1999_A_15_19,Pro_1750_1999_A_20_24,Pro_1750_1999_A_25_34,Pro_1750_1999_A_35_44,Pro_1750_1999_A_45_54,Pro_1750_1999_A_55_64,Pro_1750_1999_A_65_74,Pro_1750_1999_A_75ov,Pro_1750_1999_Tot,Pro_2000_2999_A_15_19,Pro_2000_2999_A_20_24,Pro_2000_2999_A_25_34,Pro_2000_2999_A_35_44,Pro_2000_2999_A_45_54,Pro_2000_2999_A_55_64,Pro_2000_2999_A_65_74,Pro_2000_2999_A_75ov,Pro_2000_2999_Tot,Pro_3000mo_A_15_19,Pro_3000mo_A_20_24,Pro_3000mo_A_25_34,Pro_3000mo_A_35_44,Pro_3000mo_A_45_54,Pro_3000mo_A_55_64,Pro_3000mo_A_65_74,Pro_3000mo_A_75ov,Pro_3000mo_Tot,Pro_PINS_A_15_19,Pro_PINS_A_20_24,Pro_PINS_A_25_34,Pro_PINS_A_35_44,Pro_PINS_A_45_54,Pro_PINS_A_55_64,Pro_PINS_A_65_74,Pro_PINS_A_75ov,Pro_PINS_Tot,Pro_Tot_A_15_19,Pro_Tot_A_20_24,Pro_Tot_A_25_34,Pro_Tot_A_35_44,Pro_Tot_A_45_54,Pro_Tot_A_55_64,Pro_Tot_A_65_74,Pro_Tot_A_75ov,Pro_Tot_Tot,TaTW_NNI_A_15_19,TaTW_NNI_A_20_24,TaTW_NNI_A_25_34,TaTW_NNI_A_35_44,TaTW_NNI_A_45_54,TaTW_NNI_A_55_64,TaTW_NNI_A_65_74,TaTW_NNI_A_75ov,TaTW_NNI_Tot,TaTW_1_149_A_15_19,TaTW_1_149_A_20_24,TaTW_1_149_A_25_34,TaTW_1_149_A_35_44,TaTW_1_149_A_45_54,TaTW_1_149_A_55_64,TaTW_1_149_A_65_74,TaTW_1_149_A_75ov,TaTW_1_149_Tot,TaTW_150_299_A_15_19,TaTW_150_299_A_20_24,TaTW_150_299_A_25_34,TaTW_150_299_A_35_44,TaTW_150_299_A_45_54,TaTW_150_299_A_55_64,TaTW_150_299_A_65_74,TaTW_150_299_A_75ov,TaTW_150_299_Tot,TaTW_300_399_A_15_19,TaTW_300_399_A_20_24,TaTW_300_399_A_25_34,TaTW_300_399_A_35_44,TaTW_300_399_A_45_54,TaTW_300_399_A_55_64,TaTW_300_399_A_65_74,TaTW_300_399_A_75ov,TaTW_300_399_Tot,TaTW_400_499_A_15_19,TaTW_400_499_A_20_24,TaTW_400_499_A_25_34,TaTW_400_499_A_35_44,TaTW_400_499_A_45_54,TaTW_400_499_A_55_64,TaTW_400_499_A_65_74,TaTW_400_499_A_75ov,TaTW_400_499_Tot,TaTW_500_649_A_15_19,TaTW_500_649_A_20_24,TaTW_500_649_A_25_34,TaTW_500_649_A_35_44,TaTW_500_649_A_45_54,TaTW_500_649_A_55_64,TaTW_500_649_A_65_74,TaTW_500_649_A_75ov,TaTW_500_649_Tot,TaTW_650_799_A_15_19,TaTW_650_799_A_20_24,TaTW_650_799_A_25_34,TaTW_650_799_A_35_44,TaTW_650_799_A_45_54,TaTW_650_799_A_55_64,TaTW_650_799_A_65_74,TaTW_650_799_A_75ov,TaTW_650_799_Tot,TaTW_800_999_A_15_19,TaTW_800_999_A_20_24,TaTW_800_999_A_25_34,TaTW_800_999_A_35_44,TaTW_800_999_A_45_54,TaTW_800_999_A_55_64,TaTW_800_999_A_65_74,TaTW_800_999_A_75ov,TaTW_800_999_Tot,TaTW_1000_1249_A_15_19,TaTW_1000_1249_A_20_24,TaTW_1000_1249_A_25_34,TaTW_1000_1249_A_35_44,TaTW_1000_1249_A_45_54,TaTW_1000_1249_A_55_64,TaTW_1000_1249_A_65_74,TaTW_1000_1249_A_75ov,TaTW_1000_1249_Tot,TaTW_1250_1499_A_15_19,TaTW_1250_1499_A_20_24,TaTW_1250_1499_A_25_34,TaTW_1250_1499_A_35_44,TaTW_1250_1499_A_45_54,TaTW_1250_1499_A_55_64,TaTW_1250_1499_A_65_74,TaTW_1250_1499_A_75ov,TaTW_1250_1499_Tot,TaTW_1500_1749_A_15_19,TaTW_1500_1749_A_20_24,TaTW_1500_1749_A_25_34,TaTW_1500_1749_A_35_44,TaTW_1500_1749_A_45_54,TaTW_1500_1749_A_55_64,TaTW_1500_1749_A_65_74,TaTW_1500_1749_A_75ov,TaTW_1500_1749_Tot,TaTW_1750_1999_A_15_19,TaTW_1750_1999_A_20_24,TaTW_1750_1999_A_25_34,TaTW_1750_1999_A_35_44,TaTW_1750_1999_A_45_54,TaTW_1750_1999_A_55_64,TaTW_1750_1999_A_65_74,TaTW_1750_1999_A_75ov,TaTW_1750_1999_Tot,TaTW_2000_2999_A_15_19,TaTW_2000_2999_A_20_24,TaTW_2000_2999_A_25_34,TaTW_2000_2999_A_35_44
101021007,0,0,3,3,3,0,11,0,0,0,3,9,3,5,0,20,0,7,3,3,7,6,3,0,27,0,0,3,7,3,0,3,0,19,0,0,0,5,0,8,0,0,15,0,0,0,3,7,3,0,0,20,0,0,3,6,4,3,3,0,20,0,0,0,0,0,3,3,3,9,0,0,0,0,0,0,0,0,0,0,8,19,26,42,44,20,6,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4,3,0,0,0,0,3,0,0,14,3,0,0,3,5,10,0,0,17,0,0,0,5,3,0,0,0,12,0,0,0,5,0,3,0,0,11,0,4,3,7,0,3,0,0,11,0,0,7,0,3,0,0,0,18,0,0,3,4,0,0,0,0,12,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0
101021008,3,0,3,3,0,0,9,0,3,3,3,0,0,0,0,14,0,3,5,5,3,3,3,0,22,0,0,16,7,3,9,0,0,35,0,0,3,8,4,9,0,0,31,0,0,0,8,10,23,3,0,46,0,0,4,6,11,12,0,0,29,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,5,4,7,31,44,50,68,12,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,4,3,0,0,0,0,13,0,4,3,3,0,0,0,0,20,0,3,0,0,3,3,0,0,13,0,3,3,0,3,0,0,0,7,0,0,12,5,0,3,0,0,18,0,0,3,0,0,0,0,0,7,0,0,0,3,6,0,0,0,6,0,0,0,0
101021009,13,9,18,14,3,3,62,0,4,23,20,18,18,7,0,88,0,10,36,34,26,11,3,0,127,0,7,64,32,24,20,3,0,153,0,7,41,36,37,37,8,0,162,0,0,24,31,38,50,3,0,142,0,0,15,44,47,40,3,0,149,0,0,3,16,21,11,7,0,61,0,0,3,7,0,0,3,0,11,6,49,227,263,242,209,52,7,1057,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,7,0,3,4,5,3,0,0,0,12,6,3,3,3,3,0,0,0,11,15,5,3,9,3,3,0,0,38,14,11,7,9,8,0,0,0,59,8,33,13,9,11,9,0,0,81,0,21,29,27,23,6,8,4,114,0,11,50,21,19,17,0,0,130,0,4,23,18,6,8,3,0,64,0,0,15,17,18,7,3,0,68,0,0,12,8,6,0,3,0,31,0,0,20,15
101021010,3,0,0,0,0,0,9,0,0,4,0,4,0,3,0,15,0,6,15,5,0,0,0,0,31,0,5,12,6,4,4,0,0,29,0,0,6,8,0,0,3,0,22,0,0,0,7,10,3,0,0,21,0,0,3,9,5,5,4,0,20,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,13,61,39,26,26,15,3,178,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,4,3,0,19,9,4,7,4,5,0,0,0,30,10,18,9,0,0,5,0,0,43,6,25,25,3,5,3,0,0,71,4,18,32,33,19,11,4,0,121,0,22,55,36,28,17,3,0,156,0,9,49,18,20,11,0,0,112,0,6,25,27,19,12,0,0,84,0,0,15,11,7,4,3,0,42,0,0,6,11
101021011,0,5,0,3,6,0,20,0,0,11,5,6,9,3,0,31,0,3,12,7,10,11,0,0,42,0,3,11,12,5,8,0,0,41,0,0,13,11,14,7,4,0,56,0,0,9,12,15,10,0,0,41,0,0,12,24,30,10,10,0,92,0,0,7,21,18,7,5,0,52,0,0,0,0,0,0,0,0,0,0,6,80,107,119,85,34,4,443,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,7,0,0,5,4,4,0,0,21,3,3,0,0,6,3,3,0,22,10,0,0,0,0,0,6,0,23,11,6,8,0,6,9,0,0,38,3,6,12,7,9,5,5,0,39,0,6,19,12,6,3,0,0,52,0,6,22,20,22,14,3,0,84,0,6,11,16,3,8,5,0,52,0,0,20,9,17,4,3,0,50,0,0,9,4,8,0,0,0,18,0,0,5,10
101021012,3,3,0,0,0,0,5,0,5,4,0,3,4,0,0,16,0,0,10,12,9,8,4,0,40,0,4,9,11,8,3,0,0,33,0,0,10,8,0,10,0,0,31,0,0,5,12,9,3,0,0,28,0,0,3,8,13,5,0,0,30,0,0,3,5,5,4,0,0,24,0,0,0,0,0,0,0,0,0,10,21,58,64,51,47,12,0,255,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,5,11,7,0,3,3,3,0,0,31,9,13,0,6,5,3,0,0,42,3,21,8,3,7,3,0,0,49,0,22,23,9,17,12,0,0,79,0,11,29,23,14,6,0,0,95,0,13,42,25,10,9,0,0,104,0,3,26,13,24,3,3,0,73,0,4,17,12,14,3,0,0,48,0,0,9,12
101031013,7,0,0,6,0,0,10,0,0,0,3,3,0,0,0,14,0,0,8,0,4,3,0,0,16,0,0,0,7,3,5,0,0,23,0,0,3,3,3,5,0,0,15,0,0,0,4,6,8,3,0,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,3,26,18,24,32,5,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,3,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,5,0,0,0,3,0,4,0,0,10,3,0,0,0,8,3,0,0,12,6,3,7,0,4,3,3,0,20,0,3,4,3,0,0,0,0,12,0,0,0,3,0,0,0,0,13,0,0,0,3,0,7,0,0,6,0,0,0,0,0,0,0,0,5,0,0,3,0
101031014,13,11,3,8,3,0,44,0,8,16,10,8,16,5,0,62,0,10,22,11,13,18,0,0,79,0,5,21,16,27,14,7,0,97,0,3,15,15,22,19,3,0,88,0,0,6,21,29,23,8,0,90,0,0,13,28,19,16,0,0,78,0,0,7,5,12,8,0,0,31,0,0,3,3,0,0,0,0,13,4,31,141,135,164,142,30,6,658,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,13,8,0,0,0,0,0,0,0,12,6,4,3,0,8,4,5,0,41,6,8,12,7,11,6,3,0,54,0,18,8,11,9,5,3,0,51,0,8,22,12,14,9,5,0,73,0,3,19,4,17,6,0,0,52,0,4,8,3,9,4,0,0,32,0,0,4,6,7,0,0,0,20,0,0,4,3,3,0,0,0,15,0,0,5,6
101031015,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,4,9,10,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,8,0,0,0,0,5,0,0,0,3,0,0,0,0,3,3,0,0,5,0,0,0,0,3,0,0,0,8,0,0,4,4,0,7,0,0,14,0,0,4,4,4,0,0,0,18,0,0,3,3,3,0,0,0,11,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,3
101031016,3,11,4,9,0,0,31,0,8,8,14,12,5,0,0,43,0,3,22,19,10,11,0,0,60,0,0,17,19,13,11,0,0,52,0,0,7,12,14,8,0,0,40,0,0,5,17,17,10,0,0,53,0,0,3,17,13,4,0,0,42,0,0,0,3,7,0,0,0,10,0,0,3,0,0,0,0,0,3,3,17,83,121,94,65,16,0,390,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,13,0,3,0,0,0,0,0,0,5,3,7,9,3,5,6,0,0,32,6,17,3,0,6,3,0,0,33,3,19,16,4,10,5,0,0,60,3,27,31,17,14,10,0,0,104,5,30,46,15,15,6,0,0,112,0,11,35,29,13,17,3,0,108,0,0,17,24,13,3,0,0,53,0,3,7,14,10,0,0,0,45,0,0,3,8,5,3,0,0,20,0,0,4,7
