SA2_MAINCODE_2016,AGFF_Bf_91,AGFF_91_95,AGFF_96_00,AGFF_01_05,AGFF_06_10,AGFF_11_15,AGFF_2016,AGFF_NS,AGFF_Tot,Min_Bf_91,Min_91_95,Min_96_00,Min_01_05,Min_06_10,Min_11_15,Min_2016,Min_NS,Min_Tot,Mnf_Bf_91,Mnf_91_95,Mnf_96_00,Mnf_01_05,Mnf_06_10,Mnf_11_15,Mnf_2016,Mnf_NS,Mnf_Tot,EGWWS_Bf_91,EGWWS_91_95,EGWWS_96_00,EGWWS_01_05,EGWWS_06_10,EGWWS_11_15,EGWWS_2016,EGWWS_NS,EGWWS_Tot,Const_Bf_91,Const_91_95,Const_96_00,Const_01_05,Const_06_10,Const_11_15,Const_2016,Const_NS,Const_Tot,WST_Bf_91,WST_91_95,WST_96_00,WST_01_05,WST_06_10,WST_11_15,WST_2016,WST_NS,WST_Tot,RetT_Bf_91,RetT_91_95,RetT_96_00,RetT_01_05,RetT_06_10,RetT_11_15,RetT_2016,RetT_NS,RetT_Tot,AcFd_Bf_91,AcFd_91_95,AcFd_96_00,AcFd_01_05,AcFd_06_10,AcFd_11_15,AcFd_2016,AcFd_NS,AcFd_Tot,TPW_Bf_91,TPW_91_95,TPW_96_00,TPW_01_05,TPW_06_10,TPW_11_15,TPW_2016,TPW_NS,TPW_Tot,IMT_Bf_91,IMT_91_95,IMT_96_00,IMT_01_05,IMT_06_10,IMT_11_15,IMT_2016,IMT_NS,IMT_Tot,FinIns_Bf_91,FinIns_91_95,FinIns_96_00,FinIns_01_05,FinIns_06_10,FinIns_11_15,FinIns_2016,FinIns_NS,FinIns_Tot,RHRE_Bf_91,RHRE_91_95,RHRE_96_00,RHRE_01_05,RHRE_06_10,RHRE_11_15,RHRE_2016,RHRE_NS,RHRE_Tot,ProSTS_Bf_91,ProSTS_91_95,ProSTS_96_00,ProSTS_01_05,ProSTS_06_10,ProSTS_11_15,ProSTS_2016,ProSTS_NS,ProSTS_Tot,AdSup_Bf_91,AdSup_91_95,AdSup_96_00,AdSup_01_05,AdSup_06_10,AdSup_11_15,AdSup_2016,AdSup_NS,AdSup_Tot,PubAS_Bf_91,PubAS_91_95,PubAS_96_00,PubAS_01_05,PubAS_06_10,PubAS_11_15,PubAS_2016,PubAS_NS,PubAS_Tot,EducTraining_Bf_91,EducTraining_91_95,EducTraining_96_00,EducTraining_01_05,EducTraining_06_10,EducTraining_11_15,EducTraining_2016,EducTraining_NS,EducTraining_Tot,HlthCareSocAssist_Bf_91,HlthCareSocAssist_91_95,HlthCareSocAssist_96_00,HlthCareSocAssist_01_05,HlthCareSocAssist_06_10,HlthCareSocAssist_11_15,HlthCareSocAssist_2016,HlthCareSocAssist_NS,HlthCareSocAssist_Tot,ArtsRecreation_Bf_91,ArtsRecreation_91_95,ArtsRecreation_96_00,ArtsRecreation_01_05,ArtsRecreation_06_10,ArtsRecreation_11_15,ArtsRecreation_2016,ArtsRecreation_NS,ArtsRecreation_Tot,OthServices_Bf_91,OthServices_91_95,OthServices_96_00,OthServices_01_05,OthServices_06_10,OthServices_11_15,OthServices_2016,OthServices_NS,OthServices_Tot,ID_NS_Bf_91,ID_NS_91_95,ID_NS_96_00,ID_NS_01_05,ID_NS_06_10,ID_NS_11_15,ID_NS_2016,ID_NS_NS,ID_NS_Tot,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_2016,Tot_NS,Tot_Tot
101021007,17,0,0,0,0,3,0,0,24,0,0,0,0,0,0,0,0,0,7,0,0,0,3,5,0,0,20,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,14,7,0,0,0,7,0,0,0,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,6,3,0,0,0,0,4,0,0,9,88,10,7,9,15,19,0,4,138
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,10,6,0,0,0,0,3,0,0,9,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,3,0,0,0,0,3,0,0,10,7,0,0,0,0,0,0,0,8,27,3,0,5,0,0,0,0,33,12,0,3,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,7,68,5,13,14,16,11,4,3,121
101021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,5,4,0,0,27,3,0,0,0,3,0,0,0,7,23,7,4,9,27,6,0,0,76,6,0,0,0,0,0,0,0,12,22,3,11,23,49,31,3,3,145,18,7,3,9,46,41,0,4,133,14,3,0,3,9,4,0,0,39,3,0,0,0,0,3,0,0,5,3,0,3,0,6,6,0,0,20,9,0,0,3,0,4,0,0,13,20,0,5,12,6,3,0,3,54,8,3,4,0,6,11,0,0,36,71,20,19,24,30,7,0,3,179,24,0,3,4,6,10,0,3,48,84,18,18,37,109,90,5,9,373,3,0,0,0,4,3,0,0,8,16,5,0,8,19,9,0,0,60,15,3,5,3,11,10,0,0,51,366,73,91,133,335,243,13,26,1288
101021010,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,41,0,11,6,19,24,0,3,110,3,0,0,0,0,0,0,0,7,44,3,7,3,20,19,0,6,106,6,3,0,0,5,5,0,0,23,13,0,0,7,11,9,0,0,41,8,0,0,6,28,14,0,4,70,26,3,3,4,14,6,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,13,0,0,4,15,3,0,0,29,7,0,0,0,3,0,0,0,13,4,0,4,3,6,0,0,0,18,9,0,0,0,0,0,0,0,8,4,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,3,8,0,0,0,9,4,3,0,27,17,0,0,0,8,7,0,0,34,204,18,27,35,137,114,13,15,562
101021011,29,4,0,0,0,3,0,0,37,3,0,0,0,0,0,0,0,9,4,0,0,3,0,0,0,0,9,4,0,0,0,0,4,0,0,15,36,0,9,3,9,12,0,3,71,0,0,0,0,0,0,0,0,0,15,0,0,3,3,3,0,0,30,7,0,5,0,13,8,3,0,42,9,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,3,26,3,3,6,0,0,0,3,40,12,3,0,3,0,0,0,0,20,58,3,8,14,9,12,0,0,103,14,0,0,3,0,4,0,0,21,7,0,0,3,8,0,0,0,17,11,0,0,0,0,0,0,0,12,4,3,0,3,0,0,0,0,14,11,0,3,4,3,0,0,0,22,252,19,38,49,55,53,7,13,490
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,3,6,9,9,0,3,57,4,0,0,0,4,0,0,0,7,33,9,6,12,6,13,0,0,74,0,0,0,0,6,3,0,0,9,10,3,6,3,9,7,0,0,38,5,0,3,0,3,0,0,0,10,16,0,0,0,9,0,0,0,25,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,17,3,0,0,5,3,0,0,29,3,0,0,0,3,0,0,0,7,3,0,0,3,0,0,0,0,9,10,0,3,0,0,9,0,0,21,10,3,3,0,3,11,0,0,38,0,0,0,0,0,0,0,0,0,7,0,0,0,11,6,0,0,22,12,0,3,0,8,3,0,0,30,157,25,26,32,77,73,3,7,394
101031013,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,44,4,0,6,11,12,0,4,81
101031014,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,4,0,4,7,0,3,27,18,6,3,8,4,0,0,0,40,10,0,0,0,0,3,0,0,12,4,0,0,0,0,0,0,0,4,26,3,4,3,5,7,0,0,56,19,3,5,8,3,8,0,3,50,6,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,7,14,0,4,0,0,6,0,0,17,5,0,0,0,0,0,0,0,5,26,0,3,0,0,0,0,0,35,28,4,0,4,0,0,0,0,41,41,9,4,5,13,3,0,0,82,3,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,15,6,0,0,3,4,0,0,3,16,232,32,28,39,49,35,0,22,431
101031015,19,3,4,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,11,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,67,3,4,4,3,7,0,4,91
101031016,8,0,0,0,0,0,0,0,15,3,0,3,0,0,0,0,0,8,6,0,0,3,0,3,0,0,18,3,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,8,4,0,0,0,0,0,0,0,6,19,0,4,3,7,3,0,5,38,68,14,16,16,37,83,17,20,267,14,0,0,0,0,3,0,0,19,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3,5,0,0,0,0,4,4,3,20,7,0,0,3,4,0,0,0,16,4,0,3,0,0,19,0,7,39,8,0,0,0,3,0,0,0,14,18,3,4,0,3,8,3,0,38,13,3,0,3,4,3,0,3,27,35,4,9,0,14,16,7,13,100,8,0,3,0,3,0,0,0,14,7,0,0,0,4,3,0,3,19,241,37,46,41,80,156,36,49,688
101041017,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,19,3,0,3,4,6,0,0,34,4,0,0,0,0,0,0,0,3,52,0,11,3,5,3,0,0,78,34,5,3,11,12,12,0,3,81,15,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,9,9,0,0,0,0,0,0,0,11,6,4,0,3,0,0,0,0,12,35,0,0,4,0,0,0,6,41,14,0,0,0,0,0,0,0,17,34,6,8,4,11,11,0,8,83,0,0,0,0,0,0,0,0,0,13,3,4,0,0,3,0,0,25,9,0,0,0,3,5,0,0,12,255,27,30,37,40,39,4,25,454
