SA2_MAINCODE_2016,EAFW_18_TechFEI_NS,EAFW_18_TechFEI_Tot,EAFW_18_UniOTIs_FT,EAFW_18_UniOTIs_PT,EAFW_18_UniOTIs_NS,EAFW_18_UniOTIs_Tot,EAFW_18_Other,EAFW_18_NS,EAFW_18_Tot,EAFW_19_TechFEI_FT,EAFW_19_TechFEI_PT,EAFW_19_TechFEI_NS,EAFW_19_TechFEI_Tot,EAFW_19_UniOTIs_FT,EAFW_19_UniOTIs_PT,EAFW_19_UniOTIs_NS,EAFW_19_UniOTIs_Tot,EAFW_19_Other,EAFW_19_NS,EAFW_19_Tot,EAFW_20_24_TechFEI_FT,EAFW_20_24_TechFEI_PT,EAFW_20_24_TechFEI_NS,EAFW_20_24_TechFEI_Tot,EAFW_20_24_UniOTIs_FT,EAFW_20_24_UniOTIs_PT,EAFW_20_24_UniOTIs_NS,EAFW_20_24_UniOTIs_Tot,EAFW_20_24_Other,EAFW_20_24_NS,EAFW_20_24_Tot,EAFW_25_29_TechFEI_FT,EAFW_25_29_TechFEI_PT,EAFW_25_29_TechFEI_NS,EAFW_25_29_TechFEI_Tot,EAFW_25_29_UniOTIs_FT,EAFW_25_29_UniOTIs_PT,EAFW_25_29_UniOTIs_NS,EAFW_25_29_UniOTIs_Tot,EAFW_25_29_Other,EAFW_25_29_NS,EAFW_25_29_Tot,EAFW_30over_TechFEI_FT,EAFW_30over_TechFEI_PT,EAFW_30over_TechFEI_NS,EAFW_30over_TechFEI_Tot,EAFW_30over_UniOTIs_FT,EAFW_30over_UniOTIs_PT,EAFW_30over_UniOTIs_NS,EAFW_30over_UniOTIs_Tot,EAFW_30over_Other,EAFW_30over_NS,EAFW_30over_Tot,EAFW_Tot_TechFEI_FT,EAFW_Tot_TechFEI_PT,EAFW_Tot_TechFEI_NS,EAFW_Tot_TechFEI_Tot,EAFW_Tot_UniOTIs_FT,EAFW_Tot_UniOTIs_PT,EAFW_Tot_UniOTIs_NS,EAFW_Tot_UniOTIs_Tot,EAFW_Tot_Other,EAFW_Tot_NS,EAFW_Tot_Tot,Tot_16_TechFEI_FT,Tot_16_TechFEI_PT,Tot_16_TechFEI_NS,Tot_16_TechFEI_Tot,Tot_16_UniOTIs_FT,Tot_16_UniOTIs_PT,Tot_16_UniOTIs_NS,Tot_16_UniOTIs_Tot,Tot_16_Other,Tot_16_NS,Tot_16_Tot,Tot_17_TechFEI_FT,Tot_17_TechFEI_PT,Tot_17_TechFEI_NS,Tot_17_TechFEI_Tot,Tot_17_UniOTIs_FT,Tot_17_UniOTIs_PT,Tot_17_UniOTIs_NS,Tot_17_UniOTIs_Tot,Tot_17_Other,Tot_17_NS,Tot_17_Tot,Tot_18_TechFEI_FT,Tot_18_TechFEI_PT,Tot_18_TechFEI_NS,Tot_18_TechFEI_Tot,Tot_18_UniOTIs_FT,Tot_18_UniOTIs_PT,Tot_18_UniOTIs_NS,Tot_18_UniOTIs_Tot,Tot_18_Other,Tot_18_NS,Tot_18_Tot,Tot_19_TechFEI_FT,Tot_19_TechFEI_PT,Tot_19_TechFEI_NS,Tot_19_TechFEI_Tot,Tot_19_UniOTIs_FT,Tot_19_UniOTIs_PT,Tot_19_UniOTIs_NS,Tot_19_UniOTIs_Tot,Tot_19_Other,Tot_19_NS,Tot_19_Tot,Tot_20_24_TechFEI_FT,Tot_20_24_TechFEI_PT,Tot_20_24_TechFEI_NS,Tot_20_24_TechFEI_Tot,Tot_20_24_UniOTIs_FT,Tot_20_24_UniOTIs_PT,Tot_20_24_UniOTIs_NS,Tot_20_24_UniOTIs_Tot,Tot_20_24_Other,Tot_20_24_NS,Tot_20_24_Tot,Tot_25_29_TechFEI_FT,Tot_25_29_TechFEI_PT,Tot_25_29_TechFEI_NS,Tot_25_29_TechFEI_Tot,Tot_25_29_UniOTIs_FT,Tot_25_29_UniOTIs_PT,Tot_25_29_UniOTIs_NS,Tot_25_29_UniOTIs_Tot,Tot_25_29_Other,Tot_25_29_NS,Tot_25_29_Tot,Tot_30over_TechFEI_FT,Tot_30over_TechFEI_PT,Tot_30over_TechFEI_NS,Tot_30over_TechFEI_Tot,Tot_30over_UniOTIs_FT,Tot_30over_UniOTIs_PT,Tot_30over_UniOTIs_NS,Tot_30over_UniOTIs_Tot,Tot_30over_Other,Tot_30over_NS,Tot_30over_Tot,Tot_Tot_TechFEI_FT,Tot_Tot_TechFEI_PT,Tot_Tot_TechFEI_NS,Tot_Tot_TechFEI_Tot,Tot_Tot_UniOTIs_FT,Tot_Tot_UniOTIs_PT,Tot_Tot_UniOTIs_NS,Tot_Tot_UniOTIs_Tot,Tot_Tot_Other,Tot_Tot_NS,Tot_Tot_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,6,7,0,3,0,3,0,0,0,0,3,0,4,0,3,0,3,0,0,0,0,11,0,8,0,3,0,3,0,0,0,0,3,0,8,0,3,0,3,0,0,0,0,0,0,6,3,0,0,5,3,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,0,4,0,13,0,12,3,10,0,13,5,19,52,4,30,0,35,6,14,0,22,21,19,94
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,3,0,0,3,3,0,9,0,7,0,3,6,0,0,5,4,0,15,0,6,0,7,13,0,0,14,0,0,27,0,0,0,0,0,3,0,5,0,0,6,0,3,0,3,6,10,0,19,0,9,32,4,20,0,24,32,14,0,45,34,8,111
101021009,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,11,8,0,14,0,0,19,0,0,0,0,0,0,0,3,0,0,3,0,3,0,4,0,8,0,8,0,3,14,0,3,0,6,15,11,0,28,15,3,45,0,0,0,3,0,0,0,0,52,0,55,0,3,0,4,0,0,0,0,70,0,77,5,10,0,9,25,0,0,22,25,0,63,3,20,0,26,30,3,0,33,0,3,63,16,41,0,56,106,41,0,146,9,3,212,6,27,0,33,22,30,0,54,4,4,93,16,68,3,85,27,103,0,134,28,32,279,49,159,3,209,214,176,0,394,192,51,845
101021010,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,5,3,3,0,3,0,0,0,5,4,4,18,0,0,0,0,0,0,0,0,44,0,47,0,3,0,3,0,0,0,0,44,0,50,0,7,0,7,9,0,0,9,10,0,25,3,14,0,13,15,0,0,15,0,0,23,9,34,0,42,30,5,0,34,6,0,79,0,13,0,14,9,12,0,20,3,0,40,3,32,0,33,6,16,0,27,11,13,85,18,101,0,117,63,35,0,99,116,20,350
101021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,0,0,5,0,7,0,7,0,5,0,5,10,0,23,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,26,0,33,0,5,0,5,5,0,0,5,18,0,32,5,14,0,14,8,0,0,8,0,0,21,4,8,0,12,20,9,0,28,0,3,44,0,13,0,12,3,24,0,32,3,3,50,3,25,0,31,7,83,0,93,17,21,168,11,60,0,73,46,125,0,168,99,33,378
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,20,0,18,0,3,0,3,0,0,0,0,22,0,20,0,5,0,5,10,0,0,10,11,0,28,0,9,0,14,18,3,0,19,0,0,28,4,37,0,42,29,14,0,41,0,3,92,6,22,0,25,4,7,0,14,4,0,39,3,26,0,31,3,9,0,18,15,6,67,8,100,0,110,62,33,0,94,64,9,285
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,3,0,3,3,0,0,7,0,0,0,0,3,0,5,0,4,0,4,0,0,0,0,0,0,3,0,10,0,10,3,3,0,3,3,3,16,0,6,0,6,0,3,0,3,0,0,10,0,8,0,8,0,11,0,11,3,10,42,3,25,0,29,3,19,0,25,23,18,87
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,3,0,3,0,0,3,0,3,0,3,0,3,0,3,0,0,12,0,3,0,3,0,7,0,7,7,3,19,0,4,0,4,0,0,0,0,39,0,44,0,5,0,5,0,0,0,0,35,3,44,0,9,0,7,0,0,0,0,14,3,30,0,11,0,11,4,0,0,7,3,0,19,3,19,0,22,16,14,0,30,4,4,55,0,11,0,14,0,10,0,10,3,3,39,5,62,0,70,9,60,0,66,14,38,183,11,116,0,126,27,86,0,112,109,52,409
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,3,0,3,0,3,0,3,0,7,0,9,11,0,7,0,7,3,3,0,5,3,9,25
101031016,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,0,4,0,0,0,0,3,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,6,5,0,11,7,6,24,0,0,0,0,0,0,0,0,27,0,26,0,0,0,0,0,0,0,0,22,0,24,0,0,0,3,3,0,0,9,9,0,16,0,7,0,7,13,9,0,20,0,3,28,0,30,0,34,48,27,0,75,7,11,119,0,25,0,27,16,25,0,35,9,6,82,0,51,0,55,5,46,0,53,12,33,154,7,116,0,125,84,99,0,186,88,48,447
