SA2_MAINCODE_2016,Lab_1000_1249_H_0,Lab_1000_1249_H_1_15,Lab_1000_1249_H_16_24,Lab_1000_1249_H_25_34,Lab_1000_1249_H_35_39,Lab_1000_1249_H_40,Lab_1000_1249_H_41_48,Lab_1000_1249_H_49mo,Lab_1000_1249_H_NS,Lab_1000_1249_H_Tot,Lab_1250_1499_H_0,Lab_1250_1499_H_1_15,Lab_1250_1499_H_16_24,Lab_1250_1499_H_25_34,Lab_1250_1499_H_35_39,Lab_1250_1499_H_40,Lab_1250_1499_H_41_48,Lab_1250_1499_H_49mo,Lab_1250_1499_H_NS,Lab_1250_1499_H_Tot,Lab_1500_1749_H_0,Lab_1500_1749_H_1_15,Lab_1500_1749_H_16_24,Lab_1500_1749_H_25_34,Lab_1500_1749_H_35_39,Lab_1500_1749_H_40,Lab_1500_1749_H_41_48,Lab_1500_1749_H_49mo,Lab_1500_1749_H_NS,Lab_1500_1749_H_Tot,Lab_1750_1999_H_0,Lab_1750_1999_H_1_15,Lab_1750_1999_H_16_24,Lab_1750_1999_H_25_34,Lab_1750_1999_H_35_39,Lab_1750_1999_H_40,Lab_1750_1999_H_41_48,Lab_1750_1999_H_49mo,Lab_1750_1999_H_NS,Lab_1750_1999_H_Tot,Lab_2000_2999_H_0,Lab_2000_2999_H_1_15,Lab_2000_2999_H_16_24,Lab_2000_2999_H_25_34,Lab_2000_2999_H_35_39,Lab_2000_2999_H_40,Lab_2000_2999_H_41_48,Lab_2000_2999_H_49mo,Lab_2000_2999_H_NS,Lab_2000_2999_H_Tot,Lab_3000mo_H_0,Lab_3000mo_H_1_15,Lab_3000mo_H_16_24,Lab_3000mo_H_25_34,Lab_3000mo_H_35_39,Lab_3000mo_H_40,Lab_3000mo_H_41_48,Lab_3000mo_H_49mo,Lab_3000mo_H_NS,Lab_3000mo_H_Tot,Lab_PINS_H_0,Lab_PINS_H_1_15,Lab_PINS_H_16_24,Lab_PINS_H_25_34,Lab_PINS_H_35_39,Lab_PINS_H_40,Lab_PINS_H_41_48,Lab_PINS_H_49mo,Lab_PINS_H_NS,Lab_PINS_H_Tot,Lab_Tot_H_0,Lab_Tot_H_1_15,Lab_Tot_H_16_24,Lab_Tot_H_25_34,Lab_Tot_H_35_39,Lab_Tot_H_40,Lab_Tot_H_41_48,Lab_Tot_H_49mo,Lab_Tot_H_NS,Lab_Tot_H_Tot,OIDNS_NNI_H_0,OIDNS_NNI_H_1_15,OIDNS_NNI_H_16_24,OIDNS_NNI_H_25_34,OIDNS_NNI_H_35_39,OIDNS_NNI_H_40,OIDNS_NNI_H_41_48,OIDNS_NNI_H_49mo,OIDNS_NNI_H_NS,OIDNS_NNI_H_Tot,OIDNS_1_149_H_0,OIDNS_1_149_H_1_15,OIDNS_1_149_H_16_24,OIDNS_1_149_H_25_34,OIDNS_1_149_H_35_39,OIDNS_1_149_H_40,OIDNS_1_149_H_41_48,OIDNS_1_149_H_49mo,OIDNS_1_149_H_NS,OIDNS_1_149_H_Tot,OIDNS_150_299_H_0,OIDNS_150_299_H_1_15,OIDNS_150_299_H_16_24,OIDNS_150_299_H_25_34,OIDNS_150_299_H_35_39,OIDNS_150_299_H_40,OIDNS_150_299_H_41_48,OIDNS_150_299_H_49mo,OIDNS_150_299_H_NS,OIDNS_150_299_H_Tot,OIDNS_300_399_H_0,OIDNS_300_399_H_1_15,OIDNS_300_399_H_16_24,OIDNS_300_399_H_25_34,OIDNS_300_399_H_35_39,OIDNS_300_399_H_40,OIDNS_300_399_H_41_48,OIDNS_300_399_H_49mo,OIDNS_300_399_H_NS,OIDNS_300_399_H_Tot,OIDNS_400_499_H_0,OIDNS_400_499_H_1_15,OIDNS_400_499_H_16_24,OIDNS_400_499_H_25_34,OIDNS_400_499_H_35_39,OIDNS_400_499_H_40,OIDNS_400_499_H_41_48,OIDNS_400_499_H_49mo,OIDNS_400_499_H_NS,OIDNS_400_499_H_Tot,OIDNS_500_649_H_0,OIDNS_500_649_H_1_15,OIDNS_500_649_H_16_24,OIDNS_500_649_H_25_34,OIDNS_500_649_H_35_39,OIDNS_500_649_H_40,OIDNS_500_649_H_41_48,OIDNS_500_649_H_49mo,OIDNS_500_649_H_NS,OIDNS_500_649_H_Tot,OIDNS_650_799_H_0,OIDNS_650_799_H_1_15,OIDNS_650_799_H_16_24,OIDNS_650_799_H_25_34,OIDNS_650_799_H_35_39,OIDNS_650_799_H_40,OIDNS_650_799_H_41_48,OIDNS_650_799_H_49mo,OIDNS_650_799_H_NS,OIDNS_650_799_H_Tot,OIDNS_800_999_H_0,OIDNS_800_999_H_1_15,OIDNS_800_999_H_16_24,OIDNS_800_999_H_25_34,OIDNS_800_999_H_35_39,OIDNS_800_999_H_40,OIDNS_800_999_H_41_48,OIDNS_800_999_H_49mo,OIDNS_800_999_H_NS,OIDNS_800_999_H_Tot,OIDNS_1000_1249_H_0,OIDNS_1000_1249_H_1_15,OIDNS_1000_1249_H_16_24,OIDNS_1000_1249_H_25_34,OIDNS_1000_1249_H_35_39,OIDNS_1000_1249_H_40,OIDNS_1000_1249_H_41_48,OIDNS_1000_1249_H_49mo,OIDNS_1000_1249_H_NS,OIDNS_1000_1249_H_Tot,OIDNS_1250_1499_H_0,OIDNS_1250_1499_H_1_15,OIDNS_1250_1499_H_16_24,OIDNS_1250_1499_H_25_34,OIDNS_1250_1499_H_35_39,OIDNS_1250_1499_H_40,OIDNS_1250_1499_H_41_48,OIDNS_1250_1499_H_49mo,OIDNS_1250_1499_H_NS,OIDNS_1250_1499_H_Tot,OIDNS_1500_1749_H_0,OIDNS_1500_1749_H_1_15,OIDNS_1500_1749_H_16_24,OIDNS_1500_1749_H_25_34,OIDNS_1500_1749_H_35_39,OIDNS_1500_1749_H_40,OIDNS_1500_1749_H_41_48,OIDNS_1500_1749_H_49mo,OIDNS_1500_1749_H_NS,OIDNS_1500_1749_H_Tot,OIDNS_1750_1999_H_0,OIDNS_1750_1999_H_1_15,OIDNS_1750_1999_H_16_24,OIDNS_1750_1999_H_25_34,OIDNS_1750_1999_H_35_39,OIDNS_1750_1999_H_40,OIDNS_1750_1999_H_41_48,OIDNS_1750_1999_H_49mo,OIDNS_1750_1999_H_NS,OIDNS_1750_1999_H_Tot
101021007,0,0,0,0,3,8,5,4,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,25,11,24,12,14,9,13,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021008,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,18,8,15,14,0,6,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,3,0,0,4,18,12,7,4,0,47,0,0,3,0,8,8,4,6,0,30,0,0,0,0,0,7,3,5,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,12,71,64,58,88,60,32,45,9,434,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,4,0,0,0,5,8,0,0,0,0,3,4,0,0,3,13,0,0,0,0,3,3,0,3,0,13,0,0,0,0,0,3,0,0,3,7,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7
101021010,0,3,0,0,4,11,3,13,0,39,0,0,0,0,4,3,0,7,0,18,0,0,0,0,0,5,3,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,12,59,34,24,71,50,31,29,4,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021011,0,0,0,3,9,16,3,3,0,36,0,0,0,0,0,9,3,10,0,25,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,10,48,21,41,33,46,10,42,7,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,0,5
101021012,0,0,0,0,0,12,7,10,0,29,0,0,0,3,0,3,0,3,0,13,0,0,0,0,0,4,0,6,0,14,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,3,34,11,25,22,35,10,30,3,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031013,0,3,0,0,8,0,5,0,0,14,0,0,0,0,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,11,11,24,17,24,12,9,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
101031014,0,4,0,0,5,5,3,4,0,19,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,16,96,59,61,61,29,14,21,9,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031015,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,8,13,12,23,5,8,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031016,0,0,0,3,15,5,11,9,3,47,0,0,0,0,0,5,0,6,0,12,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,0,5,14,10,70,70,131,111,65,41,71,25,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,3,11,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,3,5,8,0,0,0,0,3,6,0,0,8,19,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0
