SA2_MAINCODE_2016,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
101021007,0,0,0,15,8,3,3,0,0,13,3,0,4,0,0,5,16,3,8,0,0,26,19,3,9,0,0,37,19,0,6,3,0,29,19,4,7,13,0,43,10,0,9,6,0,28,3,3,3,4,0,10,0,0,0,4,0,5,0,0,0,0,0,4,115,19,58,35,7,226,13,0,0,0,0,14,5,0,0,0,0,10,15,0,0,0,0,11,9,0,0,0,0,12,9,0,0,0,0,15,19,4,5,3,0,27,18,7,3,0,0,32,23,3,3,0,0,32,36,0,5,3,0,41,8,0,11,7,0,26,5,0,4,4,0,21,5,0,5,3,0,18,0,0,0,3,0,9,172,13,39,33,3,262,6,0,9,0,0,17,3,0,0,0,3,6,295,27,104,69,10,509,11,0,0,0,0,11,24,0,0,0,0,25,29,0,3,4,0,36,23,3,7,0,0,40,13,4,7,0
101021008,0,0,0,14,9,0,0,0,0,12,17,0,0,0,0,19,31,0,0,0,0,33,30,0,7,0,0,35,25,0,4,0,0,28,18,0,0,0,0,21,16,0,0,0,0,16,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,170,4,22,0,3,195,26,0,0,0,0,26,17,0,0,0,0,17,11,0,3,0,0,12,13,0,5,0,0,16,3,0,0,0,0,7,19,0,3,0,0,27,23,0,3,0,0,29,19,3,3,0,0,28,18,3,8,0,0,26,19,0,0,0,0,17,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,178,11,24,3,0,219,14,0,0,0,0,17,0,0,0,0,0,3,364,12,48,3,6,430,12,0,0,0,0,12,32,3,0,0,0,34,36,4,0,0,0,41,26,3,5,0,0,33,30,3,6,0
101021009,5,0,0,179,139,3,0,0,0,145,136,3,10,3,0,156,145,9,0,0,0,157,154,12,7,3,3,181,165,4,8,0,0,180,132,9,4,3,0,139,91,3,4,0,0,100,25,3,0,0,0,32,0,0,0,0,0,4,3,0,0,0,0,3,1336,44,49,9,6,1450,172,0,0,0,0,175,131,0,0,0,0,130,100,3,3,0,0,102,112,0,5,0,0,116,104,3,3,4,0,110,134,3,6,0,0,147,108,3,3,0,0,116,100,5,8,0,0,109,110,0,13,0,0,123,84,3,4,0,0,94,29,3,0,0,0,32,6,0,0,5,0,9,0,0,0,0,0,5,1186,27,43,14,3,1267,124,4,0,0,0,131,37,4,0,0,9,44,2674,73,99,23,20,2889,94,0,0,0,0,97,299,0,4,0,0,307,392,13,9,0,0,423,338,17,15,4,0,376,325,30,19,5
101021010,0,0,0,43,41,0,0,0,0,46,35,0,0,0,0,37,26,3,0,0,0,36,36,5,3,0,0,46,36,9,3,0,0,45,31,3,3,0,0,34,11,0,0,0,0,12,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,295,34,9,4,4,343,80,0,0,0,0,86,20,0,0,0,0,20,24,0,0,3,0,27,16,0,4,0,0,26,31,3,0,0,0,32,25,0,0,0,0,30,17,6,5,3,0,30,16,0,0,0,0,20,17,3,0,0,0,22,10,3,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,253,20,19,19,3,312,30,0,0,0,3,33,20,0,0,0,3,20,594,53,26,17,13,707,68,0,0,0,4,66,191,7,3,0,0,205,266,10,14,0,0,284,234,19,7,0,0,258,185,19,9,0
101021011,0,0,0,48,31,3,3,3,0,42,45,7,3,0,0,60,52,7,8,0,0,66,54,10,20,0,0,82,46,12,11,3,0,74,25,11,5,0,0,48,13,7,4,0,0,25,0,3,6,7,0,13,0,0,0,0,0,3,0,0,3,0,0,4,347,54,67,24,3,495,62,0,3,0,0,63,24,0,3,0,0,28,18,3,3,0,0,27,14,3,4,0,0,26,25,11,11,8,0,49,43,7,4,0,0,55,47,10,17,5,0,78,27,10,12,3,0,49,25,4,12,3,0,49,17,11,20,3,0,46,7,5,11,10,0,31,3,0,4,5,0,10,0,0,0,5,0,11,312,63,99,49,0,524,31,5,8,0,0,43,8,0,0,3,0,15,697,126,173,72,5,1073,35,0,0,0,0,36,84,0,4,0,0,98,165,11,8,0,0,192,160,27,15,5,0,206,157,28,12,5
101021012,0,0,0,45,19,3,6,0,0,26,23,0,0,0,0,24,28,5,7,0,0,37,30,16,11,3,0,52,23,4,9,0,0,46,14,3,3,0,0,25,11,0,0,0,0,15,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,243,40,38,3,4,331,47,0,0,0,0,50,39,0,0,0,0,39,18,0,0,0,0,15,15,7,3,0,0,23,27,5,3,0,0,30,19,6,10,0,0,40,16,3,3,0,0,24,29,7,3,0,0,39,19,0,5,3,0,25,10,0,3,0,0,16,9,0,5,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,255,23,37,11,0,322,13,0,0,0,0,13,7,0,3,0,0,10,514,60,78,12,4,674,32,0,0,0,0,38,167,4,0,0,0,167,197,3,3,0,0,202,141,13,12,0,0,175,115,27,13,0
101031013,0,3,0,7,18,0,0,0,0,15,9,0,4,0,0,12,18,3,3,0,0,23,18,0,3,4,0,22,19,9,3,0,0,27,19,3,3,4,0,25,6,3,3,5,0,18,10,0,5,0,0,14,0,0,3,4,0,10,0,0,0,0,0,0,128,16,29,18,3,196,25,0,0,0,3,27,11,0,0,0,0,8,9,0,0,0,0,11,24,0,0,0,0,19,22,3,0,0,0,22,16,0,0,0,0,16,16,0,0,0,0,18,32,0,4,0,0,38,21,3,3,0,0,30,16,0,3,0,0,23,6,3,0,3,0,15,0,0,0,3,0,7,0,0,0,0,0,0,197,12,13,8,5,234,11,0,3,3,3,24,4,0,5,0,0,9,344,31,48,36,7,466,23,0,0,0,0,23,32,0,0,4,0,38,37,0,3,3,0,42,42,3,6,0,0,54,33,0,5,0
101031014,0,3,0,82,61,3,4,0,0,72,47,5,3,0,0,59,99,6,6,0,0,112,113,10,11,0,0,138,120,12,6,4,0,139,87,3,13,0,0,106,44,9,5,0,0,58,12,0,3,0,0,21,3,0,0,0,0,4,0,0,0,0,0,3,741,53,65,10,5,867,90,0,0,0,0,92,50,0,0,0,0,53,50,0,0,0,0,55,63,0,0,3,0,72,67,4,4,0,0,79,82,6,3,3,0,85,87,0,3,6,0,98,79,0,6,0,0,86,80,0,4,3,0,87,53,8,7,0,0,70,27,3,0,0,0,38,9,0,3,3,0,15,8,0,0,0,0,8,755,19,39,14,11,845,70,0,0,3,3,79,20,0,6,4,3,30,1581,80,107,35,18,1822,68,0,0,0,0,68,144,0,3,0,0,149,158,0,4,3,0,167,144,5,22,0,0,177,113,17,13,0
101031015,0,0,0,0,3,0,0,0,0,4,3,0,0,3,0,10,10,3,5,5,0,16,5,4,4,5,0,17,4,3,8,3,0,16,3,0,0,3,0,11,0,3,7,3,0,7,0,0,3,8,0,11,0,3,0,3,0,8,0,0,0,0,0,3,42,17,31,27,4,115,7,0,0,0,0,7,6,0,0,0,0,6,4,0,0,0,0,5,5,0,3,0,0,12,9,0,0,0,0,11,0,3,0,0,0,9,7,0,0,0,0,13,12,0,3,3,0,20,4,5,3,0,0,13,10,3,4,0,0,17,3,0,0,6,0,13,0,0,4,7,0,11,0,0,0,0,3,3,68,13,26,15,3,132,8,0,4,3,0,13,0,0,0,3,0,7,119,32,62,51,3,266,5,0,0,0,0,5,13,0,0,0,0,19,23,0,0,3,0,27,12,0,8,0,0,26,20,3,3,5
101031016,9,0,0,199,98,6,4,0,0,105,67,11,14,0,0,93,80,12,14,3,0,103,78,13,15,3,0,114,104,21,15,6,0,144,46,13,17,0,0,84,20,4,10,0,0,37,9,5,5,4,0,27,8,3,3,0,0,7,3,0,3,0,0,8,1017,94,110,20,7,1247,86,0,0,0,0,86,113,0,0,0,0,114,76,0,0,4,0,86,55,0,0,0,0,54,57,4,7,3,0,77,46,9,12,4,0,75,54,9,9,3,0,75,46,6,11,3,0,63,56,6,5,4,0,63,28,0,10,3,0,40,13,3,8,3,0,28,4,0,3,3,0,11,0,0,0,3,0,7,638,31,62,31,3,773,38,0,4,0,0,45,44,0,4,4,6,59,1739,122,176,59,17,2123,129,0,0,0,0,130,528,5,8,0,3,546,464,3,13,0,3,482,249,15,15,0,0,273,184,19,23,3
