SA2_MAINCODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
101021007,297,168,123,78,96,81,70,110,26,1048
101021008,69,224,99,149,69,64,23,83,9,794
101021009,525,1057,691,855,881,617,243,434,105,5407
101021010,378,178,726,84,337,286,392,318,41,2735
101021011,730,443,462,299,325,137,156,267,59,2873
101021012,258,255,578,151,277,137,211,181,31,2086
101031013,265,110,103,91,94,61,125,138,26,1023
101031014,427,658,402,438,466,435,169,361,45,3403
101031015,308,40,85,42,52,26,41,97,10,695
101031016,758,390,622,911,368,441,374,597,80,4538
101041017,496,471,565,623,620,718,216,423,79,4206
101041018,115,283,162,193,124,109,20,119,20,1149
101041019,522,1076,585,596,684,543,264,748,87,5098
101041020,495,164,196,102,90,48,74,192,26,1390
101041021,73,182,117,109,69,45,10,76,6,693
101041022,0,0,0,3,0,0,0,0,0,10
101041023,132,191,200,168,136,143,118,222,15,1327
101041024,184,61,121,64,73,71,40,99,11,733
101041025,440,478,564,530,396,538,189,397,46,3585
101041026,345,713,474,370,475,345,220,323,53,3318
101041027,341,363,362,357,269,316,108,315,35,2475
101051539,1001,1863,1251,1375,1229,1107,683,1095,148,9744
101051540,752,393,359,239,275,166,193,263,42,2679
101061541,260,341,262,268,254,181,129,186,37,1922
101061542,551,301,220,131,185,109,98,218,42,1856
101061543,508,552,491,358,508,377,206,380,50,3432
101061544,556,173,192,138,162,112,113,215,31,1693
102011028,138,223,214,147,132,128,14,84,11,1094
102011029,196,276,304,170,158,66,28,120,18,1339
102011030,931,387,977,174,651,210,945,885,100,5266
102011031,1045,1727,1004,1200,1162,2140,253,780,104,9410
102011032,1797,5244,2066,1979,3452,1723,707,1315,334,18623
102011033,127,315,123,410,146,65,32,84,23,1321
102011034,193,376,283,324,221,288,212,258,40,2186
102011035,56,190,100,119,87,27,24,54,6,658
102011036,279,379,348,212,355,259,270,527,32,2663
102011037,67,214,97,200,85,62,15,96,15,849
102011038,86,117,151,93,93,68,17,60,14,698
102011039,359,550,443,552,342,231,45,264,50,2838
102011040,385,635,484,628,423,540,84,404,62,3644
102011041,163,352,309,215,198,89,32,125,25,1511
102011042,331,846,429,702,432,617,137,296,67,3858
102011043,221,477,296,508,270,352,61,304,32,2516
102021044,317,656,486,725,350,809,175,432,71,4019
102021045,92,144,146,166,89,76,53,116,24,898
102021046,97,120,164,143,115,152,33,116,12,961
102021047,628,750,852,464,583,334,489,767,89,4953
102021048,349,622,409,671,401,1061,127,463,62,4157
102021049,119,107,120,89,70,82,43,136,21,790
102021050,184,330,376,157,200,172,152,188,35,1793
102021051,234,429,504,183,262,108,122,145,22,2007
102021052,53,63,103,48,69,59,15,45,3,454
102021053,376,495,519,496,387,437,87,372,41,3209
102021054,195,403,293,468,284,245,45,187,29,2157
102021055,1071,1109,1134,780,1851,1628,618,865,154,9214
102021056,420,1705,644,990,697,376,864,581,88,6375
102021057,542,998,709,704,783,387,369,546,93,5129
103011058,1340,2760,1568,1988,1700,1433,501,1222,190,12705
103011059,404,462,578,323,389,376,365,610,50,3550
103011060,428,128,149,106,117,63,65,157,17,1223
103011061,388,208,337,195,163,115,372,263,57,2091
103021062,721,342,279,259,235,176,190,277,41,2530
103021063,417,597,517,465,446,448,237,544,72,3738
103021064,591,169,140,102,108,92,76,252,35,1570
103021065,791,613,507,389,431,384,270,513,87,3992
103021066,450,148,124,86,108,78,75,151,11,1229
103021067,450,678,564,536,545,483,349,398,73,4071
103021068,520,165,188,72,96,33,190,131,25,1422
103021069,704,272,347,183,235,152,331,306,54,2578
103031070,425,824,617,796,824,520,383,534,91,5007
103031071,327,237,607,177,202,69,543,242,52,2455
103031072,579,835,800,682,656,685,343,597,69,5242
103031073,191,109,122,96,83,68,45,139,13,868
103031074,755,368,734,170,234,157,936,404,71,3815
103031075,0,0,0,0,0,0,0,0,0,0
103041076,548,357,481,205,227,154,480,413,51,2917
103041077,1531,3802,1851,1840,2353,1631,623,1346,223,15190
103041078,379,446,634,455,386,313,340,346,49,3355
103041079,940,475,548,196,318,134,404,540,65,3630
104011080,833,1738,1195,1469,1308,1094,633,974,162,9416
104011081,549,238,228,158,187,99,184,279,46,1975
104011082,565,802,702,671,540,630,266,610,71,4845
104021083,254,424,199,243,158,151,78,177,32,1717
104021084,770,799,790,788,1036,1135,233,676,122,6340
104021085,1230,3430,1441,1803,2061,1247,619,1114,203,13139
104021086,112,78,77,58,57,17,54,92,13,568
104021087,266,110,102,84,94,52,64,158,18,952
104021088,206,173,206,154,126,119,18,174,25,1204
104021089,488,666,615,584,487,550,344,513,57,4302
104021090,149,143,186,144,116,90,122,177,17,1157
104021091,562,394,370,324,251,222,195,850,63,3235
105011092,246,198,136,201,115,63,65,137,37,1205
105011093,364,280,438,177,192,110,460,214,35,2264
105011094,473,188,140,164,158,75,76,197,35,1512
105011095,542,253,319,215,198,133,272,276,43,2247
105011096,531,321,179,311,193,107,160,280,45,2131
105021097,673,1170,983,1028,741,693,695,729,132,6856
105021098,374,111,74,109,47,22,40,209,26,1012
105031099,722,380,247,313,224,179,149,356,48,2621
105031100,642,1291,1090,639,756,462,567,903,124,6480
105031101,1095,2031,1119,1493,1642,1450,341,789,164,10129
105031102,242,271,387,249,230,262,147,277,33,2096
105031103,411,81,159,46,91,44,70,130,19,1050
105031104,515,189,163,199,118,106,91,208,17,1607
105031105,461,247,239,148,192,140,242,152,27,1845
105031106,477,316,252,313,219,177,137,229,34,2148
106011107,679,295,607,618,309,478,235,736,56,4013
106011108,544,1223,623,1242,745,937,297,677,110,6411
106011109,291,236,273,74,180,43,292,229,32,1639
106011110,470,322,293,217,253,164,139,275,36,2170
106011111,286,578,520,502,331,362,242,448,49,3313
106011112,736,1053,1209,1189,886,810,1241,864,144,8133
106011113,554,506,2055,82,336,75,2796,381,127,6906
106021114,494,1754,590,864,1397,627,161,458,111,6457
106021115,695,1712,986,1084,932,1154,268,768,84,7682
106021116,125,216,160,160,131,57,44,84,10,986
106021117,839,901,1546,791,787,990,652,857,118,7471
106021118,477,454,664,237,463,344,671,471,49,3823
106031119,103,88,156,100,85,56,74,130,11,799
106031120,91,109,126,136,94,114,24,83,17,799
106031121,767,1083,859,1139,770,1094,188,778,94,6782
106031122,1037,1195,2210,720,1127,964,1462,1029,189,9934
106031123,130,86,133,46,108,25,125,67,9,737
106031124,120,111,186,183,118,136,39,177,25,1097
106031125,947,1092,1647,875,693,357,318,445,128,6505
106041126,562,996,1423,654,679,600,802,651,95,6475
106041127,287,143,384,116,141,67,611,265,36,2043
106041128,313,472,371,284,322,281,122,578,36,2775
106041129,646,246,295,184,191,103,113,420,35,2244
107011131,445,771,575,796,613,739,185,477,64,4654
107011132,69,129,150,183,79,35,111,70,10,834
107011133,323,338,707,49,281,38,1032,410,83,3265
107011134,961,1095,2230,630,1147,479,1392,998,149,9077
107011545,128,234,202,232,162,128,98,153,35,1363
107011546,625,1200,705,747,790,962,433,686,98,6255
107011547,42,45,70,80,43,33,20,35,4,377
107021135,9,11,16,8,4,0,17,3,0,58
107031136,220,596,300,497,258,285,110,223,24,2506
107031137,282,196,373,304,267,389,239,247,36,2328
107031138,328,514,414,478,384,302,93,312,32,2861
107031139,71,103,120,61,69,58,45,42,11,579
107031140,336,273,285,269,187,165,77,217,32,1836
107031141,239,463,406,320,238,177,266,213,40,2355
107031142,553,835,733,865,732,1479,211,571,75,6059
107031143,341,1030,468,672,474,436,104,375,54,3949
107041144,617,1181,820,841,645,686,258,594,87,5738
107041145,354,641,472,489,430,433,139,368,50,3371
107041146,609,2624,590,678,934,650,97,448,68,6703
107041147,176,399,373,300,183,154,236,172,28,2021
107041148,310,593,333,355,243,247,43,207,24,2358
107041150,320,845,504,704,375,320,128,324,44,3560
107041548,2497,4928,2270,2547,4878,2257,844,1586,412,22216
107041549,474,2393,586,872,916,341,216,383,114,6301
108011151,259,168,174,138,111,85,166,184,27,1314
108011152,415,700,551,614,499,774,136,492,75,4263
108011153,182,132,204,125,114,117,58,138,21,1084
108011154,220,412,321,371,289,274,113,279,46,2325
108021155,583,1267,741,1158,812,700,416,736,128,6531
108021156,443,172,232,134,122,76,154,392,40,1769
108021157,244,425,321,297,253,221,224,382,38,2411
108021158,190,256,237,364,195,215,65,243,33,1796
108021159,313,167,165,112,110,53,76,174,24,1197
108021160,120,115,155,149,109,179,41,154,28,1047
108031161,56,18,36,25,24,11,4,39,11,214
108041162,350,534,494,417,308,383,147,379,51,3072
108041163,880,1847,960,1358,1489,1115,197,726,124,8705
108041164,1165,2509,1533,1366,1536,1334,718,1042,167,11370
108041165,354,153,167,51,109,35,120,199,20,1204
108041166,381,460,575,364,436,329,270,335,53,3187
108051167,378,231,246,189,174,148,130,227,24,1742
108051168,184,191,244,175,162,176,45,189,20,1390
108051169,948,2211,1226,1492,1310,1416,632,1177,165,10579
108051170,471,163,206,114,165,101,119,250,31,1630
108051171,143,256,184,197,123,123,88,344,30,1480
109011172,626,1327,908,654,706,458,486,595,84,5846
109011173,197,430,325,278,198,109,152,177,28,1888
109011174,1283,2638,1334,1702,2305,1754,452,933,197,12592
109011175,1042,455,513,293,352,178,337,474,69,3703
109011176,424,510,598,511,507,759,270,404,52,4035
109021177,269,120,193,124,130,104,142,204,23,1312
109021178,401,264,249,244,226,116,191,398,47,2136
109021179,501,129,207,106,118,39,214,323,44,1675
109031180,274,307,328,239,240,246,168,452,39,2295
109031181,559,211,429,243,211,120,243,535,53,2596
109031182,371,561,401,429,423,340,238,383,55,3197
109031183,1073,190,255,191,197,115,216,474,51,2760
109031184,276,196,306,298,167,151,118,267,23,1796
109031185,832,329,413,362,318,233,264,434,57,3248
110011186,1195,2940,1220,1373,1566,1198,376,944,148,10961
110011187,604,173,187,111,143,128,90,394,28,1865
110011188,340,165,143,106,114,88,55,164,29,1204
110011189,523,143,131,87,124,79,98,219,14,1420
110021190,691,400,348,386,346,279,180,372,69,3062
110021191,546,824,721,698,547,664,308,933,121,5347
110021192,425,112,78,88,60,29,59,160,29,1042
110021193,655,185,155,148,136,81,101,241,31,1741
110021194,560,224,232,215,196,166,161,345,47,2148
110031195,407,705,505,480,544,397,277,334,73,3723
110031196,910,133,131,83,176,36,298,420,32,2210
