SA2_MAINCODE_2016,TaTW_2000_2999_A_45_54,TaTW_2000_2999_A_55_64,TaTW_2000_2999_A_65_74,TaTW_2000_2999_A_75ov,TaTW_2000_2999_Tot,TaTW_3000mo_A_15_19,TaTW_3000mo_A_20_24,TaTW_3000mo_A_25_34,TaTW_3000mo_A_35_44,TaTW_3000mo_A_45_54,TaTW_3000mo_A_55_64,TaTW_3000mo_A_65_74,TaTW_3000mo_A_75ov,TaTW_3000mo_Tot,TaTW_PINS_A_15_19,TaTW_PINS_A_20_24,TaTW_PINS_A_25_34,TaTW_PINS_A_35_44,TaTW_PINS_A_45_54,TaTW_PINS_A_55_64,TaTW_PINS_A_65_74,TaTW_PINS_A_75ov,TaTW_PINS_Tot,TaTW_Tot_A_15_19,TaTW_Tot_A_20_24,TaTW_Tot_A_25_34,TaTW_Tot_A_35_44,TaTW_Tot_A_45_54,TaTW_Tot_A_55_64,TaTW_Tot_A_65_74,TaTW_Tot_A_75ov,TaTW_Tot_Tot,CoPSW_NNI_A_15_19,CoPSW_NNI_A_20_24,CoPSW_NNI_A_25_34,CoPSW_NNI_A_35_44,CoPSW_NNI_A_45_54,CoPSW_NNI_A_55_64,CoPSW_NNI_A_65_74,CoPSW_NNI_A_75ov,CoPSW_NNI_Tot,CoPSW_1_149_A_15_19,CoPSW_1_149_A_20_24,CoPSW_1_149_A_25_34,CoPSW_1_149_A_35_44,CoPSW_1_149_A_45_54,CoPSW_1_149_A_55_64,CoPSW_1_149_A_65_74,CoPSW_1_149_A_75ov,CoPSW_1_149_Tot,CoPSW_150_299_A_15_19,CoPSW_150_299_A_20_24,CoPSW_150_299_A_25_34,CoPSW_150_299_A_35_44,CoPSW_150_299_A_45_54,CoPSW_150_299_A_55_64,CoPSW_150_299_A_65_74,CoPSW_150_299_A_75ov,CoPSW_150_299_Tot,CoPSW_300_399_A_15_19,CoPSW_300_399_A_20_24,CoPSW_300_399_A_25_34,CoPSW_300_399_A_35_44,CoPSW_300_399_A_45_54,CoPSW_300_399_A_55_64,CoPSW_300_399_A_65_74,CoPSW_300_399_A_75ov,CoPSW_300_399_Tot,CoPSW_400_499_A_15_19,CoPSW_400_499_A_20_24,CoPSW_400_499_A_25_34,CoPSW_400_499_A_35_44,CoPSW_400_499_A_45_54,CoPSW_400_499_A_55_64,CoPSW_400_499_A_65_74,CoPSW_400_499_A_75ov,CoPSW_400_499_Tot,CoPSW_500_649_A_15_19,CoPSW_500_649_A_20_24,CoPSW_500_649_A_25_34,CoPSW_500_649_A_35_44,CoPSW_500_649_A_45_54,CoPSW_500_649_A_55_64,CoPSW_500_649_A_65_74,CoPSW_500_649_A_75ov,CoPSW_500_649_Tot,CoPSW_650_799_A_15_19,CoPSW_650_799_A_20_24,CoPSW_650_799_A_25_34,CoPSW_650_799_A_35_44,CoPSW_650_799_A_45_54,CoPSW_650_799_A_55_64,CoPSW_650_799_A_65_74,CoPSW_650_799_A_75ov,CoPSW_650_799_Tot,CoPSW_800_999_A_15_19,CoPSW_800_999_A_20_24,CoPSW_800_999_A_25_34,CoPSW_800_999_A_35_44,CoPSW_800_999_A_45_54,CoPSW_800_999_A_55_64,CoPSW_800_999_A_65_74,CoPSW_800_999_A_75ov,CoPSW_800_999_Tot,CoPSW_1000_1249_A_15_19,CoPSW_1000_1249_A_20_24,CoPSW_1000_1249_A_25_34,CoPSW_1000_1249_A_35_44,CoPSW_1000_1249_A_45_54,CoPSW_1000_1249_A_55_64,CoPSW_1000_1249_A_65_74,CoPSW_1000_1249_A_75ov,CoPSW_1000_1249_Tot,CoPSW_1250_1499_A_15_19,CoPSW_1250_1499_A_20_24,CoPSW_1250_1499_A_25_34,CoPSW_1250_1499_A_35_44,CoPSW_1250_1499_A_45_54,CoPSW_1250_1499_A_55_64,CoPSW_1250_1499_A_65_74,CoPSW_1250_1499_A_75ov,CoPSW_1250_1499_Tot,CoPSW_1500_1749_A_15_19,CoPSW_1500_1749_A_20_24,CoPSW_1500_1749_A_25_34,CoPSW_1500_1749_A_35_44,CoPSW_1500_1749_A_45_54,CoPSW_1500_1749_A_55_64,CoPSW_1500_1749_A_65_74,CoPSW_1500_1749_A_75ov,CoPSW_1500_1749_Tot,CoPSW_1750_1999_A_15_19,CoPSW_1750_1999_A_20_24,CoPSW_1750_1999_A_25_34,CoPSW_1750_1999_A_35_44,CoPSW_1750_1999_A_45_54,CoPSW_1750_1999_A_55_64,CoPSW_1750_1999_A_65_74,CoPSW_1750_1999_A_75ov,CoPSW_1750_1999_Tot,CoPSW_2000_2999_A_15_19,CoPSW_2000_2999_A_20_24,CoPSW_2000_2999_A_25_34,CoPSW_2000_2999_A_35_44,CoPSW_2000_2999_A_45_54,CoPSW_2000_2999_A_55_64,CoPSW_2000_2999_A_65_74,CoPSW_2000_2999_A_75ov,CoPSW_2000_2999_Tot,CoPSW_3000mo_A_15_19,CoPSW_3000mo_A_20_24,CoPSW_3000mo_A_25_34,CoPSW_3000mo_A_35_44,CoPSW_3000mo_A_45_54,CoPSW_3000mo_A_55_64,CoPSW_3000mo_A_65_74,CoPSW_3000mo_A_75ov,CoPSW_3000mo_Tot,CoPSW_PINS_A_15_19,CoPSW_PINS_A_20_24,CoPSW_PINS_A_25_34,CoPSW_PINS_A_35_44,CoPSW_PINS_A_45_54,CoPSW_PINS_A_55_64,CoPSW_PINS_A_65_74,CoPSW_PINS_A_75ov,CoPSW_PINS_Tot,CoPSW_Tot_A_15_19,CoPSW_Tot_A_20_24,CoPSW_Tot_A_25_34,CoPSW_Tot_A_35_44,CoPSW_Tot_A_45_54,CoPSW_Tot_A_55_64,CoPSW_Tot_A_65_74,CoPSW_Tot_A_75ov,CoPSW_Tot_Tot,ClAW_NNI_A_15_19,ClAW_NNI_A_20_24,ClAW_NNI_A_25_34,ClAW_NNI_A_35_44,ClAW_NNI_A_45_54,ClAW_NNI_A_55_64,ClAW_NNI_A_65_74,ClAW_NNI_A_75ov,ClAW_NNI_Tot,ClAW_1_149_A_15_19,ClAW_1_149_A_20_24,ClAW_1_149_A_25_34,ClAW_1_149_A_35_44,ClAW_1_149_A_45_54,ClAW_1_149_A_55_64,ClAW_1_149_A_65_74,ClAW_1_149_A_75ov,ClAW_1_149_Tot,ClAW_150_299_A_15_19,ClAW_150_299_A_20_24,ClAW_150_299_A_25_34,ClAW_150_299_A_35_44,ClAW_150_299_A_45_54,ClAW_150_299_A_55_64
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,12,4,18,29,24,23,10,0,123,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,10,0,0,0,4,3,0,0,0,11,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,4,0,3,0,0,0,12,0,0,0,3,0,3,0,0,14,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,12,13,15,14,0,0,78,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
101021008,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,32,18,23,14,0,0,99,0,0,0,0,0,0,0,0,3,13,0,0,0,3,3,0,0,12,4,4,0,0,0,0,0,0,13,3,0,4,0,3,0,0,0,10,0,0,5,3,3,0,0,0,13,0,0,0,8,3,0,0,0,19,0,0,7,4,10,3,0,0,21,0,0,6,5,9,7,0,0,22,0,0,4,3,5,0,0,0,12,0,0,3,4,0,0,0,0,6,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,11,31,30,41,14,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0
101021009,17,8,0,0,50,0,0,3,3,0,0,0,0,8,0,5,3,0,0,0,0,0,10,48,105,185,157,111,70,18,3,691,3,0,0,0,0,0,0,0,3,40,4,4,7,3,0,0,0,58,11,17,5,3,8,6,0,0,55,5,13,12,5,7,5,0,0,50,4,8,12,14,12,11,3,0,66,4,22,24,13,13,13,3,0,96,3,20,40,21,18,9,3,0,121,3,16,39,25,26,11,0,0,130,0,3,22,20,19,5,3,0,79,0,3,16,11,13,7,0,0,48,0,3,11,14,12,3,0,0,50,0,0,3,12,7,3,0,0,37,0,0,11,19,25,7,0,0,60,0,0,0,0,3,0,0,0,4,3,0,0,0,0,0,5,0,11,82,121,209,169,164,85,23,0,855,0,0,0,0,0,0,0,0,4,5,3,0,3,4,3,0,0,20,7,3,5,5,6,8
101021010,13,4,0,0,34,0,0,0,0,0,0,0,0,6,3,0,0,0,4,0,0,0,10,37,107,235,139,119,72,12,0,726,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,9,8,0,4,0,0,0,0,0,11,3,0,0,0,3,0,0,0,5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,7,4,0,0,0,23,0,4,4,3,0,0,0,0,9,0,0,6,0,0,3,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,20,12,10,6,3,0,84,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,6,0,0,0,0
101021011,19,3,0,0,38,0,0,3,3,4,0,0,0,10,0,0,0,3,0,4,0,0,10,26,39,112,99,94,59,22,3,462,5,0,0,0,0,0,0,0,5,30,3,0,0,0,0,0,0,31,3,3,3,3,3,3,0,0,28,5,3,4,0,11,0,0,0,31,3,3,3,3,0,0,0,0,10,0,5,3,0,6,3,3,0,18,0,3,0,8,0,0,0,0,16,0,3,9,3,5,0,0,0,24,0,3,9,3,3,3,0,0,26,0,4,11,10,5,0,0,0,34,0,0,10,8,6,0,0,0,30,0,0,4,9,4,0,0,0,21,0,0,11,8,9,0,0,0,19,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,3,51,38,76,61,58,15,3,0,299,0,0,0,0,0,0,4,0,5,9,0,0,0,0,0,0,0,7,0,0,3,0,0,3
101021012,5,7,0,0,35,0,0,0,0,0,4,0,0,11,0,0,4,0,0,0,0,0,10,29,104,170,117,103,52,8,0,578,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,14,7,4,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,7,3,5,3,0,0,3,0,0,20,0,3,12,3,0,0,0,0,23,3,9,10,3,3,0,0,0,28,0,3,0,13,4,0,0,0,22,0,0,0,3,3,0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,31,26,20,3,8,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0
101031013,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,10,20,20,19,21,8,0,103,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,3,0,0,3,0,5,3,0,0,8,0,0,0,3,0,0,0,0,9,0,0,3,3,3,8,0,0,18,0,0,0,3,4,5,0,0,15,0,0,3,0,3,3,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,18,15,21,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
101031014,9,0,0,0,19,0,0,3,3,0,0,0,0,12,0,0,0,8,0,0,0,0,9,28,46,93,69,89,54,19,4,402,3,3,0,0,0,0,0,0,3,24,0,3,0,0,0,0,0,31,6,0,7,8,0,0,0,0,22,4,8,3,3,7,3,4,0,29,0,3,7,8,6,4,0,0,29,5,10,11,11,12,10,0,0,63,4,10,6,20,10,12,4,0,65,0,3,11,8,15,22,6,0,64,0,0,8,10,6,6,0,0,32,0,0,3,0,3,4,3,0,19,0,0,4,0,9,7,0,0,21,0,0,4,9,10,3,0,0,25,0,0,0,3,3,6,0,0,13,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,4,47,36,71,84,91,83,18,4,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,3,0,0,0,5,3
101031015,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,16,20,17,10,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,3,4,0,0,0,4,0,0,3,0,0,0,0,0,8,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,5,10,5,3,0,42,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031016,6,3,0,0,19,0,0,0,0,0,0,0,0,3,0,3,3,0,0,8,3,0,14,25,114,187,126,99,61,8,3,622,3,0,0,0,0,0,0,0,10,22,7,0,0,3,0,0,0,31,9,21,9,3,0,3,0,0,50,8,20,13,7,6,4,0,0,51,8,30,16,4,3,9,0,0,74,17,60,52,20,14,7,3,0,174,15,69,60,23,21,10,0,0,198,3,45,59,19,10,10,0,0,143,0,12,31,7,7,13,4,0,77,0,4,9,8,8,5,0,0,38,0,0,5,9,3,7,0,0,19,0,0,0,8,5,0,0,0,19,0,0,3,3,4,4,0,0,19,0,0,0,0,0,0,0,0,5,0,4,3,0,0,3,0,0,9,89,277,250,107,92,81,12,0,911,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0
