SA2_MAINCODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
101021007,0,22,8,8,6,11,6,25,3,83,0,15,8,7,0,3,3,10,0,50,3,11,9,9,4,8,0,8,6,49,40,145,120,135,104,148,90,231,35,1048
101021008,0,3,5,3,3,0,3,0,0,23,0,4,0,0,0,3,0,3,0,8,0,3,0,0,0,0,0,0,0,4,24,128,87,112,124,126,57,110,13,794
101021009,9,29,17,18,23,16,11,17,0,143,3,3,9,3,3,5,3,3,0,41,0,3,7,0,0,3,3,3,0,26,190,635,527,646,1247,920,465,679,94,5407
101021010,3,8,9,11,4,16,5,16,0,73,3,7,3,3,0,4,3,0,0,25,0,0,0,4,4,3,0,0,0,15,73,249,162,205,508,575,358,552,49,2735
101021011,7,30,14,14,15,12,6,28,3,123,0,17,14,6,3,4,0,14,0,62,0,10,10,8,3,3,4,8,0,35,94,349,213,282,371,510,357,644,44,2873
101021012,0,12,6,3,3,0,0,7,0,40,0,7,3,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,4,49,221,143,191,311,473,251,412,33,2086
101031013,5,10,7,3,3,6,3,20,0,69,4,12,7,0,0,0,3,14,7,45,0,3,4,0,0,0,3,6,0,13,42,104,106,105,149,119,119,255,25,1023
101031014,11,25,12,18,12,19,8,15,0,123,3,16,11,4,7,3,0,12,0,57,0,14,5,0,3,3,0,0,4,36,137,403,349,472,717,484,283,493,66,3403
101031015,0,11,3,5,0,12,0,26,0,54,0,11,3,3,0,7,0,11,3,50,3,7,0,0,5,4,0,16,0,41,23,95,56,72,64,108,48,222,17,695
101031016,5,24,19,14,17,13,6,24,5,126,0,4,16,8,7,4,0,22,3,68,4,3,0,9,4,3,3,7,4,37,89,345,342,609,823,617,535,1052,119,4538
101041017,11,35,21,14,14,23,4,14,3,142,3,11,7,3,4,3,0,3,4,36,0,6,3,0,3,0,0,6,0,26,181,626,501,622,818,586,297,468,96,4206
101041018,7,21,11,8,4,3,0,3,0,65,0,8,0,4,0,6,0,5,0,19,0,4,5,0,0,0,0,0,0,11,47,223,151,192,169,145,62,141,14,1149
101041019,9,33,31,19,24,14,10,25,7,170,3,22,9,16,4,7,0,6,3,64,5,7,7,5,3,0,0,7,3,36,223,582,581,758,1032,808,449,562,93,5098
101041020,6,20,16,19,4,11,10,25,3,113,5,10,3,5,5,8,0,10,3,55,3,11,6,6,3,6,3,9,0,40,50,213,140,183,144,192,109,321,32,1390
101041021,0,3,3,0,3,0,0,5,0,15,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,4,14,110,87,109,102,96,67,90,14,693
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,10
101041023,0,21,9,6,14,3,6,4,0,61,8,3,3,0,3,0,0,9,0,28,0,4,0,0,0,4,0,7,0,18,60,197,137,197,232,181,104,200,24,1327
101041024,0,14,5,3,3,4,0,9,3,51,0,5,3,7,0,0,0,6,0,29,0,3,0,0,0,0,0,0,0,8,30,138,95,89,97,102,47,119,17,733
101041025,6,52,36,17,17,11,9,21,7,173,3,17,8,6,0,6,3,3,0,51,0,6,3,3,0,0,0,4,3,26,173,618,448,568,611,426,236,424,74,3585
101041026,13,35,23,17,13,9,4,7,0,115,3,12,8,8,0,3,0,0,0,33,0,13,0,3,3,0,0,5,3,23,138,463,426,521,696,456,220,326,70,3318
101041027,8,55,13,14,8,11,3,26,7,144,3,21,11,14,3,3,0,6,3,51,0,7,5,3,0,3,0,3,0,26,83,457,364,413,355,315,144,276,65,2475
101051539,18,50,35,31,30,37,13,37,9,256,0,28,21,14,11,14,4,13,3,113,3,25,3,9,0,8,0,5,3,55,352,1052,1043,1211,2159,1683,833,1204,212,9744
101051540,0,35,21,23,16,27,6,52,4,190,0,16,11,12,5,5,4,29,0,92,6,15,11,12,3,12,3,16,4,83,82,325,294,305,346,432,188,655,63,2679
101061541,7,11,12,11,5,6,6,10,0,71,3,4,3,3,0,3,0,0,0,18,0,3,0,7,0,3,0,3,0,23,65,231,229,248,350,292,167,297,44,1922
101061542,9,34,19,17,15,20,9,22,0,144,3,17,12,16,7,10,3,16,0,93,6,15,5,8,5,11,0,9,6,59,74,269,200,217,236,299,131,386,40,1856
101061543,7,27,17,15,17,18,3,20,0,122,0,17,3,3,3,7,0,4,0,52,0,5,5,0,0,4,0,9,3,22,127,374,352,433,659,588,328,502,70,3432
101061544,3,16,12,10,10,15,6,28,3,103,5,15,10,5,3,4,3,16,0,62,0,7,7,11,3,9,6,4,0,48,47,184,153,185,235,265,161,402,56,1693
102011028,0,10,15,3,4,0,0,3,5,34,0,7,8,0,0,0,0,0,0,11,0,3,0,3,0,0,0,0,0,10,33,254,142,132,100,206,65,146,20,1094
102011029,3,26,12,3,0,3,3,9,0,69,3,20,3,3,0,3,0,3,0,33,0,5,3,4,0,0,0,0,0,15,42,298,159,185,130,243,83,173,22,1339
102011030,5,25,23,11,14,31,13,30,3,158,0,16,11,12,8,12,0,15,3,68,5,3,8,3,0,5,3,8,3,43,139,337,350,376,1158,1096,623,1100,89,5266
102011031,10,66,39,25,22,19,4,21,3,219,5,28,9,4,5,5,0,9,0,72,4,13,3,3,3,3,0,3,3,34,330,1762,1337,1358,1572,1284,666,953,141,9410
102011032,29,96,104,62,82,59,32,57,6,516,12,38,34,24,11,16,3,13,4,162,5,24,11,7,4,4,0,5,6,59,762,1689,2235,2309,4102,3731,1455,2032,306,18623
102011033,4,10,10,3,7,4,0,4,3,39,0,0,3,0,0,0,4,0,0,9,0,3,0,0,0,0,0,0,0,10,52,159,176,158,287,242,96,118,30,1321
