SA2_MAINCODE_2016,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_M,Mnf_Food_pdt_F,Mnf_Food_pdt_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_lther_clthing_footw_M,Mnf_Tex_lther_clthing_footw_F,Mnf_Tex_lther_clthing_footw_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pulp_paper_cvertd_paper_M,Mnf_Pulp_paper_cvertd_paper_F,Mnf_Pulp_paper_cvertd_paper_P,Mnf_Print_inc_repdtn_RM_M,Mnf_Print_inc_repdtn_RM_F,Mnf_Print_inc_repdtn_RM_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Basic_chem_and_chem_p_m_M,Mnf_Basic_chem_and_chem_p_m_F,Mnf_Basic_chem_and_chem_p_m_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Prim_met_and_met_p_m_M,Mnf_Prim_met_and_met_p_m_F,Mnf_Prim_met_and_met_p_m_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
101021007,3,3,5,143,76,218,0,0,0,6,0,9,0,0,0,10,3,17,160,85,243,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,10,0,10,0,0,0,8,19,34,0,0,0,0,3,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,55,0,0,0,4,0,4,0,0,0,3,0,3,3,0,3,13,0,13,7,0,7,24,5,26,14,0,14,34,0,36,76,7,79,0,0,0,9,3,11,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,8,5,14,0,6,3,0,0,0,4,3,6,11,25,32,8,28,34,0,0,0,21,56,83,0,0,0,4,14,15,20,40,62,21,52,77,0,0,0,15,9,20,0,0,0,0,0,0,0,0,0,0,0
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,7,16,3,17,0,0,0,59,5,71,84,12,95,0,0,0,4,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,3,0,3,3,0,3,26,28,53,9,19,28,0,0,0,38,43,86,0,0,0,4,3,3,23,23,44,23,26,48,0,0,0,10,7,15,0,0,0,0,0,0,0,0,0,0,0
101021009,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,6,0,6,33,5,35,8,12,18,5,0,5,0,0,0,13,4,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,3,13,4,0,4,18,5,21,8,0,9,8,3,14,14,3,17,133,40,171,0,0,0,67,26,91,0,0,0,4,0,7,9,7,19,83,30,117,24,7,27,81,16,95,23,3,25,303,30,332,431,49,477,6,0,11,17,0,23,0,0,0,14,8,24,6,0,8,0,0,0,0,0,0,50,13,65,8,11,15,7,4,12,13,4,13,151,143,289,84,238,328,0,0,0,262,392,657,0,0,0,22,20,37,150,167,314,167,190,360,6,3,11,53,6,56,0,0,0,0,0,0,0,0,0,0,0
101021010,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,13,0,0,0,10,3,15,53,6,65,9,7,12,19,3,20,0,0,0,63,8,76,0,0,3,7,3,9,0,0,0,3,4,7,8,5,9,23,7,33,73,19,96,55,14,66,22,7,28,17,5,22,42,3,44,408,86,488,0,0,0,15,4,25,0,0,0,3,0,5,14,5,19,36,7,47,36,8,43,92,13,110,72,9,77,322,47,367,520,80,599,3,3,4,29,10,43,12,3,13,13,0,13,4,6,11,16,4,22,0,0,0,75,27,104,3,0,3,34,6,35,15,3,20,6,3,9,55,42,96,0,0,0,115,59,173,0,0,0,8,28,37,132,109,242,138,145,275,12,3,11,146,21,169,0,0,0,0,0,0,0,0,0,0,0
101021011,4,0,3,160,79,238,0,0,0,4,3,6,0,0,0,11,3,13,173,90,261,6,0,6,0,0,0,0,0,0,11,0,9,34,3,37,4,0,3,47,3,53,5,0,6,12,9,24,10,7,15,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,3,5,0,5,3,0,3,10,4,13,47,31,76,0,0,0,17,0,18,0,0,0,0,0,3,27,3,32,44,6,55,20,4,25,113,21,131,23,0,25,186,32,220,343,54,396,0,3,4,16,3,18,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,19,10,29,7,3,10,0,0,3,4,4,5,37,38,74,15,49,64,0,0,0,64,96,152,0,0,0,19,21,43,63,75,135,81,99,176,8,3,8,27,15,46,0,0,0,0,0,0,0,0,3,0,0
101021012,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,37,7,20,26,0,0,3,0,3,3,51,3,56,0,0,0,10,3,11,0,0,0,0,0,0,0,0,0,13,0,13,24,0,26,5,0,5,3,0,3,29,8,38,26,3,33,201,54,252,0,0,0,0,0,0,0,0,0,0,3,4,45,9,51,40,13,54,42,0,45,108,22,131,22,0,20,331,35,362,501,62,564,7,3,3,18,5,23,5,0,11,3,0,3,3,4,11,3,3,10,0,0,0,37,16,53,4,0,8,0,0,3,6,3,9,47,35,85,15,23,39,0,0,0,82,62,145,0,0,0,0,3,0,35,26,58,30,23,57,4,0,7,67,9,78,0,0,0,0,0,0,0,0,0,0,0
101031013,0,0,0,159,68,228,0,0,0,47,3,54,0,0,0,7,3,12,215,76,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,8,12,0,0,0,0,0,0,64,12,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,10,6,82,31,111,0,0,0,6,0,6,0,0,0,0,0,0,3,0,3,9,0,10,0,0,3,3,0,3,8,0,8,29,3,32,43,7,47,0,0,0,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,4,15,0,0,0,6,3,8,4,0,3,11,32,40,3,20,20,0,0,0,18,62,82,0,0,0,4,7,15,11,32,48,20,45,59,3,0,3,30,3,31,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,46,21,64,0,0,0,0,0,0,0,0,0,8,3,12,58,21,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,49,28,78,0,0,0,0,0,0,9,0,9,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,4,0,4,0,0,0,0,0,0,3,0,5,83,37,114,0,0,0,156,57,213,0,0,0,8,0,4,11,4,14,174,64,234,5,0,7,35,3,39,11,0,11,91,12,98,149,15,167,0,0,0,34,19,53,5,0,5,0,0,0,15,4,11,0,0,3,3,3,10,58,24,87,5,8,17,39,19,55,21,21,40,68,75,137,72,201,271,0,0,0,203,316,520,0,4,4,21,49,70,109,161,268,130,208,335,10,0,7,54,7,69,0,0,0,0,0,0,0,0,0,0,0
101031015,3,0,7,207,79,290,0,0,0,3,0,0,0,0,0,16,3,21,227,90,317,0,0,0,0,0,0,0,0,0,5,0,5,7,0,7,0,0,3,9,0,8,0,0,0,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,24,0,0,0,8,0,10,0,0,0,3,0,3,0,0,0,8,0,10,4,0,3,9,0,11,0,0,0,30,4,34,45,3,47,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,3,3,0,3,4,8,11,3,3,8,0,0,0,8,13,26,0,0,0,18,18,36,13,21,37,24,46,72,3,0,3,7,5,17,0,0,0,0,0,0,4,0,4,0,0
101031016,0,0,4,124,62,182,3,4,4,0,0,0,0,0,0,0,0,0,134,60,197,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,9,3,10,0,3,3,23,24,48,0,5,6,0,0,0,3,3,10,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,9,0,11,0,0,0,0,0,0,0,0,0,3,0,4,49,34,84,0,0,0,34,4,32,0,0,0,10,0,11,14,0,17,56,8,61,11,0,10,51,11,62,12,0,12,76,14,94,144,24,177,3,0,0,16,10,25,3,0,3,3,0,3,0,4,5,4,10,6,0,0,0,24,21,44,14,8,21,3,0,6,4,14,22,29,55,87,57,71,127,0,0,0,109,148,256,12,5,17,520,483,1008,228,209,441,767,695,1463,9,3,15,15,7,24,4,0,4,0,0,0,0,0,0,31,16
