SA2_MAINCODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
101021007,0,10,10,0,4,3,0,6,3,36,3,9,3,3,6,3,4,3,18,57,40,145,120,135,104,148,90,231,35,1048
101021008,0,7,0,0,3,7,3,3,0,24,0,7,4,0,4,3,0,0,6,30,24,128,87,112,124,126,57,110,13,794
101021009,3,34,28,26,40,35,30,29,4,231,11,18,4,12,40,41,9,27,57,225,190,635,527,646,1247,920,465,679,94,5407
101021010,6,11,9,5,38,33,22,38,0,166,3,9,10,11,20,35,13,28,29,163,73,249,162,205,508,575,358,552,49,2735
101021011,0,21,6,11,8,18,6,12,0,93,4,18,13,18,19,23,4,25,11,136,94,349,213,282,371,510,357,644,44,2873
101021012,3,5,15,7,26,31,17,19,0,123,4,17,7,11,9,37,12,28,18,145,49,221,143,191,311,473,251,412,33,2086
101031013,0,3,0,0,4,7,3,7,0,26,3,3,3,3,9,4,3,0,10,32,42,104,106,105,149,119,119,255,25,1023
101031014,3,14,7,5,21,39,14,21,5,130,5,10,3,3,15,12,9,11,36,98,137,403,349,472,717,484,283,493,66,3403
101031015,0,0,0,0,0,0,0,7,0,11,3,11,3,5,0,3,5,3,6,33,23,95,56,72,64,108,48,222,17,695
101031016,4,10,9,12,13,23,14,24,6,102,3,11,16,9,19,14,9,25,32,141,89,345,342,609,823,617,535,1052,119,4538
101041017,5,42,14,34,41,47,19,41,5,244,6,22,20,19,17,28,6,13,47,181,181,626,501,622,818,586,297,468,96,4206
101041018,0,10,3,10,3,3,4,3,0,36,0,7,7,5,0,5,0,6,7,41,47,223,151,192,169,145,62,141,14,1149
101041019,5,15,13,15,27,26,13,26,3,139,5,16,15,13,18,13,4,24,40,148,223,582,581,758,1032,808,449,562,93,5098
101041020,0,3,3,3,7,4,3,11,0,36,7,14,4,5,7,8,3,9,13,74,50,213,140,183,144,192,109,321,32,1390
101041021,0,5,0,5,0,0,3,0,0,17,0,0,0,3,0,0,0,0,6,17,14,110,87,109,102,96,67,90,14,693
101041022,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,10
101041023,0,8,3,3,9,8,8,9,0,57,5,3,3,8,9,11,3,9,17,67,60,197,137,197,232,181,104,200,24,1327
101041024,0,5,0,3,0,4,3,6,0,28,0,3,0,0,0,3,0,3,8,27,30,138,95,89,97,102,47,119,17,733
