SA2_MAINCODE_2016,M_Tot_H_0,M_Tot_H_1_15,M_Tot_H_16_24,M_Tot_H_25_34,M_Tot_H_35_39,M_Tot_H_40,M_Tot_H_41_48,M_Tot_H_49_more,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_15,F_AgFF_H_16_24,F_AgFF_H_25_34,F_AgFF_H_35_39,F_AgFF_H_40,F_AgFF_H_41_48,F_AgFF_H_49_more,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_15,F_Min_H_16_24,F_Min_H_25_34,F_Min_H_35_39,F_Min_H_40,F_Min_H_41_48,F_Min_H_49_more,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_15,F_Mnf_H_16_24,F_Mnf_H_25_34,F_Mnf_H_35_39,F_Mnf_H_40,F_Mnf_H_41_48,F_Mnf_H_49_more,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_15,F_EGWWS_H_16_24,F_EGWWS_H_25_34,F_EGWWS_H_35_39,F_EGWWS_H_40,F_EGWWS_H_41_48,F_EGWWS_H_49_more,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_15,F_Const_H_16_24,F_Const_H_25_34,F_Const_H_35_39,F_Const_H_40,F_Const_H_41_48,F_Const_H_49_more,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_15,F_WST_H_16_24,F_WST_H_25_34,F_WST_H_35_39,F_WST_H_40,F_WST_H_41_48,F_WST_H_49_more,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_15,F_RetT_H_16_24,F_RetT_H_25_34,F_RetT_H_35_39,F_RetT_H_40,F_RetT_H_41_48,F_RetT_H_49_more,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_15,F_AcFd_H_16_24,F_AcFd_H_25_34,F_AcFd_H_35_39,F_AcFd_H_40,F_AcFd_H_41_48,F_AcFd_H_49_more,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_15,F_TPW_H_16_24,F_TPW_H_25_34,F_TPW_H_35_39,F_TPW_H_40,F_TPW_H_41_48,F_TPW_H_49_more,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_15,F_IMT_H_16_24,F_IMT_H_25_34,F_IMT_H_35_39,F_IMT_H_40,F_IMT_H_41_48,F_IMT_H_49_more,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_15,F_FinIns_H_16_24,F_FinIns_H_25_34,F_FinIns_H_35_39,F_FinIns_H_40,F_FinIns_H_41_48,F_FinIns_H_49_more,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_15,F_RHRE_H_16_24,F_RHRE_H_25_34,F_RHRE_H_35_39,F_RHRE_H_40,F_RHRE_H_41_48,F_RHRE_H_49_more,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_15,F_ProSTS_H_16_24,F_ProSTS_H_25_34,F_ProSTS_H_35_39,F_ProSTS_H_40,F_ProSTS_H_41_48,F_ProSTS_H_49_more,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_15,F_AdSup_H_16_24,F_AdSup_H_25_34,F_AdSup_H_35_39,F_AdSup_H_40,F_AdSup_H_41_48,F_AdSup_H_49_more,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_15,F_PubAS_H_16_24,F_PubAS_H_25_34,F_PubAS_H_35_39,F_PubAS_H_40,F_PubAS_H_41_48,F_PubAS_H_49_more,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_15,F_EdTrn_H_16_24,F_EdTrn_H_25_34,F_EdTrn_H_35_39,F_EdTrn_H_40,F_EdTrn_H_41_48,F_EdTrn_H_49_more,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_15,F_HltHC_SA_H_16_24,F_HltHC_SA_H_25_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40,F_HltHC_SA_H_41_48,F_HltHC_SA_H_49_more,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_15,F_ArtsR_H_16_24,F_ArtsR_H_25_34,F_ArtsR_H_35_39,F_ArtsR_H_40,F_ArtsR_H_41_48,F_ArtsR_H_49_more,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_15,F_OthSvs_H_16_24,F_OthSvs_H_25_34,F_OthSvs_H_35_39,F_OthSvs_H_40,F_OthSvs_H_41_48,F_OthSvs_H_49_more,F_OthSvs_H_NS,F_OthSvs_H_Tot
101021007,26,59,39,51,48,81,56,165,25,543,3,8,12,15,3,14,9,30,0,85,0,0,0,0,0,0,0,0,0,0,0,10,9,5,4,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,14,13,11,10,6,0,0,0,56,3,11,8,10,3,3,0,9,0,52,0,3,5,3,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,9,0,3,3,0,0,3,0,0,0,8,0,0,0,0,3,3,0,0,0,11,0,3,3,3,3,3,3,3,0,26,3,0,0,5,0,0,0,0,0,5,0,3,8,0,11,3,0,0,0,25,0,10,12,14,10,13,12,10,0,75,3,3,9,19,3,11,6,4,0,59,4,0,3,0,0,3,0,3,0,15,0,0,3,0,0,6,0,3,0,15
101021008,8,52,34,22,61,72,35,69,7,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16,6,4,3,3,0,0,0,43,3,6,3,3,4,3,0,0,0,26,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,13,0,0,0,4,0,4,0,0,0,14,0,0,3,3,4,7,0,3,0,23,8,13,22,42,28,20,12,26,0,174,0,14,7,24,14,10,4,9,0,84,0,3,0,0,0,0,0,0,0,9,0,3,0,0,5,3,0,0,0,11
101021009,63,209,142,189,584,520,281,474,48,2513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,7,10,5,3,0,40,0,0,3,8,10,4,3,3,0,30,0,11,9,5,10,13,0,4,0,49,0,0,3,0,4,0,0,4,0,13,18,102,80,67,69,30,22,13,3,392,3,69,31,30,14,21,9,9,0,190,0,0,0,9,3,3,0,4,0,14,0,3,0,7,9,0,0,3,3,24,4,3,4,8,12,5,4,0,0,42,4,4,8,0,26,16,9,14,0,83,3,17,9,15,24,14,10,14,0,110,0,11,9,8,14,6,4,5,0,62,34,29,37,61,168,75,38,35,3,484,14,45,17,53,53,45,33,36,3,304,46,88,137,158,188,133,39,54,9,852,0,6,7,8,11,3,0,0,0,31,3,20,16,16,16,16,7,4,0,103
101021010,41,119,73,114,366,480,307,499,32,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,8,9,29,21,7,3,3,86,0,3,0,0,3,3,0,0,0,7,3,12,3,9,8,25,5,6,0,80,0,7,0,0,8,4,3,0,0,27,0,13,10,12,14,3,3,3,0,59,3,59,24,15,14,10,6,9,0,145,4,3,4,4,6,0,3,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,12,0,12,0,6,4,7,4,3,0,32,0,7,3,0,12,3,0,0,0,22,3,0,3,0,17,3,6,4,0,41,3,5,10,5,7,4,10,10,0,56,0,3,3,9,6,0,0,3,0,28,0,3,0,0,3,0,0,0,0,6,0,8,8,3,8,3,0,0,0,24
101021011,52,129,73,116,227,374,276,517,37,1798,0,22,7,19,8,10,4,25,0,90,0,0,0,0,0,0,0,0,0,3,0,5,7,6,3,7,0,0,0,31,0,0,0,3,3,3,0,0,0,6,3,11,9,10,7,8,3,3,0,54,0,0,0,0,0,3,0,3,0,10,7,23,15,15,14,7,9,3,0,96,6,42,7,12,8,4,0,9,3,99,0,8,9,3,0,0,0,4,0,26,0,4,0,4,0,0,0,3,0,14,0,0,3,4,3,0,0,0,0,10,0,3,3,4,3,3,0,3,0,15,5,21,13,16,9,16,6,8,0,86,0,7,9,9,12,3,3,0,0,45,12,7,9,11,43,29,34,34,0,179,3,23,23,17,13,16,10,16,3,115,3,18,10,12,13,6,3,9,0,75,0,6,7,4,3,3,3,0,0,28,0,11,5,4,3,7,3,8,0,52
101021012,35,94,49,87,197,367,206,355,28,1411,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,3,12,13,6,0,5,0,54,0,0,0,0,3,3,0,0,0,13,0,8,8,13,8,18,4,3,0,62,0,0,3,0,3,0,3,4,0,16,3,16,12,8,3,10,7,0,0,62,0,11,4,4,0,0,0,0,0,23,0,4,0,4,3,4,4,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,3,0,5,0,4,0,0,0,0,4,0,0,13,0,12,6,9,10,5,4,8,0,59,0,4,3,0,0,5,0,0,0,17,0,5,0,0,3,3,0,4,0,16,5,19,14,20,15,6,13,17,0,104,3,14,16,15,31,14,3,3,0,104,0,3,0,3,3,0,0,3,0,9,0,4,7,7,8,9,3,0,0,48
101031013,20,32,23,18,84,76,86,200,15,566,10,12,4,13,7,4,9,17,3,76,0,0,0,0,0,0,0,0,0,0,0,7,4,0,12,3,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,3,0,4,3,10,14,11,11,6,3,3,0,62,0,18,4,9,3,4,0,5,0,45,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,3,3,0,17,0,0,3,3,3,3,0,0,0,16,0,5,3,0,7,0,0,0,0,27,3,8,16,18,9,6,3,10,0,70,0,0,18,21,4,14,4,12,0,80,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10
101031014,61,134,112,133,339,298,160,310,28,1576,0,3,3,0,0,4,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,4,8,7,6,0,3,6,0,37,8,0,4,7,21,10,9,6,0,64,0,3,3,3,3,3,0,0,0,15,0,5,0,4,8,6,3,0,0,24,16,50,43,58,75,25,28,16,3,316,5,65,39,32,18,14,12,25,3,208,0,3,3,9,6,0,3,0,0,30,0,0,0,5,3,0,3,0,0,12,3,0,3,6,7,13,7,0,0,37,3,3,5,7,8,3,3,3,0,41,7,9,12,13,30,10,4,8,3,94,0,15,3,15,10,8,0,0,0,53,6,10,6,19,72,18,8,9,0,145,5,36,26,55,32,19,22,42,0,234,26,33,59,91,66,41,25,42,3,385,0,9,0,3,0,3,0,0,0,15,0,15,7,4,8,6,0,8,0,45
101031015,10,32,21,40,49,75,38,164,5,428,0,14,6,11,0,22,3,30,4,90,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,3,0,13,0,16,7,6,0,4,0,12,0,46,0,3,0,3,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,4,3,8,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,3,9,3,0,6,3,0,0,0,26,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
101031016,50,136,127,269,453,360,298,660,59,2415,0,3,5,9,3,10,3,27,0,60,0,0,0,0,0,0,0,0,0,3,0,5,4,6,6,7,3,7,0,34,0,0,0,0,0,0,0,0,0,8,0,6,6,10,0,3,0,3,0,24,0,3,0,3,0,7,3,0,0,21,5,24,12,20,27,12,21,17,0,148,6,53,54,104,119,80,94,175,18,695,3,3,3,6,15,6,0,3,3,44,0,3,0,0,0,3,0,0,0,9,0,4,0,3,0,7,0,0,0,17,0,6,6,4,12,3,6,15,0,60,3,7,9,8,6,3,0,12,0,51,0,18,12,18,12,9,3,12,4,94,5,6,6,19,33,16,9,5,0,92,5,25,15,37,37,35,26,36,0,213,0,20,28,20,9,19,9,12,0,118,7,25,24,53,76,32,49,43,3,312,3,3,3,10,3,5,0,8,0,42
