SA2_MAINCODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
101021007,20,9,3,103,74,15,31,4,9,133,71,6,26,13,7,115,77,21,32,24,3,161,29,6,36,25,7,104,21,10,36,24,4,83,12,3,18,22,0,50,5,0,23,17,3,49,531,88,258,137,35,1048
101021008,7,3,0,93,72,6,24,0,4,101,62,9,13,3,0,86,74,14,16,0,0,102,52,0,4,3,0,57,12,3,3,0,0,23,5,3,3,0,0,8,0,0,3,0,0,4,626,50,93,13,13,794
101021009,23,5,0,604,482,46,32,7,5,573,448,31,31,5,3,522,386,31,30,9,7,460,288,30,26,6,4,347,118,14,17,0,6,143,17,4,12,3,0,41,15,3,3,6,0,26,4767,295,257,49,36,5407
101021010,11,5,0,265,204,39,18,4,3,274,168,54,19,0,5,240,175,28,14,0,3,218,126,26,14,4,0,165,46,18,8,0,3,73,16,4,3,3,3,25,8,5,0,7,0,15,2296,259,124,33,20,2735
101021011,28,5,4,322,252,55,65,11,7,390,231,62,62,16,5,365,154,41,52,15,4,259,81,42,60,16,3,201,37,20,36,26,4,123,13,16,18,18,0,62,4,6,17,18,0,35,1923,368,414,139,31,2873
101021012,29,3,0,225,126,62,25,6,0,222,134,46,30,0,0,213,94,44,16,4,0,162,55,20,24,3,3,112,22,9,10,3,0,40,9,3,3,0,0,18,0,3,0,0,0,4,1553,302,191,22,12,2086
101031013,7,0,0,92,70,5,21,9,0,106,98,11,17,7,0,130,93,6,14,6,0,129,68,9,30,8,6,114,21,10,24,12,0,69,4,3,9,20,8,45,0,0,6,7,0,13,704,72,146,79,19,1023
101031014,28,6,0,363,337,31,42,3,0,410,340,35,37,5,3,422,318,29,44,3,4,404,198,25,34,4,4,262,78,16,13,7,3,123,29,3,20,5,0,57,9,3,7,7,3,36,2821,196,286,65,35,3403
101031015,18,7,0,74,42,12,20,11,0,85,39,6,29,10,3,96,23,15,18,8,4,73,27,9,22,9,0,70,9,7,23,16,0,54,0,3,18,25,3,50,0,3,20,13,6,41,291,74,196,115,21,695
101031016,51,13,3,414,283,57,60,5,0,409,293,51,61,16,3,416,237,47,66,16,3,359,136,25,47,13,6,230,65,21,28,11,3,126,22,14,18,19,0,68,11,4,9,12,0,37,3648,304,416,123,43,4538
101041017,43,5,5,464,375,34,57,3,7,483,391,45,58,9,9,512,391,49,56,4,8,503,283,30,51,14,6,382,85,22,22,8,7,142,26,11,0,5,0,36,8,5,7,3,0,26,3424,283,371,65,64,4206
101041018,25,3,0,122,78,13,28,7,0,125,123,17,32,3,3,174,125,15,41,3,3,180,82,8,34,3,0,126,29,9,24,3,0,65,0,12,7,3,0,19,4,3,6,0,0,11,777,100,226,29,18,1149
101041019,34,0,3,512,538,36,51,0,8,636,630,39,63,7,9,747,605,40,57,9,7,711,344,45,41,13,5,449,118,17,20,8,0,170,33,12,14,8,3,64,8,10,8,3,3,36,4354,262,359,66,61,5098
101041020,35,13,0,115,67,13,52,9,0,145,82,14,57,13,0,167,87,22,73,26,3,207,50,21,76,33,6,183,27,8,59,22,5,113,0,0,29,18,0,55,3,4,24,11,0,40,627,125,456,151,30,1390
101041021,12,4,0,95,72,7,16,3,0,95,79,3,16,0,0,98,53,7,14,3,0,76,25,9,13,0,0,44,7,7,3,0,0,15,4,0,3,0,0,9,0,0,3,0,3,4,514,48,106,13,7,693
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10
101041023,8,3,8,151,124,6,11,3,3,154,136,13,9,4,0,172,154,19,19,3,5,200,101,13,14,3,9,142,38,8,9,7,3,61,13,3,5,5,0,28,7,0,0,7,3,18,1069,86,102,36,35,1327
101041024,19,0,3,73,55,15,21,8,0,92,40,17,22,8,3,87,52,9,25,7,4,100,39,12,27,3,0,78,19,4,22,13,0,51,3,3,13,5,0,29,0,0,3,0,0,8,410,74,178,53,15,733
101041025,48,6,10,337,312,51,53,8,8,437,317,65,67,4,4,459,330,68,80,10,10,492,221,41,64,16,4,334,82,34,38,15,5,173,18,10,11,3,4,51,6,4,5,0,0,26,2627,361,464,67,64,3585
101041026,51,3,7,340,309,27,47,6,0,390,353,32,62,8,0,461,377,31,64,3,7,485,272,24,40,9,9,353,73,18,21,3,0,115,22,3,9,3,0,33,10,3,3,0,3,23,2684,175,359,56,41,3318
101041027,55,6,4,214,186,27,43,5,0,267,227,22,52,7,3,314,239,27,70,17,8,365,194,38,84,20,6,347,57,28,48,12,0,144,15,3,21,9,3,51,4,0,14,3,4,26,1688,204,446,91,43,2475
101051539,75,7,3,1029,891,60,87,5,15,1060,909,78,104,12,10,1120,809,64,75,9,11,967,499,54,57,15,14,636,165,20,50,22,5,256,63,15,23,11,3,113,19,3,14,12,3,55,8377,497,640,120,105,9744
101051540,49,17,3,232,169,37,47,7,3,262,183,39,67,35,3,322,160,33,66,47,5,312,106,23,55,31,3,228,49,18,63,54,4,190,15,18,25,34,4,92,9,12,28,22,5,83,1606,237,511,283,47,2679
101061541,33,0,3,208,147,19,25,8,5,203,166,20,29,0,0,220,152,23,27,9,3,206,101,10,24,6,0,149,40,7,22,5,0,71,3,3,5,9,0,18,10,0,7,5,0,23,1487,135,220,51,26,1922
101061542,42,14,0,185,113,23,54,6,0,195,115,35,53,12,8,217,92,20,57,21,3,195,56,27,47,32,0,168,46,20,40,34,4,144,12,10,33,30,0,93,3,7,19,33,4,59,1003,219,399,207,26,1856
101061543,44,12,3,374,260,38,49,14,3,359,313,44,45,7,7,421,250,33,35,12,6,335,141,24,48,8,3,233,63,14,26,13,0,122,14,4,13,12,0,52,3,6,9,3,3,22,2669,268,338,116,44,3432
101061544,35,8,0,174,128,21,44,14,3,208,111,11,46,20,4,190,94,16,33,16,3,166,71,17,51,21,4,164,23,18,40,22,5,103,8,4,29,25,0,62,6,3,21,19,0,48,1013,135,354,166,33,1693
102011028,39,6,9,133,53,45,46,5,0,149,50,17,30,7,0,107,34,32,38,3,0,112,25,8,19,3,0,64,11,7,11,3,0,34,0,3,4,0,0,11,3,4,3,0,3,10,585,180,271,43,15,1094
102011029,44,4,3,138,72,37,44,11,0,164,67,39,40,6,3,159,70,35,51,4,6,164,27,33,37,9,0,106,17,16,29,4,0,69,4,8,12,4,0,33,3,3,6,0,0,15,701,223,339,60,12,1339
102011030,40,3,3,578,565,44,67,13,8,700,506,66,60,10,7,652,424,53,39,15,10,541,233,32,34,13,3,316,105,22,26,9,0,158,19,8,22,10,3,68,8,10,11,12,3,43,4382,348,378,101,59,5266
102011031,68,5,5,901,757,114,98,17,11,990,738,118,84,16,15,964,705,73,86,9,11,884,433,71,55,15,7,569,137,33,30,5,3,219,32,20,8,10,0,72,15,3,5,6,0,34,7955,687,586,101,87,9410
102011032,113,18,17,2170,1943,145,104,14,17,2227,1874,149,118,22,21,2181,1852,115,118,22,9,2119,1052,100,99,9,12,1277,370,71,54,13,10,516,97,27,27,7,8,162,32,11,8,4,8,59,16472,975,873,142,161,18623
102011033,18,0,0,185,135,5,18,0,3,162,152,11,5,0,0,176,110,13,15,0,0,139,74,6,10,0,0,87,31,3,3,0,0,39,9,0,3,0,0,9,5,0,3,0,0,10,1117,75,111,10,12,1321
102011034,24,3,3,222,181,30,42,3,0,258,207,25,27,0,3,271,196,27,32,6,3,258,155,6,21,3,0,187,51,5,10,3,0,76,14,4,3,3,0,25,7,0,3,0,0,16,1748,156,212,36,34,2186
102011035,21,0,0,73,46,5,10,0,0,62,57,14,11,0,0,86,60,8,18,0,0,88,32,9,10,0,0,50,11,5,3,5,0,19,5,4,0,3,0,14,0,0,3,0,0,3,483,66,99,14,3,658
102011036,17,3,3,299,258,35,26,0,3,318,296,15,27,0,0,336,277,13,22,4,6,334,158,16,13,6,0,195,34,6,6,0,0,53,6,4,0,4,0,14,10,0,0,0,3,7,2314,130,166,33,29,2663
102011037,22,0,0,94,79,13,18,0,0,112,101,14,22,3,0,135,77,19,15,4,0,119,51,12,12,0,0,69,29,6,9,5,3,43,6,0,5,6,0,21,0,0,0,0,0,9,604,87,133,22,3,849
102011038,26,4,4,80,50,15,30,6,0,94,32,15,31,3,6,86,35,13,26,3,0,73,25,15,9,0,0,46,10,8,8,3,0,29,3,0,3,0,0,12,0,3,0,0,0,4,362,117,175,26,16,698
102011039,52,14,0,304,168,61,62,9,3,296,162,58,54,9,4,278,154,41,58,14,0,261,102,24,44,11,0,187,38,31,21,9,0,94,13,8,15,0,4,49,6,3,3,3,0,16,1929,361,453,75,28,2838
102011040,74,7,4,394,279,31,85,15,4,411,282,48,71,8,8,413,260,39,67,13,3,385,158,42,52,16,13,286,69,36,38,0,4,147,19,11,9,13,0,57,10,4,10,0,0,25,2578,327,585,98,57,3644
102011041,46,5,3,201,97,39,50,3,0,192,84,41,27,4,3,172,80,29,30,8,0,150,60,21,21,0,6,100,17,5,17,0,0,44,5,5,0,0,0,15,0,0,3,0,0,3,950,206,292,34,20,1511
102011042,37,6,4,361,355,44,48,6,6,454,348,39,34,5,0,425,373,33,54,13,4,471,220,21,36,5,3,285,89,13,16,0,4,124,28,9,11,0,3,44,6,8,0,6,6,26,3208,240,319,48,39,3858
102011043,28,0,5,217,213,15,29,3,4,268,223,19,20,3,0,268,219,7,26,3,0,264,177,12,24,0,4,212,71,14,11,5,3,105,26,0,9,0,0,38,3,0,3,0,0,7,2098,117,241,31,20,2516
102021044,59,10,3,388,322,33,51,8,8,412,328,36,56,0,9,429,372,45,51,10,4,483,247,31,48,14,3,334,95,14,27,0,3,133,27,4,4,0,0,37,9,7,6,0,3,28,3209,281,423,53,53,4019
102021045,21,0,0,98,72,11,23,6,4,111,60,13,19,0,0,90,54,3,13,6,0,75,32,4,10,0,0,46,14,3,4,0,0,20,0,0,0,0,0,9,0,0,0,0,0,0,664,59,146,20,7,898
102021046,20,0,0,96,65,13,14,4,3,103,73,7,20,3,3,105,67,9,17,7,0,104,38,6,27,3,0,77,12,4,10,0,0,23,0,4,0,0,0,12,3,0,3,0,0,6,673,90,160,21,16,961
