SA2_MAINCODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
101021007,17,22,3,6,49,576,405,40,35,1048
101021008,0,4,0,0,4,424,333,24,13,794
101021009,12,9,0,0,26,3313,1805,190,94,5407
101021010,7,8,0,0,15,1992,617,73,49,2735
101021011,16,24,0,0,35,1889,844,94,44,2873
101021012,0,7,0,0,4,1451,553,49,33,2086
101031013,5,6,0,0,13,649,317,42,25,1023
101031014,5,23,0,4,36,1974,1227,137,66,3403
101031015,27,6,3,0,41,434,223,23,17,695
101031016,16,11,4,4,37,3027,1298,89,119,4538
101041017,8,14,0,0,26,2169,1756,181,96,4206
101041018,0,8,0,0,11,514,568,47,14,1149
101041019,8,19,5,3,36,2860,1920,223,93,5098
101041020,23,16,3,0,40,766,537,50,32,1390
101041021,3,0,0,3,4,351,308,14,14,693
101041022,0,0,0,0,0,4,6,0,0,10
101041023,8,4,0,0,18,714,529,60,24,1327
101041024,4,8,0,0,8,365,329,30,17,733
101041025,5,13,0,3,26,1701,1635,173,74,3585
101041026,5,11,0,3,23,1696,1414,138,70,3318
101041027,3,15,0,0,26,1090,1233,83,65,2475
101051539,14,36,3,3,55,5885,3302,352,212,9744
101051540,32,41,6,4,83,1615,922,82,63,2679
101061541,6,11,0,0,23,1101,710,65,44,1922
101061542,26,25,6,6,59,1057,680,74,40,1856
101061543,7,9,0,3,22,2075,1160,127,70,3432
101061544,25,24,0,0,48,1068,525,47,56,1693
102011028,3,7,0,0,10,518,527,33,20,1094
102011029,5,9,0,0,15,630,647,42,22,1339
102011030,24,16,5,3,43,3972,1063,139,89,5266
102011031,7,19,4,3,34,4485,4458,330,141,9410
102011032,15,35,5,6,59,11318,6233,762,306,18623
102011033,0,3,0,0,10,751,487,52,30,1321
102011034,0,12,0,3,16,1006,1068,72,45,2186
102011035,0,3,0,0,3,350,283,23,10,658
102011036,3,3,0,3,7,1606,938,84,39,2663
102011037,5,3,0,0,9,366,433,38,12,849
102011038,0,4,0,0,4,314,355,27,9,698
102011039,3,8,0,5,16,1367,1334,97,42,2838
102011040,4,12,0,3,25,1598,1856,124,63,3644
102011041,0,3,0,0,3,776,665,47,24,1511
102011042,6,12,0,5,26,1742,1876,145,91,3858
102011043,0,3,0,0,7,1145,1251,75,40,2516
102021044,7,20,6,3,28,1703,2057,158,100,4019
102021045,0,0,0,0,0,469,373,33,25,898
102021046,0,0,0,0,6,420,493,31,21,961
102021047,3,12,0,3,16,3141,1587,145,81,4953
102021048,0,8,0,0,16,1761,2135,173,89,4157
102021049,3,9,0,0,5,382,369,30,16,790
102021050,0,0,0,0,5,1053,629,86,27,1793
