SA2_MAINCODE_2016,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
101021007,7,0,0,0,0,7,13,0,0,0,0,12,19,0,3,4,0,21,17,3,4,0,0,27,12,4,8,0,0,23,17,9,9,0,0,40,23,7,13,3,0,43,16,3,8,3,3,39,18,10,12,11,0,52,5,7,13,8,3,34,7,4,11,11,5,28,0,0,7,5,0,13,0,0,9,7,0,14,147,46,97,50,11,352,13,0,0,0,0,13,0,0,3,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,5,0,3,0,0,4,8,0,3,0,0,9,6,3,3,3,0,14,8,0,3,0,0,17,9,3,3,0,0,12,9,0,3,0,0,16,4,0,11,5,0,19,0,3,3,6,0,15,0,0,8,5,0,13,68,5,44,23,0,145,13,4,4,0,0,26,10,3,3,3,10,25,233,57,155,74,24,543,3,0,0,0,0,3,14,0,0,0,0,11,15,0
101021008,8,0,0,0,0,8,22,3,0,0,0,23,19,4,0,0,0,23,15,3,3,0,0,24,15,3,0,0,0,19,23,4,3,0,0,25,20,5,7,0,3,27,18,3,3,0,3,25,22,7,0,0,0,30,8,0,0,0,0,8,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,163,32,24,3,8,227,30,0,0,0,0,30,15,0,0,0,0,16,9,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,5,0,0,7,0,0,6,3,0,0,0,0,3,9,0,3,0,0,15,11,0,0,0,0,9,7,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,83,5,21,3,0,109,12,0,0,0,0,8,5,0,0,0,0,7,268,37,47,5,9,362,3,0,0,0,0,0,9,0,0,0,0,14,13,0
101021009,65,0,0,0,0,66,162,0,3,0,0,166,219,14,6,0,0,243,201,14,11,0,0,230,187,28,12,0,3,232,172,38,14,0,0,221,180,26,23,0,0,229,151,20,15,3,3,183,110,16,12,0,4,138,70,15,14,0,0,95,34,4,0,0,0,42,9,3,3,0,0,13,3,0,0,0,0,6,1557,187,104,7,8,1865,98,0,0,0,0,97,87,0,0,0,0,86,53,3,4,0,0,64,40,5,3,0,0,47,24,4,3,0,0,26,38,3,7,0,0,48,15,0,6,0,0,24,13,0,5,0,0,18,21,3,7,3,0,33,25,7,3,0,0,36,18,0,5,0,0,30,3,0,3,0,0,10,8,0,0,4,0,10,445,28,46,18,0,539,53,3,3,0,3,63,36,3,0,0,7,48,2096,219,157,23,15,2513,30,0,0,0,0,30,137,0,4,0,0,146,168,0
101021010,61,0,0,0,4,62,163,3,3,0,0,171,221,10,14,0,0,244,188,16,4,0,0,208,147,24,9,0,0,178,144,26,3,0,0,175,141,24,12,0,3,174,100,43,10,0,0,158,112,16,7,0,0,136,71,20,4,0,0,97,21,8,4,0,0,31,5,0,0,0,0,4,3,3,0,0,0,6,1371,198,67,8,11,1649,81,0,0,0,0,81,44,0,0,0,0,44,19,0,0,0,0,19,21,0,0,0,0,20,6,0,0,0,0,8,19,3,0,0,0,23,7,0,0,0,0,14,9,0,4,0,0,16,18,0,0,0,0,20,18,0,3,0,0,26,21,3,4,0,0,27,8,3,0,0,0,11,4,0,0,3,0,7,270,12,18,3,0,308,39,3,5,0,0,41,27,0,3,0,0,32,1700,207,94,10,11,2033,6,0,0,0,0,6,32,0,0,0,0,31,40,0
101021011,21,0,0,0,0,24,60,0,4,0,0,70,125,11,11,0,0,147,129,27,12,0,0,173,112,22,8,0,0,142,136,24,9,0,0,180,137,25,19,3,3,193,132,37,22,7,4,195,85,20,18,3,0,129,39,20,16,9,0,76,16,10,17,3,0,43,3,6,6,3,0,19,0,3,8,0,0,12,989,196,161,32,12,1394,41,0,0,0,0,41,27,0,0,0,0,32,24,0,3,0,0,24,16,0,3,0,0,15,9,0,0,0,0,13,8,4,3,0,0,11,11,3,5,0,0,20,16,0,5,0,3,28,15,4,9,3,0,25,20,3,11,3,0,39,7,7,6,7,0,29,3,7,5,6,0,25,3,0,3,5,0,8,189,39,65,28,3,322,26,4,9,9,0,52,19,3,6,0,3,37,1225,242,239,65,20,1798,12,0,0,0,0,12,27,0,0,0,0,23,46,0
101021012,28,0,0,0,0,31,128,4,0,0,0,128,150,3,0,0,0,160,121,13,4,0,0,146,97,22,16,0,3,136,83,31,11,3,0,130,73,41,7,0,0,123,63,29,14,0,3,114,51,32,10,0,0,92,25,15,13,0,0,49,11,3,0,3,0,12,3,0,0,0,0,3,0,0,0,0,0,0,833,205,76,3,4,1121,50,0,0,0,0,51,37,0,0,0,0,36,12,3,0,0,0,23,19,3,0,0,0,17,5,0,3,0,0,11,5,3,4,0,0,14,3,3,5,0,0,10,4,3,3,0,0,15,5,8,8,0,0,16,5,4,8,0,3,22,7,3,3,0,0,10,0,3,3,0,0,8,0,3,0,0,0,4,153,31,36,6,8,229,29,4,0,0,0,35,19,3,0,0,0,28,1035,243,112,10,11,1411,8,0,0,0,0,10,37,0,0,0,0,37,40,0
101031013,20,0,0,0,0,20,24,0,0,0,0,24,34,0,3,0,0,38,31,3,6,0,0,34,32,0,3,0,0,34,34,3,6,0,0,46,35,6,14,0,0,53,39,3,8,3,0,55,31,6,10,7,0,49,27,8,11,5,0,51,3,3,12,4,0,19,0,3,4,4,0,10,0,0,0,5,0,7,305,35,76,33,3,448,7,0,0,0,0,5,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,5,4,0,0,0,0,4,6,0,3,0,0,9,12,0,3,0,0,15,6,0,4,0,0,5,0,0,0,3,0,5,0,0,3,0,0,6,47,3,18,13,3,83,9,3,5,0,3,20,6,0,0,0,3,15,365,41,93,47,14,566,6,0,0,0,0,6,11,0,0,4,0,14,3,0
101031014,48,0,0,0,0,48,85,0,3,0,0,94,81,0,6,0,0,85,84,3,11,0,0,106,61,10,10,0,0,82,94,9,19,0,0,124,98,20,19,0,0,134,104,25,13,3,0,143,104,26,18,3,0,150,61,9,21,0,0,83,16,9,7,0,0,35,0,0,10,0,0,18,0,0,3,0,0,8,844,109,136,12,7,1102,69,0,0,3,0,78,39,0,0,0,0,46,25,0,3,0,0,27,21,0,3,0,0,19,19,0,8,0,0,24,19,0,3,0,0,24,25,0,0,0,0,26,26,0,3,0,0,30,32,0,0,0,0,34,21,0,3,0,0,32,13,3,4,0,0,20,8,0,8,0,0,16,0,0,3,3,0,9,324,6,37,13,0,379,48,4,11,3,3,61,23,0,0,3,3,28,1233,119,180,30,17,1576,24,0,0,0,0,24,56,0,0,0,0,62,79,0
101031015,3,0,0,0,0,3,12,0,0,0,0,8,21,0,0,0,0,26,14,0,6,0,0,19,14,3,5,0,0,20,15,12,9,3,0,33,21,3,10,0,0,34,19,4,14,9,0,42,12,9,12,3,3,36,8,3,7,8,0,23,0,0,14,4,0,24,0,0,11,8,0,22,0,0,16,9,0,23,136,34,104,45,8,324,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,10,3,0,4,0,0,10,3,0,3,0,0,4,3,6,3,0,0,12,8,0,6,0,0,15,3,3,0,3,0,9,0,0,3,6,0,6,0,0,3,3,0,6,34,9,25,15,6,94,3,0,4,0,0,10,0,0,0,0,0,5,177,40,134,66,16,428,0,0,0,0,0,0,7,0,0,0,0,5,4,0
101031016,70,0,0,0,0,77,268,4,9,0,0,276,274,3,6,0,3,281,150,7,9,0,0,171,113,13,16,3,0,141,140,19,20,4,0,187,110,26,22,0,0,164,116,20,30,3,0,171,96,24,26,4,3,149,47,13,14,6,0,91,18,5,9,0,0,38,3,5,4,3,0,24,3,0,0,3,0,12,1409,153,168,32,14,1772,66,0,0,0,0,70,115,0,0,0,0,117,70,0,0,0,0,67,25,0,0,0,0,28,12,3,3,0,0,20,20,5,3,4,0,32,19,3,3,0,0,28,16,4,3,0,0,22,26,0,11,0,0,47,26,9,6,5,3,49,14,3,8,5,0,27,6,3,0,3,0,19,0,0,3,3,0,7,419,21,51,26,7,526,32,3,9,5,0,50,41,4,12,4,0,59,1904,183,241,60,25,2415,60,0,0,0,0,59,257,4,0,0,3,269,188,0
