SA2_MAINCODE_2016,Mng_NNI_H_0,Mng_NNI_H_1_15,Mng_NNI_H_16_24,Mng_NNI_H_25_34,Mng_NNI_H_35_39,Mng_NNI_H_40,Mng_NNI_H_41_48,Mng_NNI_H_49mo,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_15,Mng_1_149_H_16_24,Mng_1_149_H_25_34,Mng_1_149_H_35_39,Mng_1_149_H_40,Mng_1_149_H_41_48,Mng_1_149_H_49mo,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_15,Mng_150_299_H_16_24,Mng_150_299_H_25_34,Mng_150_299_H_35_39,Mng_150_299_H_40,Mng_150_299_H_41_48,Mng_150_299_H_49mo,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_15,Mng_300_399_H_16_24,Mng_300_399_H_25_34,Mng_300_399_H_35_39,Mng_300_399_H_40,Mng_300_399_H_41_48,Mng_300_399_H_49mo,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_15,Mng_400_499_H_16_24,Mng_400_499_H_25_34,Mng_400_499_H_35_39,Mng_400_499_H_40,Mng_400_499_H_41_48,Mng_400_499_H_49mo,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_15,Mng_500_649_H_16_24,Mng_500_649_H_25_34,Mng_500_649_H_35_39,Mng_500_649_H_40,Mng_500_649_H_41_48,Mng_500_649_H_49mo,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_15,Mng_650_799_H_16_24,Mng_650_799_H_25_34,Mng_650_799_H_35_39,Mng_650_799_H_40,Mng_650_799_H_41_48,Mng_650_799_H_49mo,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_15,Mng_800_999_H_16_24,Mng_800_999_H_25_34,Mng_800_999_H_35_39,Mng_800_999_H_40,Mng_800_999_H_41_48,Mng_800_999_H_49mo,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_15,Mng_1000_1249_H_16_24,Mng_1000_1249_H_25_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40,Mng_1000_1249_H_41_48,Mng_1000_1249_H_49mo,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_15,Mng_1250_1499_H_16_24,Mng_1250_1499_H_25_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40,Mng_1250_1499_H_41_48,Mng_1250_1499_H_49mo,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_15,Mng_1500_1749_H_16_24,Mng_1500_1749_H_25_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40,Mng_1500_1749_H_41_48,Mng_1500_1749_H_49mo,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_15,Mng_1750_1999_H_16_24,Mng_1750_1999_H_25_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40,Mng_1750_1999_H_41_48,Mng_1750_1999_H_49mo,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_15,Mng_2000_2999_H_16_24,Mng_2000_2999_H_25_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40,Mng_2000_2999_H_41_48,Mng_2000_2999_H_49mo,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000mo_H_0,Mng_3000mo_H_1_15,Mng_3000mo_H_16_24,Mng_3000mo_H_25_34,Mng_3000mo_H_35_39,Mng_3000mo_H_40,Mng_3000mo_H_41_48,Mng_3000mo_H_49mo,Mng_3000mo_H_NS,Mng_3000mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_15,Mng_PINS_H_16_24,Mng_PINS_H_25_34,Mng_PINS_H_35_39,Mng_PINS_H_40,Mng_PINS_H_41_48,Mng_PINS_H_49mo,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_15,Mng_Tot_H_16_24,Mng_Tot_H_25_34,Mng_Tot_H_35_39,Mng_Tot_H_40,Mng_Tot_H_41_48,Mng_Tot_H_49mo,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_15,Pro_NNI_H_16_24,Pro_NNI_H_25_34,Pro_NNI_H_35_39,Pro_NNI_H_40,Pro_NNI_H_41_48,Pro_NNI_H_49mo,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_15,Pro_1_149_H_16_24,Pro_1_149_H_25_34,Pro_1_149_H_35_39,Pro_1_149_H_40,Pro_1_149_H_41_48,Pro_1_149_H_49mo,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_15,Pro_150_299_H_16_24,Pro_150_299_H_25_34,Pro_150_299_H_35_39,Pro_150_299_H_40,Pro_150_299_H_41_48,Pro_150_299_H_49mo,Pro_150_299_H_NS,Pro_150_299_H_Tot,Pro_300_399_H_0,Pro_300_399_H_1_15,Pro_300_399_H_16_24,Pro_300_399_H_25_34,Pro_300_399_H_35_39,Pro_300_399_H_40,Pro_300_399_H_41_48,Pro_300_399_H_49mo,Pro_300_399_H_NS,Pro_300_399_H_Tot
101021007,0,0,3,0,0,0,0,14,0,24,0,3,3,0,0,0,0,3,0,7,0,0,3,3,0,0,0,9,0,22,0,0,0,3,3,0,0,17,0,24,0,0,3,0,0,3,0,9,0,25,0,3,0,3,3,9,0,16,0,37,0,4,7,4,3,0,0,8,0,28,0,0,0,0,0,3,3,9,0,28,0,0,0,3,0,3,3,13,0,28,0,0,3,3,3,3,0,12,0,24,0,3,0,3,0,3,0,12,0,19,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,11,0,20,0,0,3,0,0,0,0,4,0,12,0,0,0,0,0,0,0,6,0,9,8,26,22,26,18,34,15,141,9,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,6,0,0,0,4,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,3,0,17,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,4,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,8,13,11,24,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,8
101021009,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,7,0,0,4,0,3,0,3,3,0,7,0,5,4,0,3,3,0,0,4,13,0,0,3,6,6,3,6,4,0,30,0,0,3,3,20,14,5,9,0,62,0,4,6,3,11,19,12,17,0,68,0,0,0,3,8,13,7,16,0,53,0,0,3,4,0,15,11,15,0,49,0,0,0,0,13,9,6,12,0,41,6,4,0,3,23,26,26,50,0,140,0,0,0,0,3,5,8,32,0,54,0,0,0,0,0,0,0,0,0,3,13,15,24,24,97,112,84,157,5,525,0,3,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,13,0,4,4,0,0,0,0,0,0,12,0,13,3,5,0,0,0,0,0,21
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,0,0,0,0,12,0,0,0,4,4,7,3,0,0,23,0,0,3,3,9,8,0,8,0,28,0,0,0,3,16,7,11,28,0,61,0,0,0,0,7,13,7,20,0,47,0,0,0,0,0,9,5,15,0,36,0,0,0,0,0,9,13,26,0,45,0,0,0,0,0,11,11,45,0,66,0,0,0,0,0,0,0,35,0,36,3,0,0,0,0,0,0,3,0,9,5,7,10,18,46,71,49,175,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
101021011,0,3,0,3,0,0,0,13,0,18,0,6,0,5,0,0,0,4,0,15,0,0,3,0,0,0,0,9,0,11,0,4,4,3,0,6,0,10,0,26,0,3,0,6,0,3,0,4,0,20,0,0,0,3,0,11,0,15,0,33,0,0,0,4,4,8,4,6,0,30,3,8,0,5,4,10,7,12,3,52,3,6,3,9,9,4,8,20,0,55,0,0,0,0,8,16,8,17,0,43,3,0,0,3,7,11,11,21,0,52,0,3,0,0,4,14,11,12,0,58,11,5,4,4,11,30,52,71,0,190,3,3,3,0,0,15,16,70,0,119,0,0,4,0,0,0,0,0,0,7,26,42,19,54,47,129,125,277,8,730,0,0,0,3,0,0,0,0,0,3,0,7,3,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,13
101021012,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,7,0,4,0,3,4,4,0,0,0,18,0,0,0,0,3,3,0,3,0,16,0,0,0,4,7,6,3,3,0,28,4,0,0,0,4,4,0,17,0,24,0,0,0,3,0,12,9,17,0,47,0,0,0,0,0,6,4,11,0,22,3,3,0,0,3,11,9,22,0,50,0,0,0,3,0,4,3,20,0,30,0,0,0,0,0,0,0,0,0,0,7,16,10,18,17,55,34,100,0,258,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,10
101031013,0,3,0,0,0,0,3,4,0,10,0,4,3,0,0,0,0,0,0,6,0,0,0,0,0,3,0,3,0,14,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,4,0,7,0,0,4,0,0,0,6,8,0,22,0,0,0,0,0,0,0,14,0,20,3,0,3,6,0,3,3,24,0,35,0,3,0,0,0,3,3,19,0,37,3,3,4,3,3,0,4,11,0,27,0,0,0,0,3,3,3,8,0,17,0,0,0,4,4,3,3,3,0,18,0,0,0,0,3,4,3,11,0,22,0,0,0,0,0,0,3,10,0,11,0,0,0,0,0,0,0,0,0,3,18,12,19,15,13,28,31,129,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,0,5,0,3,0,3,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,10,4,10,0,3,0,0,0,0,3,8,0,19,0,0,0,0,0,4,4,16,0,31,0,0,3,3,10,8,0,15,0,42,3,3,3,0,15,14,5,14,0,55,4,0,3,3,7,18,7,17,0,56,0,0,0,4,3,12,6,13,0,37,0,0,0,0,5,12,7,7,0,29,0,0,0,0,3,3,3,7,0,20,3,0,0,3,14,6,11,21,0,59,0,0,0,0,3,9,5,16,0,35,0,0,0,3,0,3,0,3,0,9,18,17,19,22,59,88,53,153,4,427,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,3,0,9,0,0,4,0,0,0,0,0,0,11
101031015,0,0,0,0,0,3,0,9,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,8,0,13,0,4,3,3,3,0,0,4,0,22,0,0,0,3,0,0,0,10,0,24,0,4,0,0,0,5,0,18,0,37,0,0,3,3,3,5,0,14,0,25,0,0,0,6,7,0,3,20,0,40,0,0,3,3,4,0,3,18,0,30,0,3,3,0,0,6,0,14,0,27,0,3,0,3,0,6,0,7,0,17,0,0,0,0,0,0,3,5,3,9,0,0,0,0,0,3,3,10,0,22,0,0,0,0,0,3,0,9,0,17,0,0,0,0,0,0,0,5,0,5,6,21,12,33,21,41,21,145,4,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3
101031016,0,0,0,0,3,0,0,7,0,12,0,0,0,0,0,0,0,9,0,15,0,0,5,6,0,0,0,6,0,14,0,3,3,0,0,3,0,8,0,20,0,4,4,3,3,0,0,20,0,43,0,4,0,4,0,8,6,23,0,57,0,4,9,3,7,11,7,29,0,72,3,3,0,4,3,15,22,53,0,97,0,3,7,0,10,24,21,65,0,125,0,0,0,4,3,9,9,44,0,72,4,3,3,0,0,6,3,35,4,65,0,0,0,0,3,16,0,21,0,38,3,3,0,3,4,12,5,43,0,65,3,0,0,0,0,3,0,34,0,45,0,0,0,0,0,0,3,8,0,14,12,36,35,34,51,106,74,398,11,758,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,6
