SA2_MAINCODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
101041018,13,5,0,47,0,0,3,11,19,11,0,0,50,0,0,4,9,3,7,3,0,25,0,3,3,3,3,3,0,0,18,57,54,131,210,299,303,80,11,1149
101041019,62,5,0,240,0,4,24,54,95,61,17,4,254,0,0,5,15,31,33,10,0,92,5,8,9,13,20,30,8,4,86,308,319,729,930,1383,1162,239,36,5098
101041020,12,3,0,45,0,0,5,6,9,10,0,0,40,0,0,0,0,9,11,4,0,25,8,0,0,0,7,6,6,3,26,66,55,153,210,311,391,165,40,1390
101041021,10,0,0,43,0,0,3,4,8,6,0,0,30,0,0,0,4,5,4,0,0,16,3,3,0,3,0,6,0,0,16,49,48,93,160,198,120,19,4,693
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
101041023,13,3,0,56,0,0,9,8,12,12,3,0,44,0,0,0,8,0,6,0,0,15,0,0,0,3,0,4,3,0,13,55,63,177,251,321,341,87,18,1327
101041024,0,3,0,7,0,0,0,4,7,12,0,0,22,0,0,0,0,3,4,3,0,15,0,4,0,4,0,6,0,0,10,33,47,80,129,182,181,81,8,733
101041025,29,7,0,123,0,0,5,30,30,25,6,3,101,0,3,5,11,15,11,8,0,54,11,5,5,10,14,12,3,0,68,288,236,463,627,894,828,223,26,3585
101041026,42,5,0,141,0,0,12,24,42,46,4,0,125,0,0,3,10,17,18,4,0,60,3,3,8,12,11,14,4,0,60,200,223,436,603,848,838,152,23,3318
101041027,23,5,3,60,0,0,5,18,20,20,6,3,68,0,0,0,0,8,12,0,0,34,7,0,3,11,7,17,6,3,48,120,119,312,409,580,707,195,26,2475
101051539,133,15,0,520,0,7,109,155,196,118,19,3,598,0,7,28,62,73,45,18,3,233,13,14,38,33,34,34,6,4,178,672,893,2045,1938,2177,1604,366,55,9744
101051540,28,9,0,119,0,4,21,37,56,30,19,0,179,0,0,5,18,24,25,15,12,89,3,4,11,10,14,13,3,6,58,121,171,444,461,589,534,279,83,2679
101061541,14,3,0,98,0,0,29,33,27,35,8,0,136,0,0,3,14,23,16,3,0,59,0,6,4,7,11,3,5,0,32,108,164,382,384,424,355,89,23,1922
101061542,15,8,0,92,0,0,12,25,32,21,8,6,103,0,0,4,16,30,14,9,9,77,3,0,7,7,4,3,9,3,33,70,125,258,339,411,357,232,59,1856
101061543,32,9,0,137,0,0,35,56,59,32,7,0,191,0,0,5,15,36,24,3,0,87,0,4,4,14,8,11,3,0,53,182,334,620,772,779,564,171,22,3432
101061544,10,5,0,72,0,3,13,19,31,18,11,3,101,0,0,0,16,22,13,15,8,75,0,3,10,6,11,6,5,3,43,64,127,261,302,397,329,164,48,1693
102011028,8,3,0,42,0,0,4,8,27,13,3,0,54,0,0,5,14,4,3,7,3,33,0,0,3,0,4,3,0,0,20,112,94,171,235,254,173,46,10,1094
102011029,13,3,0,61,0,0,4,15,19,18,0,3,61,0,0,0,6,7,11,7,3,31,4,0,0,0,3,4,0,0,17,74,122,200,244,316,269,101,15,1339
102011030,51,15,0,287,0,0,58,92,112,67,12,8,353,0,0,11,29,50,44,13,4,153,7,4,17,21,25,16,7,3,98,191,489,1021,1093,1346,853,227,43,5266
102011031,73,5,0,332,0,3,45,118,153,87,11,0,406,0,0,12,55,73,55,12,3,213,21,20,28,25,35,12,4,0,156,1070,1185,1648,1773,1958,1460,283,34,9410
102011032,262,31,3,1206,0,3,176,417,432,294,37,0,1364,0,5,39,156,191,129,30,6,552,21,27,45,51,56,48,11,7,266,800,1486,3709,4079,4411,3393,674,59,18623
102011033,25,0,0,88,0,0,6,24,24,19,3,0,76,0,0,0,5,10,3,0,0,23,7,4,4,4,5,3,0,0,31,64,93,238,303,337,232,46,10,1321
102011034,23,4,0,77,0,0,8,18,23,15,0,0,70,0,0,3,8,11,16,0,0,37,4,0,3,9,3,9,0,0,29,210,189,313,394,524,448,97,16,2186
102011035,11,0,0,33,0,0,5,11,14,8,0,0,41,0,0,0,0,6,8,0,0,15,0,3,0,0,0,0,0,0,10,29,52,121,139,146,143,33,3,658
102011036,23,0,0,98,0,3,16,31,41,23,4,0,126,0,0,4,14,17,9,0,0,45,4,3,7,4,12,8,4,0,43,187,227,437,559,652,530,69,7,2663
102011037,8,0,0,34,0,0,0,11,16,13,3,0,46,0,0,0,0,6,3,3,0,16,0,0,3,7,7,0,0,0,13,26,36,107,174,243,188,65,9,849
102011038,3,0,0,30,0,0,0,14,16,0,3,0,40,0,0,4,9,9,3,3,0,22,0,3,0,0,4,0,0,0,15,47,55,109,149,178,125,45,4,698
102011039,27,8,0,135,0,0,17,32,46,31,8,0,138,0,0,5,29,28,25,8,0,97,3,0,0,3,8,8,3,0,27,267,315,523,550,581,448,144,16,2838
102011040,29,0,0,110,0,0,15,52,39,26,22,0,151,0,0,7,11,23,26,3,4,73,5,3,6,13,13,11,3,0,57,319,310,583,732,820,669,199,25,3644
102011041,18,0,0,78,0,0,4,25,25,11,0,0,75,0,0,0,14,20,13,0,0,45,3,0,4,7,10,3,3,0,32,80,135,278,353,362,247,57,3,1511
102011042,45,3,0,142,0,0,18,37,36,42,3,7,140,0,0,3,8,32,22,8,0,77,12,7,15,14,23,11,4,0,84,362,353,632,696,878,753,168,26,3858
102011043,20,5,0,80,0,0,6,30,23,18,8,0,84,0,0,7,12,14,12,6,0,50,0,4,7,3,6,12,7,0,43,270,248,416,409,538,473,141,7,2516
102021044,30,0,0,108,0,0,15,22,40,27,3,4,118,0,0,12,23,17,11,0,0,69,9,3,6,12,12,9,4,0,62,429,406,626,703,847,813,168,28,4019
102021045,3,0,0,29,0,0,16,18,13,9,0,0,46,0,0,0,3,0,0,0,0,11,0,4,3,0,3,0,0,0,18,42,115,192,196,204,124,27,0,898
102021046,8,0,0,23,0,0,3,9,9,8,0,0,30,0,0,3,7,3,0,0,0,16,3,5,3,4,5,0,3,0,21,92,91,171,180,205,179,34,6,961
102021047,36,3,0,242,0,0,32,106,92,65,6,0,298,3,0,15,48,71,23,3,0,158,3,4,13,16,18,7,4,5,71,313,382,869,1127,1272,837,146,16,4953
102021048,27,3,0,102,0,0,18,26,37,16,6,0,98,0,0,10,16,10,9,4,0,50,11,4,7,3,13,6,4,0,59,622,486,797,715,798,611,110,16,4157
102021049,8,0,0,29,0,0,4,7,11,8,0,0,40,0,0,0,9,3,3,4,0,24,0,0,0,5,4,3,0,0,10,99,85,108,139,174,141,39,5,790
102021050,30,3,0,124,0,0,46,47,58,43,4,0,200,0,0,13,16,29,30,6,0,102,4,3,3,12,5,7,0,0,31,104,135,349,337,403,363,87,5,1793
102021051,24,5,0,134,0,0,6,39,59,41,3,0,151,0,0,0,5,19,13,3,0,44,0,4,0,9,9,3,3,0,30,60,154,365,411,522,395,97,6,2007
102021052,0,0,0,12,0,0,3,4,9,10,0,0,23,0,0,0,0,3,0,0,0,9,0,0,3,0,8,8,0,0,14,19,44,83,87,133,69,19,3,454
102021053,25,0,0,104,0,0,9,34,35,25,3,0,98,0,0,3,19,26,11,4,3,64,3,7,4,6,6,18,0,3,55,281,360,576,665,640,520,150,27,3209
102021054,8,0,0,71,0,0,7,22,21,17,0,0,73,0,0,5,15,7,16,0,0,51,6,0,7,5,10,13,0,0,47,118,204,418,428,499,391,74,12,2157
102021055,46,7,0,327,0,3,67,144,124,66,16,0,420,0,4,15,56,64,35,13,0,183,18,18,31,14,26,21,15,0,147,818,1140,2021,1889,1896,1199,239,11,9214
102021056,72,8,0,376,0,0,36,109,111,59,11,0,326,0,0,16,35,41,26,15,0,132,0,9,17,18,25,17,5,0,87,337,487,1164,1468,1557,1122,217,17,6375
102021057,58,3,0,303,0,0,41,111,125,63,9,0,348,0,0,6,21,35,27,4,0,99,9,3,19,17,18,21,6,0,87,302,372,941,1161,1276,888,180,14,5129
103011058,148,22,3,721,0,3,120,236,276,176,26,0,839,0,0,27,58,83,86,25,6,288,15,24,31,32,43,36,9,3,201,851,1450,2538,2541,2690,2090,466,76,12705
103011059,40,4,0,241,0,0,37,67,75,51,6,3,231,0,0,14,12,31,12,0,0,71,6,4,7,7,19,11,0,0,56,236,315,725,711,830,587,127,20,3550
103011060,23,7,0,60,0,0,8,14,23,13,3,0,59,0,0,0,3,10,18,3,0,36,3,4,0,3,0,0,7,4,23,56,59,160,173,259,258,202,52,1223
103011061,21,11,3,104,0,0,10,27,38,30,7,0,123,0,0,0,8,7,13,9,0,41,0,0,7,9,11,8,5,0,34,106,149,339,397,448,410,208,28,2091
103021062,13,5,3,104,0,3,20,28,32,26,6,0,116,0,0,0,9,27,26,11,8,77,3,0,12,12,10,7,14,3,61,90,212,462,441,523,507,214,75,2530
103021063,38,6,0,129,0,0,26,31,53,26,9,0,145,0,3,3,15,22,23,6,0,70,3,3,8,8,11,13,10,3,59,269,355,598,710,872,705,196,31,3738
103021064,11,8,0,62,0,0,4,9,11,17,6,3,47,0,0,0,3,19,5,5,4,38,0,3,3,5,6,7,4,4,40,69,106,211,261,365,335,164,61,1570
103021065,30,14,0,139,0,0,18,52,57,42,3,0,181,0,0,5,19,28,23,4,0,77,3,7,22,10,6,11,14,10,86,238,329,729,736,888,742,241,87,3992
103021066,14,3,4,41,0,0,0,13,15,12,3,0,48,0,0,3,7,14,14,3,0,40,0,0,0,5,5,0,9,0,24,52,47,139,232,271,297,138,40,1229
103021067,41,10,0,187,0,0,43,55,75,36,7,0,221,0,0,3,17,33,17,18,0,82,7,5,14,14,18,15,4,3,82,317,381,759,784,920,719,166,22,4071
103021068,20,4,0,112,0,0,40,58,50,22,6,0,176,0,0,7,18,12,3,0,0,40,0,0,4,4,3,8,3,0,19,43,88,244,271,318,281,123,51,1422
103021069,23,9,0,111,0,0,47,50,41,46,0,4,190,0,0,14,32,21,23,11,5,100,8,3,8,15,9,10,4,5,67,120,192,435,518,528,534,179,72,2578
103031070,77,12,3,291,0,0,37,84,102,54,5,0,279,3,0,6,24,27,17,9,4,86,7,3,13,10,15,16,3,0,61,355,425,919,965,1156,950,210,24,5007
103031071,36,0,0,158,0,11,115,127,127,85,3,4,477,0,3,38,44,85,44,0,0,219,0,3,13,15,10,7,3,0,51,96,167,441,486,595,512,119,36,2455
103031072,42,5,0,255,0,4,48,78,79,38,12,0,257,0,4,4,21,32,36,11,0,104,11,13,13,14,27,7,3,0,90,383,447,981,1064,1248,878,207,36,5242
103031073,5,0,0,27,0,0,3,13,9,15,0,0,39,0,0,4,3,7,5,3,0,21,0,0,0,8,0,6,3,0,19,27,47,112,139,228,202,84,29,868
103031074,36,7,3,245,0,18,224,219,184,79,12,3,743,0,5,95,115,86,49,10,0,361,3,0,6,20,19,26,12,8,89,98,206,739,818,914,659,289,90,3815
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,31,4,3,250,0,3,118,110,96,31,3,0,369,0,0,20,49,46,15,0,3,133,6,0,6,13,12,9,5,4,57,152,173,566,639,663,491,183,67,2917
103041077,187,24,4,930,0,9,178,398,378,227,28,4,1213,0,0,36,157,159,116,30,7,502,17,13,30,44,43,40,10,0,207,972,1320,3186,3290,3326,2478,542,70,15190
103041078,33,3,0,162,0,9,40,77,57,43,14,0,229,0,0,7,22,17,17,10,0,78,12,3,7,14,20,6,5,3,77,223,329,729,739,686,504,140,15,3355
103041079,39,3,3,215,0,4,88,102,84,35,13,0,336,0,0,17,37,48,20,17,10,148,7,4,10,13,14,17,17,8,78,128,186,645,741,783,668,373,102,3630
104011080,121,11,3,493,0,3,51,148,164,123,17,0,505,0,0,22,54,59,48,17,0,199,12,12,22,40,34,29,3,4,152,594,709,1460,1946,2312,1974,359,69,9416
104011081,22,3,0,60,0,0,10,24,16,13,3,3,70,0,0,4,5,7,13,4,0,41,3,0,4,8,13,8,4,6,40,67,85,240,311,472,517,208,65,1975
104011082,35,3,3,147,0,0,21,40,44,34,6,0,146,0,0,15,22,22,22,5,3,87,11,0,5,17,15,22,10,0,78,345,327,625,922,1194,1119,267,46,4845
104021083,19,3,0,62,0,0,4,20,19,12,4,0,53,0,0,3,8,14,3,6,0,29,5,0,4,0,4,10,0,0,27,92,65,221,349,434,429,97,26,1717
104021084,43,3,0,244,0,3,20,69,77,43,3,0,221,0,0,7,19,27,31,5,0,92,8,8,14,9,15,17,0,0,81,590,596,1156,1261,1338,1141,234,22,6340
104021085,184,13,0,688,0,0,87,202,262,175,25,3,756,0,7,23,72,94,75,27,3,306,15,17,27,28,52,28,14,4,180,682,974,2258,2730,3326,2625,496,46,13139
104021086,7,0,0,23,0,0,0,10,6,7,0,0,22,0,0,0,0,0,0,0,3,4,0,3,0,3,3,3,3,0,17,20,39,81,106,146,141,39,8,568
104021087,9,4,0,29,0,0,0,14,7,7,4,4,34,0,0,0,0,5,3,3,0,15,0,0,0,0,8,5,6,4,21,51,46,99,134,248,239,109,28,952
104021088,7,5,0,40,0,0,6,19,9,10,8,0,47,0,0,3,11,11,8,3,0,34,0,0,3,3,0,3,0,0,10,79,77,209,263,259,237,74,3,1204
104021089,29,5,0,153,0,0,9,43,45,31,12,0,146,0,0,7,10,9,18,4,0,51,11,7,10,9,23,20,4,3,84,368,377,674,842,1028,812,176,25,4302
104021090,10,4,0,40,0,0,10,15,23,11,4,0,65,0,0,4,10,7,3,0,0,33,3,0,0,3,7,5,3,0,22,45,51,183,223,293,285,70,12,1157
104021091,34,3,0,104,0,0,22,33,36,20,9,0,122,0,0,5,23,16,9,0,0,48,0,5,7,9,15,8,3,0,53,172,283,721,622,697,584,117,18,3235
105011092,14,3,0,78,0,4,17,21,27,9,4,0,89,0,0,5,5,12,4,8,0,26,0,5,4,6,11,12,3,8,49,27,93,276,229,273,207,81,14,1205
105011093,34,3,3,178,0,15,127,113,83,44,3,0,399,0,0,20,51,51,26,3,0,155,4,3,3,5,7,14,8,6,43,81,172,576,479,470,373,86,24,2264
105011094,13,3,0,52,0,0,10,11,19,15,8,0,58,0,0,0,5,20,10,6,3,49,0,3,8,10,7,11,4,4,48,47,99,273,239,349,339,115,32,1512
105011095,32,7,3,125,0,3,42,37,48,21,9,0,164,0,0,14,27,21,18,6,3,85,5,4,11,11,13,8,18,9,66,76,170,449,415,532,387,143,74,2247
105011096,24,3,0,91,0,0,26,25,25,26,6,0,109,0,0,8,14,12,8,9,3,56,0,0,13,8,10,9,7,0,53,67,146,403,378,467,441,191,44,2131
105021097,117,11,0,477,0,10,134,141,180,144,15,0,622,0,0,22,42,41,38,8,3,155,9,15,16,28,31,37,9,4,160,367,575,1427,1248,1520,1379,285,48,6856
105021098,11,8,0,46,0,3,5,9,18,18,5,0,58,0,0,3,3,7,12,5,3,32,0,3,6,3,11,11,5,3,43,32,87,175,177,201,235,85,16,1012
105031099,19,10,3,110,0,0,12,24,34,44,7,3,116,0,0,3,10,10,16,3,3,51,4,7,3,18,19,31,14,4,92,86,156,366,469,635,598,235,83,2621
105031100,78,11,0,352,0,0,62,73,113,85,13,0,351,0,0,12,34,46,27,20,0,141,11,12,18,23,24,16,10,7,123,247,656,1505,1262,1401,1099,278,32,6480
105031101,125,18,0,590,0,3,93,219,235,135,15,0,700,3,0,29,59,86,66,12,3,261,13,15,32,33,38,26,10,7,176,838,921,2177,2063,2134,1595,344,63,10129
105031102,19,3,0,103,0,0,28,45,30,18,0,0,119,0,0,3,6,14,11,0,0,33,4,3,11,10,3,3,5,0,40,150,174,475,440,406,337,94,23,2096
105031103,3,3,0,41,0,0,0,10,10,9,3,0,32,0,0,3,3,8,5,7,6,30,4,3,4,0,5,12,8,3,40,42,69,161,161,213,228,125,48,1050
105031104,15,0,0,61,0,0,3,3,12,15,4,0,38,0,0,12,8,3,16,7,3,45,3,0,4,5,5,9,3,3,29,66,114,250,265,361,353,142,57,1607
105031105,23,4,0,103,0,0,32,34,32,16,3,0,118,0,0,7,16,18,9,3,0,53,3,3,11,10,11,5,6,3,46,72,141,360,337,417,360,131,33,1845
105031106,22,5,5,108,0,0,17,31,41,35,3,3,128,0,0,4,20,11,8,11,3,57,7,3,3,9,13,10,4,4,51,98,160,346,388,504,422,178,49,2148
106011107,18,7,0,91,0,0,28,36,46,35,11,0,159,0,0,12,12,24,9,12,0,66,9,7,6,12,21,7,3,0,61,344,507,841,780,736,580,195,34,4013
106011108,68,6,0,310,0,0,30,66,106,61,10,0,274,0,3,13,26,38,25,8,0,109,10,11,10,19,31,14,6,0,108,520,594,1269,1301,1393,1095,207,24,6411
106011109,12,4,0,90,0,0,53,90,68,33,3,0,250,0,0,12,44,51,32,11,3,156,0,3,6,3,11,5,3,0,33,40,81,290,369,426,309,104,23,1639
106011110,31,7,0,95,0,3,3,33,39,20,7,0,107,0,0,10,12,9,14,11,5,65,0,3,3,3,15,9,6,0,29,147,127,251,387,511,502,180,63,2170
106011111,25,3,0,119,0,0,21,45,33,25,3,0,128,0,3,3,9,12,12,4,0,50,9,0,7,14,12,8,0,0,54,285,295,652,685,770,529,88,14,3313
106011112,80,7,0,485,0,7,164,248,204,132,13,0,771,0,0,40,81,84,53,12,0,277,16,16,32,34,32,17,4,3,158,716,919,1763,1727,1698,1067,216,37,8133
106011113,88,8,0,767,0,40,654,805,596,338,18,3,2459,0,3,159,280,231,110,14,0,799,3,10,23,25,31,17,4,3,121,95,374,1800,1957,1565,916,170,23,6906
106021114,65,14,0,362,0,0,59,133,144,98,14,0,433,0,3,11,45,67,63,13,0,201,0,11,23,15,27,8,12,0,96,333,567,1397,1454,1494,1019,178,13,6457
106021115,80,10,0,387,0,3,52,119,139,91,12,0,416,0,6,27,58,59,37,18,0,196,9,20,19,20,16,18,5,0,105,700,854,1596,1540,1631,1102,232,28,7682
106021116,10,0,0,45,0,0,6,18,14,12,3,0,56,0,0,3,7,15,13,3,0,27,0,0,0,4,3,3,0,0,15,63,88,174,219,200,169,60,9,986
106021117,69,4,0,375,0,8,102,159,114,64,18,3,468,0,4,14,61,48,32,14,4,184,13,12,18,31,23,14,3,0,116,635,849,1665,1629,1440,983,218,47,7471
106021118,19,8,0,152,0,0,40,80,69,45,3,0,236,0,0,15,28,38,28,3,0,121,8,3,6,6,17,4,4,0,55,232,341,816,814,893,587,124,17,3823
106031119,3,0,0,15,0,0,0,5,12,0,0,0,19,0,0,0,5,4,5,0,0,16,3,3,4,3,0,0,0,0,15,55,68,115,171,186,171,35,3,799
106031120,13,0,0,28,0,0,0,7,6,9,3,0,27,0,0,5,0,3,3,0,0,15,0,0,0,3,0,0,0,0,4,47,59,159,140,165,168,47,3,799
106031121,38,9,3,207,0,0,24,72,81,63,14,7,259,0,0,9,32,35,31,19,0,129,15,7,9,18,27,31,8,3,116,650,658,1014,1311,1511,1234,362,43,6782
106031122,170,16,0,810,0,7,178,267,242,152,12,4,866,0,0,21,79,88,61,9,5,264,19,18,34,27,38,29,4,3,167,590,890,2222,2122,2255,1591,234,23,9934
106031123,7,0,0,45,0,0,3,9,16,11,5,0,39,0,0,0,3,7,3,0,0,13,0,0,3,0,3,0,0,0,7,37,48,90,143,199,153,55,15,737
106031124,8,0,0,29,0,0,0,3,12,8,0,0,21,0,0,0,8,3,4,6,0,23,0,3,0,3,0,0,3,0,8,69,97,156,164,247,243,96,18,1097
106031125,78,16,4,563,0,4,159,267,289,111,9,0,842,0,0,33,72,109,60,11,0,286,4,9,22,15,21,19,3,0,86,300,588,1645,1516,1485,783,151,42,6505
106041126,80,13,0,480,0,15,204,221,258,126,8,0,831,3,0,43,74,108,70,8,0,300,7,9,26,23,25,24,6,5,119,399,593,1466,1390,1442,966,190,22,6475
106041127,21,3,0,132,0,4,110,139,126,50,7,3,440,0,0,30,56,45,20,3,0,150,3,7,3,6,11,8,5,5,43,71,153,428,489,481,303,99,16,2043
106041128,24,7,0,105,0,0,15,28,19,31,3,0,106,4,0,3,23,29,14,4,0,81,8,0,12,12,12,6,4,0,50,222,258,563,540,589,462,114,32,2775
106041129,13,8,0,74,0,0,16,20,28,14,9,3,98,0,0,3,17,13,13,12,4,55,3,0,11,9,10,22,4,5,60,94,140,415,401,455,467,197,71,2244
107011131,65,3,0,195,0,0,13,52,58,35,9,0,166,0,3,8,21,19,35,10,0,101,6,12,16,13,19,3,3,0,73,501,513,832,921,990,723,159,17,4654
107011132,16,0,0,55,0,0,15,17,20,12,0,0,64,0,0,3,8,9,9,0,0,24,0,3,3,4,0,0,3,0,13,39,57,168,197,200,153,23,3,834
107011133,95,8,0,481,0,3,90,202,296,156,14,0,766,0,0,9,37,67,46,0,0,166,0,0,4,7,14,15,0,3,52,34,174,478,778,1039,684,76,5,3265
107011134,105,15,0,542,0,14,141,247,233,138,16,0,790,0,0,24,84,74,44,12,0,243,12,8,27,26,33,30,8,3,154,396,836,1784,2039,2190,1540,262,33,9077
107011545,16,0,0,58,0,0,12,15,16,15,0,0,50,0,0,3,13,5,0,0,0,21,0,0,3,5,3,5,0,0,19,66,138,286,293,304,224,43,3,1363
107011546,77,12,0,361,0,0,58,118,126,67,6,0,378,0,0,8,25,62,37,10,0,136,9,9,24,21,14,15,3,0,93,416,663,1238,1255,1465,1023,170,20,6255
107011547,6,0,0,23,0,0,5,6,8,3,3,0,20,0,0,0,3,0,0,3,0,8,0,0,3,0,0,0,0,0,6,12,35,79,81,74,64,18,3,377
107021135,3,0,0,7,0,0,6,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,20,12,12,7,0,0,58
107031136,29,0,0,128,0,0,11,40,37,20,0,0,109,0,0,4,9,20,9,4,0,42,4,3,8,12,3,3,0,0,39,202,233,475,536,599,355,88,8,2506
107031137,19,4,0,80,0,0,11,28,30,16,0,3,84,0,0,3,15,7,5,0,0,33,4,3,9,10,9,8,0,0,43,209,257,457,525,487,327,54,8,2328
107031138,23,5,0,105,0,0,12,25,47,36,4,0,121,0,0,8,20,18,21,0,0,60,3,4,7,9,8,3,0,0,30,281,287,431,541,650,522,128,16,2861
107031139,5,0,0,25,0,0,4,8,7,12,0,0,34,0,0,0,7,0,3,0,0,13,0,0,0,0,0,0,0,0,9,43,49,83,116,116,135,31,6,579
107031140,12,4,0,57,0,0,7,18,21,19,9,3,78,0,0,0,18,20,17,11,3,65,3,4,4,3,4,6,3,3,27,149,217,277,321,344,362,143,35,1836
107031141,19,5,0,153,0,3,27,58,51,32,3,0,179,0,0,6,18,21,13,0,0,54,0,3,4,14,6,5,0,0,39,142,251,463,566,518,349,57,11,2355
107031142,56,0,0,273,0,5,30,107,88,38,8,0,274,0,3,12,22,36,13,3,0,83,4,23,6,10,11,13,0,4,68,695,847,1200,1183,1243,759,111,18,6059
107031143,54,3,0,171,0,0,25,59,76,58,5,3,232,0,0,7,27,23,19,3,0,87,4,3,15,9,7,6,3,0,52,253,360,746,824,909,721,125,12,3949
107041144,49,4,0,258,0,0,53,115,101,69,10,0,352,0,0,14,38,51,45,5,0,156,11,11,12,9,17,14,3,0,86,528,711,1151,1094,1191,865,183,20,5738
107041145,40,3,0,154,0,3,14,43,39,30,5,0,133,0,0,7,21,26,11,3,0,70,3,8,16,7,18,8,0,0,56,209,353,653,712,804,521,103,15,3371
107041146,64,16,0,408,0,0,51,205,199,156,27,3,640,0,0,15,48,86,81,21,0,244,12,11,20,16,24,13,4,0,99,463,781,1330,1407,1451,1020,219,23,6703
107041147,23,0,0,108,0,3,53,78,64,43,3,0,250,0,0,16,27,26,9,0,0,81,5,5,3,4,8,6,3,0,39,143,216,337,476,500,273,64,11,2021
