SA2_MAINCODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
101021007,7,4,0,41,0,0,3,10,12,16,9,3,52,0,0,0,0,0,8,9,0,25,4,3,4,0,6,6,5,3,27,45,47,108,155,251,261,135,49,1048
101021008,23,5,0,70,0,0,5,14,19,14,3,0,54,0,0,0,3,0,0,3,0,6,0,0,4,0,4,0,3,0,13,72,69,127,137,188,162,33,4,794
101021009,74,8,0,314,0,3,74,140,157,83,9,0,472,0,0,13,37,58,31,12,0,149,9,10,8,9,10,9,3,0,62,392,564,1199,1144,1096,810,182,26,5407
101021010,21,6,0,136,0,0,30,49,33,28,5,0,153,0,0,9,17,22,9,3,3,61,12,3,6,3,13,6,3,0,45,247,280,676,530,514,380,104,15,2735
101021011,27,3,0,178,0,3,67,106,141,54,11,0,392,0,0,15,62,91,24,11,3,211,9,0,8,8,7,8,6,0,49,157,159,519,598,760,455,190,35,2873
101021012,14,0,0,140,0,0,22,45,43,21,3,0,138,0,0,4,19,31,21,0,0,79,0,3,8,9,7,4,0,0,30,139,258,480,435,436,272,57,4,2086
101031013,21,6,0,46,0,0,4,8,11,13,0,0,41,0,0,0,7,8,5,0,3,20,0,0,3,4,3,3,4,0,20,58,60,144,165,240,239,109,13,1023
101031014,41,5,0,169,0,0,22,49,67,41,0,0,184,0,0,12,21,30,21,0,0,92,7,6,7,14,5,13,4,3,66,255,258,566,618,834,668,177,36,3403
101031015,7,0,0,20,0,0,4,10,8,5,3,7,37,0,0,0,8,6,4,4,3,23,0,0,0,3,3,0,0,0,10,20,24,78,111,179,142,102,41,695
101031016,31,8,3,145,0,0,22,44,57,32,5,0,158,0,0,4,15,25,20,3,0,75,12,16,16,8,9,15,6,0,82,305,802,1028,755,827,593,191,37,4538
101041017,36,3,0,138,0,0,15,36,51,38,3,0,147,0,0,8,25,17,20,3,0,72,6,12,20,17,18,20,5,0,91,357,289,663,821,994,886,179,26,4206
