Home_SLA,Work_SLA,workers
Botany,Botany,3903
Marrickville,Botany,1173
South_Sydney,Botany,976
Sydney_Inner,Botany,16
Sydney_Remainder,Botany,42
Randwick,Botany,4526
Waverley,Botany,925
Woollahra,Botany,567
Hurstville,Botany,1267
Kogarah,Botany,1220
Rockdale,Botany,3032
Sutherland,Botany,5079
Bankstown,Botany,1353
Canterbury,Botany,1553
Fairfield,Botany,533
Liverpool,Botany,462
Camden,Botany,65
Campbell_town,Botany,644
Wollon_dilly,Botany,54
Ashfield,Botany,323
Burwood,Botany,181
Concord,Botany,172
Drum_moyne,Botany,278
Strathfield,Botany,136
Auburn,Botany,185
Holroyd,Botany,269
Parramatta,Botany,439
Blue_Mountains,Botany,91
Hawkes_bury,Botany,70
Penrith,Botany,315
Baulkham_Hills,Botany,392
Blacktown,Botany,549
Hunters_Hill,Botany,53
Lane_Cove,Botany,135
Mosman,Botany,151
North_Sydney,Botany,355
Ryde,Botany,394
Willoughby,Botany,268
Hornsby,Botany,327
Ku_ring_gai,Botany,327
Manly,Botany,251
Warringah,Botany,783
Gosford,Botany,220
Wyong,Botany,103
Cessnock,Botany,0
Lake_Macquarie,Botany,45
Maitland,Botany,6
Newcastle_Inner,Botany,0
Newcastle_Remainder,Botany,7
Port_Stephens,Botany,12
Kiama,Botany,22
Shell_harbour,Botany,51
Shoal_haven,Botany,17
Wingecar_ribee,Botany,71
Wollong_ong,Botany,413
Botany,Leichhardt,140
Leichhardt,Leichhardt,6013
South_Sydney,Leichhardt,802
Sydney_Inner,Leichhardt,20
Sydney_Remainder,Leichhardt,67
Randwick,Leichhardt,643
Waverley,Leichhardt,494
Woollahra,Leichhardt,400
Hurstville,Leichhardt,277
Kogarah,Leichhardt,190
Rockdale,Leichhardt,405
Sutherland,Leichhardt,593
Bankstown,Leichhardt,564
Canterbury,Leichhardt,1000
Fairfield,Leichhardt,388
Liverpool,Leichhardt,195
Camden,Leichhardt,20
Campbell_town,Leichhardt,210
Wollon_dilly,Leichhardt,21
Ashfield,Leichhardt,891
Burwood,Leichhardt,393
Concord,Leichhardt,399
Drum_moyne,Leichhardt,1096
Strathfield,Leichhardt,207
Auburn,Leichhardt,167
Holroyd,Leichhardt,194
Parramatta,Leichhardt,453
Blue_Mountains,Leichhardt,78
Hawkes_bury,Leichhardt,59
Penrith,Leichhardt,234
Baulkham_Hills,Leichhardt,388
Blacktown,Leichhardt,491
Hunters_Hill,Leichhardt,189
Lane_Cove,Leichhardt,213
Mosman,Leichhardt,121
North_Sydney,Leichhardt,324
Ryde,Leichhardt,850
Willoughby,Leichhardt,245
Hornsby,Leichhardt,418
Ku_ring_gai,Leichhardt,349
Manly,Leichhardt,153
Warringah,Leichhardt,553
Gosford,Leichhardt,141
Wyong,Leichhardt,78
Cessnock,Leichhardt,3
Lake_Macquarie,Leichhardt,32
Maitland,Leichhardt,3
Newcastle_Inner,Leichhardt,0
Newcastle_Remainder,Leichhardt,9
Port_Stephens,Leichhardt,4
Kiama,Leichhardt,6
Shell_harbour,Leichhardt,6
Shoal_haven,Leichhardt,0
Wingecar_ribee,Leichhardt,21
Wollong_ong,Leichhardt,73
Botany,Marrickville,268
Leichhardt,Marrickville,1002
Marrickville,Marrickville,5911
Sydney_Inner,Marrickville,16
Sydney_Remainder,Marrickville,28
Randwick,Marrickville,810
Waverley,Marrickville,468
Woollahra,Marrickville,344
Hurstville,Marrickville,738
Kogarah,Marrickville,604
Rockdale,Marrickville,1381
Sutherland,Marrickville,1377
Bankstown,Marrickville,1202
Canterbury,Marrickville,3082
Fairfield,Marrickville,577
Liverpool,Marrickville,316
Camden,Marrickville,34
Campbell_town,Marrickville,378
Wollon_dilly,Marrickville,27
Ashfield,Marrickville,840
Burwood,Marrickville,371
Concord,Marrickville,225
Drum_moyne,Marrickville,407
Strathfield,Marrickville,252
Auburn,Marrickville,281
Holroyd,Marrickville,220
Parramatta,Marrickville,450
Blue_Mountains,Marrickville,100
Hawkes_bury,Marrickville,35
Penrith,Marrickville,252
Baulkham_Hills,Marrickville,245
Blacktown,Marrickville,560
Hunters_Hill,Marrickville,63
Lane_Cove,Marrickville,125
Mosman,Marrickville,94
North_Sydney,Marrickville,186
Ryde,Marrickville,382
Willoughby,Marrickville,177
Hornsby,Marrickville,258
Ku_ring_gai,Marrickville,226
Manly,Marrickville,121
Warringah,Marrickville,306
Gosford,Marrickville,129
Wyong,Marrickville,54
Cessnock,Marrickville,0
Lake_Macquarie,Marrickville,20
Maitland,Marrickville,3
Newcastle_Inner,Marrickville,0
Newcastle_Remainder,Marrickville,3
Port_Stephens,Marrickville,0
Kiama,Marrickville,0
Shell_harbour,Marrickville,12
Shoal_haven,Marrickville,3
Wingecar_ribee,Marrickville,3
Wollong_ong,Marrickville,118
Botany,South Sydney,2816
Leichhardt,South Sydney,3537
Marrickville,South Sydney,5131
South_Sydney,South Sydney,9296
Sydney_Remainder,South Sydney,297
Randwick,South Sydney,7121
Waverley,South Sydney,3836
Woollahra,South Sydney,3510
Hurstville,South Sydney,2044
Kogarah,South Sydney,1647
Rockdale,South Sydney,3854
Sutherland,South Sydney,5448
Bankstown,South Sydney,2805
Canterbury,South Sydney,4508
Fairfield,South Sydney,1701
Liverpool,South Sydney,1030
Camden,South Sydney,134
Campbell_town,South Sydney,1576
Wollon_dilly,South Sydney,120
Ashfield,South Sydney,1758
Burwood,South Sydney,810
Concord,South Sydney,543
Drum_moyne,South Sydney,1106
Strathfield,South Sydney,557
Auburn,South Sydney,760
Holroyd,South Sydney,919
Parramatta,South Sydney,1779
Blue_Mountains,South Sydney,574
Hawkes_bury,South Sydney,262
Penrith,South Sydney,1307
Baulkham_Hills,South Sydney,1154
Blacktown,South Sydney,2279
Hunters_Hill,South Sydney,252
Lane_Cove,South Sydney,732
Mosman,South Sydney,749
North_Sydney,South Sydney,1710
Ryde,South Sydney,1664
Willoughby,South Sydney,1195
Hornsby,South Sydney,1623
Ku_ring_gai,South Sydney,1697
Manly,South Sydney,737
Warringah,South Sydney,2344
Gosford,South Sydney,973
Wyong,South Sydney,285
Cessnock,South Sydney,17
Lake_Macquarie,South Sydney,98
Maitland,South Sydney,12
Newcastle_Inner,South Sydney,3
Newcastle_Remainder,South Sydney,87
Port_Stephens,South Sydney,77
Kiama,South Sydney,26
Shell_harbour,South Sydney,99
Shoal_haven,South Sydney,38
Wingecar_ribee,South Sydney,41
Wollong_ong,South Sydney,675
Botany,Sydney (Inner),1028
Leichhardt,Sydney (Inner),4610
Marrickville,Sydney (Inner),4076
South_Sydney,Sydney (Inner),5734
Sydney_Inner,Sydney (Inner),398
Randwick,Sydney (Inner),6827
Waverley,Sydney (Inner),4506
Woollahra,Sydney (Inner),5092
Hurstville,Sydney (Inner),3168
