SA4_CODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
101,21,12,9,0,6,0,0,56,0,3,4,0,3,0,0,10,5,7,5,8,13,4,0,30,27,24,21,8,20,4,0,96,128,422,872,1228,1451,1036,332,5466,1476,1230,1124,1338,1502,491,63,7230,175,131,138,145,137,65,35,831,10208,12172,13178,16100,13476,4008,765,69907
102,39,27,23,25,22,8,0,131,11,8,0,0,3,0,0,24,4,3,6,6,0,0,0,15,49,36,26,34,24,6,0,174,173,720,1636,1669,1397,687,118,6396,2996,2180,1966,1975,2008,554,70,11750,247,183,181,216,157,78,46,1105,17580,19178,21376,23970,18053,4001,453,104601
103,3,0,4,5,0,0,0,15,3,3,0,0,0,0,0,11,3,5,7,12,8,9,0,46,15,9,8,17,11,7,0,72,141,531,984,1234,1484,1163,429,5970,1727,1777,1427,1472,1453,515,91,8463,236,146,156,198,149,108,69,1070,11864,15666,16647,18529,14811,4587,1089,83186
104,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6,3,4,7,0,3,0,0,18,3,4,11,3,3,0,0,24,50,241,587,725,852,436,136,3031,1054,842,823,936,1144,281,26,5101,126,81,84,115,85,43,39,574,6746,7930,9709,11744,10106,2249,362,48847
105,3,4,7,0,3,0,0,18,0,0,0,3,0,0,0,3,0,3,7,13,3,13,0,33,5,9,8,16,6,13,0,56,112,322,481,718,860,536,240,3265,759,1019,686,682,749,233,50,4181,110,84,88,111,110,53,51,614,6033,9223,8562,9889,8345,2508,639,45204
106,6,11,5,4,3,0,0,29,6,0,0,0,0,0,0,7,0,3,9,5,0,0,0,21,13,19,7,14,6,0,0,57,137,564,910,1129,1114,756,233,4844,2481,2449,2199,1967,1806,443,65,11403,204,173,180,208,152,65,48,1030,15791,20787,21260,21772,15394,3563,626,99196
107,42,32,28,17,10,3,0,126,8,8,5,5,3,0,0,21,6,3,6,4,3,0,0,21,49,40,38,29,10,3,0,169,130,598,1141,1067,858,453,81,4327,2852,2229,1971,1781,1694,456,52,11025,199,166,147,186,129,56,42,915,17519,19802,21522,22508,15772,3116,387,100628
108,0,5,0,3,0,0,0,12,0,0,0,3,0,0,0,3,3,5,7,0,0,0,0,21,6,11,11,9,3,0,0,35,102,317,733,1019,1143,834,242,4388,1592,1185,1176,1388,1590,464,59,7450,195,111,148,208,176,82,70,983,9122,10491,13214,16755,14422,3686,615,68308
109,0,0,0,5,0,0,0,9,3,0,0,0,0,0,0,3,0,3,0,9,9,0,0,19,3,6,4,10,9,0,0,26,98,293,562,742,908,513,183,3304,1113,947,775,852,930,315,52,4996,119,75,97,106,102,70,35,595,7221,8837,9340,11013,9540,2614,512,49077
110,0,7,7,4,0,0,0,10,0,0,3,3,0,0,0,6,3,5,3,4,9,6,0,30,3,13,11,9,10,6,0,46,168,494,951,1335,1631,1266,442,6290,1456,1344,1085,1120,1238,447,84,6778,200,142,165,177,177,110,73,1037,10389,13617,14125,16279,13762,4405,1053,73620
111,24,66,54,45,27,5,0,220,11,20,3,10,9,0,0,55,9,14,10,7,6,0,0,47,45,95,70,66,38,5,4,321,208,814,1463,1437,1210,542,118,5803,4241,3768,3083,2816,2690,689,88,17380,275,229,208,257,166,83,47,1262,25259,33336,33337,34577,24398,4609,592,156101
112,5,5,3,10,0,0,0,22,0,0,0,4,0,0,0,10,3,4,3,9,5,0,0,26,11,11,8,20,8,0,0,61,127,636,1532,1732,1861,992,320,7197,1759,1425,1431,1531,1818,545,60,8560,192,144,242,228,186,83,76,1158,11031,13506,17160,20190,17556,4398,776,84622
113,3,3,0,0,0,0,0,8,0,0,0,0,3,0,0,7,3,3,8,3,3,3,0,30,4,7,14,10,6,3,0,44,166,379,674,916,1016,728,282,4160,1303,1251,1004,925,976,361,44,5857,189,141,103,160,147,89,59,885,11033,13484,13172,14493,11755,3274,729,67936
